id,abbr,abbr_phd,title,author,subcorpus,doc1,doc2,doc_full,base_ms,place_ms,date_ms,place_cmp,genre,DEAF,form,extract,edition,source
machaut,GuilMachLou,Machaut,La Louange des dames,Guillaume de Machaut,lyric,1333,1366,2nd third C14,"BN fr. 22545–6 (K, Ms des Carmes)",--,4th quart. C14,C (Ch.),Lyr,GuillMachC,L,"La Louange des dames, pieces VI, XV, XVI, XVIII, XXIII–XXVI, LII, LIII, LXII, LXXXVI, XC, XCI, CI, CVI, CLXV, CLXVI, CCXXII",Chechmaref (1909),n
marie,MarieLanv,LaisMarie,Lais,Marie de France,base,1160,1170,c1165,BL Harley 978,"Eng (Pic. traits) / Eng (75, Dees)",2nd half C13,Eng (author from IdeF),Lais,MarieLaisE,8s,Lanval: ll. 1–500,Ewert (1965),n
meliador,FroissMel,Meliador,Méliador,Jean Froissart,base,1381,1383,1381..1383,BN fr. 12557 (B),n/a,c1400,n/a,Rom,FroissMelL,8s,ll. 1–520,Longnon (1895-1899),n
memcomm,Comm,MemCommyn,Mémoires,Philippe des Commynes,prose,1489,1498,1489–1498,BN nfr. 20960 (P),--,beg. C16,--,Chr,CommC,P,"Book I, chs. 5, 6",Calmette (1924),n
mirlouis,SLouisPathMir,MirLouis,Les Miracles de saint Louis,Guillaume de Saint-Pathus,prose,1297,1297,1297,BN fr. 4976,"W (Eure, Dees, 86)",1st quart. C14,"C (Seine-et-Marne, St. Pathus)",RelNarr,SLouisPathMirF,P,"Mir. 5, 6, 7",Fay (1931),NCA
molinet,MolinetFaictz,Molinet,Les Faictz et dictz,Jean Molinet,lyric,1464,1507,1464–1507,Tournai 105 (A),--,date not given,--,Lyr,--,L,"Poésies religeuses XXII ll. 104–174, XXIV; Poésies familières XVIII, XLVI, LI, LXI, LXVIII, LXIX, LXX, LXXI, LXXII, LXXIV",Dupire (1936),n
nicolas,BodelNic,JeuNicolas,Le Jeu de saint Nicolas,Jean Bodel,theatre,1191,1202,1191–1202,BN fr. 25566,"N (Arras) / N (Somme, Pas-de-Calais, 94, Dees)",prob. 1295,N (Arras),RelPlay,BodelNicH2,8s,"ll. 1–238, 251–383, 412–540",Henry (1965),NCA
notredame,MirNDPers,MirNDPers,Miracles de Nostre Dame par personnages,--,theatre,1345,1345,1345,BN fr. 819-820,--,end C14,C (Paris),RelPlay,MirNDPers7P,8s,"Miracle de la nonne (vol. 1, pp. 311–40): ll. 1--621",Paris (1976),n
orleans,CharlD'Orl,CharlesOrl,Poésies,Charles d'Orléans,lyric,1410,1460,1410–1460,BN fr. 25458,--,c1455 (ed.) / C15 (DEAF),S (Orleans),Lyr,CharlD'OrlC,L,"Pieces I, V, XXIII, XXV, XXIX, LXI, LXXV, LXXXI, LXXXIX, C; chansons I–III, XI–XV, XXVI, XXVIII, CCXXXIV–CCXXXVIII,  CCCXLVI, CCCXLVII",Champion (1923),n
orloge,FroissOrl,OrlogeAmor,L'Orloge amoureus,Jean Froissart,10-syll,1368,1368,1368,BN fr. 830 (B),--,1393,N (Pic.),Dit,FroissOrlD,10s,ll. 1–424,Demobowski (1986),n
palatinus,PassPal,PassPalat,La Passion de Palatinus,--,theatre,1300,1315,beg. C14 (DEAF) / 1300–1315 (ed.),Vat. Pal. lat. 1969,C (IdeFr),beg. C14,"E (Burgundy, traits)",RelPlay,PassPalF,8s,ll. 99–599,Frank (1922),n
passgreb,Greban,PassGreban,Le Mystère de la Passion,Arnoul Gréban,theatre,1445,1455,c1450,BN fr. 815 (B),--,1458,W (Le Mans),RelPlay,GrebanJ,8s,"ll. 1–154, 175–539",Jodogne (1965),n
passjong,PassJonglG,PassJongl,La Passion des Jongleurs,Geufroi de Paris,base,1240,1245,c1243 (orig. of text end C12),BN fr. 1526,"C (IdeF) / C (Paris, 82, Dees)",2nd half C13,C (IdeF),RelNarr,PassJonglGP,8s,ll. 1–540,Perry (1981),NCA
pathelin,Pathelin,Pathelin,La Farce de maître Pierre Pathelin,--,theatre,1464,1469,1464–1469,BN rés Yf 417 (Lyon: Guillaume Le Roy),--,c1485,--,SecPlay,--,8s,ll. 1–505,Dufournet (1986),n
poitiers,ComtePoit,ComtePoit,Le Roman du comte de Poitiers,--,dialectN,1200,1249,1st half C13,Arsenal 3527,"N (Pic.) / N (Somme, Pas-de-Calais, 86, Dees)",beg. C14,N (Pic.),Rom,ComtePoitM,8s,ll. 1–500,Malmberg (1940),NCA
protheselaus,Prot,Prothes,Protheselaus,Hue de Rotelande,dialectAN,1180,1190,c1185,BN fr. 2169 (A),Eng,C13,"Eng, W traits (standard W French, ed.)",Rom,ProtH,8s,ll. 1–504,Holden (1991),n
quadrilogue,AlChartQuad,QuadrInvec,Le Quadrilogue Invectif,Alain Chartier,prose,1422,1422,1422,BN fr. 126,--,early C15,--,Treatise,--,P,"p. 5, l. 15 – p. 15, l. 12",Droz (1950),n
quatrelivres,Rois,QuatrLivre,Li Quatre Livre des Reis,--,prose,1150,1199,2nd half C12,Maz. 54 (70),Eng,end C12,Eng,Biblical trans.,RoisC,P,"Book I, 1:1–3:21",Curtius (1911),n
raouli,RCambr,RaoulCamI,Raoul de Cambrai (first part),--,10-syll,1185,1199,end C12,BN fr. 2493,"N (Pic.) (DEAF) / NE (Ardennes, 75, Dees)",1st half C13,NE ,ChG,RCambrK,10s,laisses XXIII–XLIII (ll. 296–745),Kay (1992),NCA
rennov,RenNouv,RenartNouv,Renart le nouvel,Jacquemars Giélée,dialectN,1285,1295,c1290,BN fr. 25566,"N (Arras) / N (Somme, Pas-de-Calais, 94, Dees)",prob. 1295,N (Arras),Rom,RenNouvR,8s,ll. 1–506,Roussel (1961),NCA
richard,PAbernRich,VieRichard,La Vie Seint Richard evesque de Cycestre,Pierre D'Abernon of Fetcham,dialectAN,1265,1275,c1270,BL Add. 70513,Eng,1st quart. C14,Eng,VieS,PAbernRichR,8s,ll. 1–516,Russell (1995),n
roland,Rol,ChRoland,La Chanson de Roland,--,10-syll,1090,1110,c1100,Oxford Bodl. Digby 23,Eng,2nd quart. C12,Eng / W (?),ChG,RolMoign,10s,laisses 80–110 (ll. 1017–1419),Moignet (1969),n
rosemeun,RoseM,RoseMeun,Le Roman de la Rose (2e partie),Jean de Meun,base,1270,1280,c1275,BN fr. 1573 (Ha),"SW (Orleans) / C (Paris, 89, Dees)",c1285,"C (IdeF), S traits",Rom,RoseMLec,8s,ll. 4039–4532 (beg. of Meun’s continuation),Lecoy (1965),NCA
rou,Rou,Rou,Le Roman de Rou,Wace,12-syll,1160,1174,c1170 (1160–1174),BN Duchesne 79,"C (IdeF), W traits",C17 (copy of lost original c1300),W ,Chr,RouH,12s,"2e partie, ll. 1–329",Holden (1970),NCA
rutebeuf,Ruteb,Rutebeuf,Œuvres,Rutebeuf,lyric,1249,1277,1249–1277,"BN fr. 837 (A) (2, 40, 41, 51); BN fr. 1635 (C) (13, 21, 38, 39)",Ms. A C (IdeFr); Ms. C E (East Ch. / Burgundy),Ms. A last quart. C13; Ms. C end C13,C (Sth. Ch.),Lyr,RutebF,L,"Pieces 2, 13, 21, 38–41, 51",Faral and Bastin (1959),n
sacristain3,SegrMoine3,Sacrist3,Le Sacristain (troisième rédaction),--,dialectE,1250,1299,[2nd half C13],BN fr. 1593 (E),"C / E (IdeFr, weak Lorr. traits)",end C13,E (Burgundy),Fabliau,NoomenFabl,8s,"Le Sacristain, version III (in vol. 7: 1–190): ll. 1–501",Noomen and van den Boogaard (1998),n
saintre,JSaintré,JehSaintre,Jehan de Saintré,Antoine de la Sale,prose,1451,1456,1451–1456 (ed),BN nfr. 10057 (Barrois),--,1456,--,Rom,JSaintréE,P,chs. II–III,Eusebi (1993),n
testament,VillonTest,Testament,Le Testament,François Villon,base,1461,1462,1461–1462,BN fr. 20041 (C),--,dating impossible (ed.),--,satirical poem,--,8s,"quatrains XCVI–CLVIII (ll. 998–1237, 1266–1377, 1406–1421, 1457–1472, 1507–1514, 1543–1590, 1628–1691; balades excluded)",Rychner and Henry (1974),n
thebes,Thebes,Thebes,Le Roman de Thèbes,--,base,1155,1165,c1160,BN fr. 784,"C (IdeF) (Paris, 81, Dees)",2nd third C13,SW (Poitiers),Rom,ThebesR,8s,ll. 103–606,Raynaud de Lage (1966),n
theophile,RutebTheoph,MirTheoph,Le Miracle de Théophile,Rutebeuf,theatre,1259,1263,c1261,BN fr. 837,"C (IdeFr) / C (Seine-et-Marne, 85, Dees)",last quart. C13,C (Sth. Ch.),RelPlay,RutebTheophF,8s,"ll. 1–159, 169–383, 540–663",Frank (1925),NCA
thibaut,ThibChamp,ThibautCh,Chansons,Thibaut de Champagne,lyric,1225,1249,2nd quart. C13,Arsenal 5198 (K) except BN fr. 846 (O) (XXXVII); BN fr. 24406 (V) (LXI),loc. not given,Ms. K beg. C14; Ms. O 2nd half C13; Ms. V last third C13,C (Ch.),Lyr,ThibChampW,L,"Chansons I, IV, X, XXIV, XXXIV, XXXVII, XXXIX, XLII, LXI",Wallensköld (1929),y
tristan,TristPr,TristanPr,Le Roman de Tristan en prose,--,prose,1225,1235,c1230,Vienna BN 2542,N (Pic.),c1300,unk.,Rom,TristPrMé,P,"Vol. 1, §§1–10",Menard (1987),n
troisgalans,TroisGal,TroysGalans,"Troys galans, le monde qu'on faict paistre et Ordre",--,theatre,1440,1450,c1445,BN fr. 24341 (La Vallière),W (Rouen),c1575,--,SecPlay,SottiesP,8s,Farce joyeuse à cinq personnagesn (vol. I: 11–46): full text,Picot (1902),n
vielouis,Joinv,VieLouis,La Vie de saint Louis,Jehan de Joinville,prose,1305,1309,1305–1309,BN fr. 13568 (A),"NE (DEAF) / C (Paris, 87, Dees)",c1335,C (Ch.),Chr,JoinvC,P,¶19–45,Corbett (1977),NCA
viemathurin,SMathelin2,VieMathurin,La Vie de Sainct Mathurin de Larchant [N variants],Anonyme,base,1489,1489,1489,Arsenal B.-L. 11598 (Paris: Guillaume Ier Nyverd),--,c1525,--,VieS,--,8s,ll. 1–506,Montaiglon (1877),n
villon,VillonLais,Villon,(Lyric verse),François Villon,lyric,1457,1463,1457–1463,various,n/a,n/a,--,Lyr,VillonLaisR,L,"Poèmes variés nos. 1, 2, 4–7, 10–13, in vol. 1 pp. 33–77",Rychner and Henry (1977),n
voirdit,GuilMachVoir,VoirDit,Le Livre du Voir Dit,Guillaume de Machaut,base,1364,1364,1364,BN fr. 22545 (Ms des Carmes),--,4th quart. C14,C (Ch.),Dit,GMachVoirI,8s,"ll. 1–202, 216–373, 387–474, 488–535",Imbs (1999),n
