lemma_syntag	F
balais_N	1
balance_N	3
baleine_N	1
ballade_N	5
ballerie_N	1
Balot_N	1
Balthasar_N	1
ban_N	3
banc_N	4
banchon_N	1
bande_N	6
bandeau_N	1
bandon_N	9
banneret_Adj	1
bannière_N	8
banquelet_N	1
banquet_N	1
baptême_N	6
baptisement_N	1
baptiste_Adj	1
baptistère_N	4
barat_N	3
Barat_N	23
barbe_N	6
barbier_N	2
Barbue_N	1
Barcelone_N	1
baril_N	13
barillet_N	1
Barin_N	2
bariseau_N	4
Barlet_N	1
Barletta_N	3
barnage_N	13
barné_N	4
barnesse_N	1
barnil_Adj	2
baron_N	132
baronnie_N	2
Barrabas_N	2
barre_N	1
Barre_N	1
barrière_N	1
bas_Adj	34
basane_N	1
Basennier_N	1
baslois_N	2
basset_Adj	1
bassin_N	4
bataille_N	49
batailleur_N	2
bâtard_N	4
bateau_N	4
bâton_N	6
batture_N	2
bau_N	1
baucenc_N	1
Baucenc_N	2
baucent_Adj	1
baud_Adj	1
Baude_Adj	1
Baudemagus_N	1
baudeur_N	1
Baudouin_N	1
Baudouinet_N	1
baverie_N	2
Bavière_N	1
Béatrice_N	1
beau_Adj	504
beauté_N	77
Beauvaisis_N	1
bec_N	6
béguine_N	1
behordis_N	1
behort_N	1
béjaune_Adj	1
béjaune_N	3
bel_Adj	2
belet_N	1
belin_N	1
Belin_N	2
belisor_Adj	1
Belissant_N	1
bélître_N	2
beloce_N	1
Belzébuth_N	1
bénédiction_N	1
bénéfice_N	6
bénéisson_N	2
bénin_Adj	3
benoît_Adj	3
Benoît_N	2
ber_Adj	3
Béranger_N	7
Berard_N	1
Berart_N	1
Beraut_N	2
Berengier_N	2
berger_N	2
Berlande_N	1
Bernard_N	2
Bernaut_N	1
Bernay_N	1
Bernier_N	11
berruier_N	2
Berry_N	2
Berthe_N	19
Bertrand_N	5
besant_N	5
besloi_N	2
besogne_N	22
besoin_N	28
bestens_N	1
bestial_Adj	1
bestial_N	1
bétail_N	2
bête_N	36
Béthanie_N	4
Bethléem_N	2
Bethphagé_N	1
Béthulie_N	1
bible_N	1
bicoquet_N	1
bien_N	195
bienfait_N	4
bienheuré_Adj	1
bienveillance_N	1
bière_N	5
biétu_Adj	1
bieu_N	5
bigame_N	4
bille_N	1
billon_N	1
Billy_N	1
bis_Adj	4
bise_N	2
bistourie_N	1
blâme_N	10
blanc_Adj	52
blanc_N	1
Blanche_N	1
Blanchefleur_N	3
blanchet_N	1
blandissement_N	1
blarie_N	1
blason_N	3
blé_N	9
blême_Adj	1
blême_N	1
blêmure_N	1
Blere_N	1
blessure_N	1
bleu_Adj	1
bliaud_N	2
bloi_Adj	1
Blois_N	1
boban_N	4
bober_N	1
bocage_N	1
bocel_N	1
boëlle_N	2
boeuf_N	4
bofoi_N	1
bohême_N	1
bois_N	28
Bois_N	1
boisdie_N	4
boise_N	1
boisson_N	1
boîte_N	1
boiteux_Adj	1
boitoire_N	1
bole_N	1
Bologne_N	1
bombarde_N	2
bon_Adj	498
bon_N	1
bonheuré_Adj	3
bonheurté_N	1
Boniface_N	1
bonnette_Adj	1
bonté_N	38
bord_N	1
Bordeaux_N	9
borgne_Adj	1
borgne_N	1
Bosien_N	1
bosquet_N	1
Bosquet_N	1
bosse_N	2
bossu_Adj	1
bossu_N	1
bottel_N	1
bouc_N	1
bouche_N	36
boucher_N	11
boucle_N	1
boudine_N	1
boudinette_N	1
boue_N	2
bouffard_N	1
bouge_N	1
bougran_N	1
boujon_N	1
boulanger_N	1
boule_N	1
Boulogne_N	1
boulon_N	4
bourbier_N	1
Bourbonne_N	1
bourde_N	5
bourdon_N	3
bourg_N	11
Bourg_N	1
bourgeois_Adj	1
bourgeois_N	5
bourgeon_N	1
Bourges_N	3
Bourgogne_N	4
bourguignon_Adj	2
bourguignon_N	4
bourse_N	7
Boursée_N	1
bout_N	5
bouteiller_N	1
bouton_N	3
bouvier_N	5
Bouvignies_N	1
bovin_Adj	1
boyau_N	1
boyelle_N	1
brabançon_N	1
bracel_N	2
bracelet_N	1
bracon_N	2
brai4_N	1
braie_N	7
braiel_N	3
braise_N	1
brait_N	2
branc_N	1
branche_N	7
