lemma	F	
dessafrer	1	
dessaisiner	1	
dessaisir	1	
dessaisonner	1	
dessangler	1	
dessécher	1	
dessembler	1	
desservir	23	
destiner	3	
destordre	1	
destraindre	1	
destreindre	4	
desver	4	
détacher	1	
détailler	1	
détalenter	1	
déteindre	1	
détendre	3	
détenir	3	
déterminer	1	
détirer	2	
détourber	4	
détourbier	1	
détourner	4	
détraire	5	
détrancher	14	
détrier	6	
détruire	23	
dévaler	3	
devéer	1	
devenir	58	
dévier	6	
deviner	6	
deviser	32	
devoir	94	
devoir2	370	
dévorer	5	
dévoyer	12	
dia	2	
dicter	1	
diffamer	1	
différer	4	
dîner	12	
dire	1260	
discerner	1	
discorder	2	
discuter	1	
dispenser	2	
disposer	4	
dissimuler	1	
diter	1	
divertir	1	
diviser	2	
doctriner	1	
doler	1	
dominer	3	
dommager	7	
dompter	6	
donner	418	
donoyer	1	
dorer	5	
dormir	54	
doter	4	
doubler	2	
douer	3	
douloir	28	
doulouser	3	
douter	67	
draper	1	
dresser	28	
droiturer	1	
duire	11	
durer	46	
ébahir	19	
ébattre	12	
ébaudir	3	
ébouler	1	
ébranler	1	
écailler	1	
écarteler	1	
échafauder	1	
échanger	1	
échapper	26	
échauffer	2	
échauguetter	2	
échever	1	
échoir	2	
éclaircir	1	
éclairer	10	
écoler	2	
écorcher	4	
écouler	1	
écouter	49	
écrier	20	
écrire	15	
écumer	2	
écurer	1	
édifier	5	
effacer	2	
effondre	2	
efforcer	12	
effrayer	7	
égarder	46	
égarer	7	
éjouir	8	
élarger	1	
élargir	2	
élever	4	
élire	31	
éloigner	17	
élonguer	1	
embarnir	1	
embattre	5	
embaudir	1	
embellir	3	
embesogner	2	
embler	43	
embourser	1	
embraser	1	
embrasser	9	
embroncher	2	
embûcher	2	
émerveiller	10	
émerveillier	1	
emmener	5	
emmurer	1	
émoudre	1	
émouvoir	13	
empêcher	5	
empeindre	2	
empenser	3	
empêtrer	1	
empire	1	
empirer	10	
empleurer	1	
emplir	8	
employer	8	
empoigner	1	
empoindre	3	
empoisonner	1	
emporter	16	
empreindre	4	
emprendre	25	
emprisonner	1	
emprunter	5	
empullenter	1	
enamourer	1	
enarcher	1	
enasprir	1	
enceindre	2	
enchanter	5	
encharger	2	
enchasser	7	
enchaucier	1	
enchausser	1	
enchercher	2	
enchérir	3	
enchoir	2	
enchoser	1	
encligner	1	
encliner	14	
enclore	5	
encombrer	5	
encombrier	1	
encommencer	4	
encontrée	1	
encontrer	15	
encorner	1	
encoulper	2	
encourager	2	
encourir	1	
encourtiner	1	
encrocher	1	
encuser	5	
endoctriner	4	
endormir	20	
endosser	1	
endoucir	1	
endurcir	1	
endurer	25	
enfanter	1	
enfantômer	1	
enferger	1	
enfermer	2	
enflamber	1	
enflammer	10	
enfler	4	
enforcer	8	
enformer	4	
enfouir	2	
enfraindre	1	
enfuir	2	
engager	4	
enganer	3	
engeler	1	
engendrer	20	
engenouiller	1	
engigner	7	
engouler	2	
engraigner	1	
engraissir	1	
engréger	1	
engrener	1	
engrosser	2	
enhaïr	1	
enhardir	1	
enheudir	1	
enhorter	3	
enhuiler	1	
enivrer	7	
enjamber	1	
enjouir	1	
enlacer	3	
enlaidir	1	
enlarder	1	
enlettrer	1	
enloigner	1	
enluminer	3	
enmaladir	3	
enmaller	1	
enmanevir	1	
ennoblir	1	
ennuyer	18	
enoindre	1	
enoscher	1	
enosser	1	
enquérir	15	
enraciner	5	
enrager	12	
enraidir	1	
enrichir	10	
enromancer	1	
enrouer	1	
ensayer	1	
enseigner	29	
enséjourner	1	
ensembler	2	
enserrer	1	
ensevelir	3	
ensoigner	1	
ensuivre	9	
entacher	9	
entailler	4	
entalenter	3	
entamer	1	
enteindre	1	
entendre	155	
enter	4	
enterrer	3	
enticer	1	
entoucher	1	
entourner	1	
entrapprocher	1	
entreclore	1	
entredonner	2	
entreférir	1	
entrefier	1	
entrelacer	1	
entrelaisser	2	
entrelarder	1	
entremettre	20	
entreprendre	9	
entrer	102	
entresembler	1	
entretenir	6	
entrevoir	1	
entroublier	2	
entrouvrir	1	
envahir	11	
envelopper	1	
envenimer	4	
envenir	1	
envermeiller	1	
envieillir	5	
envier	1	
environner	1	
envoiser	3	
envoyer	76	
épandre	10	
épanir	1	
épardre	1	
épargner	16	
éparpiller	2	
épeler	2	
épelir	2	
éperdre	5	
épeurer	1	
épier	2	
éplorer	1	
épouser	24	
épouvanter	3	
éprendre	19	
éprouver	19	
épurer	1	
équiparer	1	
errer	20	
esbanoyer	6	
esbarer	1	
esbourbeler	1	
esbuer	1	
escacher	1	
escasser	1	
eschanteler	2	
escharnir	9	
eschiper	1	
eschiter	1	
escligner	1	
esclistrer	1	
escommenger	1	
escommenger2	1	
escondire	16	
esconser	1	
esconvenir	5	
escopir	1	
escourcer	1	
escourre	3	
escourre2	2	
escravanter	1	
escremir	1	
escrever	1	
esdevenir	1	
esferir	1	
esgenouiller	1	
eslaisser	6	
esliesser	4	
esliger	2	
esmarrir	3	
esmayer	17	
esmer	1	
esmerer	2	
espanir	1	
espardre	4	
espérer	6	
esperir	1	
espier2	1	
espirer	1	
espondre	3	
esprit	1	
esquérir	2	
esquiver	11	
esrabier	1	
esrager	2	
esrouiller	1	
essaimer2	1	
essayer	16	
essorer	2	
essuyer	4	
ester	33	
estimer	2	
estordre	3	
estorer	1	
estourmir	1	
estovoir	64	
estriver	4	
estruire	1	
esvigorer	1	
établir	6	
étancher	2	
éteindre	7	
étendre	15	
étoilé	1	
étonner	2	
étourdir	3	
étranger	3	
étrangler	1	
être	5500	
être.ce	8	
étreindre	4	
étrenner	8	
étudier	10	
évanir	1	
éveiller	24	
évertuer	2	
exaucer	5	
excepter	2	
exciter	3	
excommunier	1	
excuser	10	
exécuter	1	
exhausser	7	
exhorter	1	
exiler	9	
exploiter	16	
exprimer	2	
expurger	1	
extirper	1	
extraire	9	
fabler	1	
faillir	180	
faire	2069	
falloir	15	
farcir	1	
fauder	1	
fausser	8	
feindre	14	
Feire	1	
fendre	19	
férir	91	
fermer	13	
ferré	1	
ferrer	2	
fervêtir	1	
festoyer	4	
feuillée	1	
feuillir	1	
fiancer	5	
ficher	5	
fieffer	1	
fier	3	
fier2	10	
figurer	1	
filer	2	
finer	37	
finir	11	
flageller	1	
flageoler	1	
flamber	1	
flamboyer	2	
flatter	4	
fleuri	1	
fleurir	9	
flotter	1	
foloyer	6	
fonder	3	
fondre	9	
forbannir	1	
forcener	7	
forcer	2	
forclore	1	
forconseiller	1	
forfaire	9	
forger	1	
forjurer	1	
former	18	
formettre	1	
fortifier	2	
fortraire	3	
fortuner	1	
foudrer	1	
fouir	1	
fouler	1	
fourbir	3	
fourmier	1	
fournir	9	
fourrager	1	
fourrer	6	
fourvoyer	1	
foutre	3	
fraindre	9	
frapper	6	
frayer	1	
frémir	8	
fretter	1	
frire	1	
frisonner	1	
froer	1	
froisser	1	
fructifier	1	
fuir	67	
fumer	2	
fuster	1	
gaber	7	
gager	3	
gagner	33	
gaimenter	2	
galer	1	
galonner	1	
garantir	9	
garder	164	
garnir	30	
gâter	13	
gehir	5	
geler	1	
gémir	2	
gemmé	1	
germiner	2	
gésir	76	
Gesmas	1	
glapir	1	
glatir	1	
glorifier	2	
gouloser	3	
goûter	10	
goutter	1	
gouverner	23	
gracier	8	
graillir	1	
gratter	4	
gréer	1	
grever	29	
grigner	1	
grocer	2	
guenchir	5	
guerdonner	6	
guérir	55	
guermenter	4	
guerpir	32	
guerroyer	7	
guetter	7	
guider	1	
guiler	3	
guyer	6	
habiller	1	
habiter	4	
haigner	1	
haïr	39	
haité	2	
haiter	9	
haitier	1	
haleiner	1	
hâler	2	
hanter	4	
happer	4	
hardi	2	
hardir	30	
harier	1	
hâter	11	
hausser	7	
héberger	27	
hérisser	1	
hériter	1	
heurter	7	
hiverner	1	
hober	1	
hocher	6	
hogner	1	
honnir	22	
honorer	42	
hosteler	1	
hucher	8	
huer	2	
humer	2	
humilier	10	
ignorer	1	
imaginer	2	
impétrer	2	
impliquer	1	
infaire	1	
informer	4	
insister	1	
inspirer	1	
instituer	2	
introduire	2	
intrure	2	
iraistre	2	
irer	21	
issir	80	
jangler	1	
jargonner	1	
jeter	56	
jeûner	12	
joindre	13	
joncher	2	
jouer	27	
jouir	25	
jouter	24	
juger	25	
jurer	42	
justicier	3	
labourer	10	
lacer	6	
lâcher	3	
lacrimer	1	
laidenger	9	
laidir	6	
laier	3	
laisser	186	
laitier3	1	
lambrisser	1	
lamir	1	
lampe	1	
lancer	10	
languir	14	
lapider	1	
larder	2	
larmoyer	2	
lasser	19	
laver	18	
layer	15	
lécher	1	
lettré	1	
lettrer	2	
lever	93	
lier	15	
ligner	1	
lire	27	
livrer	34	
