wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
85,16,4,tote,tote,116,QIs,QIs,tout,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 16"
86,16,5,la,la,116,Det,Det,le,7s,---,C/V\,"ConBeth, chanson 1, v. 16"
87,16,6,gent,gent,116,N,N,,7s,---,C/V\,"ConBeth, chanson 1, v. 16"
88,17,1,ke,ke,117,Crd,Crd,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 17"
89,17,2,bien,bien,117,Adv,Adv,bien,7s,---,C/V\,"ConBeth, chanson 1, v. 17"
90,17,3,le,le,117,Prn,Prn$$,le,7s,---,C/(e)\,"ConBeth, chanson 1, v. 17"
91,17,4,devroie,devroie,117,Vfin,Vfin,devoir2,7s,---,C/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 17"
92,17,5,dire,dire,117,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 17"
93,18,1,a,a,118,Pre,Pre,à,7s,---,/V\,"ConBeth, chanson 1, v. 18"
94,18,2,ma,ma,118,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 18"
95,18,3,dame,dame,118,N,N,,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 18"
96,18,4,solement,solement,118,Adv,Adv,,7s,---,C/V\.C/e\.'C/V\,"ConBeth, chanson 1, v. 18"
97,18,5,",",",",118,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 18"
98,19,1,k',k',119,Crd,Crd,que,7s,---,C/\,"ConBeth, chanson 1, v. 19"
99,19,2,amors,amors,119,N,N,,7s,---,/V\.'C/V\,"ConBeth, chanson 1, v. 19"
100,19,3,ne,ne,119,Neg,Neg,ne,7s,---,C/(e)\,"ConBeth, chanson 1, v. 19"
101,19,4,li,li,119,Prn,Prn$$,li,7s,---,C/V\,"ConBeth, chanson 1, v. 19"
102,19,5,dit,dit,119,Vfin,Vfin,dire,7s,---,C/V\,"ConBeth, chanson 1, v. 19"
103,19,6,noient,noient,119,Prn,Prn,néant,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 19"
104,19,7,;,;,119,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 19"
105,20,1,ne,ne,120,Crd,Crd,ne2,7s,---,C/(e)\,"ConBeth, chanson 1, v. 20"
106,20,2,por,por,120,Pre,Pre,pour,7s,---,C/V\,"ConBeth, chanson 1, v. 20"
107,20,3,quant,quant,120,Qux,Qux,quant,7s,---,C/V\,"ConBeth, chanson 1, v. 20"
108,20,4,",",",",120,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 20"
109,20,5,s',s',120,Sub,Sub,si3,7s,---,C/\,"ConBeth, chanson 1, v. 20"
110,20,6,ele,ele,120,Prn,Prn$,elle,7s,---,'/V\.C/(e)\,"ConBeth, chanson 1, v. 20"
111,20,7,m',m',120,Prn,Prn$$,me,7s,---,C/\,"ConBeth, chanson 1, v. 20"
112,20,8,oblie,oblie,120,Vfin,Vfin,oublier,7s,---,/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 20"
113,20,9,",",",",120,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 20"
114,21,1,ne,ne,121,Neg,Neg,ne,7s,---,C/(e)\,"ConBeth, chanson 1, v. 21"
115,21,2,l',l',121,Prn,Prn$$,le,7s,---,C/\,"ConBeth, chanson 1, v. 21"
116,21,3,oublierai,oublierai,121,Vfin,Vfin,oublier,7s,---,/V\.C/V\.C/e\.'C/V\,"ConBeth, chanson 1, v. 21"
117,21,4,je,je,121,Prn,Prn%,je,7s,---,C/(e)\,"ConBeth, chanson 1, v. 21"
118,21,5,mie,mie,121,Neg,Neg,mie3,7s,---,'C/V\./(e)\,"ConBeth, chanson 1, v. 21"
119,21,6,.,.,121,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 21"
120,22,1,por,por,122,Pre,Pre,pour,7s,---,C/V\,"ConBeth, chanson 1, v. 22"
121,22,2,quant,quant,122,Qux,Qux,quant,7s,---,C/V\,"ConBeth, chanson 1, v. 22"
122,22,3,",",",",122,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 22"
123,22,4,se,se,122,Sub,Sub,si3,7s,---,C/(e)\,"ConBeth, chanson 1, v. 22"
124,22,5,je,je,122,Prn,Prn$,je,7s,---,C/(e)\,"ConBeth, chanson 1, v. 22"
125,22,6,n',n',122,Neg,Neg,ne,7s,---,C/\,"ConBeth, chanson 1, v. 22"
126,22,7,ai,ai,122,Vfin,Vfin,avoir,7s,---,/V\,"ConBeth, chanson 1, v. 22"
127,22,8,aïe,aïe,122,N,N,,7s,---,/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 22"
128,23,1,de,de,123,Pre,Pre,de,7s,---,C/(e)\,"ConBeth, chanson 1, v. 23"
129,23,2,li,li,123,Prn,Prn,li,7s,---,C/V\,"ConBeth, chanson 1, v. 23"
130,23,3,et,et,123,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 23"
131,23,4,retenement,retenement,123,N,N,,7s,---,C/V\.C/V\.C/e\.'C/V\,"ConBeth, chanson 1, v. 23"
132,23,5,",",",",123,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 23"
133,24,1,bien,bien,124,N,N,bien,7s,---,C/V\,"ConBeth, chanson 1, v. 24"
134,24,2,fera,fera,124,Vfin,Vfin,faire,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 24"
135,24,3,et,et,124,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 24"
136,24,4,cortoisie,cortoisie,124,N,N,,7s,---,C/V\.C/V\.'C/V\./(e)\,"ConBeth, chanson 1, v. 24"
137,25,1,s',s',125,Sub,Sub,si3,7s,---,C/\,"ConBeth, chanson 1, v. 25"
138,25,2,aucune,aucune,125,QIs,QIs,aucun,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 25"
139,25,3,pitiés,pitiés,125,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 25"
140,25,4,l',l',125,Prn,Prn$$,le,7s,---,C/\,"ConBeth, chanson 1, v. 25"
141,25,5,em,em,125,Prn,Prn$$,en2,7s,---,/V\,"ConBeth, chanson 1, v. 25"
142,25,6,prent,prent,125,Vfin,Vfin,prendre,7s,---,C/V\,"ConBeth, chanson 1, v. 25"
143,25,7,.,.,125,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 25"
