wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
78,14,2,si,si,2614,Adv,Adv,si,7s,---,C/V\,"AdHaleChans, chanson 26, v. 14"
79,14,3,tost,tost,2614,Adv,Adv,tôt,7s,---,C/V\,"AdHaleChans, chanson 26, v. 14"
80,14,4,n',n',2614,Neg,Neg$$,ne,7s,---,C/\,"AdHaleChans, chanson 26, v. 14"
81,14,5,ameroit,ameroit,2614,Vfin,Vfin,aimer,7s,---,/V\.C/e\.'C/V\,"AdHaleChans, chanson 26, v. 14"
82,14,6,on,on,2614,Prn,Prn%,on,7s,---,/V\,"AdHaleChans, chanson 26, v. 14"
83,15,1,une,une,2615,QIs,QIs,un,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 15"
84,15,2,caitive,caitive,2615,Adj,Adj,chétif,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 15"
85,15,3,meskine,meskine,2615,N,N,meschine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 15"
86,16,1,maigre,maigre,2616,Adj,Adj,maigre,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 16"
87,16,2,et,et,2616,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 16"
88,16,3,de,de,2616,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 16"
89,16,4,male,male,2616,Adj,Adj,mal,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 16"
90,16,5,boiçon,boiçon,2616,N,N,boisson,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 16"
91,16,6,",",",",2616,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 16"
92,17,1,c',c',2617,Sub,Sub,que,7s,---,C/\,"AdHaleChans, chanson 26, v. 17"
93,17,2,une,une,2617,QIs,QIs,un,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 17"
94,17,3,de,de,2617,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 17"
95,17,4,clere,clere,2617,Adj,Adj,clair,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 17"
96,17,5,façon,façon,2617,N,N,façon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 17"
97,17,6,",",",",2617,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 17"
98,18,1,blance,blance,2618,Adj,Adj,blanc,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 18"
99,18,2,",",",",2618,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 18"
100,18,3,riant,riant,2618,Vprs,Vprs,rire,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 18"
101,18,4,et,et,2618,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 18"
102,18,5,rosine,rosine,2618,Adj,Adj,rosin,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 18"
103,18,6,.,.,2618,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 18"
