wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
126,20,2,naisance,naissance,naisance,20,N,N,C/V\.'C/V\.C/(e)\,"Brendan, v. 20"
127,20,3,fud,être,fud,20,Vfin,Vfin,C/V\,"Brendan, v. 20"
128,20,4,des,de.le,des,20,Pre+Det,Pre+Det,C/V\,"Brendan, v. 20"
129,20,5,Ireis,irois,ireis,20,Adj,Adj,/V\.'C/V\,"Brendan, v. 20"
130,20,6,.,.,.,20,Pnc,Pnc,,"Brendan, v. 20"
131,21,1,Pur,pour,pur,21,Pre,Pre,C/V\,"Brendan, v. 21"
132,21,2,ço,ce,ço,21,Prn,Prn,C/V\,"Brendan, v. 21"
133,21,3,que,que,que,21,Sub,Sub,C/(e)\,"Brendan, v. 21"
134,21,4,fud,être,fud,21,Vfin,Vfin,C/V\,"Brendan, v. 21"
135,21,5,de,de,de,21,Pre,Pre,C/(e)\,"Brendan, v. 21"
136,21,6,regal,regal,regal,21,Adj,Adj,C/V\.'C/V\,"Brendan, v. 21"
137,21,7,lin,lin,lin,21,N,N,C/V\,"Brendan, v. 21"
138,22,1,Puroc,poroec,puroc,22,Adv,Adv,C/V\.'C/V\,"Brendan, v. 22"
139,22,2,entent,entendre,entent,22,Vfin,Vfin,/V\.'C/V\,"Brendan, v. 22"
140,22,3,a,à,a,22,Pre,Pre,/V\,"Brendan, v. 22"
141,22,4,noble,noble,noble,22,Adj,Adj,'C/V\.C/(e)\,"Brendan, v. 22"
142,22,5,fin,fin,fin,22,N,N,C/V\,"Brendan, v. 22"
143,22,6,.,.,.,22,Pnc,Pnc,,"Brendan, v. 22"
144,23,1,Ben,bien,ben,23,Adv,Adv,C/V\,"Brendan, v. 23"
145,23,2,sout,savoir,sout,23,Vfin,Vfin,C/V\,"Brendan, v. 23"
146,23,3,que,que,que,23,Sub,Sub,C/(e)\,"Brendan, v. 23"
147,23,4,l',le,l',23,Det,Det,C/\,"Brendan, v. 23"
148,23,5,escripture,écriture,escripture,23,N,N,/V\.C/V\.'C/V\.C/(e)\,"Brendan, v. 23"
149,23,6,dit,dire,dit,23,Vfin,Vfin,C/V\,"Brendan, v. 23"
150,23,7,:,:,:,23,Pnc,Pnc,,"Brendan, v. 23"
151,24,1,"""","""","""",24,Pnc,Pnc,,"Brendan, v. 24"
152,24,2,Ki,qui,ki,24,Qux,Qux,C/V\,"Brendan, v. 24"
153,24,3,de,de,de,24,Pre,Pre,C/(e)\,"Brendan, v. 24"
154,24,4,cest,cist,cest,24,Dem,Dem,C/V\,"Brendan, v. 24"
155,24,5,mund,monde,mund,24,N,N,C/V\,"Brendan, v. 24"
156,24,6,fuit,fuir,fuit,24,Vfin,Vfin,C/V\,"Brendan, v. 24"
157,24,7,le,le,le,24,Det,Det,C/(e)\,"Brendan, v. 24"
158,24,8,delit,délit,delit,24,N,N,C/V\.'C/V\,"Brendan, v. 24"
159,24,9,",",",",",",24,Pnc,Pnc,,"Brendan, v. 24"
160,25,1,Od,o,od,25,Pre,Pre,/V\,"Brendan, v. 25"
161,25,2,Deu,Dieu,deu,25,N,N,C/V\,"Brendan, v. 25"
162,25,3,de,de,de,25,Pre,Pre,C/(e)\,"Brendan, v. 25"
163,25,4,cel,ciel,cel,25,N,N,C/V\,"Brendan, v. 25"
164,25,5,tant,tant,tant,25,QIs,QIs,C/V\,"Brendan, v. 25"
165,25,6,en,en,en,25,Prn,Prn$$,/V\,"Brendan, v. 25"
166,25,7,avrat,avoir,avrat,25,Vfin,Vfin,/V\.'C/V\,"Brendan, v. 25"
167,26,1,Que,que,que,26,Sub,Sub,C/(e)\,"Brendan, v. 26"
168,26,2,plus,plus,plus,26,Adv,Adv,C/V\,"Brendan, v. 26"
169,26,3,demander,demander,demander,26,Vinf,Vinf,C/V\.C/V\.'C/V\,"Brendan, v. 26"
170,26,4,ne,ne,ne,26,Neg,Neg$$,C/(e)\,"Brendan, v. 26"
171,26,5,savrat,savoir,savrat,26,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 26"
172,26,6,.,.,.,26,Pnc,Pnc,,"Brendan, v. 26"
173,26,7,"""","""","""",26,Pnc,Pnc,,"Brendan, v. 26"
174,27,1,Puroc,poroec,puroc,27,Adv,Adv,C/V\.'C/V\,"Brendan, v. 27"
175,27,2,guerpit,guerpir,guerpit,27,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 27"
176,27,3,cist,cist,cist,27,Dem,Dem,C/V\,"Brendan, v. 27"
177,27,4,reials,royal,reials,27,Adj,Adj,C/(V)\.'/V\,"Brendan, v. 27"
178,27,5,eirs,hoir,eirs,27,N,N,/V\,"Brendan, v. 27"
179,28,1,Les,le,les,28,Det,Det,C/V\,"Brendan, v. 28"
180,28,2,fals,faux,fals,28,Adj,Adj,C/V\,"Brendan, v. 28"
181,28,3,honurs,honneur,honurs,28,N,N,/V\.'C/V\,"Brendan, v. 28"
182,28,4,pur,pour,pur,28,Pre,Pre,C/V\,"Brendan, v. 28"
183,28,5,iceals,cil,iceals,28,Dem,Dem,/V\.'C/V\,"Brendan, v. 28"
184,28,6,veirs,voir,veirs,28,Adj,Adj,C/V\,"Brendan, v. 28"
185,28,7,.,.,.,28,Pnc,Pnc,,"Brendan, v. 28"
186,29,1,Dras,drap,dras,29,N,N,C/V\,"Brendan, v. 29"
187,29,2,de,de,de,29,Pre,Pre,C/(e)\,"Brendan, v. 29"
188,29,3,moine,moine,moine,29,N,N,'C/V\.C/(e)\,"Brendan, v. 29"
189,29,4,",",",",",",29,Pnc,Pnc,,"Brendan, v. 29"
190,29,5,pur,pour,pur,29,Pre,Pre,C/V\,"Brendan, v. 29"
