wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
150,24,2,onques,onques,24,Adv,Adv,'/V\.C/e\,onques
151,24,3,denier,denier,24,N,N,C/V\.C/<V>\.'/V\,denier
152,24,4,n',n',24,Neg,Neg$$,C/\,ne
153,24,5,i,i,24,Prn,Prn$$,/V\,y
154,24,6,enploia,enploia,24,Vfin,Vfin,/V\.C/V\.'C/V\,employer
155,24,7,.,.,24,Pnc,Pnc,,.
156,25,1,aprés,aprés,25,PrA,PrA,/V\.'C/V\,après
157,25,2,espars,espars,25,Vpp,Vpp,/V\.'C/V\,espardre
158,25,3,marchié,marchié,25,N,N,C/V\.'C/V\,marché
159,25,4,s',s',25,Prn,Prn$$,C/\,se
160,25,5,en,en,25,Prn,Prn$$,/V\,en
161,25,6,torne,torne,25,Vfin,Vfin,'C/V\.C/(e)\,tourner
162,25,7,.,.,25,Pnc,Pnc,,.
163,26,1,de,de,26,Pre,Pre,C/(e)\,de
164,26,2,tost,tost,26,Adv,Adv,C/V\,tôt
165,26,3,aler,aler,26,Vinf,Vinf,/V\.'C/V\,aller
166,26,4,molt,molt,26,QIs,QIs,C/V\,moult
167,26,5,bien,bien,26,Adv,Adv,C/V\,bien
168,26,6,s',s',26,Prn,Prn$$,C/\,se
169,26,7,atourne,atourne,26,Vfin,Vfin,/V\.'C/V\.C/(e)\,atourner
170,26,8,;,;,26,Pnc,Pnc,,;
171,27,1,sa,sa,27,Det,Det,C/V\,son
172,27,2,chape,chape,27,N,N,'C/V\.C/(e)\,chape
173,27,3,porte,porte,27,Vfin,Vfin,'C/V\.C/(e)\,porter
174,27,4,sus,sus,27,PrA,PrA,C/V\,sus
175,27,5,s',s',27,Det,Det,C/\,son
176,27,6,espee,espee,27,N,N,/V\.'C/V\./(e)\,épée
177,27,7,",",",",27,Pnc,Pnc,,","
178,28,1,que,que,28,Sub,Sub,C/(e)\,que
179,28,2,pres,pres,28,PrA,PrA,C/V\,près
180,28,3,estoit,estoit,28,Vfin,Vfin,/V\.'C/V\,être
181,28,4,de,de,28,Pre,Pre,C/(e)\,de
182,28,5,la,la,28,Det,Det,C/V\,le
183,28,6,vespree,vespree,28,N,N,C/V\.'C/V\./(e)\,vêprée
184,28,7,.,.,28,Pnc,Pnc,,.
185,29,1,oez,oez,29,Vfin,Vfin,/V\.'C/V\,ouïr
186,29,2,comment,comment,29,Qux,Qux,C/V\.'C/V\,comment
187,29,3,il,il,29,Prn,Prn$,/V\,il
188,29,4,esploita,esploita,29,Vfin,Vfin,/V\.C/V\.'C/V\,exploiter
189,29,5,:,:,29,Pnc,Pnc,,:
190,30,1,droit,droit,30,Adv,Adv,C/V\,droit
191,30,2,a,a,30,Pre,Pre,/V\,à
192,30,3,bailluel,bailluel,30,N,N,C/V\.'C/V\,Bailleul
193,30,4,li,li,30,Prn,Prn$$,C/V\,li
194,30,5,anuita,anuita,30,Vfin,Vfin,/V\.C/V\.'C/V\,anuiter
195,30,6,",",",",30,Pnc,Pnc,,","
196,31,1,a,a,31,Pre,Pre,/V\,à
197,31,2,mi,mi,31,N,N,C/V\,mi
198,31,3,voie,voie,31,N,N,'C/V\./(e)\,voie
199,31,4,de,de,31,Pre,Pre,C/(e)\,de
200,31,5,son,son,31,Det,Det,C/V\,son
201,31,6,manoir,manoir,31,N,N,C/V\.'C/V\,manoir
202,31,7,;,;,31,Pnc,Pnc,,;
203,32,1,avespré,avespré,32,Vpp,Vpp,/V\.C/V\.'C/V\,avêprer
204,32,2,fu,fu,32,Vfin,Vfin,C/V\,être
205,32,3,",",",",32,Pnc,Pnc,,","
206,32,4,si,si,32,Adv,Adv,C/V\,si
207,32,5,fist,fist,32,Vfin,Vfin,C/V\,faire
208,32,6,molt,molt,32,QIs,QIs,C/V\,moult
209,32,7,noir,noir,32,Adj,Adj,C/V\,noir
210,32,8,.,.,32,Pnc,Pnc,,.
211,33,1,pense,pense,33,Vfin,Vfin,'C/V\.C/(e)\,penser
212,33,2,qu',qu',33,Sub,Sub,C/\,que
213,33,3,il,il,33,Prn,Prn,/V\,il
214,33,4,més,més,33,Adv,Adv,C/V\,mais
215,33,5,avant,avant,33,PrA,PrA,/V\.'C/V\,avant
216,33,6,n',n',33,Neg,Neg$$,C/\,ne
217,33,7,ira,ira,33,Vfin,Vfin,/V\.'C/V\,aller
218,33,8,",",",",33,Pnc,Pnc,,","
219,34,1,més,més,34,Crd,Crd,C/V\,mais
220,34,2,en,en,34,Pre,Pre,/V\,en
221,34,3,la,la,34,Det,Det,C/V\,le
