wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,ref
119,21,3,livres,livres,21,NOM:suj:masc:sg,N,N,livre,'C/V\.C/e\,"JPriorat, v. 21"
120,21,4,si,si,21,PROCON,Adv,Adv,si4,C/V\,"JPriorat, v. 21"
121,21,5,devise,devise,21,VER:pres:3:sg,Vfin,Vfin,deviser,C/V\.'C/V\.C/(e)\,"JPriorat, v. 21"
122,22,1,ou,ou,22,PREDET:en:obj:masc:sg,Pre+Det,Pre+Det,en.le,/V\,"JPriorat, v. 22"
123,22,2,quel,quel,22,ADJ:obj:masc:sg,Qux,Qux,quel,C/V\,"JPriorat, v. 22"
124,22,3,contient,contient,22,VER:pres:3:sg,Vfin,Vfin,contenir,C/V\.'C/V\,"JPriorat, v. 22"
125,22,4,",",",",22,PON,Pnc,Pnc,",",,"JPriorat, v. 22"
126,22,5,per,per,22,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 22"
127,22,6,grant,grant,22,ADJ:obj:femi:sg,Adj,Adj,grand,C/V\,"JPriorat, v. 22"
128,22,7,maistrise,maistrise,22,NOM:obj:femi:sg,N,N,maîtrise,C/V\.'C/V\.C/(e)\,"JPriorat, v. 22"
129,22,8,",",",",22,PON,Pnc,Pnc,",",,"JPriorat, v. 22"
130,23,1,la,la,23,DET:def:obj:femi:sg,Det,Det,le,C/V\,"JPriorat, v. 23"
131,23,2,costume,costume,23,NOM:obj:femi:sg,N,N,coutume,C/V\.'C/V\.C/(e)\,"JPriorat, v. 23"
132,23,3,et,et,23,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 23"
133,23,4,la,la,23,DET:def:obj:femi:sg,Det,Det,le,C/V\,"JPriorat, v. 23"
134,23,5,bone,bone,23,ADJ:obj:femi:sg,Adj,Adj,bon,'C/V\.C/(e)\,"JPriorat, v. 23"
135,23,6,vie,vie,23,NOM:obj:femi:sg,N,N,vie,'C/V\./(e)\,"JPriorat, v. 23"
136,24,1,de,de,24,PRE,Pre,Pre,de,C/(e)\,"JPriorat, v. 24"
137,24,2,l',l',24,DET:def:obj:femi:sg,Det,Det,le,C/\,"JPriorat, v. 24"
138,24,3,anciainne,anciainne,24,ADJ:obj:femi:sg,Adj,Adj,ancien,/V\.C/{V}\.'/V\.C/(e)\,"JPriorat, v. 24"
139,24,4,chevalerie,chevalerie,24,NOM:obj:femi:sg,N,N,chevalerie,C/V\.C/V\.C/e\.'C/V\./(e)\,"JPriorat, v. 24"
140,25,1,et,et,25,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 25"
141,25,2,comant,comant,25,ADV,Qux,Qux,comment,C/V\.'C/V\,"JPriorat, v. 25"
142,25,3,lon,lon,25,PRO:invar,Prn,Prn$,on,C/V\,"JPriorat, v. 25"
143,25,4,doit,doit,25,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,"JPriorat, v. 25"
144,25,5,sant,sant,25,NOM:obj:masc:sg,N,N,sens,C/V\,"JPriorat, v. 25"
145,25,6,doner,doner,25,VER:infi,Vinf,Vinf,donner,C/V\.'C/V\,"JPriorat, v. 25"
146,26,1,as,as,26,PREDET:a:obj:femi:pl,Pre+Det,Pre+Det,à.le,/V\,"JPriorat, v. 26"
147,26,2,janz,janz,26,NOM:obj:femi:pl,N,N,gent,C/V\,"JPriorat, v. 26"
148,26,3,a,a,26,PRE,Pre,Pre,à,/V\,"JPriorat, v. 26"
149,26,4,pie,pie,26,NOM:obj:masc:sg,N,N,pied,'C/V\./e\,"JPriorat, v. 26"
150,26,5,",",",",26,PON,Pnc,Pnc,",",,"JPriorat, v. 26"
151,26,6,et,et,26,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 26"
152,26,7,aux,aux,26,PRO:pers:acc:3:masc:pl:bet,Prn,Prn,eux,/V\,"JPriorat, v. 26"
153,26,8,ordoner,ordoner,26,VER:infi,Vinf,Vinf,ordonner,/V\.C/V\.'C/V\,"JPriorat, v. 26"
154,26,9,.,.,26,PON,Pnc,Pnc,.,,"JPriorat, v. 26"
155,27,1,li,li,27,DET:def:suj:masc:sg,Det,Det,le,C/V\,"JPriorat, v. 27"
156,27,2,tiers,tiers,27,ADJ:ord:suj:masc:sg,Adj,Adj,tiers,C/V\,"JPriorat, v. 27"
157,27,3,livres,livres,27,NOM:suj:masc:sg,N,N,livre,'C/V\.C/e\,"JPriorat, v. 27"
158,27,4,si,si,27,PROCON,Adv,Adv,si4,C/V\,"JPriorat, v. 27"
159,27,5,nos,nos,27,PRO:pers:1:pl,Prn,Prn$$,nous,C/V\,"JPriorat, v. 27"
160,27,6,espont,espont,27,VER:pres:3:sg,Vfin,Vfin,espondre,/V\.'C/V\,"JPriorat, v. 27"
161,27,7,",",",",27,PON,Pnc,Pnc,",",,"JPriorat, v. 27"
162,28,1,qui,qui,28,PROCON,Qux,Qux,qui,C/V\,"JPriorat, v. 28"
163,28,2,point,point,28,NOM:obj:masc:sg,Neg,Neg,point2,C/V\,"JPriorat, v. 28"
164,28,3,de,de,28,PRE,Pre,Pre,de,C/(e)\,"JPriorat, v. 28"
165,28,4,fauble,fauble,28,NOM:obj:femi:sg,N,N,fable,'C/V\.C/(e)\,"JPriorat, v. 28"
166,28,5,n,n,28,PRO:clit,Neg,Neg$$,ne,C/\,"JPriorat, v. 28"
167,28,6,i,i,28,PRO:clit,Prn,Prn$$,y2,/V\,"JPriorat, v. 28"
168,28,7,apont,apont,28,VER:pres:3:sg,Vfin,Vfin,appondre,/V\.'C/V\,"JPriorat, v. 28"
169,28,8,",",",",28,PON,Pnc,Pnc,",",,"JPriorat, v. 28"
170,29,1,las,las,29,DET:def:obj:masc:pl,Det,Det,le,C/V\,"JPriorat, v. 29"
171,29,2,ars,ars,29,NOM:obj:masc:pl,N,N,art,/V\,"JPriorat, v. 29"
172,29,3,",",",",29,PON,Pnc,Pnc,",",,"JPriorat, v. 29"
173,29,4,las,las,29,DET:def:obj:femi:pl,Det,Det,le,C/V\,"JPriorat, v. 29"
174,29,5,choses,choses,29,NOM:obj:femi:pl,N,N,chose,'C/V\.C/e\,"JPriorat, v. 29"
175,29,6,covenaubles,covenaubles,29,ADJ:obj:femi:pl,Adj,Adj,convenable,C/V\.C/e\.'C/V\.C/e\,"JPriorat, v. 29"
176,30,1,qui,qui,30,PROCON,Qux,Qux,qui,C/V\,"JPriorat, v. 30"
177,30,2,sont,sont,30,VER:pres:3:pl,Vfin,Vfin,être,C/V\,"JPriorat, v. 30"
178,30,3,bones,bones,30,ADJ:suj:femi:pl,Adj,Adj,bon,'C/V\.C/e\,"JPriorat, v. 30"
179,30,4,et,et,30,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 30"
180,30,5,profitaubles,profitaubles,30,ADJ:suj:femi:pl,Adj,Adj,profitable,C/V\.C/V\.'C/V\.C/e\,"JPriorat, v. 30"
181,31,1,as,as,31,PREDET:a:obj:femi:pl,Pre+Det,Pre+Det,à.le,/V\,"JPriorat, v. 31"
182,31,2,batailles,batailles,31,NOM:obj:femi:pl,N,N,bataille,C/V\.'C/V\.C/e\,"JPriorat, v. 31"
183,31,3,et,et,31,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 31"
184,31,4,a,a,31,PRE,Pre,Pre,à,/V\,"JPriorat, v. 31"
185,31,5,la,la,31,DET:def:obj:femi:sg,Det,Det,le,C/V\,"JPriorat, v. 31"
186,31,6,guerre,guerre,31,NOM:obj:femi:sg,N,N,guerre,'C/V\.C/(e)\,"JPriorat, v. 31"
187,32,1,c',c',32,PROCON,Qux,Qux,que,C/\,"JPriorat, v. 32"
188,32,2,on,on,32,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 32"
189,32,3,fait,fait,32,VER:pres:3:sg,Vfin,Vfin,faire,C/V\,"JPriorat, v. 32"
190,32,4,et,et,32,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 32"
191,32,5,doit,doit,32,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,"JPriorat, v. 32"
192,32,6,faire,faire,32,VER:infi,Vinf,Vinf,faire,'C/V\.C/(e)\,"JPriorat, v. 32"
193,32,7,per,per,32,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 32"
194,32,8,terre,terre,32,NOM:obj:femi:sg,N,N,terre,'C/V\.C/(e)\,"JPriorat, v. 32"
195,32,9,.,.,32,PON,Pnc,Pnc,.,,"JPriorat, v. 32"
196,33,1,li,li,33,DET:def:suj:masc:sg,Det,Det,le,C/V\,"JPriorat, v. 33"
197,33,2,quarz,quarz,33,ADJ:ord:suj:masc:sg,Adj,Adj,quart,C/V\,"JPriorat, v. 33"
198,33,3,livres,livres,33,NOM:suj:masc:sg,N,N,livre,'C/V\.C/e\,"JPriorat, v. 33"
199,33,4,aprés,aprés,33,PRE,PrA,PrA,après,/V\.'C/V\,"JPriorat, v. 33"
200,33,5,reconte,reconte,33,VER:pres:3:sg,Vfin,Vfin,raconter,C/V\.'C/V\.C/(e)\,"JPriorat, v. 33"
201,34,1,chose,chose,34,NOM:obj:femi:sg,N,N,chose,'C/V\.C/(e)\,"JPriorat, v. 34"
