wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
202,27,1,juge,juge,27,N,N,'C/V\.C/(e)\,juge,"ChrPisTroisJug, v. 27"
203,27,2,en,en,27,Prn,Prn$$,/V\,en,"ChrPisTroisJug, v. 27"
204,27,3,soiés,soiés,27,Vfin,Vfin,C/V\.'C/V\,être,"ChrPisTroisJug, v. 27"
205,27,4,et,et,27,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 27"
206,27,5,je,je,27,Prn,Prn$,C/(e)\,je,"ChrPisTroisJug, v. 27"
207,27,6,diray,diray,27,Vfin,Vfin,C/V\.'C/V\,dire,"ChrPisTroisJug, v. 27"
208,27,7,au,au,27,Pre+Det,Pre+Det,/V\,à.le,"ChrPisTroisJug, v. 27"
209,27,8,lonc,lonc,27,Adj,Adj,C/V\,long,"ChrPisTroisJug, v. 27"
210,28,1,tout,tout,28,QIs,QIs,C/V\,tout,"ChrPisTroisJug, v. 28"
211,28,2,leur,leur,28,Det,Det,C/V\,leur,"ChrPisTroisJug, v. 28"
212,28,3,descort,descort,28,N,N,C/V\.'C/V\,discord,"ChrPisTroisJug, v. 28"
213,29,1,de,de,29,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 29"
214,29,2,mot,mot,29,N,N,C/V\,mot,"ChrPisTroisJug, v. 29"
215,29,3,a,a,29,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 29"
216,29,4,mot,mot,29,N,N,C/V\,mot,"ChrPisTroisJug, v. 29"
217,29,5,",",",",29,Pnc,Pnc,,",","ChrPisTroisJug, v. 29"
218,29,6,sicom,sicom,29,Sub,Sub,C/V\.'C/V\,sicomme,"ChrPisTroisJug, v. 29"
219,29,7,j',j',29,Prn,Prn$,C/\,je,"ChrPisTroisJug, v. 29"
220,29,8,en,en,29,Prn,Prn$$,/V\,en,"ChrPisTroisJug, v. 29"
