wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
147,27,3,con,con,CON:subord,27,Sub,Sub,comme,C/V\,"ComtePoit, v. 27"
148,27,4,la,la,DET:def:suj:femi:sg,27,Det,Det,le,C/V\,"ComtePoit, v. 27"
149,27,5,mers,mers,NOM:suj:femi:sg,27,N,N,mer,C/V\,"ComtePoit, v. 27"
150,27,6,aviroune,aviroune,VER:pres:3:sg,27,Vfin,Vfin,avironner,/V\.C/V\.'C/V\.C/(e)\,"ComtePoit, v. 27"
151,28,1,n,n,PRO:clit,28,Neg,Neg$$,ne,C/\,"ComtePoit, v. 28"
152,28,2,i,i,PRO:clit,28,Prn,Prn$$,y2,/V\,"ComtePoit, v. 28"
153,28,3,remest,remest,VER:simp:3:sg,28,Vfin,Vfin,remanoir,C/V\.'C/V\,"ComtePoit, v. 28"
154,28,4,roi,roi,NOM:suj:masc:sg,28,N,N,roi,C/V\,"ComtePoit, v. 28"
155,28,5,qui,qui,PROCON,28,Qux,Qux,qui,C/V\,"ComtePoit, v. 28"
156,28,6,port,port,VER:subp:3:sg,28,Vfin,Vfin,porter,C/V\,"ComtePoit, v. 28"
157,28,7,coroune,coroune,NOM:obj:femi:sg,28,N,N,couronne,C/V\.'C/V\.C/(e)\,"ComtePoit, v. 28"
158,29,1,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,"ComtePoit, v. 29"
159,29,2,duc,duc,NOM:suj:masc:sg,29,N,N,duc,C/V\,"ComtePoit, v. 29"
160,29,3,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,"ComtePoit, v. 29"
161,29,4,chevalier,chevalier,NOM:suj:masc:sg,29,N,N,chevalier,C/V\.C/V\.'C/V\,"ComtePoit, v. 29"
162,29,5,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,"ComtePoit, v. 29"
163,29,6,conte,conte,NOM:suj:masc:sg,29,N,N,comte,'C/V\.C/(e)\,"ComtePoit, v. 29"
164,30,1,tot,tot,PRO:ind:suj:masc:pl,30,QIs,QIs,tout,C/V\,"ComtePoit, v. 30"
