wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
82,14,6,:,:,BA514,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 14"
83,14,7,il,il,BA514,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
84,14,8,n',n',BA514,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 14"
85,14,9,est,est,BA514,Vfin,Vfin,être,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
86,14,10,jeus,jeus,BA514,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 14"
87,15,1,qui,qui,BA515,Qux,Qux,qui,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
88,15,2,puist,puist,BA515,Vfin,Vfin,pouvoir,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
89,15,3,mon,mon,BA515,Det,Det,mon,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
90,15,4,penser,penser,BA515,Vinf,Vinf,penser,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 15"
91,15,5,oster,oster,BA515,Vinf,Vinf,ôter,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 15"
92,15,6,;,;,BA515,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 15"
93,16,1,je,je,BA516,Prn,Prn$,je,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 16"
94,16,2,m',m',BA516,Prn,Prn$$,me,7s,---,C/\,"FroissPoés, ballade 5, v. 16"
95,16,3,esbas,esbas,BA516,Vfin,Vfin,ébahir,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 16"
96,16,4,au,au,BA516,Pre+Det,Pre+Det,à.le,7s,---,/V\,"FroissPoés, ballade 5, v. 16"
97,16,5,desirer,desirer,BA516,Vinf,Vinf,désirer,7s,---,C/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 16"
98,17,1,qu',qu',BA517,Sub,Sub,que,7s,---,C/\,"FroissPoés, ballade 5, v. 17"
99,17,2,avoec,avoec,BA517,PrA,PrA,avec,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 17"
100,17,3,chiaus,chiaus,BA517,Dem,Dem,cil,7s,---,C/V\,"FroissPoés, ballade 5, v. 17"
101,17,4,ou,ou,BA517,Pre+Det,Pre+Det,en.le,7s,---,/V\,"FroissPoés, ballade 5, v. 17"
102,17,5,lieu,lieu,BA517,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 17"
103,17,6,je,je,BA517,Prn,Prn$,je,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 17"
104,17,7,soie,soie,BA517,Vfin,Vfin,être,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 17"
105,18,1,ou,ou,BA518,Qux,Qux,où,7s,---,/V\,"FroissPoés, ballade 5, v. 18"
106,18,2,il,il,BA518,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 18"
107,18,3,n',n',BA518,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 18"
108,18,4,ont,ont,BA518,Vfin,Vfin,avoir,7s,---,/V\,"FroissPoés, ballade 5, v. 18"
109,18,5,solas,solas,BA518,N,N,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 18"
110,18,6,ne,ne,BA518,Crd,Crd,ne2,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 18"
111,18,7,joie,joie,BA518,N,N,,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 18"
112,18,8,.,.,BA518,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 18"
113,19,1,et,et,BA519,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 19"
114,19,2,m',m',BA519,Prn,Prn$$,me,7s,---,C/\,"FroissPoés, ballade 5, v. 19"
115,19,3,est,est,BA519,Vfin,Vfin,être,7s,---,/V\,"FroissPoés, ballade 5, v. 19"
116,19,4,vis,vis,BA519,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 19"
117,19,5,que,que,BA519,Sub,Sub,que,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 19"
118,19,6,",",",",BA519,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 19"
119,19,7,se,se,BA519,Sub,Sub,si3,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 19"
120,19,8,la,la,BA519,Adv,Adv,là,7s,---,C/V\,"FroissPoés, ballade 5, v. 19"
121,19,9,iere,iere,BA519,Vfin,Vfin,être,7s,---,'/V\.C/(e)\,"FroissPoés, ballade 5, v. 19"
122,19,10,",",",",BA519,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 19"
123,20,1,il,il,BA520,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 20"
124,20,2,n',n',BA520,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 20"
125,20,3,en,en,BA520,Prn,Prn$$,en,7s,---,/V\,"FroissPoés, ballade 5, v. 20"
126,20,4,y,y,BA520,Prn,Prn$$,y,7s,---,/V\,"FroissPoés, ballade 5, v. 20"
127,20,5,aroit,aroit,BA520,Vfin,Vfin,avoir,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 20"
128,20,6,point,point,BA520,Neg,Neg,point,7s,---,C/V\,"FroissPoés, ballade 5, v. 20"
129,20,7,deus,deus,BA520,QIs,QIs,deux,7s,---,C/V\,"FroissPoés, ballade 5, v. 20"
130,21,1,a,a,BA521,Pre,Pre,à,7s,---,/V\,"FroissPoés, ballade 5, v. 21"
