wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
79,13,3,il,il,Prn,Prn$,il,/V\,"MirNDPers, Miracle de la nonne, v. 13"
80,13,4,chante,chante,Vfin,Vfin,chanter,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 13"
81,13,5,ou,ou,Crd,Crd,ou,/V\,"MirNDPers, Miracle de la nonne, v. 13"
82,13,6,qu',qu',Sub,Sub,que,C/\,"MirNDPers, Miracle de la nonne, v. 13"
83,13,7,il,il,Prn,Prn$,il,/V\,"MirNDPers, Miracle de la nonne, v. 13"
84,13,8,estudie,estudie,Vfin,Vfin,étudier,/V\.C/V\.'C/V\./(e)\,"MirNDPers, Miracle de la nonne, v. 13"
85,13,9,;,;,Pnc,Pnc,;,,"MirNDPers, Miracle de la nonne, v. 13"
86,14,1,je,je,Prn,Prn$,je,C/(e)\,"MirNDPers, Miracle de la nonne, v. 14"
87,14,2,ne,ne,Neg,Neg$$,ne,C/(e)\,"MirNDPers, Miracle de la nonne, v. 14"
88,14,3,doubt,doubt,Vfin,Vfin,douter,C/V\,"MirNDPers, Miracle de la nonne, v. 14"
89,14,4,point,point,Neg,Neg,point2,C/V\,"MirNDPers, Miracle de la nonne, v. 14"
90,14,5,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 14"
91,14,6,conment,conment,Qux,Qux,comment,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 14"
92,14,7,c',c',Sub,Sub,que,C/\,"MirNDPers, Miracle de la nonne, v. 14"
93,14,8,on,on,Prn,Prn$,on,/V\,"MirNDPers, Miracle de la nonne, v. 14"
94,14,9,die,die,Vfin,Vfin,dire,'C/V\./(e)\,"MirNDPers, Miracle de la nonne, v. 14"
95,14,10,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 14"
96,15,1,que,que,Sub,Sub,que,C/(e)\,"MirNDPers, Miracle de la nonne, v. 15"
97,15,2,ci,ci,Adv,Adv,ci,C/V\,"MirNDPers, Miracle de la nonne, v. 15"
98,15,3,ne,ne,Neg,Neg$$,ne,C/(e)\,"MirNDPers, Miracle de la nonne, v. 15"
99,15,4,viengne,viengne,Vfin,Vfin,venir,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 15"
