wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,tei_notes
2329,361,2,avras,avras,VER:futu:2:sg,370,Vfin,Vfin,avoir,/V\.'C/V\,
2330,361,3,pior,pior,ADJ:obj:masc:sg,370,Adj,Adj,pire,C/V\.'C/V\,
2331,361,4,voisin,voisin,NOM:obj:masc:sg,370,N,N,voisin,C/V\.'C/V\,
2332,361,5,de,de,PRE,370,Pre,Pre,de,C/(e)\,
2333,361,6,moi,moi,PRO:pers:obj:1:sg:bet,370,Prn,Prn,moi,C/V\,
2334,361,7,.,.,PON,370,Pnc,Pnc,.,,
2335,362,1,theophile,theophile,NPR:suj:masc:sg,371,N,N,Théophile,C/(V)\./V\.'C/V\.C/(e)\,speaker=Thomas
2336,362,2,foi,foi,NOM:obj:femi:sg,371,N,N,foi,C/V\,
2337,362,3,que,que,PROCON,371,Qux,Qux,que,C/(e)\,
2338,362,4,vous,vous,PRO:pers:2:pl,371,Prn,Prn$$,vous,C/V\,
2339,362,5,doi,doi,VER:pres:1:sg,371,Vfin,Vfin,devoir2,C/V\,
2340,363,1,il,il,PRO:pers:suj:3:masc:sg:unb,372,Prn,Prn$,il,/V\,
2341,363,2,samble,samble,VER:pres:3:sg,372,Vfin,Vfin,sembler,'C/V\.C/(e)\,
2342,363,3,que,que,PROCON,372,Sub,Sub,que,C/(e)\,
2343,363,4,vous,vous,PRO:pers:2:pl,372,Prn,Prn$,vous,C/V\,
2344,363,5,soiez,soiez,VER:subp:2:pl,372,Vfin,Vfin,être,C/V\.'C/V\,
2345,363,6,yvres,yvres,ADJ:suj:masc:sg,372,Adj,Adj,ivre,'/V\.C/e\,
2346,363,7,.,.,PON,372,Pnc,Pnc,.,,
2347,364,1,or,or,ADV,373,Adv,Adv,or2,/V\,speaker=Theophiles
2348,364,2,en,en,PRO:clit,373,Prn,Prn$$,en2,/V\,
2349,364,3,serai,serai,VER:futu:1:sg,373,Vfin,Vfin,être,C/V\.'C/V\,
2350,364,4,demain,demain,ADV,373,Adv,Adv,demain,C/V\.'C/V\,
2351,364,5,delivres,delivres,ADJ:suj:masc:sg,373,Adj,Adj,délivre,C/V\.'C/V\.C/e\,
2352,365,1,maugrez,maugrez,NOM:obj:masc:pl,374,N,N,malgré,C/V\.'C/V\,
2353,365,2,en,en,PRO:clit,374,Prn,Prn$$,en2,/V\,
2354,365,3,ait,ait,VER:subp:3:sg,374,Vfin,Vfin,avoir,/V\,
2355,365,4,vostre,vostre,DET:poss:suj:masc:sg,374,Det,Det,votre,'C/V\.C/(e)\,
2356,365,5,visages,visages,NOM:suj:masc:sg,374,N,N,visage,C/V\.'C/V\.C/e\,
2357,365,6,.,.,PON,374,Pnc,Pnc,.,,
2358,366,1,par,par,PRE,375,Pre,Pre,par,C/V\,speaker=Thomas
2359,366,2,dieu,dieu,NOM:obj:masc:sg,375,N,N,dieu,C/V\,
2360,366,3,!,!,PON,375,Pnc,Pnc,!,,
2361,366,4,vous,vous,PRO:pers:2:pl,375,Prn,Prn$,vous,C/V\,
2362,366,5,n,n,PRO:clit,375,Neg,Neg$$,ne,C/\,
2363,366,6,estes,estes,VER:pres:2:pl,375,Vfin,Vfin,être,'/V\.C/e\,
2364,366,7,pas,pas,NOM:obj:masc:pl,375,Neg,Neg,pas,C/V\,
2365,366,8,bien,bien,ADV,375,Adv,Adv,bien,C/V\,
2366,366,9,sages,sages,ADJ:suj:masc:sg,375,Adj,Adj,sage,'C/V\.C/e\,
2367,366,10,:,:,PON,375,Pnc,Pnc,:,,
2368,367,1,je,je,PRO:pers:suj:1:sg:unb,376,Prn,Prn$,je,C/(e)\,
2369,367,2,vous,vous,PRO:pers:2:pl,376,Prn,Prn$$,vous,C/V\,
2370,367,3,aim,aim,VER:pres:1:sg,376,Vfin,Vfin,aimer,/V\,
2371,367,4,tant,tant,ADV,376,QIs,QIs,tant,C/V\,
2372,367,5,et,et,CON:coord,376,Crd,Crd,et,/V\,
2373,367,6,tant,tant,ADV,376,QIs,QIs,tant,C/V\,
2374,367,7,vous,vous,PRO:pers:2:pl,376,Prn,Prn$$,vous,C/V\,
2375,367,8,pris,pris,VER:pres:1:sg,376,Vfin,Vfin,priser,C/V\,
2376,367,9,!,!,PON,376,Pnc,Pnc,!,,
2377,368,1,thomas,thomas,NPR:suj:masc:sg,377,N,N,Thomas,C/V\.'C/V\,speaker=Theophiles
2378,368,2,!,!,PON,377,Pnc,Pnc,!,,
2379,368,3,thomas,thomas,NPR:suj:masc:sg,377,N,N,Thomas,C/V\.'C/V\,
2380,368,4,!,!,PON,377,Pnc,Pnc,!,,
2381,368,5,ne,ne,PRO:clit,377,Neg,Neg$$,ne,C/(e)\,
2382,368,6,sui,sui,VER:pres:1:sg,377,Vfin,Vfin,être,C/V\,
2383,368,7,pas,pas,NOM:obj:masc:pl,377,Neg,Neg,pas,C/V\,
2384,368,8,pris,pris,VER:pper:masc:sg,377,Vpp,Vpp,prendre,C/V\,
2385,368,9,:,:,PON,377,Pnc,Pnc,:,,
2386,369,1,encor,encor,ADV,378,Adv,Adv,encore,/V\.'C/V\,
2387,369,2,porrai,porrai,VER:futu:1:sg,378,Vfin,Vfin,pouvoir2,C/V\.'C/V\,
2388,369,3,nuire,nuire,VER:infi,378,Vinf,Vinf,nuire,'C/V\.C/(e)\,
2389,369,4,et,et,CON:coord,378,Crd,Crd,et,/V\,
2390,369,5,aidier,aidier,VER:infi,378,Vinf,Vinf,aider,/V\.C/<V>\.'/V\,
2391,369,6,.,.,PON,378,Pnc,Pnc,.,,
2392,370,1,il,il,PRO:pers:suj:3:masc:sg:unb,379,Prn,Prn$,il,/V\,speaker=Thomas
2393,370,2,samble,samble,VER:pres:3:sg,379,Vfin,Vfin,sembler,'C/V\.C/(e)\,
2394,370,3,vous,vous,PRO:pers:2:pl,379,Prn,Prn$,vous,C/V\,
2395,370,4,volez,volez,VER:pres:2:pl,379,Vfin,Vfin,vouloir,C/V\.'C/V\,
2396,370,5,plaidier,plaidier,VER:infi,379,Vinf,Vinf,plaider,C/V\.'C/V\,
2397,370,6,;,;,PON,379,Pnc,Pnc,;,,
2398,371,1,theophile,theophile,NPR:suj:masc:sg,380,N,N,Théophile,C/(V)\./V\.'C/V\.C/(e)\,
2399,371,2,lessiez,lessiez,VER:impe:2:pl,380,Vfin,Vfin,laisser,C/V\.C/<V>\.'/V\,
2400,371,3,me,me,PRO:pers:obj:1:sg:unb,380,Prn,Prn%%,me,C/(e)\,
2401,371,4,en,en,PRO:clit,380,Pre,Pre,en,/V\,
2402,371,5,pais,pais,NOM:obj:femi:sg,380,N,N,paix,C/V\,
2403,371,6,.,.,PON,380,Pnc,Pnc,.,,
2404,372,1,thomas,thomas,NPR:suj:masc:sg,381,N,N,Thomas,C/V\.'C/V\,speaker=Theophiles
2405,372,2,!,!,PON,381,Pnc,Pnc,!,,
2406,372,3,thomas,thomas,NPR:suj:masc:sg,381,N,N,Thomas,C/V\.'C/V\,
2407,372,4,!,!,PON,381,Pnc,Pnc,!,,
2408,372,5,je,je,PRO:pers:suj:1:sg:unb,381,Prn,Prn,je,C/(e)\,
2409,372,6,que,que,PROCON,381,Qux,Qux,que,C/(e)\,
2410,372,7,vous,vous,PRO:pers:2:pl,381,Prn,Prn$$,vous,C/V\,
2411,372,8,fais,fais,VER:pres:1:sg,381,Vfin,Vfin,faire,C/V\,
2412,372,9,?,?,PON,381,Pnc,Pnc,?,,
2413,373,1,encor,encor,ADV,382,Adv,Adv,encore,/V\.'C/V\,
2414,373,2,vous,vous,PRO:pers:2:pl,382,Prn,Prn$$,vous,C/V\,
2415,373,3,plaindrez,plaindrez,VER:futu:2:pl,382,Vfin,Vfin,plaindre,C/V\.'C/V\,
2416,373,4,bien,bien,ADV,382,Adv,Adv,bien,C/V\,
2417,373,5,a,a,PRE,382,Pre,Pre,à,/V\,
2418,373,6,tens,tens,NOM:obj:masc:sg,382,N,N,temps,C/V\,
2419,374,1,si,si,PROCON,383,Adv,Adv,si4,C/V\,
2420,374,2,com,com,CON:subord,383,Sub,Sub,comme,C/V\,
2421,374,3,je,je,PRO:pers:suj:1:sg:unb,383,Prn,Prn$,je,C/(e)\,
2422,374,4,cuit,cuit,VER:pres:1:sg,383,Vfin,Vfin,cuider,C/V\,
2423,374,5,et,et,CON:coord,383,Crd,Crd,et,/V\,
2424,374,6,com,com,CON:subord,383,Sub,Sub,comme,C/V\,
2425,374,7,je,je,PRO:pers:suj:1:sg:unb,383,Prn,Prn$,je,C/(e)\,
2426,374,8,pens,pens,VER:pres:1:sg,383,Vfin,Vfin,penser,C/V\,
2427,374,9,.,.,PON,383,Pnc,Pnc,.,,
2428,375,1,qui,qui,PROCON,540,Qux,Qux,qui,C/V\,gap=non-octosyllabic text (l. 384-586) rubric=Ici parole Nostre Dame a Theophile et dist speaker=[Nostre Dame]
2429,375,2,es,es,VER:pres:2:sg,540,Vfin,Vfin,être,/V\,
2430,375,3,tu,tu,PRO:pers:suj:2:sg:unb,540,Prn,Prn,tu,C/V\,
2431,375,4,va,va,VER:impe:2:sg,540,Vfin,Vfin,aller,C/V\,
2432,375,5,qui,qui,PROCON,540,Qux,Qux,qui,C/V\,
2433,375,6,vas,vas,VER:pres:2:sg,540,Vfin,Vfin,aller,C/V\,
2434,375,7,par,par,PRE,540,Pre,Pre,par,C/V\,
2435,375,8,ci,ci,ADV,540,Adv,Adv,ci,C/V\,
2436,375,9,?,?,PON,540,Pnc,Pnc,?,,
2437,376,1,ha,ha,EXC,541,Exc,Exc,ha,/V\,speaker=[Theophiles]
2438,376,2,dame,dame,NOM:suj:femi:sg,541,N,N,dame,'C/V\.C/(e)\,
2439,376,3,!,!,PON,541,Pnc,Pnc,!,,
