wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
103,17,2,afaire,afaire,affaire,5535,N,N,/V\.'C/V\.C/(e)\,"GautArrEr, v. 5535"
104,17,3,en,en,en,5535,Pre,Pre,/V\,"GautArrEr, v. 5535"
105,17,4,son,son,son,5535,Det,Det,C/V\,"GautArrEr, v. 5535"
106,17,5,sarrasinois,sarrasinois,sarrasinois,5535,N,N,C/V\.C/V\.C/V\.'C/V\,"GautArrEr, v. 5535"
107,18,1,dist,dist,dire,5536,Vfin,Vfin,C/V\,"GautArrEr, v. 5536"
108,18,2,en,en,en,5536,Pre,Pre,/V\,"GautArrEr, v. 5536"
109,18,3,oiant,oiant,ouïr,5536,Vprs,Vprs,/V\.'C/V\,"GautArrEr, v. 5536"
110,18,4,:,:,:,5536,Pnc,Pnc,,"GautArrEr, v. 5536"
111,18,5,"""","""","""",5536,Pnc,Pnc,,"GautArrEr, v. 5536"
112,18,6,biau,biau,beau,5536,Adj,Adj,C/V\,"GautArrEr, v. 5536"
113,18,7,sire,sire,sire,5536,N,N,'C/V\.C/(e)\,"GautArrEr, v. 5536"
114,18,8,rois,rois,roi,5536,N,N,C/V\,"GautArrEr, v. 5536"
115,18,9,",",",",",",5536,Pnc,Pnc,,"GautArrEr, v. 5536"
116,19,1,eracles,eracles,Éracle,5537,N,N,/V\.'C/V\.C/e\,"GautArrEr, v. 5537"
117,19,2,li,li,le,5537,Det,Det,C/V\,"GautArrEr, v. 5537"
118,19,3,preus,preus,preux,5537,Adj,Adj,C/V\,"GautArrEr, v. 5537"
119,19,4,et,et,et,5537,Crd,Crd,/V\,"GautArrEr, v. 5537"
120,19,5,li,li,le,5537,Det,Det,C/V\,"GautArrEr, v. 5537"
121,19,6,sages,sages,sage,5537,Adj,Adj,'C/V\.C/e\,"GautArrEr, v. 5537"
122,20,1,nos,nos,nous,5538,Prn,Prn$$,C/V\,"GautArrEr, v. 5538"
123,20,2,tramist,tramist,tramettre,5538,Vfin,Vfin,C/V\.'C/V\,"GautArrEr, v. 5538"
124,20,3,ci,ci,ci,5538,Adv,Adv,C/V\,"GautArrEr, v. 5538"
125,20,4,en,en,en,5538,Pre,Pre,/V\,"GautArrEr, v. 5538"
126,20,5,cest,cest,cist,5538,Dem,Dem,C/V\,"GautArrEr, v. 5538"
127,20,6,message,message,message,5538,N,N,C/V\.'C/V\.C/(e)\,"GautArrEr, v. 5538"
128,20,7,",",",",",",5538,Pnc,Pnc,,"GautArrEr, v. 5538"
129,21,1,ne,ne,ne,5539,Crd,Crd,C/(e)\,"GautArrEr, v. 5539"
130,21,2,il,il,il,5539,Prn,Prn,/V\,"GautArrEr, v. 5539"
131,21,3,nul,nul,nul,5539,QIs,QIs,C/V\,"GautArrEr, v. 5539"
132,21,4,salu,salu,salut,5539,N,N,C/V\.'C/V\,"GautArrEr, v. 5539"
133,21,5,ne,ne,ne,5539,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5539"
134,21,6,te,te,te,5539,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5539"
