wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
96,15,5,que,que,615,Sub,Sub,que,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 15"
97,15,6,s',s',615,Det,Det,son4,7s,---,C/\,"BlondNesle, chanson 6, v. 15"
98,15,7,orgueille,orgueille,615,N,N,,7s,---,/V\.'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 15"
99,16,1,ne,ne,616,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 16"
100,16,2,quiert,quiert,616,Vfin,Vfin,quérir,7s,---,C/V\,"BlondNesle, chanson 6, v. 16"
101,16,3,pas,pas,616,Neg,Neg,pas,7s,---,C/V\,"BlondNesle, chanson 6, v. 16"
102,16,4,loial,loial,616,Adj,Adj,,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 16"
103,16,5,amant,amant,616,Vprs,Vprs,aimer,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 16"
104,16,6,",",",",616,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 16"
105,17,1,ainz,ainz,617,,Crd,ains,7s,---,/V\,"BlondNesle, chanson 6, v. 17"
106,17,2,chiét,chiét,617,Vfin,Vfin,choir,7s,---,C/V\,"BlondNesle, chanson 6, v. 17"
107,17,3,en,en,617,Pre,Pre,en,7s,---,/V\,"BlondNesle, chanson 6, v. 17"
108,17,4,desesperant,desesperant,617,Vprs,Vprs,désespérer,7s,---,C/V\.C/V\.C/e\.'C/V\,"BlondNesle, chanson 6, v. 17"
109,17,5,",",",",617,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 17"
110,18,1,autresint,autresint,618,Adv,Adv,autresi,7s,---,/V\.C/e\.'C/V\,"BlondNesle, chanson 6, v. 18"
111,18,2,com,com,618,Sub,Sub,comme,7s,---,C/V\,"BlondNesle, chanson 6, v. 18"
112,18,3,fait,fait,618,Vfin,Vfin,faire,7s,---,C/V\,"BlondNesle, chanson 6, v. 18"
113,18,4,la,la,618,Det,Det,le,7s,---,C/V\,"BlondNesle, chanson 6, v. 18"
114,18,5,fueille,fueille,618,N,N,,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 18"
115,18,6,",",",",618,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 18"
116,19,1,la,la,619,Adv,Adv,là,7s,---,C/V\,"BlondNesle, chanson 6, v. 19"
117,19,2,u,u,619,Qux,Qux,où,7s,---,/V\,"BlondNesle, chanson 6, v. 19"
118,19,3,vens,vens,619,N,N,,7s,---,C/V\,"BlondNesle, chanson 6, v. 19"
119,19,4,la,la,619,Prn,Prn$$,le,7s,---,C/V\,"BlondNesle, chanson 6, v. 19"
120,19,5,vait,vait,619,Vfin,Vfin,aller,7s,---,C/V\,"BlondNesle, chanson 6, v. 19"
121,19,6,menant,menant,619,Vprs,Vprs,mener,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 19"
122,19,7,;,;,619,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 19"
123,20,1,ce,ce,620,Prn,Prn$,ce,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 20"
124,20,2,me,me,620,Prn,Prn$$,me,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 20"
125,20,3,fet,fet,620,Vfin,Vfin,faire,7s,---,C/V\,"BlondNesle, chanson 6, v. 20"
126,20,4,estre,estre,620,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,"BlondNesle, chanson 6, v. 20"
127,20,5,pensant,pensant,620,Vprs,Vprs,penser,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 20"
128,20,6,.,.,620,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 20"
129,21,1,mes,mes,621,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 21"
130,21,2,voloirs,voloirs,621,Vinf,N,vouloir,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 21"
131,21,3,ne,ne,621,Crd,Crd,ne2,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 21"
132,21,4,ma,ma,621,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 21"
133,21,5,pensee,pensee,621,N,N,,7s,---,C/V\.'C/V\./(e)\,"BlondNesle, chanson 6, v. 21"
134,22,1,ne,ne,622,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 22"
135,22,2,me,me,622,Prn,Prn$$,me,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 22"
136,22,3,sert,sert,622,Vfin,Vfin,servir,7s,---,C/V\,"BlondNesle, chanson 6, v. 22"
137,22,4,d',d',622,Pre,Pre,de,7s,---,C/\,"BlondNesle, chanson 6, v. 22"
138,22,5,autrui,autrui,622,Adj,Adj,autrui,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 22"
139,22,6,a,a,622,Pre,Pre,à,7s,---,/V\,"BlondNesle, chanson 6, v. 22"
140,22,7,gré,gré,622,N,N,,7s,---,C/V\,"BlondNesle, chanson 6, v. 22"
141,22,8,",",",",622,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 22"
142,23,1,ne,ne,623,Crd,Crd,ne2,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 23"
143,23,2,nule,nule,623,QIs,QIs,nul,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 23"
144,23,3,tant,tant,623,QIs,QIs,tant,7s,---,C/V\,"BlondNesle, chanson 6, v. 23"
145,23,4,ne,ne,623,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 23"
146,23,5,m',m',623,Prn,Prn$$,me,7s,---,C/\,"BlondNesle, chanson 6, v. 23"
147,23,6,agree,agree,623,Vfin,Vfin,agréer,7s,---,/V\.'C/V\./(e)\,"BlondNesle, chanson 6, v. 23"
148,23,7,",",",",623,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 23"
149,24,1,s',s',624,Sub,Sub,si3,7s,---,C/\,"BlondNesle, chanson 6, v. 24"
150,24,2,amours,amours,624,N,N,,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 24"
151,24,3,m',m',624,Prn,Prn$$,me,7s,---,C/\,"BlondNesle, chanson 6, v. 24"
152,24,4,en,en,624,Prn,Prn$$,en2,7s,---,/V\,"BlondNesle, chanson 6, v. 24"
153,24,5,laist,laist,624,Vfin,Vfin,laisser,7s,---,C/V\,"BlondNesle, chanson 6, v. 24"
154,24,6,estre,estre,624,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,"BlondNesle, chanson 6, v. 24"
