wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
73,10,3,raous,raous,NPR:suj:masc:sg,305,N,N,Raoul,C/(V)\.'/V\,"RCambr, v. 305"
74,10,4,‘,‘,PON:cit,305,Pnc,Pnc,‘,,"RCambr, v. 305"
75,10,5,ge,ge,PRO:pers:suj:1:sg:unb,305,Prn,Prn$,je,C/(e)\,"RCambr, v. 305"
76,10,6,l,l',PRO:pers:acc:3:masc:pl,305,Prn,Prn$$,le,C/\,"RCambr, v. 305"
77,10,7,praing,praing,VER:pres:1:sg,305,Vfin,Vfin,prendre,C/V\,"RCambr, v. 305"
78,10,8,par,par,PRE,305,Pre,Pre,par,C/V\,"RCambr, v. 305"
79,10,9,tel,tel,ADJ:obj:masc:sg,305,Adj,Adj,tel,C/V\,"RCambr, v. 305"
80,10,10,destin,destin,NOM:obj:masc:sg,305,N,N,destin,C/V\.'C/V\,"RCambr, v. 305"
81,11,1,vostre,vostre,DET:poss:suj:masc:pl,306,Det,Det,votre,'C/V\.C/(e)\,"RCambr, v. 306"
82,11,2,anemi,anemi,NOM:suj:masc:pl,306,N,N,ennemi,/V\.C/e\.'C/V\,"RCambr, v. 306"
83,11,3,i,i,PRO:clit,306,Prn,Prn$$,y2,/V\,"RCambr, v. 306"
84,11,4,aront,aront,VER:futu:3:pl,306,Vfin,Vfin,avoir,/V\.'C/V\,"RCambr, v. 306"
85,11,5,mal,mal,ADJ:obj:masc:sg,306,Adj,Adj,mal2,C/V\,"RCambr, v. 306"
86,11,6,voisin,voisin,NOM:obj:masc:sg,306,N,N,voisin,C/V\.'C/V\,"RCambr, v. 306"
87,12,1,ne,ne,PRO:clit,307,Neg,Neg$$,ne,C/(e)\,"RCambr, v. 307"
88,12,2,lor,lor,PRO:pers:dat:3:pl,307,Prn,Prn$$,leur,C/V\,"RCambr, v. 307"
89,12,3,faut,faut,VER:pres:3:sg,307,Vfin,Vfin,faillir,C/V\,"RCambr, v. 307"
90,12,4,guere,guere,NOM:suj:femi:sg,307,N,N,guerre,'C/V\.C/(e)\,"RCambr, v. 307"
91,12,5,au,au,PREDET:a:obj:masc:sg,307,Pre+Det,Pre+Det,à.le,/V\,"RCambr, v. 307"
92,12,6,soir,soir,NOM:obj:masc:sg,307,N,N,soir,C/V\,"RCambr, v. 307"
93,12,7,ne,ne,PROCON,307,Crd,Crd,ne2,C/(e)\,"RCambr, v. 307"
94,12,8,au,au,PREDET:a:obj:masc:sg,307,Pre+Det,Pre+Det,à.le,/V\,"RCambr, v. 307"
95,12,9,matin,matin,NOM:obj:masc:sg,307,N,N,matin,C/V\.'C/V\,"RCambr, v. 307"
96,12,10,’,’,PON:cit,307,Pnc,Pnc,’,,"RCambr, v. 307"
97,13,1,en,en,PRE,308,Pre,Pre,en,/V\,"RCambr, v. 308"
98,13,2,icel,icel,DET:demo:obj:masc:sg,308,Dem,Dem,cil,/V\.'C/V\,"RCambr, v. 308"
99,13,3,elme,elme,NOM:obj:masc:sg,308,N,N,heaume,'/V\.C/(e)\,"RCambr, v. 308"
100,13,4,ot,ot,VER:simp:3:sg,308,Vfin,Vfin,avoir,/V\,"RCambr, v. 308"
101,13,5,un,un,DET:ndf:obj:masc:sg,308,QIs,QIs,un,/V\,"RCambr, v. 308"
102,13,6,nazel,nazel,NOM:obj:masc:sg,308,N,N,nasel,C/V\.'C/V\,"RCambr, v. 308"
103,13,7,d,d',PRE,308,Pre,Pre,de,C/\,"RCambr, v. 308"
104,13,8,or,or,NOM:obj:masc:sg,308,N,N,or,/V\,"RCambr, v. 308"
105,13,9,fin,fin,ADJ:obj:masc:sg,308,Adj,Adj,fin2,C/V\,"RCambr, v. 308"
106,14,1,un,un,DET:ndf:obj:femi:sg,309,QIs,QIs,un,/V\,"RCambr, v. 309"
107,14,2,escarboucle,escarboucle,NOM:obj:femi:sg,309,N,N,escarboucle,/V\.C/V\.'C/V\.C/(e)\,"RCambr, v. 309"
108,14,3,i,i,PRO:clit,309,Prn,Prn$$,y2,/V\,"RCambr, v. 309"
109,14,4,ot,ot,VER:simp:3:sg,309,Vfin,Vfin,avoir,/V\,"RCambr, v. 309"
110,14,5,mis,mis,VER:pper:masc:sg,309,Vpp,Vpp,mettre,C/V\,"RCambr, v. 309"
111,14,6,enterin,enterin,ADJ:obj:masc:sg,309,Adj,Adj,entérin,/V\.C/e\.'C/V\,"RCambr, v. 309"
112,15,1,par,par,PRE,310,Pre,Pre,par,C/V\,"RCambr, v. 310"
