wd_id,line_id,linewd,word,lex_id,pos_nca,syntag,syntag2,syllabified,lemma,ref,tei_right,tei_left
92,14,7,sui,sui,VER:pres:1:sg,Vfin,Vfin,C/V\,être,"Coincy, II Mir 22, v. 14",,
93,14,8,engrans,engrans,ADJ:suj:masc:sg,Adj,Adj,/V\.'C/V\,engrant,"Coincy, II Mir 22, v. 14",</l>,
94,15,1,que,que,PROCON,Sub,Sub,C/(e)\,que,"Coincy, II Mir 22, v. 15",,<l n=&quot;15&quot;>
95,15,2,la,la,DET:def:suj:femi:sg,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 15",,
96,15,3,contesse,contesse,NOM:suj:femi:sg,N,N,C/V\.'C/V\.C/(e)\,comtesse,"Coincy, II Mir 22, v. 15",,
97,15,4,ade,ade,NPR:suj:femi:sg,N,N,'/V\.C/(e)\,Ade,"Coincy, II Mir 22, v. 15",,
98,15,5,m',m',PRO:pers:obj:1:sg:unb,Prn,Prn$$,C/\,me,"Coincy, II Mir 22, v. 15",,
99,15,6,en,en,PRO:clit,Prn,Prn$$,/V\,en,"Coincy, II Mir 22, v. 15",,
100,15,7,prie,prie,VER:pres:3:sg,Vfin,Vfin,'C/V\./(e)\,prier,"Coincy, II Mir 22, v. 15",</l>,
101,16,1,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 16",,<l n=&quot;16&quot;>
102,16,2,soissonz,soissonz,NPR:obj:masc:sg,N,N,C/V\.'C/V\,Soissons,"Coincy, II Mir 22, v. 16",,
103,16,3,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 16",,
104,16,4,mout,mout,ADV,QIs,QIs,C/V\,moult,"Coincy, II Mir 22, v. 16",,
105,16,5,est,est,VER:pres:3:sg,Vfin,Vfin,/V\,être,"Coincy, II Mir 22, v. 16",,
106,16,6,m',m',DET:poss:suj:femi:sg,Det,Det,C/\,mon,"Coincy, II Mir 22, v. 16",,
107,16,7,amie,amie,NOM:suj:femi:sg,N,N,/V\.'C/V\./(e)\,ami,"Coincy, II Mir 22, v. 16",</l>,
108,17,1,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 17",,<pb n=&quot;191&quot;/><l n=&quot;17&quot;>
109,17,2,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 17",,
110,17,3,mout,mout,ADV,QIs,QIs,C/V\,moult,"Coincy, II Mir 22, v. 17",,
111,17,4,aimme,aimme,VER:pres:3:sg,Vfin,Vfin,'/V\.C/(e)\,aimer,"Coincy, II Mir 22, v. 17",,
112,17,5,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 17",,
113,17,6,cuer,cuer,NOM:obj:masc:sg,N,N,C/V\,coeur,"Coincy, II Mir 22, v. 17",,
114,17,7,fin,fin,ADJ:obj:masc:sg,Adj,Adj,C/V\,fin,"Coincy, II Mir 22, v. 17",</l>,
115,18,1,la,la,DET:def:obj:femi:sg,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 18",,<l n=&quot;18&quot;>
116,18,2,mere,mere,NOM:obj:femi:sg,N,N,'C/V\.C/(e)\,mère,"Coincy, II Mir 22, v. 18",,
117,18,3,dieu,dieu,NOM:obj:masc:sg,N,N,C/V\,dieu,"Coincy, II Mir 22, v. 18",,
118,18,4,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 18",,
119,18,5,bonne,bonne,ADJ:obj:femi:sg,Adj,Adj,'C/V\.C/(e)\,bon,"Coincy, II Mir 22, v. 18",,
120,18,6,fin,fin,NOM:obj:femi:sg,N,N,C/V\,fin,"Coincy, II Mir 22, v. 18",</l>,
121,19,1,li,li,PRO:pers:suj:3:masc:sg:bet,Prn,Prn$$,C/V\,li,"Coincy, II Mir 22, v. 19",,<l n=&quot;19&quot;>
122,19,2,daint,daint,VER:subp:3:sg,Vfin,Vfin,C/V\,daigner,"Coincy, II Mir 22, v. 19",,
123,19,3,doner,doner,VER:infi,Vinf,Vinf,C/V\.'C/V\,donner,"Coincy, II Mir 22, v. 19",,
124,19,4,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 19",,
125,19,5,bone,bone,ADJ:obj:femi:sg,Adj,Adj,'C/V\.C/(e)\,bon,"Coincy, II Mir 22, v. 19",,
126,19,6,vie,vie,NOM:obj:femi:sg,N,N,'C/V\./(e)\,vie,"Coincy, II Mir 22, v. 19",</l>,
127,20,1,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 20",,<l n=&quot;20&quot;>
128,20,2,mes,mes,DET:poss:suj:masc:sg,Det,Det,C/V\,mon,"Coincy, II Mir 22, v. 20",,
129,20,3,cuers,cuers,NOM:suj:masc:sg,N,N,C/V\,coeur,"Coincy, II Mir 22, v. 20",,
