wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2000,deus,deus,ADJ:card,617,QIs,QIs,deux,C/V\,NUM,deux,10
2001,cevaliers,cevaliers,NOM,617,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
2002,:,:,PON,617,Pnc,Pnc,,,PUNCT,:,9
2003,«,«,PON:cit,617,Pnc,Pnc,,,PUNCT,«,9
2004,Signeur,signeur,NOM,617,N,N,,C/V\.'C/V\,NOUN,seigneur,3
2005,cevalier,cevalier,NOM,617,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
2006,aventureus,aventureus,ADJ,618,Adj,Adj,,/V\.C/V\.C/V\.'C/V\,ADJ,aventureux,9
2007,",",",",PON,618,Pnc,Pnc,,,PUNCT,",",9
2008,or,or,ADV,618,Adv,Adv,or2,/V\,ADV,or,10
2009,poés,poés,VER,618,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
2010,le,le,DET:def,618,Det,Det,le,C/(e)\,DET,le,10
2011,pont,pont,NOM,618,N,N,,C/V\,NOUN,pont,8
2012,passer,passer,VER,618,Vinf,Vinf,passer,C/V\.'C/V\,VERB,passer,10
2013,a,a,PRE,618,Pre,Pre,à,/V\,ADP,à,10
2014,tele,tele,ADJ,618,Adj,Adj,tel,'C/V\.C/(e)\,ADJ,tel,10
2015,hounour,hounour,NOM,618,N,N,,/V\.'C/V\,NOUN,honneur,9
2016,com,com,CON:subord,618,Sub,Sub,comme,C/V\,SCONJ,comme,10
2017,vous,vous,PRO:pers,619,Prn,Prn$,vous,C/V\,PRON,vous,10
2018,veés,veés,VER,619,Vfin,Vfin,voir,C/(V)\.'/V\,VERB,voir,10
2019,:,:,PON,619,Pnc,Pnc,,,PUNCT,:,9
2020,honni,honni,VER,619,Vpp,Vpp,,C/V\.'C/V\,VERB,honnir,8
2021,et,et,CON:coord,619,Crd,Crd,et,/V\,CCONJ,et,10
2022,vergoignié,vergoignié,VER,619,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,vergogner,9
2023,le,le,PRO:pers,619,Prn,Prn$$,le,C/(e)\,PRON,le,10
2024,passerés,passerés,VER,619,Vfin,Vfin,passer,C/V\.C/e\.'C/V\,VERB,passer,10
2025,",",",",PON,619,Pnc,Pnc,,,PUNCT,",",9
2026,ce,ce,PRO:invar,619,Prn,Prn,ce,C/(e)\,PRON,ce,10
2027,poés,poés,VER,619,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
2028,vous,vous,PRO:pers,619,Prn,Prn%,vous,C/V\,PRON,vous,10
2029,veoir,veoir,VER,620,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10
2030,apertement,apertement,ADV,620,Adv,Adv,,/V\.C/V\.C/e\.'C/V\,ADV,apertement,3
2031,.,.,PON,620,Pnc,Pnc,,,PUNCT,.,9
2032,—,—,PON,620,Pnc,Pnc,,,PUNCT,—,9
2033,Sire,sire,NOM,620,N,N,,'C/V\.C/(e)\,NOUN,sire,3
2034,cevaliers,cevaliers,NOM,620,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
2035,",",",",PON,620,Pnc,Pnc,,,PUNCT,",",9
2036,fait,fait,VER,620,Vfin,Vfin,faire,C/V\,VERB,faire,10
2037,Brandelis,brandelis,VER,620,N,N,,C/V\.C/e\.'C/V\,PROPN,Brandelis,-10
2038,",",",",PON,620,Pnc,Pnc,,,PUNCT,",",9
2039,or,or,ADV,620,Adv,Adv,or2,/V\,ADV,or,10
2040,saciés,saciés,VER,621,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10
2041,tout,tout,PRO:ind,621,QIs,QIs,tout,C/V\,ADV,tout,10
2042,vraiement,vraiement,ADV,621,Adv,Adv,,C/V\.C/(V)\.'/V\,ADV,vraiment,9
2043,que,que,PROCON,621,Sub,Sub,que,C/(e)\,SCONJ,que,10
2044,ensi,ensi,ADV,621,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
2045,ne,ne,PRO:clit,621,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2046,m',m',PRO:pers,621,Prn,Prn$$,me,C/\,PRON,me,10
2047,escaperés,escaperés,VER,621,Vfin,Vfin,,/V\.C/V\.C/e\.'C/V\,VERB,échapper,9
2048,vous,vous,PRO:pers,621,Prn,Prn%,vous,C/V\,PRON,vous,10
2049,mie,mie,ADV,621,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
2050,com,com,CON:subord,622,Sub,Sub,comme,C/V\,SCONJ,comme,10
2051,vous,vous,PRO:pers,622,Prn,Prn$,vous,C/V\,PRON,vous,10
2052,quidiés,quidiés,VER,622,Vfin,Vfin,cuider,C/V\.'C/V\,VERB,cuider,10
2053,:,:,PON,622,Pnc,Pnc,,,PUNCT,:,9
2054,a,a,PRE,622,Pre,Pre,à,/V\,ADP,à,10
2055,combatre,combatre,VER,622,Vinf,Vinf,combattre,C/V\.'C/V\.C/(e)\,VERB,combattre,10
2056,vous,vous,PRO:pers,622,Prn,Prn$$,vous,C/V\,PRON,vous,10
2057,couvient,couvient,VER,622,Vfin,Vfin,convenir,C/V\.'C/V\,VERB,convenir,10
2058,a,a,PRE,622,Pre,Pre,à,/V\,ADP,à,10
2059,moi,moi,PRO:pers,622,Prn,Prn,moi,C/V\,PRON,moi,10
2060,avant,avant,PRE,622,PrA,PrA,avant,/V\.'C/V\,ADV,avant,10
2061,que,que,PROCON,623,Sub,Sub,que,C/(e)\,SCONJ,que,10
2062,je,je,PRO:pers,623,Prn,Prn,je,C/(e)\,PRON,je,10
2063,de,de,PRE,623,Pre,Pre,de,C/(e)\,ADP,de,10
2064,vous,vous,PRO:pers,623,Prn,Prn,vous,C/V\,PRON,vous,10
2065,departe,departe,VER,623,Vfin,Vfin,départir,C/V\.'C/V\.C/(e)\,VERB,départir,10
2066,!,!,PON,623,Pnc,Pnc,,,PUNCT,!,9
2067,—,—,PON,623,Pnc,Pnc,,,PUNCT,—,9
2068,Ce,ce,PRO:invar,623,Prn,Prn,ce,C/(e)\,PRON,ce,10
2069,ne,ne,PRO:clit,623,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2070,puet,puet,VER,623,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
2071,estre,estre,VER,623,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
2072,",",",",PON,623,Pnc,Pnc,,,PUNCT,",",9
2073,fait,fait,VER,623,Vfin,Vfin,faire,C/V\,VERB,faire,10
