wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
204,23,4,fu,fu,6_3,Vfin,Vfin,être,C/V\,VERB,être,10
205,23,5,nés,nés,6_3,Vpp,Vpp,naître,C/V\,VERB,naître,10
206,23,6,",",",",6_3,Pnc,Pnc,,,PUNCT,",",9
207,23,7,baptiziés,baptiziés,6_3,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,baptiser,9
208,23,8,fu,fu,6_3,Vfin,Vfin,être,C/V\,VERB,être,10
209,23,9,errant,errant,6_3,Vprs,Vprs,errer,/V\.'C/V\,VERB,errer,10
210,23,10,",",",",6_3,Pnc,Pnc,,,PUNCT,",",9
211,24,1,Puis,puis,6_4,PrA,PrA,puis,C/V\,ADV,puis,10
212,24,2,devint,devint,6_4,Vfin,Vfin,devenir,C/V\.'C/V\,VERB,devenir,10
213,24,3,mout,mout,6_4,QIs,QIs,moult,C/V\,ADV,moult,10
214,24,4,sains,sains,6_4,Adj,Adj,saint,C/V\,ADJ,saint,10
215,24,5,homs,homs,6_4,N,N,,/V\,NOUN,homme,8
216,24,6,si,si,6_4,Adv,Adv,si4,C/V\,ADV,si,10
217,24,7,comme,comme,6_4,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
218,24,8,orez,orez,6_4,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
219,24,9,avant,avant,6_4,PrA,PrA,avant,/V\.'C/V\,ADV,avant,10
220,24,10,.,.,6_4,Pnc,Pnc,,,PUNCT,.,9
221,25,1,Sus,sus,7_1,PrA,PrA,sus,C/V\,ADP,sus,10
222,25,2,fons,fons,7_1,N,N,,C/V\,NOUN,fond,3
223,25,3,firent,firent,7_1,Vfin,Vfin,faire,'C/V\.C/e\,VERB,faire,10
224,25,4,l',l',7_1,Det,Det,le,C/\,DET,le,10
225,25,5,enfant,enfant,7_1,N,N,,/V\.'C/V\,NOUN,enfant,3
226,25,6,Alexis,alexis,7_1,N,N,,/V\.C/V\.'C/V\,PROPN,Alexis,9
227,25,7,apeler,apeler,7_1,Vinf,Vinf,appeler,/V\.C/e\.'C/V\,VERB,appeler,10
228,25,8,;,;,7_1,Pnc,Pnc,,,PUNCT,;,9
229,26,1,Mout,mout,7_2,QIs,QIs,moult,C/V\,ADV,moult,10
230,26,2,richement,richement,7_2,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,richement,9
231,26,3,le,le,7_2,Prn,Prn$$,le,C/(e)\,PRON,le,10
232,26,4,firent,firent,7_2,Vfin,Vfin,faire,'C/V\.C/e\,VERB,faire,10
233,26,5,nourrir,nourrir,7_2,Vinf,Vinf,,C/V\.'C/V\,VERB,nourrir,9
234,26,6,et,et,7_2,Crd,Crd,et,/V\,CCONJ,et,10
235,26,7,alever,alever,7_2,Vinf,Vinf,alever,/V\.C/e\.'C/V\,VERB,alever,10
236,26,8,",",",",7_2,Pnc,Pnc,,,PUNCT,",",9
237,27,1,Et,et,7_3,Crd,Crd,et,/V\,CCONJ,et,10
238,27,2,quant,quant,7_3,Sub,Sub,quand,C/V\,SCONJ,quand,10
239,27,3,l',l',7_3,Det,Det,le,C/\,DET,le,10
240,27,4,enfez,enfëz,7_3,N,N,,'/V\.C/e\,NOUN,enfant,9
241,27,5,fu,fu,7_3,Vfin,Vfin,être,C/V\,VERB,être,10
242,27,6,tel,tel,7_3,Adj,Adj,tel,C/V\,ADJ,tel,10
243,27,7,qu',qu',7_3,Sub,Sub,que,C/\,SCONJ,que,10
244,27,8,il,il,7_3,Prn,Prn$,il,/V\,PRON,il,10
245,27,9,savoit,savoit,7_3,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10
246,27,10,bien,bien,7_3,Adv,Adv,bien,C/V\,ADV,bien,10
247,27,11,parler,parler,7_3,Vinf,Vinf,parler,C/V\.'C/V\,VERB,parler,10
248,27,12,",",",",7_3,Pnc,Pnc,,,PUNCT,",",9
249,28,1,Pour,pour,7_4,Pre,Pre,pour,C/V\,ADP,pour,10
250,28,2,apprendre,apprendre,7_4,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,VERB,apprendre,10
251,28,3,le,le,7_4,Prn,Prn$$,le,C/(e)\,PRON,le,10
252,28,4,firent,firent,7_4,Vfin,Vfin,faire,'C/V\.C/e\,VERB,faire,10
253,28,5,a,a,7_4,Pre,Pre,à,/V\,ADP,à,10
254,28,6,l',l',7_4,Det,Det,le,C/\,DET,le,10
255,28,7,escole,escole,7_4,N,N,,/V\.'C/V\.C/(e)\,NOUN,école,8
256,28,8,mener,mener,7_4,Vinf,Vinf,mener,C/V\.'C/V\,VERB,mener,10
257,28,9,.,.,7_4,Pnc,Pnc,,,PUNCT,.,9
258,29,1,L',l',8_1,Det,Det,le,C/\,DET,le,10
259,29,2,enfant,enfant,8_1,N,N,,/V\.'C/V\,NOUN,enfant,3
260,29,3,que,que,8_1,Qux,Qux,que,C/(e)\,PRON,que,10
261,29,4,Jhesu,jhesu,8_1,N,N,,C/V\.'C/V\,PROPN,Jésus,8
262,29,5,Crist,crist,8_1,N,N,,C/V\,PROPN,Christ,8
263,29,6,ama,ama,8_1,Vfin,Vfin,aimer,/V\.'C/V\,VERB,aimer,10
264,29,7,parfaitement,parfaitement,8_1,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,parfaitement,9
265,30,1,A,a,8_2,Pre,Pre,à,/V\,ADP,à,10
266,30,2,lire,lire,8_2,Vinf,Vinf,lire,'C/V\.C/(e)\,VERB,lire,10
267,30,3,et,et,8_2,Crd,Crd,et,/V\,CCONJ,et,10
268,30,4,a,a,8_2,Pre,Pre,à,/V\,ADP,à,10
269,30,5,chanter,chanter,8_2,Vinf,Vinf,chanter,C/V\.'C/V\,VERB,chanter,10
270,30,6,aprist,aprist,8_2,Vfin,Vfin,apprendre,/V\.'C/V\,VERB,apprendre,10
271,30,7,asez,asez,8_2,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10
272,30,8,brement,brement,8_2,N,N,,C/V\.'C/V\,PROPN|NOUN,brièvement,-1
273,30,9,",",",",8_2,Pnc,Pnc,,,PUNCT,",",9
274,31,1,Et,et,8_3,Crd,Crd,et,/V\,CCONJ,et,10
275,31,2,si,si,8_3,Adv,Adv,si4,C/V\,ADV,si,10
276,31,3,sceut,sceut,8_3,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
277,31,4,en,en,8_3,Pre,Pre,en,/V\,ADP,en,10
278,31,5,latin,latin,8_3,N,N,,C/V\.'C/V\,NOUN,latin,8
279,31,6,dire,dire,8_3,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10
280,31,7,tout,tout,8_3,QIs,QIs,tout,C/V\,DET,tout,10
281,31,8,son,son,8_3,Det,Det,son4,C/V\,DET,son,10
282,31,9,talent,talent,8_3,N,N,,C/V\.'C/V\,NOUN,talent,8
283,31,10,;,;,8_3,Pnc,Pnc,,,PUNCT,;,9
284,32,1,En,en,8_4,Pre,Pre,en,/V\,ADP,en,10
285,32,2,lois,lois,8_4,N,N,,C/V\,NOUN,loi,3
286,32,3,et,et,8_4,Crd,Crd,et,/V\,CCONJ,et,10
287,32,4,en,en,8_4,Pre,Pre,en,/V\,ADP,en,10
288,32,5,decrez,decrez,8_4,N,N,,C/V\.'C/V\,NOUN,décret,5
289,32,6,s',s',8_4,Prn,Prn$$,se,C/\,PRON,se,10
