wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
120,19,4,dos,dos,19,QIs,QIs,deux,C/V\,ADJ|ADV|DET|NUM|PRON,deux,10
121,19,5,enveied,enveied,19,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,VERB,envoyer,10
122,19,6,",",",",19,Pnc,Pnc,,,PUNCT,",",9
123,20,1,un,un,20,QIs,QIs,un,/V\,DET,un,10
124,20,2,asne,asne,20,N,N,,'/V\.C/(e)\,NOUN,âne,3
125,20,3,adducere,adducere,20,Vinf,Vinf,,/V\.'C/V\.C/(e)\,VERB,aduire,0
126,20,4,se,se,20,Prn,Prn$$,se,C/(e)\,PRON,se,10
127,20,5,roved,roved,20,Vfin,Vfin,rover,C/V\.'C/V\,VERB,rover,10
128,20,6,.,.,20,Pnc,Pnc,,,PUNCT,.,9
129,21,1,cum,cum,21,Sub,Sub,comme,C/V\,SCONJ,comme,10
130,21,2,cel,cel,21,Dem,Dem,cil,C/V\,DET,cil,10
131,21,3,asnëz,asnëz,21,N,N,,'/V\.C/e\,NOUN,âne,0
132,21,4,fu,fu,21,Vfin,Vfin,être,C/V\,VERB,être,10
133,21,5,amenaz,amenaz,21,Vpp,Vpp,amener,/V\.C/e\.'C/V\,VERB,amener,10
134,21,6,",",",",21,Pnc,Pnc,,,PUNCT,",",9
135,22,1,de,de,22,Pre,Pre,de,C/(e)\,ADP,de,10
136,22,2,lor,lor,22,Det,Det,leur2,C/V\,DET,leur,10
137,22,3,mantelz,mantelz,22,N,N,,C/V\.'C/V\,NOUN,manteau,9
138,22,4,ben,ben,22,Adv,Adv,bien,C/V\,ADV,bien,10
139,22,5,l',l',22,Prn,Prn$$,le,C/\,PRON,le,10
140,22,6,ant,ant,22,Vfin,Vfin,avoir,/V\,VERB,avoir,10
141,22,7,parad,parad,22,Vpp,Vpp,parer,C/V\.'C/V\,VERB,parer,10
142,22,8,:,:,22,Pnc,Pnc,,,PUNCT,:,9
143,23,1,de,de,23,Pre,Pre,de,C/(e)\,ADP,de,10
144,23,2,lor,lor,23,Det,Det,leur2,C/V\,DET,leur,10
145,23,3,mantelz,mantelz,23,N,N,,C/V\.'C/V\,NOUN,manteau,9
146,23,4,",",",",23,Pnc,Pnc,,,PUNCT,",",9
147,23,5,de,de,23,Pre,Pre,de,C/(e)\,ADP,de,10
148,23,6,lor,lor,23,Det,Det,leur2,C/V\,DET,leur,10
149,23,7,vestit,vestit,23,N,N,,C/V\.'C/V\,NOUN,vestit,8
150,24,1,ben,ben,24,Adv,Adv,bien,C/V\,ADV,bien,10
151,24,2,li,li,24,Prn,Prn$$,li,C/V\,PRON,li,10
152,24,3,aprestunt,aprestunt,24,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,apprêter,9
153,24,4,o,o,24,Qux,Qux,où,/V\,PRON,où,10
154,24,5,·ss',·ss',24,Prn,Prn$$,se,C/\,PRON,se,10
155,24,6,assis,assis,24,Vfin,Vfin,asseoir,/V\.'C/V\,VERB,asseoir,10
156,24,7,.,.,24,Pnc,Pnc,,,PUNCT,.,9
157,25,1,per,per,25,Pre,Pre,par,C/V\,ADP,par,10
158,25,2,suä,suä,25,Det,Det,son4,'C/V\./(e)\,DET,son,10
159,25,3,grand,grand,25,Adj,Adj,grand,C/V\,ADJ,grand,10
160,25,4,humilitad,humilitad,25,N,N,,/V\.C/V\.C/V\.'C/V\,NOUN,humilité,0
161,26,1,jesús,jesús,26,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
162,26,2,rex,rex,26,N,N,,C/V\,NOUN,roi,0
163,26,3,magnes,magnes,26,Adj,Adj,,'C/V\.C/e\,ADJ,magnet,2
164,26,4,sus,sus,26,PrA,PrA,sus,C/V\,ADV,sus,10
165,26,5,monted,monted,26,Vfin,Vfin,monter,C/V\.'C/V\,VERB,monter,10
166,26,6,",",",",26,Pnc,Pnc,,,PUNCT,",",9
167,27,1,si,si,27,Adv,Adv,si4,C/V\,ADV,si,10
168,27,2,cum,cum,27,Sub,Sub,comme,C/V\,SCONJ,comme,10
169,27,3,prophetes,prophetes,27,N,N,,C/V\.'C/V\.C/e\,NOUN,prophète,9
170,27,4,anz,anz,27,PrA,PrA,ains,/V\,ADV,ains,10
171,27,5,mulz,mulz,27,QIs,QIs,moult,C/V\,DET,moult,10
172,27,6,dis,dis,27,N,N,,C/V\,NOUN,di,3
173,28,1,canted,canted,28,Vpp,Vpp,chanter,C/V\.'C/V\,VERB,chanter,10
174,28,2,aveien,aveien,28,Vfin,Vfin,avoir,/V\.'C/V\./e\,VERB,avoir,10
175,28,3,de,de,28,Pre,Pre,de,C/(e)\,ADP,de,10
176,28,4,jesu,jesu,28,N,N,,C/V\.'C/V\,NOUN,Jésus,2
177,28,5,crist,crist,28,N,N,,C/V\,NOUN,christ,3
178,28,6,.,.,28,Pnc,Pnc,,,PUNCT,.,9
179,29,1,anz,anz,29,PrA,PrA,ains,/V\,ADV,ains,10
180,29,2,petiz,petiz,29,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
181,29,3,dis,dis,29,N,N,,C/V\,PROPN|NOUN,dit|di,-1
182,29,4,que,que,29,Sub,Sub,que,C/(e)\,SCONJ,que,10
183,29,5,cho,cho,29,Prn,Prn,ce,C/V\,PRON,ce,10
184,29,6,fus,fus,29,Vfin,Vfin,être,C/V\,VERB,être,10
185,29,7,fait,fait,29,Vpp,Vpp,faire,C/V\,VERB,faire,10
186,29,8,",",",",29,Pnc,Pnc,,,PUNCT,",",9
187,30,1,jesús,jesús,30,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
188,30,2,lo,lo,30,Det,Det,le,C/(e)\,DET,le,10
189,30,3,lazer,lazer,30,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
190,30,4,suscitat,suscitat,30,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,susciter,9
191,30,5,",",",",30,Pnc,Pnc,,,PUNCT,",",9
192,31,1,chi,chi,31,Qux,Qux,qui,C/V\,PRON,qui,10
193,31,2,quatre,quatre,31,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
194,31,3,dis,dis,31,N,N,,C/V\,NOUN,di,3
195,31,4,en,en,31,Pre,Pre,en,/V\,ADP,en,10
196,31,5,moniment,moniment,31,N,N,,C/V\.C/V\.'C/V\,NOUN,monument,0
197,32,1,jagud,jagud,32,Vpp,Vpp,gésir,C/V\.'C/V\,VERB,gésir,10
198,32,2,aveie,aveie,32,Vfin,Vfin,avoir,/V\.'C/V\./(e)\,VERB,avoir,10
199,32,3,toz,toz,32,QIs,QIs,tout,C/V\,ADV,tout,10
200,32,4,pudenz,pudenz,32,Vprs,Vprs,,C/V\.'C/V\,VERB,pudent,2
201,32,5,.,.,32,Pnc,Pnc,,,PUNCT,.,9
202,33,1,cum,cum,33,Sub,Sub,comme,C/V\,SCONJ,comme,10
203,33,2,co,co,33,Prn,Prn,ce,C/V\,PRON,ce,10
204,33,3,audid,audid,33,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
205,33,4,totä,totä,33,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
206,33,5,la,la,33,Det,Det,le,C/V\,DET,le,10
207,33,6,gent,gent,33,N,N,,C/V\,NOUN,gent,8
208,33,7,",",",",33,Pnc,Pnc,,,PUNCT,",",9
209,34,1,que,que,34,Sub,Sub,que,C/(e)\,SCONJ,que,10
210,34,2,jesús,jesús,34,N,N,,C/V\.'C/V\,NOUN,jesse,-10
211,34,3,ve,ve,34,Vfin,Vfin,aller,C/V\,VERB,aller,10
212,34,4,",",",",34,Pnc,Pnc,,,PUNCT,",",9
213,34,5,lo,lo,34,Det,Det,le,C/(e)\,DET,le,10
214,34,6,reis,reis,34,N,N,,C/V\,NOUN,roi,3
215,34,7,podenz,podenz,34,Vprs,Vprs,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
216,34,8,",",",",34,Pnc,Pnc,,,PUNCT,",",9
217,35,1,chi,chi,35,Qux,Qux,qui,C/V\,PRON,qui,10
218,35,2,eps,eps,35,Adj,Adj,eps,/V\,ADJ,eps,10
219,35,3,lo,lo,35,Det,Det,le,C/(e)\,DET,le,10
220,35,4,morz,morz,35,Vpp,Vpp,mourir,C/V\,VERB,mourir,10
221,35,5,fai,fai,35,Vfin,Vfin,faire,C/V\,VERB,faire,10
222,35,6,se,se,35,Prn,Prn%$,se,C/(e)\,PRON,se,10
223,35,7,revivere,revivere,35,Vinf,Vinf,revivre,C/V\.'C/V\.C/(e)\,VERB,revivre,10
224,35,8,",",",",35,Pnc,Pnc,,,PUNCT,",",9
225,36,1,a,a,36,Pre,Pre,à,/V\,ADP,à,10
226,36,2,grand,grand,36,Adj,Adj,grand,C/V\,ADJ,grand,10
227,36,3,honor,honor,36,N,N,,/V\.'C/V\,NOUN,honneur,8
228,36,4,enconträ,enconträ,36,PrA,PrA,encontre2,/V\.'C/V\.C/(e)\,ADV,encontre,10
229,36,5,xirent,xirent,36,Vfin,Vfin,issir,'C/V\.C/e\,VERB,issir,10
230,36,6,.,.,36,Pnc,Pnc,,,PUNCT,.,9
231,37,1,alquant,alquant,37,Prn,Prn,auquant,/V\.'C/V\,PRON,auquant,10
232,37,2,dels,dels,37,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
233,37,3,palmes,palmes,37,N,N,,'C/V\.C/e\,NOUN,paume,3
234,37,4,prendent,prendent,37,Vfin,Vfin,prendre,'C/V\.C/e\,VERB,prendre,10
235,37,5,rames,rames,37,N,N,,'C/V\.C/e\,NOUN,rame,8
236,37,6,",",",",37,Pnc,Pnc,,,PUNCT,",",9
237,38,1,dels,dels,38,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
238,38,2,olivers,olivers,38,N,N,,/V\.C/V\.'C/V\,NOUN,olivier,0
239,38,3,alquant,alquant,38,Prn,Prn,auquant,/V\.'C/V\,PRON,auquant,10
240,38,4,las,las,38,Det,Det,le,C/V\,DET,le,10
241,38,5,branches,branches,38,N,N,,'C/V\.C/e\,NOUN,branche,3
242,38,6,;,;,38,Pnc,Pnc,,,PUNCT,;,9
243,39,1,encontr',encontr',39,PrA,PrA,encontre2,/V\.'C/V\,ADP,encontre,10
244,39,2,al,al,39,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
245,39,3,rei,rei,39,N,N,,C/V\,NOUN,roi,8
246,39,4,qui,qui,39,Qux,Qux,qui,C/V\,PRON,qui,10
247,39,5,fez,fez,39,Vfin,Vfin,faire,C/V\,VERB,faire,10
248,39,6,lo,lo,39,Det,Det,le,C/(e)\,DET,le,10
249,39,7,cel,cel,39,N,N,,C/V\,NOUN,ciel,8
250,39,8,",",",",39,Pnc,Pnc,,,PUNCT,",",9
251,40,1,issid,issid,40,Vfin,Vfin,issir,/V\.'C/V\,VERB,issir,10
252,40,2,lo,lo,40,Det,Det,le,C/(e)\,DET,le,10
253,40,3,di,di,40,N,N,,C/V\,NOUN,di,8
254,40,4,le,le,40,Det,Det,le,C/(e)\,DET,le,10
255,40,5,poples,poples,40,N,N,,'C/V\.C/e\,NOUN,peuple,9
256,40,6,lez,lez,40,Adj,Adj,lié,C/V\,ADJ,lié,10
257,40,7,.,.,40,Pnc,Pnc,,,PUNCT,.,9
258,41,1,canten,canten,41,Vfin,Vfin,chanter,'C/V\.C/e\,VERB,chanter,10
259,41,2,li,li,41,Det,Det,le,C/V\,DET,le,10
260,41,3,gran,gran,41,Adj,Adj,grand,C/V\,ADJ,grand,10
261,41,4,e,e,41,Crd,Crd,et,/V\,CCONJ,et,10
262,41,5,li,li,41,Det,Det,le,C/V\,DET,le,10
263,41,6,petit,petit,41,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
264,41,7,:,:,41,Pnc,Pnc,,,PUNCT,:,9
265,42,1,"""","""",42,Pnc,Pnc,,,PUNCT,"""",9
266,42,2,fili,fili,42,N,N,,C/V\.'C/V\,NOUN,Fili,2
