wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
126,22,3,ai,ai,2622,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
127,22,4,mais,mais,2622,Adv,Adv,mais,7s,---,C/V\,ADV,mais,10
128,22,5,qui,qui,2622,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
129,22,6,pour,pour,2622,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
130,22,7,mi,mi,2622,Prn,Prn,moi,7s,---,C/V\,PRON,moi,10
131,22,8,fine,fine,2622,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\,VERB,finer,10
132,22,9,.,.,2622,Pnc,Pnc,,7s,---,,PUNCT,.,9
133,23,1,tout,tout,2623,QIs,QIs,tout,7s,---,C/V\,PRON,tout,10
134,23,2,ai,ai,2623,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
135,23,3,mis,mis,2623,Vpp,Vpp,mettre,7s,---,C/V\,VERB,mettre,10
136,23,4,en,en,2623,Pre,Pre,en,7s,---,/V\,ADP,en,10
137,23,5,abandon,abandon,2623,N,N,,7s,---,/V\.C/V\.'C/V\,NOUN,abandon,9
138,23,6,",",",",2623,Pnc,Pnc,,7s,---,,PUNCT,",",9
139,24,1,et,et,2624,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
140,24,2,s',s',2624,Adv,Adv,si4,7s,---,C/\,ADV,si,10
141,24,3,iestes,iestes,2624,Vfin,Vfin,être,7s,---,'/V\.C/e\,VERB,être,10
142,24,4,aillours,aillours,2624,Adv,Adv,ailleurs,7s,---,/V\.'C/V\,ADV,ailleurs,10
143,24,5,encline,encline,2624,Adj,Adj,,7s,---,/V\.'C/V\.C/(e)\,ADJ,enclin,8
144,24,6,",",",",2624,Pnc,Pnc,,7s,---,,PUNCT,",",9
145,25,1,car,car,2625,Crd,Crd,car,7s,---,C/V\,CCONJ,car,10
146,25,2,jou,jou,2625,Prn,Prn$,je,7s,---,C/V\,PRON,je,10
147,25,3,truis,truis,2625,Vfin,Vfin,trouver,7s,---,C/V\,VERB,trouver,10
148,25,4,samblant,samblant,2625,N,N,,7s,---,C/V\.'C/V\,PROPN|NOUN,semblant,8
149,25,5,felon,felon,2625,Adj,Adj,félon,7s,---,C/V\.'C/V\,ADJ,félon,10
150,26,1,et,et,2626,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
151,26,2,oevre,oevre,2626,N,N,,7s,---,'/V\.C/e\,NOUN,oeuvre,8
