wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
673,Escoce,escoce,328,N,N,,/V\.'C/V\.C/(e)\,PROPN,Écosse,8
674,et,et,328,Crd,Crd,et,/V\,CCONJ,et,10
675,li,li,328,Det,Det,le,C/V\,DET,le,10
676,autre,autre,328,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
677,eut,eut,328,Vfin,Vfin,avoir,/V\,VERB,avoir,10
678,le,le,328,Det,Det,le,C/(e)\,DET,le,10
679,duch,duch,328,N,N,,C/V\,NOUN,duc,8
680,de,de,328,Pre,Pre,de,C/(e)\,ADP,de,10
681,Guerle,guerle,329,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Guerle,9
682,:,:,329,Pnc,Pnc,,,PUNCT,:,9
683,si,si,329,Adv,Adv,si4,C/V\,ADV,si,10
684,en,en,329,Prn,Prn$$,en2,/V\,PRON,en,10
685,ot,ot,329,Vfin,Vfin,avoir,/V\,VERB,avoir,10
686,_deux_,deux,329,QIs,QIs,deux,C/V\,NUM,deux,10
687,fils,fils,329,N,N,,C/V\,NOUN,fils,3
688,—,—,329,Pnc,Pnc,,,PUNCT,—,8
689,et,et,329,Crd,Crd,et,/V\,CCONJ,et,10
690,deux,deux,329,QIs,QIs,deux,C/V\,NUM,deux,10
691,filles,filles,329,N,N,,'C/V\.C/e\,NOUN,fille,3
692,—,—,329,Pnc,Pnc,,,PUNCT,—,9
693,messire,messire,329,N,N,,C/V\.'C/V\.C/(e)\,NOUN,messire,5
694,Ernaut,ernaut,329,N,N,,/V\.'C/V\,PROPN,Arnaud,0
695,et,et,329,Crd,Crd,et,/V\,CCONJ,et,10
696,messire,messire,330,N,N,,C/V\.'C/V\.C/(e)\,NOUN,messire,5
697,Edouwart,edouwart,330,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
698,qui,qui,330,Qux,Qux,qui,C/V\,PRON,qui,10
699,tant,tant,330,QIs,QIs,tant,C/V\,ADV,tant,10
700,fu,fu,330,Vfin,Vfin,être,C/V\,VERB,être,10
701,bons,bons,330,Adj,Adj,bon,C/V\,ADJ,bon,10
702,chevaliers,chevaliers,330,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,8
703,.,.,330,Pnc,Pnc,,,PUNCT,.,9
704,De,de,330,Pre,Pre,de,C/(e)\,ADP,de,10
705,ses,ses,330,Det,Det,son4,C/V\,DET,son,10
706,filles,filles,330,N,N,,'C/V\.C/e\,NOUN,fille,3
707,",",",",330,Pnc,Pnc,,,PUNCT,",",9
708,l',l',330,Det,Det,le,C/\,DET,le,10
709,une,une,330,QIs,QIs,un,'/V\.C/(e)\,PRON,un,10
710,eut,eut,330,Vfin,Vfin,avoir,/V\,VERB,avoir,10
711,li,li,331,Det,Det,le,C/V\,DET,le,10
712,contes,contes,331,N,N,,'C/V\.C/e\,NOUN,conte,3
713,des,des,331,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
714,Mons,mons,331,N,N,,C/V\,PROPN,Mons,8
715,et,et,331,Crd,Crd,et,/V\,CCONJ,et,10
716,l',l',331,Det,Det,le,C/\,DET,le,10
717,aultre,aultre,331,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
718,eult,eult,331,Vfin,Vfin,avoir,/V\,VERB,avoir,10
719,depuis,depuis,331,PrA,PrA,depuis,C/V\.'C/V\,ADV,depuis,10
720,li,li,331,Det,Det,le,C/V\,DET,le,10
721,comtes,comtes,331,N,N,,'C/V\.C/e\,NOUN,comte,3
722,Jehans,jehans,331,N,N,,C/(V)\.'/V\,PROPN,Jean,9
723,de,de,331,Pre,Pre,de,C/(e)\,ADP,de,10
724,Blois,blois,331,N,N,,C/V\,PROPN,Blois,8
725,",",",",331,Pnc,Pnc,,,PUNCT,",",9
726,comme,comme,332,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
727,vous,vous,332,Prn,Prn$,vous,C/V\,PRON,vous,10
