wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2633,292,5,conoissent,conoissent,VER:pres:3:pl,292,Vfin,Vfin,connaître,C/V\.'C/V\.C/e\,VERB,connaître,10
2634,292,6,de,de,PRE,292,Pre,Pre,de,C/(e)\,ADP,de,10
2635,292,7,ce,ce,PRO:invar,292,Prn,Prn,ce,C/(e)\,PRON,ce,10
2636,292,8,m',m',PRO:pers:obj:1:sg:unb,292,Prn,Prn$$,me,C/\,PRON,me,10
2637,292,9,est,est,VER:pres:3:sg,292,Vfin,Vfin,être,/V\,VERB,être,10
2638,292,10,plus,plus,ADV,292,Adv,Adv,plus,C/V\,ADV,plus,10
2639,292,11,ameit,ameit,VER:pper:masc:sg,292,Vpp,Vpp,aimer,/V\.'C/V\,VERB,aimer,10
2640,292,12,"""","""",PON:cit,292,Pnc,Pnc,,,PUNCT,"""",9
2641,293,1,puis,puis,ADV,293,PrA,PrA,puis,C/V\,ADV,puis,10
2642,293,2,soi,soi,PRO:pers:obj:3:masc:sg:bet,293,Prn,Prn$$,soi,C/V\,PRON,soi,10
2643,293,3,retrast,retrast,VER:simp:3:sg,293,Vfin,Vfin,retraire,C/V\.'C/V\,VERB,retraire,10
2644,293,4,arriere,arriere,ADV,293,PrA,PrA,arrière,/V\.'C/V\.C/(e)\,ADV,arrière,10
2645,293,5,s,s,PROCON,293,Adv,Adv,si4,C/\,ADV,si,10
2646,293,6,ait,ait,VER:pres:3:sg,293,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2647,293,7,lo,lo,DET:def:obj:masc:sg,293,Det,Det,le,C/(e)\,DET,le,10
2648,293,8,chief,chief,NOM:obj:masc:sg,293,N,N,,C/V\,NOUN,chef,8
2649,293,9,enclineit,enclineit,VER:pper:masc:sg,293,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,encliner,0
2650,294,1,avoc,avoc,PRE,294,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10
2651,294,2,les,les,DET:def:obj:masc:pl,294,Det,Det,le,C/V\,DET,le,10
2652,294,3,altres,altres,ADJ:obj:masc:pl,294,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10
2653,294,4,povres,povres,ADJ:obj:masc:pl,294,Adj,Adj,pauvre,'C/V\.C/e\,ADJ,pauvre,10
2654,294,5,s,s,PROCON,294,Prn,Prn$$,se,C/\,PRON,se,10
2655,294,6,en,en,PRO:clit,294,Prn,Prn$$,en2,/V\,PRON,en,10
2656,294,7,vait,vait,VER:pres:3:sg,294,Vfin,Vfin,aller,C/V\,VERB,aller,10
2657,294,8,par,par,PRE,294,Pre,Pre,par,C/V\,ADP,par,10
2658,294,9,la,la,DET:def:obj:femi:sg,294,Det,Det,le,C/V\,DET,le,10
2659,294,10,citeit,citeit,NOM:obj:femi:sg,294,N,N,,C/V\.'C/V\,NOUN,cité,9
2660,295,1,az,az,PREDET:a:obj:femi:pl,295,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
2661,295,2,almones,almones,NOM:obj:femi:pl,295,N,N,,/V\.'C/V\.C/e\,NOUN,aumône,8
2662,295,3,proier,proier,VER:infi,295,Vinf,Vinf,prier,C/V\.'C/V\,VERB,prier,10
2663,295,4,de,de,PRE,295,Pre,Pre,de,C/(e)\,ADP,de,10
2664,295,5,la,la,DET:def:obj:femi:sg,295,Det,Det,le,C/V\,DET,le,10
2665,295,6,deu,deu,NOM:obj:masc:sg,295,N,N,,C/V\,PROPN,Dieu,3
2666,295,7,cariteit,cariteit,NOM:obj:femi:sg,295,N,N,,C/V\.C/V\.'C/V\,NOUN,charité,0
2667,296,1,li,li,DET:def:suj:masc:pl,296,Det,Det,le,C/V\,DET,le,10
2668,296,2,serjant,serjant,NOM:suj:masc:pl,296,N,N,,C/V\.'C/V\,NOUN,sergent,9
2669,296,3,s,s,PROCON,296,Prn,Prn$$,se,C/\,PRON,se,10
2670,296,4,en,en,PRO:clit,296,Prn,Prn$$,en2,/V\,PRON,en,10
2671,296,5,returnent,returnent,VER:pres:3:pl,296,Vfin,Vfin,retourner,C/V\.'C/V\.C/e\,VERB,retourner,10
2672,296,6,cant,cant,ADV,296,Sub,Sub,quand,C/V\,SCONJ,quand,10
2673,296,7,ne,ne,PRO:clit,296,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2674,296,8,l,l,PRO:pers:obj:3:masc:sg:unb,296,Prn,Prn$$,le,C/\,PRON,le,10
2675,296,9,ont,ont,VER:pres:3:pl,296,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2676,296,10,ravisét,ravisét,VER:pper:masc:sg,296,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,raviser,0
2677,297,1,tant,tant,ADV,297,QIs,QIs,tant,C/V\,ADV,tant,10
2678,297,2,l,l,PRO:pers:obj:3:masc:sg:unb,297,Prn,Prn$$,le,C/\,PRON,le,10
2679,297,3,ont,ont,VER:pres:3:pl,297,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2680,297,4,par,par,PRE,297,Pre,Pre,par,C/V\,ADP,par,10
2681,297,5,tote,tote,DET:ind:obj:femi:sg,297,QIs,QIs,tout,'C/V\.C/(e)\,PRON,tout,10
2682,297,6,et,et,CON:coord,297,Crd,Crd,et,/V\,CCONJ,et,10
2683,297,7,quis,quis,VER:pper:masc:sg,297,Vpp,Vpp,quérir,C/V\,VERB,quérir,10
2684,297,8,et,et,CON:coord,297,Crd,Crd,et,/V\,CCONJ,et,10
2685,297,9,demandeit,demandeit,VER:pper:masc:sg,297,Vpp,Vpp,demander,C/V\.C/V\.'C/V\,VERB,demander,10
2686,298,1,ke,ke,PROCON,298,Sub,Sub,que,C/(e)\,SCONJ,que,10
2687,298,2,lor,lor,DET:poss:suj:masc:pl,298,Det,Det,leur2,C/V\,DET,leur,10
2688,298,3,drap,drap,NOM:suj:masc:pl,298,N,N,,C/V\,NOUN,drap,8
2689,298,4,nuef,nuef,ADJ:suj:masc:pl,298,Adj,Adj,,C/V\,ADJ,neuf,4
2690,298,5,et,et,CON:coord,298,Crd,Crd,et,/V\,CCONJ,et,10
2691,298,6,fort,fort,ADJ:suj:masc:pl,298,Adj,Adj,fort,C/V\,ADJ,fort,10
2692,298,7,sunt,sunt,VER:pres:3:pl,298,Vfin,Vfin,être,C/V\,VERB,être,10
2693,298,8,viez,viez,ADJ:suj:masc:pl,298,Adj,Adj,vieux,C/V\,ADJ,vieux,10
2694,298,9,et,et,CON:coord,298,Crd,Crd,et,/V\,CCONJ,et,10
2695,298,10,depaneit,depaneit,VER:pper:masc:sg,298,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,despaner,0
2696,299,1,arriere,arriere,ADV,299,PrA,PrA,arrière,/V\.'C/V\.C/(e)\,ADV,arrière,10
2697,299,2,s,s,PROCON,299,Prn,Prn$$,se,C/\,PRON,se,10
2698,299,3,en,en,PRO:clit,299,Prn,Prn$$,en2,/V\,PRON,en,10
2699,299,4,repairent,repairent,VER:pres:3:pl,299,Vfin,Vfin,répairer,C/V\.'C/V\.C/e\,VERB,répairer,10
2700,299,5,dolant,dolant,ADJ:suj:masc:pl,299,Adj,Adj,dolent,C/V\.'C/V\,ADJ,dolent,10
2701,299,6,et,et,CON:coord,299,Crd,Crd,et,/V\,CCONJ,et,10
2702,299,7,abomeit,abomeit,VER:pper:masc:sg,299,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,abommer,-10
2703,300,1,et,et,CON:coord,300,Crd,Crd,et,/V\,CCONJ,et,10
2704,300,2,dolant,dolant,ADJ:suj:masc:pl,300,Adj,Adj,dolent,C/V\.'C/V\,ADJ,dolent,10
2705,300,3,et,et,CON:coord,300,Crd,Crd,et,/V\,CCONJ,et,10
2706,300,4,irous,irous,ADJ:suj:masc:pl,300,Adj,Adj,,/V\.'C/V\,ADJ,ireux,0
2707,300,5,cant,cant,ADV,300,Sub,Sub,quand,C/V\,SCONJ,quand,10
2708,300,6,il,il,PRO:pers:suj:3:masc:pl,300,Prn,Prn$,il,/V\,PRON,il,10
2709,300,7,ne,ne,PRO:clit,300,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2710,300,8,l,l,PRO:pers:obj:3:masc:sg:unb,300,Prn,Prn$$,le,C/\,PRON,le,10
2711,300,9,ont,ont,VER:pres:3:pl,300,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2712,300,10,troveit,troveit,VER:pper:masc:sg,300,Vpp,Vpp,trouver,C/V\.'C/V\,VERB,trouver,10
2713,301,1,trestot,trestot,PRO:ind:obj:masc:sg,301,QIs,QIs,trèstout,C/V\.'C/V\,ADV,trèstout,10
2714,301,2,par,par,PRE,301,Pre,Pre,par,C/V\,ADP,par,10
2715,301,3,altres,altres,ADJ:obj:femi:pl,301,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10
2716,301,4,voies,voies,NOM:obj:femi:pl,301,N,N,,'C/V\./e\,NOUN,voie,8
2717,301,5,qu,qu,PROCON,301,Sub,Sub,que,C/\,SCONJ,que,10
2718,301,6,il,il,PRO:pers:suj:3:masc:pl,301,Prn,Prn$,il,/V\,PRON,il,10
