wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
219,38,5,cens,cens,ADJ:card,38,QIs,QIs,cent,C/V\,NUM,cent,10
220,38,6,mars,mars,NOM:obj:masc:pl,38,N,N,,C/V\,NOUN,marc,3
221,39,1,"""","""",PON:cit,39,Pnc,Pnc,,,PUNCT,"""",9
222,39,2,rois,rois,NOM:suj:masc:sg,39,N,N,,C/V\,NOUN,roi,3
223,39,3,tu,tu,PRO:pers:suj:2:sg:unb,39,Prn,Prn$,tu,C/V\,PRON,tu,10
224,39,4,vaus,vaus,VER:pres:2:sg,39,Vfin,Vfin,valoir,C/V\,VERB,valoir,10
225,39,5,miex,miex,ADV,39,Adv,Adv,mieux,C/V\,ADV,mieux,10
226,39,6,c',c',PROCON,39,Sub,Sub,que,C/\,SCONJ,que,10
227,39,7,arcedeclins,arcedeclins,NOM:suj:masc:sg,39,N,N,,/V\.C/e\.C/V\.'C/V\,NOUN,archideclin,-10
228,40,1,car,car,CON:coord,40,Crd,Crd,car,C/V\,CCONJ,car,10
229,40,2,tous,tous,DET:ind:suj:masc:sg,40,QIs,QIs,tout,C/V\,DET,tout,10
230,40,3,cis,cis,DET:demo:suj:masc:sg,40,Dem,Dem,cist,C/V\,DET,cist,10
231,40,4,mons,mons,NOM:suj:masc:sg,40,N,N,,C/V\,NOUN,mont,3
232,40,5,vous,vous,PRO:pers:2:pl,40,Prn,Prn$$,vous,C/V\,PRON,vous,10
233,40,6,est,est,VER:pres:3:sg,40,Vfin,Vfin,être,/V\,VERB,être,10
234,40,7,aclins,aclins,ADJ:suj:masc:sg,40,Adj,Adj,,/V\.'C/V\,ADJ,acliner,0
235,41,1,plus,plus,ADV,41,Adv,Adv,plus,C/V\,ADV,plus,10
236,41,2,avés,avés,VER:pres:2:pl,41,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
237,41,3,fait,fait,VER:pper:masc:sg,41,Vpp,Vpp,faire,C/V\,VERB,faire,10
238,41,4,k,k,PROCON,41,Sub,Sub,que,C/\,SCONJ,que,10
239,41,5,ainc,ainc,ADV,41,Adv,Adv,onques,/V\,ADV,onques,10
240,41,6,ne,ne,PRO:clit,41,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
241,41,7,fist,fist,VER:simp:3:sg,41,Vfin,Vfin,faire,C/V\,VERB,faire,10
242,41,8,nus,nus,PRO:ind:suj:masc:sg,41,QIs,QIs,nul,C/V\,PRON,nul,10
243,42,1,mais,mais,CON:coord,42,Crd,Crd,mais,C/V\,CCONJ,mais,10
244,42,2,jo,jo,PRO:pers:suj:1:sg:unb,42,Prn,Prn$,je,C/V\,PRON,je,10
245,42,3,gis,gis,VER:pres:1:sg,42,Vfin,Vfin,gésir,C/V\,VERB,gésir,10
246,42,4,quant,quant,ADV,42,Sub,Sub,quand,C/V\,SCONJ,quand,10
247,42,5,je,je,PRO:pers:suj:1:sg:unb,42,Prn,Prn$,je,C/(e)\,PRON,je,10
248,42,6,vuel,vuel,VER:pres:1:sg,42,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
249,42,7,tous,tous,PRO:ind:suj:masc:sg,42,QIs,QIs,tout,C/V\,PRON,tout,10
250,42,8,nus,nus,ADJ:suj:masc:sg,42,Adj,Adj,nu,C/V\,ADJ,nu,10
251,43,1,avec,avec,PRE,43,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10
252,43,2,la,la,DET:def:obj:femi:sg,43,Det,Det,le,C/V\,DET,le,10
253,43,3,plus,plus,ADV,43,Adv,Adv,plus,C/V\,ADV,plus,10
254,43,4,bele,bele,ADJ:obj:femi:sg,43,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10
255,43,5,del,del,PREDET:de:obj:masc:sg,43,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
256,43,6,mont,mont,NOM:obj:masc:sg,43,N,N,,C/V\,NOUN,monde,3
257,44,1,adés,adés,ADV,44,Adv,Adv,adès,/V\.'C/V\,ADV,adès,10
258,44,2,me,me,PRO:pers:obj:1:sg:unb,44,Prn,Prn$$,me,C/(e)\,PRON,me,10
259,44,3,prie,prie,VER:pres:3:sg,44,Vfin,Vfin,prier,'C/V\./(e)\,VERB,prier,10
260,44,4,ele,ele,PRO:pers:suj:3:femi:sg,44,Prn,Prn%,elle,'/V\.C/(e)\,PRON,elle,10
261,44,5,et,et,CON:coord,44,Crd,Crd,et,/V\,CCONJ,et,10
262,44,6,semont,semont,VER:pres:3:sg,44,Vfin,Vfin,,C/V\.'C/V\,VERB,semondre,9
263,45,1,et,et,CON:coord,45,Crd,Crd,et,/V\,CCONJ,et,10
264,45,2,tart,tart,ADV,45,Adv,Adv,tard,C/V\,ADV,tard,10
265,45,3,et,et,CON:coord,45,Crd,Crd,et,/V\,CCONJ,et,10
266,45,4,tempre,tempre,ADV,45,Adv,Adv,tempre,'C/V\.C/(e)\,ADV,tempre,10
267,45,5,et,et,CON:coord,45,Crd,Crd,et,/V\,CCONJ,et,10
268,45,6,main,main,NOM:obj:masc:sg,45,N,N,,C/V\,NOUN,main,8
269,45,7,et,et,CON:coord,45,Crd,Crd,et,/V\,CCONJ,et,10
