wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
54,9,1,pur,pur,9,Pre,Pre,pour,C/V\,ADP,pour,10
55,9,2,ço,ço,9,Prn,Prn,ce,C/V\,PRON,ce,10
56,9,3,nus,nus,9,Prn,Prn$$,nous,C/V\,PRON,nous,10
57,9,4,cuvent,cuvent,9,Vfin,Vfin,convenir,C/V\.'C/V\,VERB,convenir,10
58,9,5,laborer,laborer,9,Vinf,Vinf,labourer,C/V\.C/V\.'C/V\,VERB,labourer,10
59,10,1,e,e,10,Crd,Crd,et,/V\,CCONJ,et,10
60,10,2,nuit,nuit,10,N,N,,C/V\,NOUN,nuit,8
61,10,3,e,e,10,Crd,Crd,et,/V\,CCONJ,et,10
62,10,4,jur,jur,10,N,N,,C/V\,NOUN,jour,8
63,10,5,nos,nos,10,Det,Det,notre,C/V\,DET,notre,10
64,10,6,cors,cors,10,N,N,,C/V\,NOUN,corps,3
65,10,7,pener,pener,10,Vinf,Vinf,pener,C/V\.'C/V\,VERB,pener,10
66,11,1,en,en,11,Pre,Pre,en,/V\,ADP,en,10
67,11,2,sun,sun,11,Det,Det,son4,C/V\,DET,son,10
68,11,3,servise,servise,11,N,N,,C/V\.'C/V\.C/(e)\,NOUN,service,8
69,11,4,ki,ki,11,Qux,Qux,qui,C/V\,PRON,qui,10
70,11,5,nus,nus,11,Prn,Prn$$,nous,C/V\,PRON,nous,10
71,11,6,ad,ad,11,Vfin,Vfin,avoir,/V\,VERB,avoir,10
72,11,7,cher,cher,11,Adj,Adj,cher,C/V\,ADJ,cher,10
73,11,8,.,.,11,Pnc,Pnc,,,PUNCT,.,9
74,12,1,vint,vint,12,Vfin,Vfin,venir,C/V\,VERB,venir,10
75,12,2,par,par,12,Pre,Pre,par,C/V\,ADP,par,10
76,12,3,son,son,12,Det,Det,son4,C/V\,DET,son,10
77,12,4,seint,seint,12,Adj,Adj,saint,C/V\,ADJ,saint,10
78,12,5,cors,cors,12,N,N,,C/V\,NOUN,corps,3
79,12,6,rachater,rachater,12,Vinf,Vinf,racheter,C/V\.C/V\.'C/V\,VERB,racheter,10
80,13,1,de,de,13,Pre,Pre,de,C/(e)\,ADP,de,10
81,13,2,l',l',13,Det,Det,le,C/\,DET,le,10
82,13,3,enfernal,enfernal,13,Adj,Adj,,/V\.C/V\.'C/V\,ADJ,infernal,6
83,13,4,dampnaciun,dampnaciun,13,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,damnation,0
84,14,1,e,e,14,Crd,Crd,et,/V\,CCONJ,et,10
85,14,2,de,de,14,Pre,Pre,de,C/(e)\,ADP,de,10
86,14,3,la,la,14,Det,Det,le,C/V\,DET,le,10
87,14,4,grant,grant,14,Adj,Adj,grand,C/V\,ADJ,grand,10
88,14,5,chaitiveisun,chaitiveisun,14,N,N,,C/V\.C/V\.C/V\.'C/V\,NOUN,chétivaison,9
89,15,1,u,u,15,Qux,Qux,où,/V\,PRON,où,10
90,15,2,nus,nus,15,Prn,Prn$$,nous,C/V\,PRON,nous,10
91,15,3,out,out,15,Vfin,Vfin,avoir,/V\,VERB,avoir,10
92,15,4,trait,trait,15,Vpp,Vpp,traire,C/V\,VERB,traire,10
93,15,5,li,li,15,Det,Det,le,C/V\,DET,le,10
94,15,6,mal,mal,15,Adj,Adj,mal2,C/V\,ADJ,mal,10
95,15,7,felun,felun,15,Adj,Adj,félon,C/V\.'C/V\,ADJ,félon,10
96,16,1,par,par,16,Pre,Pre,par,C/V\,ADP,par,10
97,16,2,sa,sa,16,Det,Det,son4,C/V\,DET,son,10
98,16,3,male,male,16,Adj,Adj,mal2,'C/V\.C/(e)\,ADJ,mal,10
99,16,4,sediciun,sediciun,16,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,sédition,0
100,16,5,.,.,16,Pnc,Pnc,,,PUNCT,.,9
101,17,1,pur,pur,17,Pre,Pre,pour,C/V\,ADP,pour,10
102,17,2,nos,nos,17,Det,Det,notre,C/V\,DET,notre,10
103,17,3,forfaiz,forfaiz,17,N,N,,C/V\.'C/V\,NOUN,forfait,8
104,17,4,suffrit,suffrit,17,Vfin,Vfin,souffrir,C/V\.'C/V\,VERB,souffrir,10
105,17,5,il,il,17,Prn,Prn%,il,/V\,PRON,il,10
106,17,6,mort,mort,17,N,N,,C/V\,NOUN,mort,3
