wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2897,382,2,neporcant,neporcant,ADV,677,Adv,Adv,nonpourquant,C/V\.C/V\.'C/V\,ADV,nonpourquant,10
2898,382,3,bien,bien,ADV,677,Adv,Adv,bien,C/V\,ADV,bien,10
2899,382,4,le,le,PRO:pers:obj:3:masc:sg:unb,677,Prn,Prn$$,le,C/(e)\,PRON,le,10
2900,382,5,te,te,PRO:pers:obj:2:sg:unb,677,Prn,Prn$$,te,C/(e)\,PRON,te,10
2901,382,6,vuel,vuel,VER:pres:1:sg,677,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
2902,382,7,moustrer,moustrer,VER:infi,677,Vinf,Vinf,montrer,C/V\.'C/V\,VERB,montrer,10
2903,383,1,n,n,PRO:clit,678,Neg,Neg$$,ne,C/\,ADV,ne,10
2904,383,2,ai,ai,VER:pres:1:sg,678,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2905,383,3,nul,nul,DET:ind:obj:masc:sg,678,QIs,QIs,nul,C/V\,DET,nul,10
2906,383,4,talent,talent,NOM:obj:masc:sg,678,N,N,,C/V\.'C/V\,NOUN,talent,8
2907,383,5,de,de,PRE,678,Pre,Pre,de,C/(e)\,ADP,de,10
2908,383,6,ciax,ciax,PRO:demo:obj:masc:pl,678,Dem,Dem,cil,C/V\,PRON,cil,10
2909,383,7,deseriter,deseriter,VER:infi,678,Vinf,Vinf,,C/V\.C/V\.C/V\.'C/V\,VERB,déshériter,9
2910,384,1,por,por,PRE,679,Pre,Pre,pour,C/V\,ADP,pour,10
2911,384,2,un,un,DET:ndf:obj:masc:sg,679,QIs,QIs,un,/V\,DET,un,10
2912,384,3,seul,seul,ADJ:obj:masc:sg,679,Adj,Adj,seul,C/V\,ADJ,seul,10
2913,384,4,home,home,NOM:obj:masc:sg,679,N,N,,'/V\.C/(e)\,NOUN,homme,8
2914,384,5,n,n,PRO:clit,679,Neg,Neg$$,ne,C/\,ADV,ne,10
2915,384,6,en,en,PRO:clit,679,Prn,Prn$$,en2,/V\,PRON,en,10
2916,384,7,vuel,vuel,VER:pres:1:sg,679,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
2917,384,8,quatre,quatre,ADJ:card,679,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
2918,384,9,grever,grever,VER:infi,679,Vinf,Vinf,grever,C/V\.'C/V\,VERB,grever,10
2919,384,10,’,’,PON:cit,679,Pnc,Pnc,,,PUNCT,’,9
2920,385,1,raous,raous,NPR:suj:masc:sg,680,N,N,,C/(V)\.'/V\,NOUN,Raoul,2
2921,385,2,l,l',PRO:pers:obj:3:masc:sg:unb,680,Prn,Prn$$,le,C/\,PRON,le,10
2922,385,3,entent,entent,VER:pres:3:sg,680,Vfin,Vfin,entendre,/V\.'C/V\,VERB,entendre,10
2923,385,4,les,les,DET:def:obj:masc:pl,680,Det,Det,le,C/V\,DET,le,10
2924,385,5,cens,cens,NOM:obj:masc:pl,680,N,N,,C/V\,PROPN|NOUN,cens|sens|cent,-1
2925,385,6,qide,qide,VER:pres:3:sg,680,Vfin,Vfin,cuider,'C/V\.C/(e)\,VERB,cuider,10
2926,385,7,derver,derver,VER:infi,680,Vinf,Vinf,,C/V\.'C/V\,VERB,desver,9
2927,386,1,escharnis,escharnis,VER:pper:masc:pl,681,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,escharnir,9
2928,386,2,est,est,VER:pres:3:sg,681,Vfin,Vfin,être,/V\,VERB,être,10
2929,386,3,ne,ne,PRO:clit,681,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2930,386,4,seit,seit,VER:pres:3:sg,681,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
2931,386,5,mais,mais,CON:coord,681,Adv,Adv,mais,C/V\,ADV,mais,10
2932,386,6,qe,qe,PROCON,681,Qux,Qux,que,C/(e)\,PRON,que,10
2933,386,7,penser,penser,VER:infi,681,Vinf,Vinf,penser,C/V\.'C/V\,VERB,penser,10
2934,387,1,par,par,PRE,682,Pre,Pre,par,C/V\,ADP,par,10
2935,387,2,maltalent,maltalent,NOM:obj:masc:sg,682,N,N,,C/V\.C/V\.'C/V\,NOUN,maltalent,9
2936,387,3,s,s,PROCON,682,Prn,Prn$$,se,C/\,PRON,se,10
2937,387,4,en,en,PRO:clit,682,Prn,Prn$$,en2,/V\,PRON,en,10
2938,387,5,commence,commence,VER:pres:3:sg,682,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\,VERB,commencer,10
2939,387,6,a,a,PRE,682,Pre,Pre,à,/V\,ADP,à,10
2940,387,7,torner,torner,VER:infi,682,Vinf,Vinf,tourner,C/V\.'C/V\,VERB,tourner,10
2941,388,1,desq,desq,CON:subord,683,PrA,PrA,dèsque,C/V\,ADV,dèsque,10
2942,388,2,au,au,PREDET:a:obj:masc:sg,683,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
2943,388,3,palais,palais,NOM:obj:masc:sg,683,N,N,,C/V\.'C/V\,NOUN,palais,3
2944,388,4,ne,ne,PRO:clit,683,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2945,388,5,se,se,PROCON,683,Prn,Prn$$,se,C/(e)\,PRON,se,10
2946,388,6,vost,vost,VER:simp:3:sg,683,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
2947,388,7,arester,arester,VER:infi,683,Vinf,Vinf,arrêter,/V\.C/V\.'C/V\,VERB,arrêter,10
2948,389,1,de,de,PRE,684,Pre,Pre,de,C/(e)\,ADP,de,10
2949,389,2,ces,ces,DET:demo:obj:masc:pl,684,Dem,Dem,cist,C/V\,DET,cist,10
2950,389,3,ostaiges,ostaiges,NOM:obj:masc:pl,684,N,N,,/V\.'C/V\.C/e\,NOUN,hostage,6
2951,389,4,i,i,PRO:clit,684,Prn,Prn$$,y2,/V\,PRON,y,10
2952,389,5,vit,vit,VER:simp:3:sg,684,Vfin,Vfin,voir,C/V\,VERB,voir,10
2953,389,6,assez,assez,ADV,684,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10
2954,389,7,ester,ester,VER:infi,684,Vinf,Vinf,être,/V\.'C/V\,VERB,être,10
2955,390,1,par,par,PRE,685,Pre,Pre,par,C/V\,ADP,par,10
2956,390,2,sairement,sairement,NOM:obj:masc:sg,685,N,N,,C/V\.C/e\.'C/V\,NOUN,serment,9
2957,390,3,les,les,PRO:pers:acc:3:masc:pl,685,Prn,Prn$$,le,C/V\,PRON,le,10
2958,390,4,prist,prist,VER:simp:3:sg,685,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
2959,390,5,a,a,PRE,685,Pre,Pre,à,/V\,ADP,à,10
2960,390,6,apeler,apeler,VER:infi,685,Vinf,Vinf,appeler,/V\.C/e\.'C/V\,VERB,appeler,10
2961,391,1,li,li,DET:def:suj:masc:sg,686,Det,Det,le,C/V\,DET,le,10
2962,391,2,quens,quens,NOM:suj:masc:sg,686,N,N,,C/V\,NOUN,comte,8
2963,391,3,raous,raous,NPR:suj:masc:sg,686,N,N,,C/(V)\.'/V\,PROPN|NOUN,Raoul,8
2964,391,4,ot,ot,VER:simp:3:sg,686,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2965,391,5,molt,molt,ADV,686,QIs,QIs,moult,C/V\,ADV,moult,10
2966,391,6,le,le,DET:def:obj:masc:sg,686,Det,Det,le,C/(e)\,DET,le,10
2967,391,7,cuer,cuer,NOM:obj:masc:sg,686,N,N,,C/V\,NOUN,coeur,3
2968,391,8,mari,mari,VER:pper:masc:sg,686,Vpp,Vpp,marrir,C/V\.'C/V\,VERB,marrir,10
2969,392,1,droon,droon,NPR:obj:masc:sg,687,N,N,,C/V\.'C/V\,NOUN,dron,-10
2970,392,2,apele,apele,VER:pres:3:sg,687,Vfin,Vfin,appeler,/V\.'C/V\.C/(e)\,VERB,appeler,10
2971,392,3,et,et,CON:coord,687,Crd,Crd,et,/V\,CCONJ,et,10
2972,392,4,joifroi,joifroi,NPR:obj:masc:sg,687,N,N,,C/V\.'C/V\,NOUN,joiffroi,-10
2973,392,5,le,le,DET:def:obj:masc:sg,687,Det,Det,le,C/(e)\,DET,le,10
2974,392,6,hardi,hardi,ADJ:obj:masc:sg,687,Vpp,Vpp,hardir,C/V\.'C/V\,VERB,hardir,10
2975,393,1,celui,celui,PRO:demo:obj:masc:sg,688,Dem,Dem,cil,C/V\.'C/V\,PRON,cil,10
2976,393,2,d,d',PRE,688,Pre,Pre,de,C/\,ADP,de,10
2977,393,3,angou,angou,NPR:obj:masc:sg,688,N,N,,/V\.'C/V\,NOUN,Anjou,2
2978,393,4,qi,qi,PROCON,688,Qux,Qux,qui,C/V\,PRON,qui,10
2979,393,5,molt,molt,ADV,688,QIs,QIs,moult,C/V\,ADV,moult,10
2980,393,6,s,s,PROCON,688,Prn,Prn$$,se,C/\,PRON,se,10
2981,393,7,en,en,PRO:clit,688,Prn,Prn$$,en2,/V\,PRON,en,10
2982,393,8,esperdi,esperdi,VER:simp:3:sg,688,Vfin,Vfin,éperdre,/V\.C/V\.'C/V\,VERB,éperdre,10
2983,394,1,herbert,herbert,NPR:obj:masc:sg,689,N,N,,C/V\.'C/V\,PROPN|NOUN,Herbert,8
2984,394,2,del,del,PREDET:de:obj:masc:sg,689,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
2985,394,3,maine,maine,NPR:obj:masc:sg,689,N,N,,'C/V\.C/(e)\,NOUN,maine,8
2986,394,4,et,et,CON:coord,689,Crd,Crd,et,/V\,CCONJ,et,10
2987,394,5,gerart,gerart,NPR:obj:masc:sg,689,N,N,,C/V\.'C/V\,PROPN|NOUN,Gérard,8
2988,394,6,et,et,CON:coord,689,Crd,Crd,et,/V\,CCONJ,et,10
2989,394,7,henri,henri,NPR:obj:masc:sg,689,N,N,,C/V\.'C/V\,PROPN|NOUN,Henri,8
2990,395,1,sanson,sanson,NPR:obj:masc:sg,690,N,N,,C/V\.'C/V\,NOUN,sanson,5
2991,395,2,de,de,PRE,690,Pre,Pre,de,C/(e)\,ADP,de,10
2992,395,3,troies,troies,NPR:obj:masc:sg,690,N,N,,'C/V\./e\,NOUN,Troie,5
2993,395,4,et,et,CON:coord,690,Crd,Crd,et,/V\,CCONJ,et,10
2994,395,5,bernart,bernart,NPR:obj:masc:sg,690,N,N,,C/V\.'C/V\,NOUN,bernard,8
2995,395,6,le,le,DET:def:obj:masc:sg,690,Det,Det,le,C/(e)\,DET,le,10
2996,395,7,flori,flori,VER:pper:masc:sg,690,Vpp,Vpp,,C/V\.'C/V\,VERB,fleuri,-1
2997,396,1,‘,‘,PON:cit,691,Pnc,Pnc,,,PUNCT,‘,9
2998,396,2,venez,venez,VER:impe:2:pl,691,Vfin,Vfin,venir,C/V\.'C/V\,VERB,venir,10
2999,396,3,avant,avant,PRE,691,PrA,PrA,avant,/V\.'C/V\,ADP,avant,10
3000,396,4,baron,baron,NOM:suj:masc:pl,691,N,N,,C/V\.'C/V\,NOUN,baron,8
3001,396,5,je,je,PRO:pers:suj:1:sg:unb,691,Prn,Prn$,je,C/(e)\,PRON,je,10
3002,396,6,vos,vos,PRO:pers:2:pl,691,Prn,Prn$$,vous,C/V\,PRON,vous,10
3003,396,7,en,en,PRO:clit,691,Prn,Prn$$,en2,/V\,PRON,en,10
3004,396,8,pri,pri,VER:pres:1:sg,691,Vfin,Vfin,prier,C/V\,VERB,prier,10
3005,397,1,si,si,PROCON,692,Adv,Adv,si4,C/V\,ADV,si,10
3006,397,2,con,con,CON:subord,692,Sub,Sub,comme,C/V\,SCONJ,comme,10
3007,397,3,l,l',PRO:pers:obj:3:masc:sg:unb,692,Prn,Prn$$,le,C/\,PRON,le,10
3008,397,4,avez,avez,VER:pres:2:pl,692,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
3009,397,5,et,et,CON:coord,692,Crd,Crd,et,/V\,CCONJ,et,10
3010,397,6,juré,juré,VER:pper:masc:sg,692,Vpp,Vpp,jurer,C/V\.'C/V\,VERB,jurer,10
3011,397,7,et,et,CON:coord,692,Crd,Crd,et,/V\,CCONJ,et,10
3012,397,8,plevi,plevi,VER:pper:masc:sg,692,Vpp,Vpp,,C/V\.'C/V\,VERB,plevir,9
3013,398,1,demain,demain,ADV,693,Adv,Adv,demain,C/V\.'C/V\,ADV,demain,10
3014,398,2,au,au,PREDET:a:obj:masc:sg,693,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
3015,398,3,jor,jor,NOM:obj:masc:sg,693,N,N,,C/V\,NOUN,jour,8
3016,398,4,sor,sor,PRE,693,PrA,PrA,sur,C/V\,ADP,sur,10
3017,398,5,vos,vos,DET:poss:obj:femi:pl,693,Det,Det,votre,C/V\,DET,votre,10
3018,398,6,fois,fois,NOM:obj:femi:pl,693,N,N,,C/V\,NOUN,fois,3
3019,398,7,vos,vos,PRO:pers:2:pl,693,Prn,Prn$$,vous,C/V\,PRON,vous,10
3020,398,8,envi,envi,VER:pres:1:sg,693,Vfin,Vfin,,/V\.'C/V\,VERB,envi,2
3021,399,1,dedens,dedens,ADV,694,PrA,PrA,dedans,C/V\.'C/V\,ADP,dedans,10
3022,399,2,ma,ma,DET:poss:obj:femi:sg,694,Det,Det,mon,C/V\,DET,mon,10
3023,399,3,tor,tor,NOM:obj:femi:sg,694,N,N,,C/V\,NOUN,tour,3
3024,399,4,par,par,PRE,694,Pre,Pre,par,C/V\,ADP,par,10
3025,399,5,le,le,DET:def:obj:masc:sg,694,Det,Det,le,C/(e)\,DET,le,10
3026,399,6,cors,cors,NOM:obj:masc:sg,694,N,N,,C/V\,NOUN,corps,3
3027,399,7,saint,saint,ADJ:obj:masc:sg,694,Adj,Adj,saint,C/V\,ADJ,saint,10
3028,399,8,geri,geri,NPR:obj:masc:sg,694,N,N,,C/V\.'C/V\,PROPN|NOUN,gery,8
3029,400,1,de,de,PRE,695,Pre,Pre,de,C/(e)\,ADP,de,10
3030,400,2,grant,grant,ADJ:obj:femi:sg,695,Adj,Adj,grand,C/V\,ADJ,grand,10
3031,400,3,dolor,dolor,NOM:obj:femi:sg,695,N,N,,C/V\.'C/V\,NOUN,douleur,8
3032,400,4,i,i,PRO:clit,695,Prn,Prn$$,y2,/V\,PRON,y,10
3033,400,5,serez,serez,VER:futu:2:pl,695,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
3034,400,6,raëmpli,raempli,VER:pper:masc:sg,695,Vpp,Vpp,remplir,C/(V)\./V\.'C/V\,VERB,remplir,10
3035,400,7,’,’,PON:cit,695,Pnc,Pnc,,,PUNCT,’,9
