wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
128,19,4,cers,cers,NOM:obj:masc:pl,19,N,N,,C/V\,NOUN,cerf,3
129,19,5,de,de,PRE,19,Pre,Pre,de,C/(e)\,ADP,de,10
130,19,6,prime,prime,ADJ:obj:femi:sg,19,Adj,Adj,,'C/V\.C/(e)\,ADJ,prim,8
131,19,7,gresse,gresse,NOM:obj:femi:sg,19,N,N,,'C/V\.C/(e)\,NOUN,graisse,3
132,19,8,assez,assez,ADV,19,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10
133,20,1,trois,trois,ADJ:card,20,QIs,QIs,trois,C/V\,NUM,trois,10
134,20,2,muls,muls,NOM:obj:masc:pl,20,N,N,,C/V\,NOUN,mul,9
135,20,3,d,d',PRE,20,Pre,Pre,de,C/\,ADP,de,10
136,20,4,espaigne,espaigne,NPR:obj:femi:sg,20,N,N,,/V\.'C/V\.C/(e)\,NOUN,Espagne,5
137,20,5,et,et,CON:coord,20,Crd,Crd,et,/V\,CCONJ,et,10
138,20,6,chargiez,chargiez,VER:pper:masc:pl,20,Vpp,Vpp,,C/V\.'C/V\,VERB,charger,8
139,20,7,et,et,CON:coord,20,Crd,Crd,et,/V\,CCONJ,et,10
140,20,8,trossez,trossez,VER:pper:masc:pl,20,Vpp,Vpp,,C/V\.'C/V\,VERB,trousse,2
141,21,1,.iiii.,quatre,ADJ:card,21,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
142,21,2,saietes,saietes,NOM:obj:femi:pl,21,N,N,,C/V\.'C/V\.C/e\,NOUN,sayette,9
143,21,3,ot,ot,VER:simp:3:sg,21,Vfin,Vfin,avoir,/V\,VERB,avoir,10
144,21,4,li,li,DET:def:suj:masc:sg,21,Det,Det,le,C/V\,DET,le,10
145,21,5,bers,bers,NOM:suj:masc:sg,21,N,N,,C/V\,NOUN,baron,3
146,21,6,au,au,PREDET:a:obj:masc:sg,21,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
147,21,7,coste,costé,NOM:obj:masc:sg,21,N,N,,C/V\.'C/V\,NOUN,côte,3
148,22,1,son,son,DET:poss:obj:masc:sg,22,Det,Det,son4,C/V\,DET,son,10
149,22,2,arc,arc,NOM:obj:masc:sg,22,N,N,,/V\,NOUN,arc,9
150,22,3,d,d',PRE,22,Pre,Pre,de,C/\,ADP,de,10
151,22,4,aubor,aubor,NOM:obj:masc:sg,22,N,N,,/V\.'C/V\,NOUN,aubour,6
152,22,5,raportoit,raportoit,VER:impf:3:sg,22,Vfin,Vfin,rapporter,C/V\.C/V\.'C/V\,VERB,rapporter,10
153,22,6,de,de,PRE,22,Pre,Pre,de,C/(e)\,ADP,de,10
154,22,7,berser,berser,VER:infi,22,Vinf,Vinf,,C/V\.'C/V\,VERB,berser,9
155,23,1,en,en,PRE,23,Pre,Pre,en,/V\,ADP,en,10
156,23,2,sa,sa,DET:poss:obj:femi:sg,23,Det,Det,son4,C/V\,DET,son,10
157,23,3,conpaigne,conpaigne,NOM:obj:femi:sg,23,N,N,,C/V\.'C/V\.C/(e)\,NOUN,compagne,9
158,23,4,.xl.,quarante,ADJ:card,23,QIs,QIs,quarante,C/V\.'C/V\.C/(e)\,NUM,quarante,10
159,23,5,bacheler,bacheler,NOM:suj:masc:pl,23,N,N,,C/V\.C/e\.'C/V\,NOUN,bachelier,8
160,24,1,filz,filz,NOM:suj:masc:pl,24,N,N,,C/V\,NOUN,fils,3
161,24,2,sont,sont,VER:pres:3:pl,24,Vfin,Vfin,être,C/V\,VERB,être,10
162,24,3,a,a,PRE,24,Pre,Pre,à,/V\,ADP,à,10
163,24,4,contes,contes,NOM:obj:masc:pl,24,N,N,,'C/V\.C/e\,NOUN,conte,3
164,24,5,et,et,CON:coord,24,Crd,Crd,et,/V\,CCONJ,et,10
165,24,6,a,a,PRE,24,Pre,Pre,à,/V\,ADP,à,10
166,24,7,princes,princes,NOM:obj:masc:pl,24,N,N,,'C/V\.C/e\,NOUN,prince,8
167,24,8,chasez,chasez,VER:pper:masc:pl,24,Vpp,Vpp,,C/V\.'C/V\,VERB,chasser,0
168,25,1,chevalier,chevalier,NOM:suj:masc:pl,25,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,8
169,25,2,furent,furent,VER:simp:3:pl,25,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
170,25,3,de,de,PRE,25,Pre,Pre,de,C/(e)\,ADP,de,10
171,25,4,novel,novel,ADJ:obj:masc:sg,25,Adj,Adj,nouveau,C/V\.'C/V\,ADJ,nouveau,10
172,25,5,adoubé,adoubé,VER:pper:masc:sg,25,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,adouber,9
173,26,1,tienent,tienent,VER:pres:3:pl,26,Vfin,Vfin,tenir,'C/V\.C/e\,VERB,tenir,10
174,26,2,oiseaus,oiseaus,NOM:obj:masc:pl,26,N,N,,/V\.'C/V\,NOUN,oiseau,9
175,26,3,por,por,PRE,26,Pre,Pre,pour,C/V\,ADP,pour,10
176,26,4,lor,lor,DET:poss:obj:masc:pl,26,Det,Det,leur2,C/V\,DET,leur,10
177,26,5,cors,cors,NOM:obj:masc:pl,26,N,N,,C/V\,NOUN,corps,3
178,26,6,deporter,deporter,VER:infi,26,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,déporter,9
179,27,1,muetes,muetes,NOM:obj:femi:pl,27,N,N,,'C/V\.C/e\,NOUN,muette,3
180,27,2,de,de,PRE,27,Pre,Pre,de,C/(e)\,ADP,de,10
181,27,3,chiens,chiens,NOM:obj:masc:pl,27,N,N,,C/V\,NOUN,chien,8
182,27,4,font,font,VER:pres:3:pl,27,Vfin,Vfin,faire,C/V\,VERB,faire,10
183,27,5,avec,avec,PRE,27,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10
184,27,6,els,els,PRO:pers:acc:3:masc:pl:bet,27,Prn,Prn,eux,/V\,PRON,eux,10
185,27,7,mener,mener,VER:infi,27,Vinf,Vinf,mener,C/V\.'C/V\,VERB,mener,10
186,28,1,par,par,PRE,28,Pre,Pre,par,C/V\,ADP,par,10
187,28,2,petit,petit,ADJ:obj:masc:sg,28,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
188,28,3,pont,pont,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,pont,8
189,28,4,sont,sont,VER:pres:3:pl,28,Vfin,Vfin,être,C/V\,VERB,être,10
190,28,5,en,en,PRO:clit,28,Pre,Pre,en,/V\,ADP,en,10
191,28,6,paris,paris,NPR:obj:masc:sg,28,N,N,,C/V\.'C/V\,NOUN,Paris,5
192,28,7,entré,entré,VER:pper:masc:sg,28,Vpp,Vpp,entrer,/V\.'C/V\,VERB,entrer,10
193,29,1,li,li,DET:def:suj:masc:sg,29,Det,Det,le,C/V\,DET,le,10
194,29,2,quens,quens,NOM:suj:masc:sg,29,N,N,,C/V\,NOUN,comte,8
