wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1050,en,en,PRE,27,Pre,Pre,en,/V\,ADP,en,10
1051,pechie,pechié,NOM:obj:masc:sg,27,N,N,,C/V\.'C/V\,NOUN,péché,9
1052,mortel,mortel,ADJ:obj:masc:sg,27,Adj,Adj,,C/V\.'C/V\,ADJ,mortel,8
1053,pour,pour,PRE,27,Pre,Pre,pour,C/V\,ADP,pour,10
1054,ce,ce,PRO:invar,27,Prn,Prn,ce,C/(e)\,PRON,ce,10
1055,que,que,PROCON,27,Sub,Sub,que,C/(e)\,SCONJ,que,10
1056,l,l',DET:def:suj:femi:sg,27,Det,Det,le,C/\,DET,le,10
1057,ame,ame,NOM:suj:femi:sg,27,N,N,,'/V\.C/(e)\,NOUN,âme,3
1058,qui,qui,PROCON,27,Qux,Qux,qui,C/V\,PRON,qui,10
1059,est,est,VER:pres:3:sg,27,Vfin,Vfin,être,/V\,VERB,être,10
1060,en,en,PRO:clit,27,Pre,Pre,en,/V\,ADP,en,10
1061,pechie,pechié,NOM:obj:masc:sg,27,N,N,,C/V\.'C/V\,NOUN,péché,9
1062,mortel,mortel,ADJ:obj:masc:sg,27,Adj,Adj,,C/V\.'C/V\,ADJ,mortel,8
1063,",",",",PON,27,Pnc,Pnc,,,PUNCT,",",9
1064,est,est,VER:pres:3:sg,27,Vfin,Vfin,être,/V\,VERB,être,10
1065,semblable,semblable,ADJ:suj:femi:sg,27,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,semblable,9
1066,au,au,PREDET:a:obj:masc:sg,27,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
1067,dyable,dyable,NOM:obj:masc:sg,27,N,N,,C/{V}\.'/V\.C/(e)\,NOUN,diable,9
1068,",",",",PON,27,Pnc,Pnc,,,PUNCT,",",9
1069,par,par,PRE,27,Pre,Pre,par,C/V\,ADP,par,10
1070,quoy,quoy,PRO:invar,27,Qux,Qux,que,C/V\,PRON,que,10
1071,nulle,nulle,DET:ind:suj:femi:sg,27,QIs,QIs,nul,'C/V\.C/(e)\,DET,nul,10
1072,si,si,PROCON,27,Adv,Adv,si4,C/V\,ADV,si,10
1073,laide,laide,ADJ:suj:femi:sg,27,Adj,Adj,laid,'C/V\.C/(e)\,ADJ,laid,10
1074,meselerie,meselerie,NOM:suj:femi:sg,27,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,mésellerie,9
1075,ne,ne,PRO:clit,27,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1076,peut,peut,VER:pres:3:sg,27,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
1077,estre,estre,VER:infi,27,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
1078,.,.,PON,27,Pnc,Pnc,,,PUNCT,.,9
1079,et,et,CON:coord,28,Crd,Crd,et,/V\,CCONJ,et,10
1080,bien,bien,ADV,28,Adv,Adv,bien,C/V\,ADV,bien,10
1081,est,est,VER:pres:3:sg,28,Vfin,Vfin,être,/V\,VERB,être,10
1082,voir,voir,ADJ:obj:masc:sg,28,Adj,Adj,voir2,C/V\,ADJ,voir,10
1083,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1084,quant,quant,ADV,28,Sub,Sub,quand,C/V\,SCONJ,quand,10
1085,l,l',DET:def:suj:masc:sg,28,Det,Det,le,C/\,DET,le,10
1086,omme,omme,NOM:suj:masc:sg,28,N,N,,'/V\.C/(e)\,NOUN,homme,9
1087,meurt,meurt,VER:pres:3:sg,28,Vfin,Vfin,mourir,C/V\,VERB,mourir,10
1088,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1089,il,il,PRO:pers:suj:3:masc:sg:unb,28,Prn,Prn$,il,/V\,PRON,il,10
1090,est,est,VER:pres:3:sg,28,Vfin,Vfin,être,/V\,VERB,être,10
1091,gueri,gueri,VER:pper:masc:sg,28,Vpp,Vpp,guérir,C/V\.'C/V\,VERB,guérir,10
1092,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1093,la,la,DET:def:obj:femi:sg,28,Det,Det,le,C/V\,DET,le,10
1094,meselerie,meselerie,NOM:obj:femi:sg,28,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,mésellerie,9
1095,du,du,PREDET:de:obj:masc:sg,28,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
1096,cors,cors,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,corps,3
1097,.,.,PON,28,Pnc,Pnc,,,PUNCT,.,9
1098,mes,mes,CON:subord,28,Crd,Crd,mais,C/V\,CCONJ,mais,10
1099,quant,quant,ADV,28,Sub,Sub,quand,C/V\,SCONJ,quand,10
1100,l,l',DET:def:suj:masc:sg,28,Det,Det,le,C/\,DET,le,10
