wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
102,18,4,puisse,puisse,18,VER:subp:3:sg,Vfin,Vfin,pouvoir2,'C/V\.C/(e)\,VERB,pouvoir,10
103,18,5,a,a,18,PRE,Pre,Pre,à,/V\,ADP,à,10
104,18,6,aux,aux,18,PRO:pers:acc:3:masc:pl:bet,Prn,Prn,eux,/V\,PRON,eux,10
105,18,7,recovrer,recovrer,18,VER:infi,Vinf,Vinf,recouvrer,C/V\.C/V\.'C/V\,VERB,recouvrer,10
106,19,1,au,au,19,PREDET:a:obj:masc:sg,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
107,19,2,grant,grant,19,ADJ:obj:masc:sg,Adj,Adj,grand,C/V\,ADJ,grand,10
108,19,3,besoing,besoing,19,NOM:obj:masc:sg,N,N,,C/V\.'C/V\,NOUN,besoin,8
109,19,4,per,per,19,PRE,Pre,Pre,par,C/V\,ADP,par,10
110,19,5,la,la,19,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10
111,19,6,vaillance,vaillance,19,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,vaillance,8
112,20,1,que,que,20,PROCON,Qux,Qux,que,C/(e)\,PRON,que,10
113,20,2,lor,lor,20,PRO:pers:dat:3:pl,Prn,Prn$$,leur,C/V\,PRON,leur,10
114,20,3,donra,donra,20,VER:futu:3:sg,Vfin,Vfin,donner,C/V\.'C/V\,VERB,donner,10
115,20,4,acostumance,acostumance,20,NOM:suj:femi:sg,N,N,,/V\.C/V\.C/V\.'C/V\.C/(e)\,NOUN,accoutumance,9
116,20,5,.,.,20,PON,Pnc,Pnc,,,PUNCT,.,9
117,21,1,li,li,21,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10
118,21,2,secons,secons,21,ADJ:ord:suj:masc:sg,Adj,Adj,,C/V\.'C/V\,ADJ,second,8
119,21,3,livres,livres,21,NOM:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,livre,8
120,21,4,si,si,21,PROCON,Adv,Adv,si4,C/V\,ADV,si,10
121,21,5,devise,devise,21,VER:pres:3:sg,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,deviser,3
122,22,1,ou,ou,22,PREDET:en:obj:masc:sg,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
123,22,2,quel,quel,22,ADJ:obj:masc:sg,Qux,Qux,quel,C/V\,ADJ|ADV|DET|PRON,quel,10
124,22,3,contient,contient,22,VER:pres:3:sg,Vfin,Vfin,contenir,C/V\.'C/V\,VERB,contenir,10
125,22,4,",",",",22,PON,Pnc,Pnc,,,PUNCT,",",9
