wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
110,18,1,autresint,autresint,618,Adv,Adv,autresi,7s,---,/V\.C/e\.'C/V\,ADV,autresi,10
111,18,2,com,com,618,Sub,Sub,comme,7s,---,C/V\,SCONJ,comme,10
112,18,3,fait,fait,618,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
113,18,4,la,la,618,Det,Det,le,7s,---,C/V\,DET,le,10
114,18,5,fueille,fueille,618,N,N,,7s,---,'C/V\.C/(e)\,NOUN,feuille,9
115,18,6,",",",",618,Pnc,Pnc,,7s,---,,PUNCT,",",9
116,19,1,la,la,619,Adv,Adv,là,7s,---,C/V\,ADV,là,10
117,19,2,u,u,619,Qux,Qux,où,7s,---,/V\,PRON,où,10
118,19,3,vens,vens,619,N,N,,7s,---,C/V\,NOUN,vent,3
119,19,4,la,la,619,Prn,Prn$$,le,7s,---,C/V\,PRON,le,10
120,19,5,vait,vait,619,Vfin,Vfin,aller,7s,---,C/V\,VERB,aller,10
121,19,6,menant,menant,619,Vprs,Vprs,mener,7s,---,C/V\.'C/V\,VERB,mener,10
122,19,7,;,;,619,Pnc,Pnc,,7s,---,,PUNCT,;,9
123,20,1,ce,ce,620,Prn,Prn$,ce,7s,---,C/(e)\,PRON,ce,10
124,20,2,me,me,620,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
125,20,3,fet,fet,620,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
126,20,4,estre,estre,620,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,VERB,être,10
127,20,5,pensant,pensant,620,Vprs,Vprs,penser,7s,---,C/V\.'C/V\,VERB,penser,10
128,20,6,.,.,620,Pnc,Pnc,,7s,---,,PUNCT,.,9
129,21,1,mes,mes,621,Det,Det,mon,7s,---,C/V\,DET,mon,10
130,21,2,voloirs,voloirs,621,Vinf,N,vouloir,7s,---,C/V\.'C/V\,VERB,vouloir,10
131,21,3,ne,ne,621,Crd,Crd,ne2,7s,---,C/(e)\,CCONJ,ne,10
132,21,4,ma,ma,621,Det,Det,mon,7s,---,C/V\,DET,mon,10
133,21,5,pensee,pensee,621,N,N,,7s,---,C/V\.'C/V\./(e)\,NOUN,pensée,8
134,22,1,ne,ne,622,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
135,22,2,me,me,622,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
136,22,3,sert,sert,622,Vfin,Vfin,servir,7s,---,C/V\,VERB,servir,10
137,22,4,d',d',622,Pre,Pre,de,7s,---,C/\,ADP,de,10
138,22,5,autrui,autrui,622,Adj,Adj,autrui,7s,---,/V\.'C/V\,ADJ,autrui,10
139,22,6,a,a,622,Pre,Pre,à,7s,---,/V\,ADP,à,10
140,22,7,gré,gré,622,N,N,,7s,---,C/V\,NOUN,gré,5
141,22,8,",",",",622,Pnc,Pnc,,7s,---,,PUNCT,",",9
142,23,1,ne,ne,623,Crd,Crd,ne2,7s,---,C/(e)\,CCONJ,ne,10
143,23,2,nule,nule,623,QIs,QIs,nul,7s,---,'C/V\.C/(e)\,PRON,nul,10
144,23,3,tant,tant,623,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
145,23,4,ne,ne,623,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
146,23,5,m',m',623,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
147,23,6,agree,agree,623,Vfin,Vfin,agréer,7s,---,/V\.'C/V\./(e)\,VERB,agréer,10
148,23,7,",",",",623,Pnc,Pnc,,7s,---,,PUNCT,",",9
149,24,1,s',s',624,Sub,Sub,si3,7s,---,C/\,SCONJ,si,10
150,24,2,amours,amours,624,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
151,24,3,m',m',624,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
152,24,4,en,en,624,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
153,24,5,laist,laist,624,Vfin,Vfin,laisser,7s,---,C/V\,VERB,laisser,10
154,24,6,estre,estre,624,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,VERB,être,10
155,24,7,amé,amé,624,Vpp,Vpp,aimer,7s,---,/V\.'C/V\,VERB,aimer,10
156,24,8,.,.,624,Pnc,Pnc,,7s,---,,PUNCT,.,9
157,25,1,pour,pour,625,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
158,25,2,moi,moi,625,Prn,Prn,moi,7s,---,C/V\,PRON,moi,10
159,25,3,grever,grever,625,Vinf,Vinf,grever,7s,---,C/V\.'C/V\,VERB,grever,10
160,25,4,la,la,625,Prn,Prn$$,le,7s,---,C/V\,PRON,le,10
161,25,5,fist,fist,625,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
162,25,6,nee,nee,625,Vpp,Vpp,naître,7s,---,'C/V\./(e)\,VERB,naître,10
163,26,1,et,et,626,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
164,26,2,pour,pour,626,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
165,26,3,li,li,626,Prn,Prn,li,7s,---,C/V\,PRON,li,10
166,26,4,amer,amer,626,Vinf,Vinf,aimer,7s,---,/V\.'C/V\,VERB,aimer,10
167,26,5,moi,moi,626,Prn,Prn,moi,7s,---,C/V\,PRON,moi,10
168,26,6,né,né,626,Vpp,Vpp,naître,7s,---,C/V\,VERB,naître,10
169,26,7,.,.,626,Pnc,Pnc,,7s,---,,PUNCT,.,9
170,27,1,avoir,avoir,627,Vinf,N,avoir2,7s,---,/V\.'C/V\,VERB,avoir,10
171,27,2,me,me,627,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
172,27,3,cuide,cuide,627,Vfin,Vfin,cuider,7s,---,'C/V\.C/(e)\,VERB,cuider,10
173,27,4,engané,engané,627,Vpp,Vpp,enganer,7s,---,/V\.C/V\.'C/V\,VERB,enganer,10
174,27,5,",",",",627,Pnc,Pnc,,7s,---,,PUNCT,",",9
