wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1323,?,?,1027,Pnc,Pnc,,,PUNCT,?,9
1324,Or,or,1027,Adv,Adv,or2,/V\,ADV,or,10
1325,ça,ça,1027,Adv,Adv,çà,C/V\,ADV,çà,10
1326,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1327,maistre,maistre,1027,N,N,,'C/V\.C/(e)\,NOUN,maître,8
1328,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1329,passez,passez,1027,Vfin,Vfin,passer,C/V\.'C/V\,VERB,passer,10
1330,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1331,vous,vous,1027,Prn,Prn$$,vous,C/V\,PRON,vous,10
1332,mettez,mettez,1027,Vfin,Vfin,mettre,C/V\.'C/V\,VERB,mettre,10
1333,devant,devant,1027,PrA,PrA,devant,C/V\.'C/V\,ADV,devant,10
1334,!,!,1027,Pnc,Pnc,,,PUNCT,!,9
1335,»,»,1027,Pnc,Pnc,,,PUNCT,»,9
1336,Alors,alors,1027,Adv,Adv,alors,/V\.'C/V\,ADV,alors,10
1337,le,le,1027,Det,Det,le,C/(e)\,DET,le,10
1338,petit,petit,1027,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
1339,Saintré,saintré,1027,N,N,,C/V\.'C/V\,PROPN,Saintref,-10
1340,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1341,tout,tout,1027,QIs,QIs,tout,C/V\,ADV,tout,10
1342,honteux,honteux,1027,Adj,Adj,,C/V\.'C/V\,ADJ,honteux,9
1343,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1344,le,le,1027,Det,Det,le,C/(e)\,DET,le,10
1345,viz,viz,1027,N,N,,C/V\,NOUN,vis,3
1346,de,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1347,honte,honte,1027,N,N,,'C/V\.C/(e)\,NOUN,honte,8
1348,tout,tout,1027,QIs,QIs,tout,C/V\,ADV,tout,10
1349,enfflamé,enfflamé,1027,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,enflammer,0
1350,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1351,soy,soy,1027,Prn,Prn$$,soi,C/V\,PRON,soi,10
1352,inclinant,inclinant,1027,Vprs,Vprs,,/V\.C/V\.'C/V\,VERB,incliner,3
1353,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1354,se,se,1027,Prn,Prn$$,se,C/(e)\,PRON,se,10
1355,met,met,1027,Vfin,Vfin,mettre,C/V\,VERB,mettre,10
1356,devant,devant,1027,PrA,PrA,devant,C/V\.'C/V\,ADV,devant,10
1357,avec,avec,1027,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10
1358,les,les,1027,Det,Det,le,C/V\,DET,le,10
1359,aultres,aultres,1027,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10
1360,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1361,Et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1362,quant,quant,1027,Sub,Sub,quand,C/V\,SCONJ,quand,10
1363,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1364,le,le,1027,Prn,Prn$$,le,C/(e)\,PRON,le,10
1365,vit,vit,1027,Vfin,Vfin,voir,C/V\,VERB,voir,10
1366,devant,devant,1027,PrA,PrA,devant,C/V\.'C/V\,ADV,devant,10
1367,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1368,alors,alors,1027,Adv,Adv,alors,/V\.'C/V\,ADV,alors,10
1369,s',s',1027,Prn,Prn$$,se,C/\,PRON,se,10
1370,en,en,1027,Prn,Prn$$,en2,/V\,PRON,en,10
1371,alla,alla,1027,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
1372,tout,tout,1027,QIs,QIs,tout,C/V\,ADV,tout,10
1373,en,en,1027,Pre,Pre,en,/V\,ADP,en,10
1374,riant,riant,1027,Vprs,Vprs,rire,C/V\.'C/V\,VERB,rire,10
1375,avec,avec,1027,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10
1376,ses,ses,1027,Det,Det,son4,C/V\,DET,son,10
1377,femmes,femmes,1027,N,N,,'C/V\.C/e\,NOUN,femme,8
1378,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1379,leur,leur,1027,Prn,Prn$$,leur,C/V\,PRON,leur,10
1380,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1381,:,:,1027,Pnc,Pnc,,,PUNCT,:,9
1382,«,«,1027,Pnc,Pnc,,,PUNCT,«,9
1383,Mais,mais,1027,Crd,Crd,mais,C/V\,CCONJ,mais,10
1384,que,que,1027,Sub,Sub,que,C/(e)\,SCONJ,que,10
1385,soyons,soyons,1027,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
1386,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1387,la,la,1027,Det,Det,le,C/V\,DET,le,10
1388,chambre,chambre,1027,N,N,,'C/V\.C/(e)\,NOUN,chambre,8
1389,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1390,nous,nous,1027,Prn,Prn$,nous,C/V\,PRON,nous,10
1391,rirons,rirons,1027,Vfin,Vfin,rire,C/V\.'C/V\,VERB,rire,10
1392,!,!,1027,Pnc,Pnc,,,PUNCT,!,9
1393,»,»,1027,Pnc,Pnc,,,PUNCT,»,9
1394,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1395,Lors,lors,1027,Adv,Adv,lors,C/V\,ADV,lors,10
1396,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1397,dame,dame,1027,N,N,,'C/V\.C/(e)\,NOUN,dame,8
1398,Jehanne,jehanne,1027,N,N,,C/(V)\.'/V\.C/(e)\,PROPN,Jeanne,9
1399,:,:,1027,Pnc,Pnc,,,PUNCT,:,9
1400,«,«,1027,Pnc,Pnc,,,PUNCT,«,9
1401,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1402,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1403,de,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1404,quoy,quoy,1027,Qux,Qux,que,C/V\,PRON,que,10
1405,?,?,1027,Pnc,Pnc,,,PUNCT,?,9
1406,—,—,1027,Pnc,Pnc,,,PUNCT,—,8
1407,De,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1408,quoy,quoy,1027,Qux,Qux,que,C/V\,PRON,que,10
1409,?,?,1027,Pnc,Pnc,,,PUNCT,?,9
1410,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1411,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1412,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1413,vous,vous,1027,Prn,Prn$,vous,C/V\,PRON,vous,10
1414,verrez,verrez,1027,Vfin,Vfin,voir,C/V\.'C/V\,VERB,voir,10
1415,tantost,tantost,1027,Adv,Adv,tantôt,C/V\.'C/V\,ADV,tantôt,10
1416,la,la,1027,Det,Det,le,C/V\,DET,le,10
1417,bataille,bataille,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
1418,du,du,1027,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
1419,petit,petit,1027,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
1420,Saintré,saintré,1027,N,N,,C/V\.'C/V\,PROPN,Saintref,-10
1421,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1422,de,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1423,moy,moy,1027,Prn,Prn,moi,C/V\,PRON,moi,10
1424,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1425,—,—,1027,Pnc,Pnc,,,PUNCT,—,9
1426,Helas,helas,1027,Exc,Exc,,/V\.'C/V\,INTJ,hélas,9
1427,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1428,madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1429,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1430,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1431,dame,dame,1027,N,N,,'C/V\.C/(e)\,NOUN,dame,8
1432,Katerine,katerine,1027,N,N,,C/V\.C/e\.'C/V\.C/(e)\,PROPN,Catherine,9
1433,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1434,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1435,que,que,1027,Qux,Qux,que,C/(e)\,PRON,que,10
1436,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1437,il,il,1027,Prn,Prn,il,/V\,PRON,il,10
1438,fait,fait,1027,Vpp,Vpp,faire,C/V\,VERB,faire,10
