wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1728,ne,ne,9,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1729,le,le,9,Prn,Prn$$,le,C/(e)\,PRON,le,10
1730,vous,vous,9,Prn,Prn$$,vous,C/V\,PRON,vous,10
1731,saroye,saroye,9,Vfin,Vfin,être,C/V\.'C/V\./(e)\,VERB,être,10
1732,deviser,deviser,9,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,deviser,3
1733,.,.,9,Pnc,Pnc,,,PUNCT,.,9
1734,Adonc,adonc,9,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10
1735,manda,manda,9,Vfin,Vfin,mander,C/V\.'C/V\,VERB,mander,10
1736,la,la,9,Det,Det,le,C/V\,DET,le,10
1737,dame,dame,9,N,N,,'C/V\.C/(e)\,NOUN,dame,8
1738,son,son,9,Det,Det,son4,C/V\,DET,son,10
1739,seigneur,seigneur,9,N,N,,C/V\.'C/V\,NOUN,seigneur,8
1740,et,et,9,Crd,Crd,et,/V\,CCONJ,et,10
1741,lui,lui,9,Prn,Prn$$,lui,C/V\,PRON,lui,10
1742,compta,compta,9,Vfin,Vfin,conter,C/V\.'C/V\,VERB,conter,10
1743,comment,comment,9,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
1744,elle,elle,9,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1745,avoit,avoit,9,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
1746,enchargié,enchargié,9,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,encharger,9
1747,.,.,9,Pnc,Pnc,,,PUNCT,.,9
1748,Adont,adont,10,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10
1749,ot,ot,10,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1750,Famius,famius,10,N,N,,C/V\.C/V\.'C/V\,PROPN,Famius,-10
1751,si,si,10,Adv,Adv,si4,C/V\,ADV,si,10
1752,grant,grant,10,Adj,Adj,grand,C/V\,ADJ,grand,10
1753,joye,joye,10,N,N,,'C/V\./(e)\,NOUN,joie,8
