wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
65,et,et,CON:coord,5,152,Crd,Crd,et,/V\,CCONJ,et,10
66,quant,quant,ADV,5,152,Sub,Sub,quand,C/V\,SCONJ,quand,10
67,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
68,aloit,aloit,VER:impf:3:sg,5,152,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
69,",",",",PON,5,152,Pnc,Pnc,,,PUNCT,",",9
70,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
71,portoit,portoit,VER:impf:3:sg,5,152,Vfin,Vfin,porter,C/V\.'C/V\,VERB,porter,10
72,son,son,DET:poss:obj:masc:sg,5,152,Det,Det,son4,C/V\,DET,son,10
73,chief,chief,NOM:obj:masc:sg,5,152,N,N,,C/V\,NOUN,chef,8
74,pres,pres,ADV,5,152,PrA,PrA,près,C/V\,ADV,près,10
75,de,de,PRE,5,152,Pre,Pre,de,C/(e)\,ADP,de,10
76,terre,terre,NOM:obj:femi:sg,5,152,N,N,,'C/V\.C/(e)\,NOUN,terre,8
77,pie,pié,NOM:obj:masc:sg,5,152,N,N,,C/V\,PROPN|NOUN,pie|pied,-1
78,et,et,CON:coord,5,152,Crd,Crd,et,/V\,CCONJ,et,10
79,demi,demi,ADJ:obj:masc:sg,5,152,Adj,Adj,demi,C/V\.'C/V\,ADJ,demi,10
80,",",",",PON,5,152,Pnc,Pnc,,,PUNCT,",",9
81,apuiee,apuiee,VER:pper:femi:sg,5,152,Vpp,Vpp,appuyer,/V\.C/V\.'C/V\./(e)\,VERB,appuyer,10
82,d,d',PRE,5,152,Pre,Pre,de,C/\,ADP,de,10
83,un,un,DET:ndf:obj:masc:sg,5,152,QIs,QIs,un,/V\,DET,un,10
84,baston,baston,NOM:obj:masc:sg,5,152,N,N,,C/V\.'C/V\,NOUN,bâton,9
85,que,que,PROCON,5,152,Qux,Qux,que,C/(e)\,PRON,que,10
