wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
143,22,5,par,par,Pre,Pre,par,C/V\,ADP,par,10
144,22,6,la,la,Det,Det,le,C/V\,DET,le,10
145,22,7,trinité,trinité,N,N,,C/V\.C/V\.'C/V\,NOUN,trinité,9
146,23,1,seez,seez,Vfin,Vfin,seoir,C/(V)\.'/V\,VERB,seoir,10
147,23,2,vous,vous,Prn,Prn%%,vous,C/V\,PRON,vous,10
148,23,3,ci,ci,Adv,Adv,ci,C/V\,ADV,ci,10
149,23,4,.,.,Pnc,Pnc,,,PUNCT,.,9
150,24,1,c',c',Prn,Prn,ce,C/\,PRON,ce,10
151,24,2,est,est,Vfin,Vfin,être,/V\,VERB,être,10
152,24,3,fait,fait,Vpp,Vpp,faire,C/V\,VERB,faire,10
153,24,4,;,;,Pnc,Pnc,,,PUNCT,;,9
154,24,5,or,or,Adv,Adv,or2,/V\,ADV,or,10
155,24,6,vous,vous,Prn,Prn$$,vous,C/V\,PRON,vous,10
156,24,7,seez,seez,Vfin,Vfin,seoir,C/(V)\.'/V\,VERB,seoir,10
157,24,8,aussi,aussi,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10
158,25,1,decoste,decoste,PrA,PrA,decoste,C/V\.'C/V\.C/(e)\,ADP,decoste,10
159,25,2,moy,moy,Prn,Prn,moi,C/V\,PRON,moi,10
160,25,3,.,.,Pnc,Pnc,,,PUNCT,.,9
161,26,1,dame,dame,N,N,,'C/V\.C/(e)\,NOUN,dame,8
162,26,2,",",",",Pnc,Pnc,,,PUNCT,",",9
163,26,3,voulentiers,voulentiers,Adv,Adv,volentiers,C/V\.C/V\.'C/V\,ADV,volentiers,10
164,26,4,;,;,Pnc,Pnc,,,PUNCT,;,9
165,26,5,quant,quant,Sub,Sub,quand,C/V\,SCONJ,quand,10
166,26,6,a,a,Pre,Pre,à,/V\,ADP,à,10
167,26,7,moy,moy,Prn,Prn,moi,C/V\,PRON,moi,10
168,26,8,",",",",Pnc,Pnc,,,PUNCT,",",9
169,27,1,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
170,27,2,sui,sui,Vfin,Vfin,être,C/V\,VERB,être,10
171,27,3,assise,assise,Vpp,Vpp,asseoir,/V\.'C/V\.C/(e)\,VERB,asseoir,10
172,27,4,.,.,Pnc,Pnc,,,PUNCT,.,9
173,28,1,et,et,Crd,Crd,et,/V\,CCONJ,et,10
174,28,2,vezcy,vezcy,NVP,NVP,voici,C/V\.'C/V\,ADV,voici,10
175,28,3,pour,pour,Pre,Pre,pour,C/V\,ADP,pour,10
176,28,4,moy,moy,Prn,Prn,moi,C/V\,PRON,moi,10
177,28,5,place,place,N,N,,'C/V\.C/(e)\,NOUN,place,8
178,28,6,prise,prise,Vpp,Vpp,prendre,'C/V\.C/(e)\,VERB,prendre,10
179,28,7,.,.,Pnc,Pnc,,,PUNCT,.,9
180,29,1,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
181,29,2,lo,lo,Vfin,Vfin,louer,C/(e)\,VERB,louer,10
182,29,3,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
183,29,4,ataingnons,ataingnons,Vfin,Vfin,atteindre,/V\.C/V\.'C/V\,VERB,atteindre,10
184,29,5,noz,noz,Det,Det,notre,C/V\,DET,notre,10
185,29,6,sautiers,sautiers,N,N,,C/V\.'C/V\,NOUN,psautier,9
186,30,1,et,et,Crd,Crd,et,/V\,CCONJ,et,10
187,30,2,disons,disons,Vfin,Vfin,dire,C/V\.'C/V\,VERB,dire,10
188,30,3,prime,prime,Adv,Adv,primes,'C/V\.C/(e)\,ADV,primes,10
189,30,4,endementiers,endementiers,Adv,Adv,,/V\.C/e\.C/V\.'C/V\,ADV,endementiers,9
190,31,1,que,que,Sub,Sub,que,C/(e)\,SCONJ,que,10
191,31,2,l',l',Prn,Prn$$,le,C/\,PRON,le,10
192,31,3,attendons,attendons,Vfin,Vfin,attendre,/V\.C/V\.'C/V\,VERB,attendre,10
193,31,4,.,.,Pnc,Pnc,,,PUNCT,.,9
194,32,1,c',c',Prn,Prn,ce,C/\,PRON,ce,10
195,32,2,est,est,Vfin,Vfin,être,/V\,VERB,être,10
196,32,3,bien,bien,Adv,Adv,bien,C/V\,ADV,bien,10
197,32,4,dit,dit,Vpp,Vpp,dire,C/V\,VERB,dire,10
198,32,5,;,;,Pnc,Pnc,,,PUNCT,;,9
199,32,6,a,a,Pre,Pre,à,/V\,ADP,à,10
200,32,7,prier,prier,Vinf,Vinf,prier,C/V\.'C/V\,VERB,prier,10
201,32,8,tendons,tendons,Vfin,Vfin,tendre,C/V\.'C/V\,VERB,tendre,10
202,33,1,devotement,devotement,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,dévotement,8
203,33,2,.,.,Pnc,Pnc,,,PUNCT,.,9
204,34,1,perrotin,perrotin,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
205,34,2,",",",",Pnc,Pnc,,,PUNCT,",",9
206,34,3,vas,vas,Vfin,Vfin,aller,C/V\,VERB,aller,10
207,34,4,sus,sus,PrA,PrA,sus,C/V\,ADV,sus,10
208,34,5,",",",",Pnc,Pnc,,,PUNCT,",",9
209,34,6,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
210,34,7,ment,ment,Adv,Adv,men,C/V\,ADV,men,10
211,34,8,:,:,Pnc,Pnc,,,PUNCT,:,9
