wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1657,260,7,pance,pance,NOM:obj:femi:sg,269,N,N,,'C/V\.C/(e)\,NOUN,panse,8,,
1658,260,8,;,;,PON,269,Pnc,Pnc,,,PUNCT,;,9,,
1659,261,1,aumosne,aumosne,NOM:obj:femi:sg,270,N,N,,/V\.'C/V\.C/(e)\,NOUN,aumône,8,,
1660,261,2,fere,fere,VER:infi,270,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
1661,261,3,et,et,CON:coord,270,Crd,Crd,et,/V\,CCONJ,et,10,,
1662,261,4,dieu,dieu,NOM:obj:masc:sg,270,N,N,,C/V\,NOUN,dieu,3,,
1663,261,5,proier,proier,VER:infi,270,Vinf,Vinf,prier,C/V\.'C/V\,VERB,prier,10,,
1664,262,1,ce,ce,PRO:invar,271,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
1665,262,2,me,me,PRO:pers:obj:1:sg:unb,271,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
1666,262,3,repuet,repuet,VER:pres:3:sg,271,Vfin,Vfin,repouvoir,C/V\.'C/V\,VERB,repouvoir,10,,
1667,262,4,trop,trop,ADV,271,Adv,Adv,trop,C/V\,ADV,trop,10,,
1668,262,5,anoier,anoier,VER:infi,271,Vinf,Vinf,ennuyer,/V\.C/V\.'C/V\,VERB,ennuyer,10,,
1669,262,6,;,;,PON,271,Pnc,Pnc,,,PUNCT,;,9,,
1670,263,1,dieu,dieu,NOM:obj:masc:sg,272,N,N,,C/V\,NOUN,dieu,3,,
1671,263,2,amer,amer,VER:infi,272,Vinf,Vinf,aimer,/V\.'C/V\,VERB,aimer,10,,
1672,263,3,et,et,CON:coord,272,Crd,Crd,et,/V\,CCONJ,et,10,,
1673,263,4,chastement,chastement,ADV,272,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,chastement,9,,
1674,263,5,vivre,vivre,VER:infi,272,Vinf,Vinf,vivre,'C/V\.C/(e)\,VERB,vivre,10,,
1675,264,1,lors,lors,ADV,273,Adv,Adv,lors,C/V\,ADV,lors,10,,
1676,264,2,me,me,PRO:pers:obj:1:sg:unb,273,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
1677,264,3,samble,samble,VER:pres:3:sg,273,Vfin,Vfin,sembler,'C/V\.C/(e)\,VERB,sembler,10,,
