wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
310,49,6,rouvisons,rouvisons,NOM:obj:femi:sg,49,N,N,,C/V\.C/V\.'C/V\,NOUN,rovison,-10,rovaison,DMF
311,50,1,mout,mout,ADV,50,QIs,QIs,moult,C/V\,ADV,moult,10,,
312,50,2,i,i,PRO:clit,50,Prn,Prn$$,y2,/V\,PRON,y,10,,
313,50,3,ot,ot,VER:simp:3:sg,50,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
314,50,4,prinches,prinches,NOM:obj:masc:pl,50,N,N,,'C/V\.C/e\,NOUN,prince,9,,
315,50,5,et,et,CON:coord,50,Crd,Crd,et,/V\,CCONJ,et,10,,
316,50,6,barons,barons,NOM:obj:masc:pl,50,N,N,,C/V\.'C/V\,NOUN,baron,8,,
317,51,1,et,et,CON:coord,51,Crd,Crd,et,/V\,CCONJ,et,10,,
318,51,2,de,de,PRE,51,Pre,Pre,de,C/(e)\,ADP,de,10,,
319,51,3,pluseurs,pluseurs,DET:ind:obj:femi:pl,51,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10,,
320,51,4,manieres,manieres,NOM:obj:femi:pl,51,N,N,,C/V\.'C/V\.C/e\,NOUN,manière,8,,
321,51,5,bestes,bestes,NOM:obj:femi:pl,51,N,N,,'C/V\.C/e\,NOUN,bête,8,,
322,52,1,on,on,PRO:invar,52,Prn,Prn$,on,/V\,PRON,on,10,,
323,52,2,n,n,PRO:clit,52,Neg,Neg$$,ne,C/\,ADV,ne,10,,
324,52,3,i,i,PRO:clit,52,Prn,Prn$$,y2,/V\,PRON,y,10,,
325,52,4,pooit,pooit,VER:impf:3:sg,52,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10,,
326,52,5,veoir,veoir,VER:infi,52,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10,,
327,52,6,fors,fors,ADV,52,PrA,PrA,hors,C/V\,ADP,hors,10,,
328,52,7,testes,testes,NOM:obj:femi:pl,52,N,N,,'C/V\.C/e\,NOUN,tête,3,,
329,53,1,quatre,quatre,ADJ:card,53,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10,,
330,53,2,grans,grans,ADJ:obj:femi:pl,53,Adj,Adj,grand,C/V\,ADJ,grand,10,,
331,53,3,lieues,lieues,NOM:obj:femi:pl,53,N,N,,'C/V\./e\,NOUN,lieue,9,,
332,53,4,en,en,PRE,53,Pre,Pre,en,/V\,ADP,en,10,,
333,53,5,tous,tous,DET:ind:obj:masc:pl,53,QIs,QIs,tout,C/V\,DET,tout,10,,
334,53,6,sens,sens,NOM:obj:masc:pl,53,N,N,,C/V\,NOUN,sens,8,,
335,54,1,ne,ne,PRO:clit,54,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
336,54,2,sai,sai,VER:pres:1:sg,54,Vfin,Vfin,savoir,C/V\,VERB,savoir,10,,
337,54,3,les,les,DET:def:obj:masc:pl,54,Det,Det,le,C/V\,DET,le,10,,
338,54,4,milliers,milliers,NOM:obj:masc:pl,54,N,N,,C/V\.'C/V\,NOUN,millier,8,,
339,54,5,ne,ne,PROCON,54,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,
340,54,6,les,les,DET:def:obj:masc:pl,54,Det,Det,le,C/V\,DET,le,10,,
341,54,7,chens,chens,ADJ:card,54,QIs,QIs,cent,C/V\,ADJ|ADV|DET|NUM|PRON,cent,10,,
342,55,1,de,de,PRE,55,Pre,Pre,de,C/(e)\,ADP,de,10,,
343,55,2,bestes,bestes,NOM:obj:femi:pl,55,N,N,,'C/V\.C/e\,NOUN,bête,8,,
344,55,3,i,i,PRO:clit,55,Prn,Prn$$,y2,/V\,PRON,y,10,,
345,55,4,ot,ot,VER:simp:3:sg,55,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
346,55,5,grant,grant,ADJ:obj:masc:sg,55,Adj,Adj,grand,C/V\,ADJ,grand,10,,
347,55,6,conchile,conchile,NOM:obj:masc:sg,55,N,N,,C/V\.'C/V\.C/(e)\,NOUN,conchyle,6,concile,
348,56,1,dame,dame,NOM:suj:femi:sg,56,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
349,56,2,orgilleuse,orgilleuse,ADJ:suj:femi:sg,56,N,N,,/V\.C/V\.'C/V\.C/(e)\,PROPN|NOUN,orgueilleux,-1,orgueilleux,DMF
350,56,3,i,i,PRO:clit,56,Prn,Prn$$,y2,/V\,PRON,y,10,,
351,56,4,fu,fu,VER:simp:3:sg,56,Vfin,Vfin,être,C/V\,VERB,être,10,,
352,56,5,con,con,CON:subord,56,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
353,56,6,chile,chile,PRO:demo:suj:femi:sg,56,Dem,Dem,cil,'C/V\.C/(e)\,PRON,cil,10,,
354,57,1,qui,qui,PROCON,57,Qux,Qux,qui,C/V\,PRON,qui,10,,
355,57,2,feme,feme,NOM:suj:femi:sg,57,N,N,,'C/V\.C/(e)\,NOUN,femme,3,,
356,57,3,ert,ert,VER:impf:3:sg,57,Vfin,Vfin,être,/V\,VERB,être,10,,
357,57,4,a,a,PRE,57,Pre,Pre,à,/V\,ADP,à,10,,
358,57,5,mon,mon,DET:poss:obj:masc:sg,57,Det,Det,mon,C/V\,DET,mon,10,,
359,57,6,seignour,seignour,NOM:obj:masc:sg,57,N,N,,C/V\.'C/V\,NOUN,seigneur,9,,
360,57,7,noble,noble,ADJ:obj:masc:sg,57,Adj,Adj,noble,'C/V\.C/(e)\,ADJ,noble,10,,
361,58,1,la,la,DET:def:suj:femi:sg,58,Det,Det,le,C/V\,DET,le,10,,
362,58,2,dame,dame,NOM:suj:femi:sg,58,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
363,58,3,ert,ert,VER:impf:3:sg,58,Vfin,Vfin,être,/V\,VERB,être,10,,
364,58,4,de,de,PRE,58,Pre,Pre,de,C/(e)\,ADP,de,10,,
365,58,5,fachon,fachon,NOM:obj:femi:sg,58,N,N,,C/V\.'C/V\,NOUN,façon,9,,
366,58,6,mout,mout,ADV,58,QIs,QIs,moult,C/V\,ADV,moult,10,,
367,58,7,noble,noble,ADJ:obj:femi:sg,58,Adj,Adj,noble,'C/V\.C/(e)\,ADJ,noble,10,,
368,59,1,ou,ou,PREDET:en:obj:masc:sg,59,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
369,59,2,faudestuef,faudestuef,NOM:obj:masc:sg,59,N,N,,C/V\.C/e\.'C/V\,PROPN|NOUN,UNKNOWN,-10,fauteuil,DMF
370,59,3,sist,sist,VER:simp:3:sg,59,Vfin,Vfin,seoir,C/V\,VERB,seoir,10,,
371,59,4,lés,lés,PRE,59,Pre,Pre,lez,C/V\,ADP,lez,10,,
372,59,5,le,le,DET:def:obj:masc:sg,59,Det,Det,le,C/(e)\,DET,le,10,,
373,59,6,roy,roy,NOM:obj:masc:sg,59,N,N,,C/V\,NOUN,roi,8,,
374,60,1,qui,qui,PROCON,60,Qux,Qux,qui,C/V\,PRON,qui,10,,
375,60,2,mout,mout,ADV,60,QIs,QIs,moult,C/V\,ADV,moult,10,,
376,60,3,l',l',PRO:pers:obj:3:masc:sg:unb,60,Prn,Prn$$,le,C/\,PRON,le,10,,
377,60,4,amoit,amoit,VER:impf:3:sg,60,Vfin,Vfin,aimer,/V\.'C/V\,VERB,aimer,10,,
378,60,5,en,en,PRO:clit,60,Pre,Pre,en,/V\,ADP,en,10,,
379,60,6,bonne,bonne,ADJ:obj:femi:sg,60,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,,
380,60,7,foy,foy,NOM:obj:femi:sg,60,N,N,,C/V\,NOUN,foi,3,,
381,61,1,a,a,PRE,61,Pre,Pre,à,/V\,ADP,à,10,,
382,61,2,ses,ses,DET:poss:obj:masc:pl,61,Det,Det,son4,C/V\,DET,son,10,,
383,61,3,piés,piés,NOM:obj:masc:pl,61,N,N,,C/V\,NOUN,pied,8,,
384,61,4,sisent,sisent,VER:simp:3:pl,61,Vfin,Vfin,seoir,'C/V\.C/e\,VERB,seoir,10,,
385,61,5,si,si,DET:poss:suj:masc:pl,61,Det,Det,son4,C/V\,DET,son,10,,
386,61,6,.iii.,.iii.,ADJ:card,61,QIs,QIs,trois,C/V\,NUM,trois,10,,
387,61,7,fil,fil,NOM:suj:masc:pl,61,N,N,,C/V\,NOUN,fils,3,,
388,62,1,qui,qui,PROCON,62,Qux,Qux,qui,C/V\,PRON,qui,10,,
389,62,2,povre,povre,ADJ:obj:femi:sg,62,Adj,Adj,pauvre,'C/V\.C/(e)\,ADJ,pauvre,10,,
390,62,3,chose,chose,NOM:obj:femi:sg,62,N,N,,'C/V\.C/(e)\,NOUN,chose,8,,
391,62,4,tienent,tienent,VER:pres:3:pl,62,Vfin,Vfin,tenir,'C/V\.C/e\,VERB,tenir,10,,
392,62,5,vil,vil,ADJ:obj:femi:sg,62,Adj,Adj,,C/V\,ADJ,vil,9,,
393,63,1,li,li,DET:def:suj:masc:sg,63,Det,Det,le,C/V\,DET,le,10,,
394,63,2,aisnés,aisnés,NOM:suj:masc:sg,63,Adj,Adj,,/V\.'C/V\,ADJ,aîné,8,,
395,63,3,ot,ot,VER:simp:3:sg,63,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
396,63,4,de,de,PRE,63,Pre,Pre,de,C/(e)\,ADP,de,10,,
397,63,5,par,par,PRE,63,Pre,Pre,par,C/V\,ADP,par,10,,
398,63,6,se,se,DET:poss:obj:femi:sg,63,Det,Det,son4,C/(e)\,DET,son,10,,
399,63,7,mere,mere,NOM:obj:femi:sg,63,N,N,,'C/V\.C/(e)\,NOUN,mère,3,,
400,64,1,a,a,PRE,64,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
401,64,2,non,non,NOM:obj:masc:sg,64,N,N,,C/V\,NOUN,nom,8,,
402,64,3,orgilleus,orgilleus,ADJ:suj:masc:sg,64,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,orgueilleux,-1,orgueilleux,DMF
403,64,4,de,de,PRE,64,Pre,Pre,de,C/(e)\,ADP,de,10,,
404,64,5,par,par,PRE,64,Pre,Pre,par,C/V\,ADP,par,10,,
405,64,6,pere,pere,NOM:obj:masc:sg,64,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
406,65,1,ot,ot,VER:simp:3:sg,65,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
407,65,2,et,et,CON:coord,65,Crd,Crd,et,/V\,CCONJ,et,10,,
408,65,3,a,a,VER:pres:3:sg,65,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
409,65,4,non,non,NOM:obj:masc:sg,65,N,N,,C/V\,NOUN,nom,8,,
410,65,5,li,li,DET:def:suj:masc:sg,65,Det,Det,le,C/V\,DET,le,10,,
411,65,6,autres,autres,ADJ:suj:masc:sg,65,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10,,
412,65,7,nobles,nobles,ADJ:suj:masc:sg,65,N,N,,'C/V\.C/e\,PROPN|NOUN,noble,8,,
413,66,1,qui,qui,PROCON,66,Qux,Qux,qui,C/V\,PRON,qui,10,,
414,66,2,mout,mout,ADV,66,QIs,QIs,moult,C/V\,ADV,moult,10,,
415,66,3,estoit,estoit,VER:impf:3:sg,66,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,,
416,66,4,cointes,cointes,ADJ:suj:masc:sg,66,Adj,Adj,,'C/V\.C/e\,ADJ,cointe,8,,
417,66,5,et,et,CON:coord,66,Crd,Crd,et,/V\,CCONJ,et,10,,
