wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2899,473,5,foible,foible,ADJ:obj:femi:sg,4501,Adj,Adj,,'C/V\.C/(e)\,ADJ,faible,9,,
2900,473,6,et,et,CON:coord,4501,Crd,Crd,et,/V\,CCONJ,et,10,,
2901,473,7,chanue,chanue,ADJ:obj:femi:sg,4501,Adj,Adj,,C/V\.'C/V\./(e)\,ADJ,chenu,8,,
2902,474,1,que,que,PROCON,4502,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
2903,474,2,malemant,malemant,ADV,4502,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,malement,9,,
2904,474,3,l,l,PRO:pers:obj:3:masc:sg:unb,4502,Prn,Prn$$,le,C/\,PRON,le,10,,
2905,474,4,a,a,VER:pres:3:sg,4502,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2906,474,5,deceue,deceue,VER:pper:femi:sg,4502,Vpp,Vpp,décevoir,C/V\.C/(V)\.'/V\./(e)\,VERB,décevoir,10,,
2907,475,1,jennece,jennece,NOM:suj:femi:sg,4503,N,N,,C/V\.'C/V\.C/(e)\,NOUN,jeunesse,9,,
2908,475,2,qui,qui,PROCON,4503,Qux,Qux,qui,C/V\,PRON,qui,10,,
2909,475,3,tout,tout,PRO:ind:obj:masc:sg,4503,QIs,QIs,tout,C/V\,PRON,tout,10,,
2910,475,4,a,a,VER:pres:3:sg,4503,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2911,475,5,gité,gité,VER:pper:masc:sg,4503,Vpp,Vpp,jeter,C/V\.'C/V\,VERB,jeter,10,,
2912,476,1,son,son,DET:poss:obj:masc:sg,4504,Det,Det,son4,C/V\,DET,son,10,,
2913,476,2,preterit,preterit,NOM:obj:masc:sg,4504,N,N,,C/V\.C/e\.'C/V\,NOUN,prétérit,8,,
2914,476,3,an,an,PRE,4504,Pre,Pre,en,/V\,ADP,en,10,,
2915,476,4,vanité,vanité,NOM:obj:femi:sg,4504,N,N,,C/V\.C/V\.'C/V\,NOUN,vanité,9,,
2916,477,1,et,et,CON:coord,4505,Crd,Crd,et,/V\,CCONJ,et,10,,
2917,477,2,qu,qu,PROCON,4505,Sub,Sub,que,C/\,SCONJ,que,10,,
2918,477,3,el,el,PRO:pers:suj:3:femi:sg,4505,Prn,Prn$,elle,/V\,PRON,elle,10,,
