wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
125,16,7,ot,ot,16,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
126,16,8,cler,cler,16,Adj,Adj,clair,C/V\,ADJ,clair,10,,
127,16,9,le,le,16,Det,Det,le,C/(e)\,DET,le,10,,
128,16,10,visaige,visaige,16,N,N,,C/V\.'C/V\.C/(e)\,NOUN,visage,8,,
129,16,11,:,:,16,Pnc,Pnc,,,PUNCT,:,9,,
130,17,1,cele,cele,17,Dem,Dem,cil,'C/V\.C/(e)\,PRON,cil,10,,
131,17,2,fu,fu,17,Vfin,Vfin,être,C/V\,VERB,être,10,,
132,17,3,mere,mere,17,N,N,,'C/V\.C/(e)\,NOUN,mère,3,,
133,17,4,auberon,auberon,17,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,auberon,8,,
134,17,5,le,le,17,Det,Det,le,C/(e)\,DET,le,10,,
135,17,6,sauvaige,sauvaige,17,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,sauvage,8,,
136,17,7,",",",",17,Pnc,Pnc,,,PUNCT,",",9,,
137,18,1,si,si,18,Adv,Adv,si4,C/V\,ADV,si,10,,
138,18,2,n',n',18,Neg,Neg$$,ne,C/\,ADV,ne,10,,
139,18,3,ot,ot,18,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
140,18,4,plus,plus,18,Adv,Adv,plus,C/V\,ADV,plus,10,,
141,18,5,d',d',18,Pre,Pre,de,C/\,ADP,de,10,,
142,18,6,oirs,oirs,18,N,N,,/V\,NOUN,hoir,8,,
143,18,7,en,en,18,Pre,Pre,en,/V\,ADP,en,10,,
144,18,8,trestot,trestot,18,QIs,QIs,trèstout,C/V\.'C/V\,DET,trèstout,10,,
145,18,9,son,son,18,Det,Det,son4,C/V\,DET,son,10,,
146,18,10,eaige,eaige,18,N,N,,/(V)\.'/V\.C/(e)\,NOUN,âge,8,,
147,18,11,.,.,18,Pnc,Pnc,,,PUNCT,.,9,,
148,19,1,huimais,huimais,19,Adv,Adv,huimais,/V\.'C/V\,ADV,huimais,10,,
149,19,2,orrés,orrés,19,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10,,
150,19,3,cançon,cançon,19,N,N,,C/V\.'C/V\,NOUN,chanson,9,,
151,19,4,de,de,19,Pre,Pre,de,C/(e)\,ADP,de,10,,
152,19,5,fier,fier,19,Adj,Adj,fier,C/V\,ADJ,fier,10,,
153,19,6,barnaige,barnaige,19,N,N,,C/V\.'C/V\.C/(e)\,NOUN,barnage,9,,
154,19,7,.,.,19,Pnc,Pnc,,,PUNCT,.,9,,
155,20,1,segnour,segnour,20,N,N,,C/V\.'C/V\,NOUN,seigneur,9,,
156,20,2,",",",",20,Pnc,Pnc,,,PUNCT,",",9,,
