wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,,
805,86,5,et,et,86,Crd,Crd,et,/V\,CCONJ,et,10,,
806,86,6,rien,rien,86,N,N,rien,C/V\,PROPN|NOUN,rien,10,,
807,86,7,ne,ne,86,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
808,86,8,ly,ly,86,Prn,Prn$$,li,C/V\,PRON,li,10,,
809,86,9,deut,deut,86,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
810,86,10,on,on,86,Prn,Prn$,on,/V\,PRON,on,10,,
811,86,11,;,;,86,Pnc,Pnc,,,PUNCT,;,9,,
812,87,1,ver,ver,87,Pre,Pre,vers2,C/V\,ADP,vers,10,,
813,87,2,paris,paris,87,N,N,,C/V\.'C/V\,NOUN,Paris,5,,
814,87,3,s',s',87,Prn,Prn$$,se,C/\,PRON,se,10,,
815,87,4,en,en,87,Prn,Prn$$,en2,/V\,PRON,en,10,,
816,87,5,ala,ala,87,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
817,87,6,ly,ly,87,Det,Det,le,C/V\,DET,le,10,,
818,87,7,enfëz,enfëz,87,N,N,,'/V\.C/e\,NOUN,enfant,0,,
819,87,8,de,de,87,Pre,Pre,de,C/(e)\,ADP,de,10,,
820,87,9,renon,renon,87,N,N,,C/V\.'C/V\,NOUN,renom,9,,
821,88,1,montét,montét,88,Vpp,Vpp,monter,C/V\.'C/V\,VERB,monter,10,,
822,88,2,sur,sur,88,PrA,PrA,sur,C/V\,ADP,sur,10,,
823,88,3,ung,ung,88,QIs,QIs,un,/V\,DET,un,10,,
824,88,4,cheval,cheval,88,N,N,,C/V\.'C/V\,NOUN,cheval,8,,
825,88,5,qu',qu',88,Qux,Qux,que,C/\,PRON,que,10,,
826,88,6,il,il,88,Prn,Prn$,il,/V\,PRON,il,10,,
827,88,7,avoit,avoit,88,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
828,88,8,bel,bel,88,Adj,Adj,beau,C/V\,ADJ,beau,10,,
829,88,9,et,et,88,Crd,Crd,et,/V\,CCONJ,et,10,,
830,88,10,bon,bon,88,Adj,Adj,bon,C/V\,ADJ,bon,10,,
831,88,11,.,.,88,Pnc,Pnc,,,PUNCT,.,9,,
832,89,1,tant,tant,89,QIs,QIs,tant,C/V\,ADV,tant,10,,
833,89,2,fist,fist,89,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
834,89,3,ly,ly,89,Det,Det,le,C/V\,DET,le,10,,
835,89,4,damoisiaulz,damoisiaulz,89,N,N,,C/V\.C/V\.'C/V\,NOUN,damoiseau,0,,
836,89,5,a,a,89,Pre,Pre,à,/V\,ADP,à,10,,
837,89,6,le,le,89,Det,Det,le,C/(e)\,DET,le,10,,
838,89,7,clere,clere,89,Adj,Adj,clair,'C/V\.C/(e)\,ADJ,clair,10,,
839,89,8,fachon,fachon,89,N,N,,C/V\.'C/V\,NOUN,façon,9,,
840,90,1,qu',qu',90,Sub,Sub,que,C/\,SCONJ,que,10,,
841,90,2,en,en,90,Pre,Pre,en,/V\,ADP,en,10,,
842,90,3,paris,paris,90,N,N,,C/V\.'C/V\,NOUN,Paris,5,,
843,90,4,est,est,90,Vfin,Vfin,être,/V\,VERB,être,10,,
844,90,5,entrez,entrez,90,Vpp,Vpp,entrer,/V\.'C/V\,VERB,entrer,10,,
845,90,6,",",",",90,Pnc,Pnc,,,PUNCT,",",9,,
846,90,7,le,le,90,Det,Det,le,C/(e)\,DET,le,10,,
847,90,8,chité,chité,90,N,N,,C/V\.'C/V\,NOUN,cité,9,,
848,90,9,de,de,90,Pre,Pre,de,C/(e)\,ADP,de,10,,
849,90,10,renon,renon,90,N,N,,C/V\.'C/V\,NOUN,renom,9,,
850,90,11,;,;,90,Pnc,Pnc,,,PUNCT,;,9,,
851,91,1,la,la,91,Adv,Adv,là,C/V\,ADV,là,10,,
852,91,2,demanda,demanda,91,Vfin,Vfin,demander,C/V\.C/V\.'C/V\,VERB,demander,10,,
853,91,3,l',l',91,Det,Det,le,C/\,DET,le,10,,
854,91,4,ostel,ostel,91,N,N,,/V\.'C/V\,NOUN,hôtel,3,,
855,91,5,du,du,91,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
856,91,6,fran,fran,91,Adj,Adj,franc2,C/V\,ADJ,franc,10,,
857,91,7,bouchier,bouchier,91,N,N,,C/V\.'C/V\,PROPN|NOUN,boucher,8,,
858,91,8,simon,simon,91,N,N,,C/V\.'C/V\,NOUN,Simon,2,,
859,92,1,qui,qui,92,Qux,Qux,qui,C/V\,PRON,qui,10,,
860,92,2,estoit,estoit,92,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,,
861,92,3,ly,ly,92,Det,Det,le,C/V\,DET,le,10,,
862,92,4,sien,sien,92,Adj,Adj,son4,C/V\,ADJ,son,10,,
863,92,5,onclëz,onclëz,92,N,N,,'/V\.C/e\,NOUN,onclet,-10,oncle,DMF
864,92,6,de,de,92,Pre,Pre,de,C/(e)\,ADP,de,10,,
865,92,7,droite,droite,92,Adj,Adj,droit2,'C/V\.C/(e)\,ADJ,droit,10,,
866,92,8,estrasion,estrasion,92,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,extraction,6,,
867,92,9,:,:,92,Pnc,Pnc,,,PUNCT,:,9,,
868,93,1,frerëz,frerëz,93,N,N,,'C/V\.C/e\,PROPN|NOUN,UNKNOWN,-10,frère,DMF
869,93,2,fu,fu,93,Vfin,Vfin,être,C/V\,VERB,être,10,,
870,93,3,a,a,93,Pre,Pre,à,/V\,ADP,à,10,,
871,93,4,se,se,93,Det,Det,son4,C/(e)\,DET,son,10,,
872,93,5,mere,mere,93,N,N,,'C/V\.C/(e)\,NOUN,mère,3,,
873,93,6,et,et,93,Crd,Crd,et,/V\,CCONJ,et,10,,
874,93,7,fieux,fieux,93,N,N,,C/V\,NOUN,fils,5,,
875,93,8,a,a,93,Pre,Pre,à,/V\,ADP,à,10,,
876,93,9,sen,sen,93,Det,Det,son4,C/V\,DET,son,10,,
877,93,10,taion,taion,93,N,N,,C/V\.'C/V\,NOUN,tayon,6,,
878,93,11,;,;,93,Pnc,Pnc,,,PUNCT,;,9,,
879,94,1,il,il,94,Prn,Prn$,il,/V\,PRON,il,10,,
880,94,2,n',n',94,Neg,Neg$$,ne,C/\,ADV,ne,10,,
881,94,3,avoit,avoit,94,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
882,94,4,plus,plus,94,Adv,Adv,plus,C/V\,ADV,plus,10,,
883,94,5,rique,rique,94,Adj,Adj,riche,'C/V\.C/(e)\,ADJ,riche,10,,
884,94,6,homme,homme,94,N,N,,'/V\.C/(e)\,NOUN,homme,8,,
885,94,7,en,en,94,Pre,Pre,en,/V\,ADP,en,10,,
886,94,8,le,le,94,Det,Det,le,C/(e)\,DET,le,10,,
887,94,9,cité,cité,94,N,N,,C/V\.'C/V\,NOUN,cité,8,,
888,94,10,de,de,94,Pre,Pre,de,C/(e)\,ADP,de,10,,
889,94,11,non,non,94,N,N,,C/V\,NOUN,nom,8,,
890,94,12,.,.,94,Pnc,Pnc,,,PUNCT,.,9,,
891,95,1,tant,tant,95,QIs,QIs,tant,C/V\,ADV,tant,10,,
892,95,2,a,a,95,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
893,95,3,huëz,huëz,95,N,N,,'C/V\./e\,PROPN|NOUN,UNKNOWN,-10,?,
894,95,4,allé,allé,95,Vpp,Vpp,aller,/V\.'C/V\,VERB,aller,10,,
895,95,5,qu',qu',95,Sub,Sub,que,C/\,SCONJ,que,10,,
896,95,6,il,il,95,Prn,Prn$,il,/V\,PRON,il,10,,
897,95,7,vint,vint,95,Vfin,Vfin,venir,C/V\,VERB,venir,10,,
898,95,8,a,a,95,Pre,Pre,à,/V\,ADP,à,10,,
899,95,9,se,se,95,Det,Det,son4,C/(e)\,DET,son,10,,
900,95,10,meison,meison,95,N,N,,C/V\.'C/V\,NOUN,maison,9,,
901,95,11,",",",",95,Pnc,Pnc,,,PUNCT,",",9,,
902,96,1,son,son,96,Det,Det,son4,C/V\,DET,son,10,,
903,96,2,oncle,oncle,96,N,N,,'/V\.C/(e)\,NOUN,oncle,8,,
904,96,3,salua,salua,96,Vfin,Vfin,saluer,C/V\.C/V\.'C/V\,VERB,saluer,10,,
905,96,4,d',d',96,Pre,Pre,de,C/\,ADP,de,10,,
906,96,5,umble,umble,96,Adj,Adj,,'/V\.C/(e)\,ADJ,humble,6,,
907,96,6,condision,condision,96,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,condition,6,,
908,97,1,et,et,97,Crd,Crd,et,/V\,CCONJ,et,10,,
909,97,2,ly,ly,97,Prn,Prn$$,li,C/V\,PRON,li,10,,
910,97,3,dit,dit,97,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
911,97,4,son,son,97,Det,Det,son4,C/V\,DET,son,10,,
912,97,5,estat,estat,97,N,N,,/V\.'C/V\,NOUN,état,8,,
913,97,6,",",",",97,Pnc,Pnc,,,PUNCT,",",9,,
914,97,7,adont,adont,97,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10,,
915,97,8,le,le,97,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
916,97,9,congnut,congnut,97,Vfin,Vfin,connaître,C/V\.'C/V\,VERB,connaître,10,,
917,97,10,on,on,97,Prn,Prn%,on,/V\,PRON,on,10,,
918,97,11,.,.,97,Pnc,Pnc,,,PUNCT,.,9,,
919,98,1,adont,adont,98,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10,,
920,98,2,fu,fu,98,Vfin,Vfin,être,C/V\,VERB,être,10,,
921,98,3,festiiez,festiiez,98,Vpp,Vpp,festoyer,C/V\.C/V\.'C/V\,VERB,festoyer,10,,
922,98,4,de,de,98,Pre,Pre,de,C/(e)\,ADP,de,10,,
923,98,5,moult,moult,98,QIs,QIs,moult,C/V\,ADV,moult,10,,
924,98,6,simple,simple,98,Adj,Adj,,'C/V\.C/(e)\,ADJ,simple,9,,
925,98,7,raison,raison,98,N,N,,C/V\.'C/V\,NOUN,raison,8,,
926,98,8,:,:,98,Pnc,Pnc,,,PUNCT,:,9,,
927,99,1,«,«,99,Pnc,Pnc,,,PUNCT,«,9,,
928,99,2,biaus,biaus,99,Adj,Adj,beau,C/V\,ADJ,beau,10,,
929,99,3,niez,niez,99,N,N,,C/V\,NOUN,neveu,8,,
930,99,4,",",",",99,Pnc,Pnc,,,PUNCT,",",9,,
931,99,5,dist,dist,99,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
932,99,6,ly,ly,99,Det,Det,le,C/V\,DET,le,10,,
933,99,7,bourgois,bourgois,99,N,N,,C/V\.'C/V\,NOUN,bourgeois,9,,
934,99,8,",",",",99,Pnc,Pnc,,,PUNCT,",",9,,
935,99,9,foy,foy,99,N,N,,C/V\,NOUN,foi,3,,
936,99,10,que,que,99,Qux,Qux,que,C/(e)\,PRON,que,10,,
937,99,11,nous,nous,99,Prn,Prn$,nous,C/V\,PRON,nous,10,,
938,99,12,vo,vo,99,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
939,99,13,devon,devon,99,Vfin,Vfin,devoir2,C/V\.'C/V\,VERB,devoir,10,,
940,99,14,",",",",99,Pnc,Pnc,,,PUNCT,",",9,,
941,100,1,point,point,100,Neg,Neg,point2,C/V\,ADV,point,10,,
942,100,2,ne,ne,100,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
943,100,3,tenez,tenez,100,Vfin,Vfin,tenir,C/V\.'C/V\,VERB,tenir,10,,
944,100,4,l',l',100,Det,Det,le,C/\,DET,le,10,,
945,100,5,estat,estat,100,N,N,,/V\.'C/V\,NOUN,état,8,,
946,100,6,vo,vo,100,Det,Det,votre,C/V\,DET,votre,10,,
947,100,7,pere,pere,100,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
948,100,8,le,le,100,Det,Det,le,C/(e)\,DET,le,10,,
949,100,9,baron,baron,100,N,N,,C/V\.'C/V\,NOUN,baron,8,,
950,100,10,",",",",100,Pnc,Pnc,,,PUNCT,",",9,,
951,101,1,car,car,101,Crd,Crd,car,C/V\,CCONJ,car,10,,
952,101,2,quant,quant,101,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
953,101,3,il,il,101,Prn,Prn$,il,/V\,PRON,il,10,,
954,101,4,me,me,101,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
955,101,5,venoit,venoit,101,Vfin,Vfin,venir,C/V\.'C/V\,VERB,venir,10,,
956,101,6,veïr,veïr,101,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10,,
957,101,7,en,en,101,Pre,Pre,en,/V\,ADP,en,10,,
958,101,8,me,me,101,Det,Det,mon,C/(e)\,DET,mon,10,,
959,101,9,maison,maison,101,N,N,,C/V\.'C/V\,NOUN,maison,3,,
960,101,10,",",",",101,Pnc,Pnc,,,PUNCT,",",9,,
961,102,1,il,il,102,Prn,Prn$,il,/V\,PRON,il,10,,
962,102,2,maintenoit,maintenoit,102,Vfin,Vfin,maintenir,C/V\.C/e\.'C/V\,VERB,maintenir,10,,
963,102,3,estat,estat,102,N,N,,/V\.'C/V\,NOUN,état,8,,
964,102,4,et,et,102,Crd,Crd,et,/V\,CCONJ,et,10,,
965,102,5,gracieus,gracieus,102,Adj,Adj,,C/V\.C/{V}\.'/V\,ADJ,gracieux,9,,
966,102,6,et,et,102,Crd,Crd,et,/V\,CCONJ,et,10,,
967,102,7,bon,bon,102,Adj,Adj,bon,C/V\,ADJ,bon,10,,
968,102,8,.,.,102,Pnc,Pnc,,,PUNCT,.,9,,
969,103,1,-,-,103,Pnc,Pnc,,,PUNCT,-,9,,
970,103,2,biaus,biaus,103,Adj,Adj,beau,C/V\,ADJ,beau,10,,
971,103,3,onclëz,onclëz,103,N,N,,'/V\.C/e\,NOUN,onclet,-10,oncles,DMF
972,103,4,",",",",103,Pnc,Pnc,,,PUNCT,",",9,,
973,103,5,dist,dist,103,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
974,103,6,huon,huon,103,N,N,,C/V\.'C/V\,NOUN,huon,5,,
975,103,7,",",",",103,Pnc,Pnc,,,PUNCT,",",9,,
976,103,8,assez,assez,103,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10,,
977,103,9,fait,fait,103,Vpp,Vpp,faire,C/V\,VERB,faire,10,,
978,103,10,en,en,103,Prn,Prn$$,en2,/V\,PRON,en,10,,
979,103,11,avon,avon,103,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
980,103,12,",",",",103,Pnc,Pnc,,,PUNCT,",",9,,
981,104,1,trezpassez,trezpassez,104,Vpp,Vpp,trépasser,C/V\.C/V\.'C/V\,VERB,trépasser,10,,
982,104,2,est,est,104,Vfin,Vfin,être,/V\,VERB,être,10,,
983,104,3,mon,mon,104,Det,Det,mon,C/V\,DET,mon,10,,
984,104,4,pere,pere,104,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
985,104,5,",",",",104,Pnc,Pnc,,,PUNCT,",",9,,
986,104,6,dieu,dieu,104,N,N,,C/V\,PROPN,Dieu,3,,
987,104,7,ly,ly,104,Prn,Prn$$,li,C/V\,PRON,li,10,,
988,104,8,fache,fache,104,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10,,
989,104,9,pardon,pardon,104,N,N,,C/V\.'C/V\,NOUN,pardon,8,,
990,104,10,!,!,104,Pnc,Pnc,,,PUNCT,!,9,,
991,105,1,grant,grant,105,Adj,Adj,grand,C/V\,ADJ,grand,10,,
992,105,2,tresor,tresor,105,N,N,,C/V\.'C/V\,NOUN,trésor,8,,
993,105,3,me,me,105,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
994,105,4,laissa,laissa,105,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10,,
995,105,5,et,et,105,Crd,Crd,et,/V\,CCONJ,et,10,,
996,105,6,de,de,105,Pre,Pre,de,C/(e)\,ADP,de,10,,
997,105,7,terre,terre,105,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
998,105,8,a,a,105,Pre,Pre,à,/V\,ADP,à,10,,
999,105,9,foison,foison,105,N,N,,C/V\.'C/V\,NOUN,foison,9,,
1000,105,10,.,.,105,Pnc,Pnc,,,PUNCT,.,9,,
1001,106,1,or,or,106,Adv,Adv,or2,/V\,ADV,or,10,,
1002,106,2,m',m',106,Prn,Prn$$,me,C/\,PRON,me,10,,
1003,106,3,a,a,106,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1004,106,4,tenu,tenu,106,Vpp,Vpp,tenir,C/V\.'C/V\,VERB,tenir,10,,
1005,106,5,jonesse,jonesse,106,N,N,,C/V\.'C/V\.C/(e)\,NOUN,jeunesse,9,,
1006,106,6,en,en,106,Pre,Pre,en,/V\,ADP,en,10,,
1007,106,7,se,se,106,Det,Det,son4,C/(e)\,DET,son,10,,
1008,106,8,pocession,pocession,106,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,possession,6,,
1009,106,9,",",",",106,Pnc,Pnc,,,PUNCT,",",9,,
1010,107,1,j',j',107,Prn,Prn$,je,C/\,PRON,je,10,,
1011,107,2,ay,ay,107,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1012,107,3,eu,eu,107,Vpp,Vpp,avoir,/(V)\.'/V\,VERB,avoir,10,,
1013,107,4,une,une,107,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
1014,107,5,aflee,aflee,107,Vpp,Vpp,,/V\.'C/V\./(e)\,VERB,affler,-10,affie,DMF
1015,107,6,de,de,107,Pre,Pre,de,C/(e)\,ADP,de,10,,
1016,107,7,irëz,irëz,107,N,N,,'/V\.C/e\,NOUN,ire,0,,
1017,107,8,bone,bone,107,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,,
1018,107,9,saison,saison,107,N,N,,C/V\.'C/V\,NOUN,saison,8,,
1019,107,10,:,:,107,Pnc,Pnc,,,PUNCT,:,9,,
1020,108,1,joustëz,joustëz,108,N,N,,'C/V\.C/e\,PROPN|NOUN,UNKNOWN,-10,joute,DMF
1021,108,2,tournois,tournois,108,N,N,,C/V\.'C/V\,NOUN,tournoi,5,,
1022,108,3,et,et,108,Crd,Crd,et,/V\,CCONJ,et,10,,
1023,108,4,festëz,festëz,108,N,N,,'C/V\.C/e\,NOUN,fête,0,,
1024,108,5,que,que,108,Qux,Qux,que,C/(e)\,PRON,que,10,,
1025,108,6,sieuvent,sieuvent,108,Vfin,Vfin,suivre,'C/V\.C/e\,VERB,suivre,10,,
1026,108,7,tout,tout,108,QIs,QIs,tout,C/V\,DET,tout,10,,
1027,108,8,ly,ly,108,Det,Det,le,C/V\,DET,le,10,,
1028,108,9,bon,bon,108,Adj,Adj,bon,C/V\,ADJ,bon,10,,
1029,108,10,",",",",108,Pnc,Pnc,,,PUNCT,",",9,,
1030,109,1,j',j',109,Prn,Prn$,je,C/\,PRON,je,10,,
1031,109,2,ay,ay,109,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1032,109,3,noblement,noblement,109,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,noblement,9,,
1033,109,4,hanté,hanté,109,Vpp,Vpp,,C/V\.'C/V\,VERB,hanter,8,,
1034,109,5,",",",",109,Pnc,Pnc,,,PUNCT,",",9,,
1035,109,6,s',s',109,Adv,Adv,si4,C/\,ADV,si,10,,
1036,109,7,a,a,109,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1037,109,8,donné,donné,109,Vpp,Vpp,donner,C/V\.'C/V\,VERB,donner,10,,
1038,109,9,maint,maint,109,QIs,QIs,maint,C/V\,DET,maint,10,,
1039,109,10,biau,biau,109,Adj,Adj,beau,C/V\,ADJ,beau,10,,
1040,109,11,don,don,109,N,N,,C/V\,NOUN,don,3,,
1041,109,12,",",",",109,Pnc,Pnc,,,PUNCT,",",9,,
1042,110,1,tant,tant,110,QIs,QIs,tant,C/V\,ADV,tant,10,,
1043,110,2,que,que,110,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1044,110,3,j',j',110,Prn,Prn$,je,C/\,PRON,je,10,,
1045,110,4,ay,ay,110,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1046,110,5,retenu,retenu,110,Vpp,Vpp,retenir,C/V\.C/e\.'C/V\,VERB,retenir,10,,
1047,110,6,le,le,110,Det,Det,le,C/(e)\,DET,le,10,,
1048,110,7,mains,mains,110,Adv,Adv,moins,C/V\,ADV,moins,10,,
1049,110,8,en,en,110,Pre,Pre,en,/V\,ADP,en,10,,
1050,110,9,me,me,110,Det,Det,mon,C/(e)\,DET,mon,10,,
1051,110,10,parchon,parchon,110,N,N,,C/V\.'C/V\,NOUN,parçon,9,,
1052,110,11,",",",",110,Pnc,Pnc,,,PUNCT,",",9,,
1053,111,1,encore,encore,111,Adv,Adv,encore,/V\.'C/V\.C/(e)\,ADV,encore,10,,
1054,111,2,ay,ay,111,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1055,111,3,tant,tant,111,QIs,QIs,tant,C/V\,ADV,tant,10,,
1056,111,4,acrut,acrut,111,Vfin,Vfin,accroître,/V\.'C/V\,VERB,accroître,10,,
1057,111,5,",",",",111,Pnc,Pnc,,,PUNCT,",",9,,
1058,111,6,ja,ja,111,Adv,Adv,jà,C/V\,ADV,jà,10,,
1059,111,7,ne,ne,111,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
1060,111,8,vous,vous,111,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
1061,111,9,mentiron,mentiron,111,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,mentir,-1,mentir,DMF
1062,111,10,",",",",111,Pnc,Pnc,,,PUNCT,",",9,,
1063,112,1,qu',qu',112,Sub,Sub,que,C/\,SCONJ,que,10,,
1064,112,2,en,en,112,Pre,Pre,en,/V\,ADP,en,10,,
1065,112,3,ollenois,ollenois,112,N,N,,/V\.C/e\.'C/V\,NOUN,olonner,-10,orlenois,DMF
1066,112,4,ne,ne,112,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
1067,112,5,puis,puis,112,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
1068,112,6,plus,plus,112,Adv,Adv,plus,C/V\,ADV,plus,10,,
1069,112,7,faire,faire,112,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
1070,112,8,mansion,mansion,112,N,N,,C/V\.C/{V}\.'/V\,NOUN,mansion,9,,
1071,112,9,.,.,112,Pnc,Pnc,,,PUNCT,.,9,,
1072,113,1,je,je,113,Prn,Prn$,je,C/(e)\,PRON,je,10,,
1073,113,2,m',m',113,Prn,Prn$$,me,C/\,PRON,me,10,,
1074,113,3,en,en,113,Prn,Prn$$,en2,/V\,PRON,en,10,,
1075,113,4,yray,yray,113,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
1076,113,5,servir,servir,113,Vinf,Vinf,servir,C/V\.'C/V\,VERB,servir,10,,
1077,113,6,ung,ung,113,QIs,QIs,un,/V\,DET,un,10,,
1078,113,7,prinche,prinche,113,N,N,,'C/V\.C/(e)\,NOUN,prince,9,,
1079,113,8,de,de,113,Pre,Pre,de,C/(e)\,ADP,de,10,,
1080,113,9,renon,renon,113,N,N,,C/V\.'C/V\,NOUN,renom,9,,
1081,114,1,et,et,114,Crd,Crd,et,/V\,CCONJ,et,10,,
1082,114,2,je,je,114,Prn,Prn$,je,C/(e)\,PRON,je,10,,
1083,114,3,vous,vous,114,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
1084,114,4,vien,vien,114,Vfin,Vfin,venir,C/V\,VERB,venir,10,,
1085,114,5,veoir,veoir,114,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10,,
1086,114,6,ains,ains,114,PrA,PrA,ains,/V\,ADV,ains,10,,
1087,114,7,que,que,114,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1088,114,8,plus,plus,114,Adv,Adv,plus,C/V\,ADV,plus,10,,
1089,114,9,loin,loin,114,Adv,Adv,loin,C/V\,ADV,loin,10,,
1090,114,10,alon,alon,114,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10,,
1091,114,11,;,;,114,Pnc,Pnc,,,PUNCT,;,9,,
1092,115,1,se,se,115,Adv,Adv,si4,C/(e)\,ADV,si,10,,
1093,115,2,m',m',115,Prn,Prn$$,me,C/\,PRON,me,10,,
1094,115,3,aidiez,aidiez,115,Vfin,Vfin,aider,/V\.'C/V\,VERB,aider,10,,
1095,115,4,",",",",115,Pnc,Pnc,,,PUNCT,",",9,,
1096,115,5,s',s',115,Sub,Sub,si3,C/\,SCONJ,si,10,,
1097,115,6,i,i,115,Prn,Prn$$,y2,/V\,PRON,y,10,,
1098,115,7,vous,vous,115,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
1099,115,8,plaist,plaist,115,Vfin,Vfin,plaire,C/V\,VERB,plaire,10,,
1100,115,9,",",",",115,Pnc,Pnc,,,PUNCT,",",9,,
1101,115,10,onqiez,onqiez,115,Adv,Adv,onques,/V\.'C/V\,ADV,onques,10,,
1102,115,11,",",",",115,Pnc,Pnc,,,PUNCT,",",9,,
1103,115,12,a,a,115,Pre,Pre,à,/V\,ADP,à,10,,
1104,115,13,ce,ce,115,Dem,Dem,cist,C/(e)\,DET,cist,10,,
1105,115,14,beson,beson,115,N,N,,C/V\.'C/V\,NOUN,besoin,6,,
1106,115,15,.,.,115,Pnc,Pnc,,,PUNCT,.,9,,
1107,116,1,-,-,116,Pnc,Pnc,,,PUNCT,-,9,,
1108,116,2,biaus,biaus,116,Adj,Adj,beau,C/V\,ADJ,beau,10,,
1109,116,3,niez,niez,116,N,N,,C/V\,NOUN,neveu,8,,
1110,116,4,",",",",116,Pnc,Pnc,,,PUNCT,",",9,,
1111,116,5,dist,dist,116,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
1112,116,6,ly,ly,116,Det,Det,le,C/V\,DET,le,10,,
1113,116,7,bourgois,bourgois,116,N,N,,C/V\.'C/V\,NOUN,bourgeois,9,,
1114,116,8,",",",",116,Pnc,Pnc,,,PUNCT,",",9,,
1115,116,9,nous,nous,116,Prn,Prn$,nous,C/V\,PRON,nous,10,,
1116,116,10,vous,vous,116,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
1117,116,11,responderon,responderon,116,Vfin,Vfin,répondre,C/V\.C/V\.C/e\.'C/V\,VERB,répondre,10,,
1118,116,12,",",",",116,Pnc,Pnc,,,PUNCT,",",9,,
1119,117,1,en,en,117,Prn,Prn$$,en2,/V\,PRON,en,10,,
1120,117,2,vous,vous,117,Prn,Prn,vous,C/V\,PRON,vous,10,,
1121,117,3,a,a,117,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1122,117,4,jone,jone,117,Adj,Adj,,'C/V\.C/(e)\,ADJ,jeune,3,,
1123,117,5,enfant,enfant,117,N,N,,/V\.'C/V\,NOUN,enfant,3,,
1124,117,6,et,et,117,Crd,Crd,et,/V\,CCONJ,et,10,,
1125,117,7,moult,moult,117,QIs,QIs,moult,C/V\,ADV,moult,10,,
1126,117,8,biauz,biauz,117,Adj,Adj,beau,C/V\,ADJ,beau,10,,
1127,117,9,valeton,valeton,117,N,N,,C/V\.C/e\.'C/V\,NOUN,valeton,9,,
1128,117,10,",",",",117,Pnc,Pnc,,,PUNCT,",",9,,
1129,118,1,se,se,118,Adv,Adv,si4,C/(e)\,ADV,si,10,,
1130,118,2,n',n',118,Neg,Neg$$,ne,C/\,ADV,ne,10,,
