wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,lemma_gold
165,20,6,ny,ny,20,Crd,Crd,ne2,C/V\,CCONJ,ne,10,,ne2
166,20,7,par,par,20,Pre,Pre,par,C/V\,ADP,par,10,,par
167,20,8,serment,serment,20,N,N,,C/V\.'C/V\,NOUN,serment,9,,
168,20,9,.,.,20,Pnc,Pnc,,,PUNCT,.,9,,
169,21,1,ce,ce,21,Prn,Prn,ce,C/(e)\,PRON,ce,10,,ce
170,21,2,qu',qu',21,Qux,Qux,que,C/\,PRON,que,10,,que
171,21,3,on,on,21,Prn,Prn$,on,/V\,PRON,on,10,,on
172,21,4,faict,faict,21,Vfin,Vfin,faire,C/V\,VERB,faire,10,,faire
173,21,5,volontairement,volontairement,21,Adv,Adv,,C/V\.C/V\.C/V\.C/e\.'C/V\,ADV,volontairement,9,,
174,22,1,vault,vault,22,Vfin,Vfin,valoir,C/V\,VERB,valoir,10,,valoir
175,22,2,mieulx,mieulx,22,Adv,Adv,mieux,C/V\,ADV,mieux,10,,mieux
176,22,3,qu',qu',22,Sub,Sub,que,C/\,SCONJ,que,10,,que
177,22,4,a,a,22,Pre,Pre,à,/V\,ADP,à,10,,à
178,22,5,force,force,22,N,N,,'C/V\.C/(e)\,NOUN,force,3,,
179,22,6,mile,mile,22,QIs,QIs,un,'C/V\.C/(e)\,NUM,un,10,,un
180,22,7,foys,foys,22,N,N,,C/V\,NOUN,fois,3,,
181,22,8,.,.,22,Pnc,Pnc,,,PUNCT,.,9,,
182,23,1,quoy,quoy,23,Qux,Qux,que,C/V\,PRON,que,10,,que
183,23,2,?,?,23,Pnc,Pnc,,,PUNCT,?,9,,
184,23,3,nous,nous,23,Prn,Prn$,nous,C/V\,PRON,nous,10,,nous
185,23,4,fauldra,fauldra,23,Vfin,Vfin,faillir,C/V\.'C/V\,VERB,faillir,10,,faillir
186,23,5,l',l',23,Det,Det,le,C/\,DET,le,10,,le
187,23,6,entendement,entendement,23,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,entendement,8,,
188,23,7,?,?,23,Pnc,Pnc,,,PUNCT,?,9,,
189,24,1,prenons,prenons,24,Vfin,Vfin,prendre,C/V\.'C/V\,VERB,prendre,10,,prendre
190,24,2,courage,courage,24,N,N,,C/V\.'C/V\.C/(e)\,NOUN,courage,8,,
191,24,3,!,!,24,Pnc,Pnc,,,PUNCT,!,9,,
192,24,4,hault,hault,24,Adj,Adj,haut,C/V\,ADJ,haut,10,,haut
193,24,5,le,le,24,Det,Det,le,C/(e)\,DET,le,10,,le
194,24,6,boys,boys,24,N,N,,C/V\,NOUN,bois,8,,
195,24,7,",",",",24,Pnc,Pnc,,,PUNCT,",",9,,
196,25,1,encore,encore,25,Adv,Adv,encore,/V\.'C/V\.C/(e)\,ADV,encore,10,,encore
197,25,2,un,un,25,QIs,QIs,un,/V\,DET,un,10,,un
198,25,3,coup,coup,25,N,N,,C/V\,NOUN,coup,3,,
199,25,4,!,!,25,Pnc,Pnc,,,PUNCT,!,9,,
