wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1865,187,10,chiere,chiere,187,Adj,Adj,cher,'C/V\.C/(e)\,ADJ,cher,10,,
1866,187,11,l',l',187,Prn,Prn$$,le,C/\,PRON,le,10,,
1867,187,12,ai,ai,187,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1868,187,13,—,—,187,Pnc,Pnc,,,PUNCT,—,9,,
1869,188,1,et,et,188,Crd,Crd,et,/V\,CCONJ,et,10,,
1870,188,2,tibert,tibert,188,N,N,,C/V\.'C/V\,PROPN,Thibert,-10,Thibert,
1871,188,3,leur,leur,188,Det,Det,leur2,C/V\,DET,leur,10,,
1872,188,4,cousin,cousin,188,N,N,,C/V\.'C/V\,NOUN,cousin,3,,
1873,188,5,avoec,avoec,188,PrA,PrA,avec,/V\.'C/V\,ADV,avec,10,,
1874,188,6,envoierai,envoierai,188,Vfin,Vfin,envoyer,/V\.C/V\.C/e\.'C/V\,VERB,envoyer,10,,
1875,188,7,.,.,188,Pnc,Pnc,,,PUNCT,.,9,,
1876,189,1,bien,bien,189,Adv,Adv,bien,C/V\,ADV,bien,10,,
1877,189,2,savés,savés,189,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10,,
1878,189,3,que,que,189,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1879,189,4,tous,tous,189,QIs,QIs,tout,C/V\,DET,tout,10,,
1880,189,5,trois,trois,189,QIs,QIs,trois,C/V\,NUM,trois,10,,
1881,189,6,de,de,189,Pre,Pre,de,C/(e)\,ADP,de,10,,
1882,189,7,servage,servage,189,N,N,,C/V\.'C/V\.C/(e)\,NOUN,servage,9,,
1883,189,8,getai,getai,189,Vfin,Vfin,jeter,C/V\.'C/V\,VERB,jeter,10,,
1884,190,1,et,et,190,Crd,Crd,et,/V\,CCONJ,et,10,,
1885,190,2,que,que,190,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1886,190,3,de,de,190,Pre,Pre,de,C/(e)\,ADP,de,10,,
1887,190,4,mes,mes,190,Det,Det,mon,C/V\,DET,mon,10,,
1888,190,5,deniers,deniers,190,N,N,,C/V\.C/<V>\.'/V\,NOUN,denier,8,,
1889,190,6,chascun,chascun,190,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10,,
1890,190,7,d',d',190,Pre,Pre,de,C/\,ADP,de,10,,
1891,190,8,aus,aus,190,Prn,Prn,eux,/V\,PRON,eux,10,,
1892,190,9,rachetai,rachetai,190,Vfin,Vfin,racheter,C/V\.C/e\.'C/V\,VERB,racheter,10,,
1893,190,10,",",",",190,Pnc,Pnc,,,PUNCT,",",9,,
1894,191,1,et,et,191,Crd,Crd,et,/V\,CCONJ,et,10,,
1895,191,2,por,por,191,Pre,Pre,pour,C/V\,ADP,pour,10,,
1896,191,3,ceste,ceste,191,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,,
1897,191,4,raison,raison,191,N,N,,C/V\.'C/V\,NOUN,raison,8,,
1898,191,5,trop,trop,191,Adv,Adv,trop,C/V\,ADV,trop,10,,
1899,191,6,plus,plus,191,Adv,Adv,plus,C/V\,ADV,plus,10,,
1900,191,7,m',m',191,Prn,Prn$$,me,C/\,PRON,me,10,,
