wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2742,453,5,eust,eust,VER:subi:3:sg,465,Vfin,Vfin,avoir,/(V)\.'/V\,VERB,avoir,10,,
2743,453,6,desposé,desposé,VER:pper:masc:sg,465,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,déposer,3,,
2744,454,1,mal,mal,ADV,466,Adv,Adv,mal3,C/V\,ADV,mal,10,,
2745,454,2,li,li,PRO:pers:suj:3:masc:sg:bet,466,Prn,Prn$$,li,C/V\,PRON,li,10,,
2746,454,3,eust,eust,VER:subi:3:sg,466,Vfin,Vfin,avoir,/(V)\.'/V\,VERB,avoir,10,,
2747,454,4,onques,onques,ADV,466,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10,,
2748,454,5,osé,osé,VER:pper:masc:sg,466,Vpp,Vpp,oser,/V\.'C/V\,VERB,oser,10,,
2749,455,1,tolir,tolir,VER:infi,467,Vinf,Vinf,tolir,C/V\.'C/V\,VERB,tolir,10,,
2750,455,2,previlege,previlege,NOM:obj:masc:sg,467,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,privilège,6,,
2751,455,3,de,de,PRE,467,Pre,Pre,de,C/(e)\,ADP,de,10,,
2752,455,4,clerc,clerc,NOM:obj:masc:sg,467,N,N,,C/V\,NOUN,clerc,8,,
2753,456,1,car,car,CON:coord,468,Crd,Crd,car,C/V\,CCONJ,car,10,,
2754,456,2,il,il,PRO:pers:suj:3:masc:sg:unb,468,Prn,Prn$,il,/V\,PRON,il,10,,
2755,456,3,li,li,PRO:pers:suj:3:masc:sg:bet,468,Prn,Prn$$,li,C/V\,PRON,li,10,,
2756,456,4,eust,eust,VER:subi:3:sg,468,Vfin,Vfin,avoir,/(V)\.'/V\,VERB,avoir,10,,
2757,456,5,dit,dit,VER:pper:masc:sg,468,Vpp,Vpp,dire,C/V\,VERB,dire,10,,
2758,456,6,esprec,esprec,EXC,468,Exc,Exc,,/V\.'C/V\,INTJ,UNKNOWN,-10,exprès,DMF
2759,457,1,et,et,CON:coord,469,Crd,Crd,et,/V\,CCONJ,et,10,,
2760,457,2,si,si,PROCON,469,Adv,Adv,si4,C/V\,ADV,si,10,,
2761,457,3,eust,eust,VER:subi:3:sg,469,Vfin,Vfin,avoir,/(V)\.'/V\,VERB,avoir,10,,
2762,457,4,fait,fait,VER:pper:masc:sg,469,Vpp,Vpp,faire,C/V\,VERB,faire,10,,
2763,457,5,l',l,DET:def:obj:femi:sg,469,Det,Det,le,C/\,DET,le,10,,
2764,457,6,escarbote,escarbote,NOM:obj:femi:sg,469,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,escarbote,6,,
2765,458,1,mout,mout,ADV,470,QIs,QIs,moult,C/V\,ADV,moult,10,,
2766,458,2,est,est,VER:pres:3:sg,470,Vfin,Vfin,être,/V\,VERB,être,10,,
2767,458,3,sages,sages,ADJ:suj:masc:sg,470,Adj,Adj,sage,'C/V\.C/e\,ADJ,sage,10,,
2768,458,4,s,s,PROCON,470,Sub,Sub,si3,C/\,SCONJ,si,10,,
2769,458,5,il,il,PRO:pers:suj:3:masc:sg:unb,470,Prn,Prn$,il,/V\,PRON,il,10,,
2770,458,6,ne,ne,PRO:clit,470,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2771,458,7,radote,radote,VER:pres:3:sg,470,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,radoter,6,,
2772,459,1,mais,mais,CON:coord,471,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
2773,459,2,mados,mados,NPR:suj:masc:sg,471,N,N,,C/V\.'C/V\,NOUN,mados,-10,?,
2774,459,3,et,et,CON:coord,471,Crd,Crd,et,/V\,CCONJ,et,10,,
2775,459,4,gilles,gilles,NPR:suj:masc:sg,471,N,N,,'C/V\.C/e\,NOUN,guile,5,,
2776,459,5,de,de,PRE,471,Pre,Pre,de,C/(e)\,ADP,de,10,,
2777,459,6,sains,sains,NPR:obj:masc:sg,471,Adj,Adj,saint,C/V\,ADJ,saint,10,,
2778,460,1,ne,ne,PRO:clit,472,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2779,460,2,s,s,PROCON,472,Prn,Prn$$,se,C/\,PRON,se,10,,
2780,460,3,en,en,PRO:clit,472,Prn,Prn$$,en2,/V\,PRON,en,10,,
2781,460,4,atissent,atissent,VER:pres:3:pl,472,Vfin,Vfin,,/V\.'C/V\.C/e\,VERB,attiser,6,,
2782,460,5,mie,mie,ADV,472,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10,,
2783,460,6,mains,mains,ADV,472,Adv,Adv,moins,C/V\,ADV,moins,10,,
2784,461,1,maistres,maistres,NOM:suj:masc:sg,473,N,N,,'C/V\.C/e\,PROPN|NOUN,maître,8,,
2785,461,2,gilles,gilles,NPR:suj:masc:sg,473,N,N,,'C/V\.C/e\,NOUN,guile,5,,
2786,461,3,ert,ert,VER:futu:3:sg,473,Vfin,Vfin,être,/V\,VERB,être,10,,
2787,461,4,avocas,avocas,NOM:suj:masc:sg,473,N,N,,/V\.C/V\.'C/V\,NOUN,avocat,8,,
2788,462,1,si,si,PROCON,474,Adv,Adv,si4,C/V\,ADV,si,10,,
2789,462,2,metera,metera,VER:futu:3:sg,474,Vfin,Vfin,mettre,C/V\.C/e\.'C/V\,VERB,mettre,10,,
2790,462,3,avant,avant,PRE,474,PrA,PrA,avant,/V\.'C/V\,ADP,avant,10,,
2791,462,4,les,les,DET:def:obj:masc:pl,474,Det,Det,le,C/V\,DET,le,10,,
2792,462,5,cas,cas,NOM:obj:masc:pl,474,N,N,,C/V\,NOUN,cas,3,,
2793,463,1,pour,pour,PRE,475,Pre,Pre,pour,C/V\,ADP,pour,10,,
2794,463,2,leur,leur,DET:poss:obj:masc:sg,475,Det,Det,leur2,C/V\,DET,leur,10,,
2795,463,3,previlege,previlege,NOM:obj:masc:sg,475,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,privilège,6,,
2796,463,4,ravoir,ravoir,VER:infi,475,Vinf,Vinf,ravoir,C/V\.'C/V\,VERB,ravoir,10,,
2797,464,1,et,et,CON:coord,476,Crd,Crd,et,/V\,CCONJ,et,10,,
2798,464,2,dist,dist,VER:pres:3:sg,476,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
2799,464,3,qu,qu,PROCON,476,Sub,Sub,que,C/\,SCONJ,que,10,,
2800,464,4,il,il,PRO:pers:suj:3:masc:sg:unb,476,Prn,Prn$,il,/V\,PRON,il,10,,
2801,464,5,livrera,livrera,VER:futu:3:sg,476,Vfin,Vfin,,C/V\.C/e\.'C/V\,VERB,livrer,9,,
2802,464,6,savoir,savoir,VER:infi,476,Vinf,Vinf,savoir,C/V\.'C/V\,VERB,savoir,10,,
2803,465,1,se,se,PROCON,477,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
2804,465,2,jehans,jehans,NPR:suj:masc:sg,477,N,N,,C/(V)\.'/V\,NOUN,Jean,2,,
2805,465,3,crespins,crespins,NPR:suj:masc:sg,477,N,N,,C/V\.'C/V\,NOUN,chrépin,-10,Crespin,Jean Crespin – Wikipedia 
2806,465,4,livre,livre,VER:pres:3:sg,477,Vfin,Vfin,,'C/V\.C/(e)\,VERB,livrer,8,,
2807,465,5,argent,argent,NOM:obj:masc:sg,477,N,N,,/V\.'C/V\,NOUN,argent,8,,
2808,466,1,et,et,CON:coord,478,Crd,Crd,et,/V\,CCONJ,et,10,,
2809,466,2,jehans,jehans,NPR:suj:masc:sg,478,N,N,,C/(V)\.'/V\,NOUN,Jean,2,,
2810,466,3,leur,leur,PRO:pers:dat:3:pl,478,Prn,Prn$$,leur,C/V\,PRON,leur,10,,
2811,466,4,a,a,VER:pres:3:sg,478,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2812,466,5,en,en,PRE,478,Pre,Pre,en,/V\,ADP,en,10,,
2813,466,6,couvent,couvent,NOM:obj:masc:sg,478,N,N,,C/V\.'C/V\,NOUN,convent,3,,
2814,467,1,qu,qu,PROCON,479,Sub,Sub,que,C/\,SCONJ,que,10,,
2815,467,2,il,il,PRO:pers:suj:3:masc:sg:unb,479,Prn,Prn$,il,/V\,PRON,il,10,,
2816,467,3,livrera,livrera,VER:futu:3:sg,479,Vfin,Vfin,,C/V\.C/e\.'C/V\,VERB,livrer,9,,
2817,467,4,de,de,PRE,479,Pre,Pre,de,C/(e)\,ADP,de,10,,
2818,467,5,l',l,DET:def:obj:femi:sg,479,Det,Det,le,C/\,DET,le,10,,
2819,467,6,aubenaille,aubenaille,NOM:obj:femi:sg,479,N,N,,/V\.C/e\.'C/V\.C/(e)\,NOUN,aubenaille,-10,magot/monnaie/écus,"SUR QUATRE MOTS DU ""JEU DE LA FEUILLÉE"" on JSTOR "
2820,468,1,car,car,CON:coord,480,Crd,Crd,car,C/V\,CCONJ,car,10,,
2821,468,2,mout,mout,ADV,480,QIs,QIs,moult,C/V\,ADV,moult,10,,
2822,468,3,ert,ert,VER:futu:3:sg,480,Vfin,Vfin,être,/V\,VERB,être,10,,
2823,468,4,dolans,dolans,ADJ:suj:masc:sg,480,Adj,Adj,dolent,C/V\.'C/V\,ADJ,dolent,10,,
2824,468,5,s,s,PROCON,480,Sub,Sub,si3,C/\,SCONJ,si,10,,
2825,468,6,on,on,PRO:invar,480,Prn,Prn$,on,/V\,PRON,on,10,,
2826,468,7,le,le,PRO:pers:obj:3:masc:sg:unb,480,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
2827,468,8,taille,taille,VER:pres:3:sg,480,Vfin,Vfin,,'C/V\.C/(e)\,VERB,tailler,8,,
2828,469,1,chis,chis,PRO:demo:suj:masc:sg,481,Dem,Dem,cist,C/V\,PRON,cist,10,,
2829,469,2,fera,fera,VER:futu:3:sg,481,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10,,
2830,469,3,du,du,PREDET:de:obj:masc:sg,481,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
2831,469,4,frait,frait,NOM:obj:masc:sg,481,Adj,Adj,,C/V\,ADJ,frait|fraindre|fret|frais,-1,fret,DMF
2832,469,5,par,par,PRE,481,Pre,Pre,par,C/V\,ADP,par,10,,
2833,469,6,tout,tout,PRO:ind:obj:masc:sg,481,QIs,QIs,tout,C/V\,DET,tout,10,,
2834,469,7,fin,fin,ADJ:obj:masc:sg,481,N,N,,C/V\,NOUN,fin,3,,
2835,470,1,mais,mais,CON:coord,482,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
2836,470,2,pres,pres,ADV,482,PrA,PrA,près,C/V\,ADV,près,10,,
2837,470,3,de,de,PRE,482,Pre,Pre,de,C/(e)\,ADP,de,10,,
2838,470,4,mi,mi,PRO:pers:obj:1:sg:bet,482,Prn,Prn,moi,C/V\,PRON,moi,10,,
2839,470,5,sont,sont,VER:pres:3:pl,482,Vfin,Vfin,être,C/V\,VERB,être,10,,
2840,470,6,doi,doi,ADJ:card,482,QIs,QIs,deux,C/V\,NUM,deux,10,,
2841,470,7,voisin,voisin,NOM:suj:masc:pl,482,N,N,,C/V\.'C/V\,NOUN,voisin,8,,
2842,471,1,en,en,PRE,483,Pre,Pre,en,/V\,ADP,en,10,,
2843,471,2,cité,cité,NOM:obj:femi:sg,483,N,N,,C/V\.'C/V\,NOUN,cité,8,,
2844,471,3,qui,qui,PROCON,483,Qux,Qux,qui,C/V\,PRON,qui,10,,
2845,471,4,sont,sont,VER:pres:3:pl,483,Vfin,Vfin,être,C/V\,VERB,être,10,,
2846,471,5,bon,bon,ADJ:suj:masc:pl,483,Adj,Adj,bon,C/V\,ADJ,bon,10,,
2847,471,6,notaire,notaire,NOM:suj:masc:pl,483,N,N,,C/V\.'C/V\.C/(e)\,NOUN,notaire,8,,
2848,472,1,car,car,CON:coord,484,Crd,Crd,car,C/V\,CCONJ,car,10,,
2849,472,2,il,il,PRO:pers:suj:3:masc:pl,484,Prn,Prn$,il,/V\,PRON,il,10,,
2850,472,3,s,s,PROCON,484,Prn,Prn$$,se,C/\,PRON,se,10,,
2851,472,4,atissent,atissent,VER:pres:3:pl,484,Vfin,Vfin,,/V\.'C/V\.C/e\,VERB,attiser,6,,
2852,472,5,bien,bien,ADV,484,Adv,Adv,bien,C/V\,ADV,bien,10,,
2853,472,6,de,de,PRE,484,Pre,Pre,de,C/(e)\,ADP,de,10,,
2854,472,7,faire,faire,VER:infi,484,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
2855,473,1,pour,pour,PRE,485,Pre,Pre,pour,C/V\,ADP,pour,10,,
2856,473,2,nient,nient,ADV,485,Prn,Prn,nïent,C/{V}\.'/V\,PRON,nïent,10,,
2857,473,3,tous,tous,DET:ind:obj:masc:pl,485,QIs,QIs,tout,C/V\,DET,tout,10,,
2858,473,4,les,les,DET:def:obj:masc:pl,485,Det,Det,le,C/V\,DET,le,10,,
2859,473,5,escris,escris,NOM:obj:masc:pl,485,N,N,,/V\.'C/V\,NOUN,écrit,3,,
2860,473,6,du,du,PREDET:de:obj:masc:sg,485,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
2861,473,7,plait,plait,NOM:obj:masc:sg,485,N,N,,C/V\,NOUN,plaid,8,,
2862,474,1,car,car,CON:coord,486,Crd,Crd,car,C/V\,CCONJ,car,10,,
2863,474,2,le,le,DET:def:obj:masc:sg,486,Det,Det,le,C/(e)\,DET,le,10,,
2864,474,3,fait,fait,NOM:obj:masc:sg,486,N,N,,C/V\,NOUN,fait,8,,
2865,474,4,tienent,tienent,VER:pres:3:pl,486,Vfin,Vfin,tenir,'C/V\.C/e\,VERB,tenir,10,,
2866,474,5,a,a,PRE,486,Pre,Pre,à,/V\,ADP,à,10,,
2867,474,6,trop,trop,ADV,486,Adv,Adv,trop,C/V\,ADV,trop,10,,
2868,474,7,lait,lait,ADJ:obj:masc:sg,486,Adj,Adj,laid,C/V\,ADJ,laid,10,,
2869,475,1,pour,pour,PRE,487,Pre,Pre,pour,C/V\,ADP,pour,10,,
2870,475,2,chou,chou,PRO:invar,487,Prn,Prn,ce,C/V\,PRON,ce,10,,
2871,475,3,qu,qu,PROCON,487,Sub,Sub,que,C/\,SCONJ,que,10,,
2872,475,4,il,il,PRO:pers:suj:3:masc:pl,487,Prn,Prn$,il,/V\,PRON,il,10,,
2873,475,5,sont,sont,VER:pres:3:pl,487,Vfin,Vfin,être,C/V\,VERB,être,10,,
2874,475,6,andoi,andoi,ADJ:card,487,QIs,QIs,ambedeux,/V\.'C/V\,NUM,ambedeux,10,,
2875,475,7,bigame,bigame,NOM:suj:masc:pl,487,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bigame,9,,
2876,476,1,qui,qui,PROCON,488,Qux,Qux,qui,C/V\,PRON,qui,10,,
2877,476,2,sont,sont,VER:pres:3:pl,488,Vfin,Vfin,être,C/V\,VERB,être,10,,
2878,476,3,il,il,PRO:pers:suj:3:masc:pl,488,Prn,Prn%,il,/V\,PRON,il,10,,
2879,476,4,colars,colars,NPR:suj:masc:sg,488,N,N,,C/V\.'C/V\,PROPN|NOUN,Colard,8,,
2880,476,5,fousedame,fousedame,NPR:suj:masc:sg,488,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,fossedame,-10,Fout sa dame Maroie,Colars Fousedame | PARLI 
