wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1387,147,5,terre,terre,147,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
1388,147,6,conquise,conquise,147,Vpp,Vpp,conquérir,C/V\.'C/V\.C/(e)\,VERB,conquérir,10,,
1389,147,7,et,et,147,Crd,Crd,et,/V\,CCONJ,et,10,,
1390,147,8,aquitee,aquitee,147,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\,VERB,acquitter,9,,
1391,147,9,",",",",147,Pnc,Pnc,,,PUNCT,",",9,,
1392,148,1,mains,mains,148,QIs,QIs,maint,C/V\,DET,maint,10,,
1393,148,2,bors,bors,148,N,N,,C/V\,NOUN,bourg,3,,
1394,148,3,et,et,148,Crd,Crd,et,/V\,CCONJ,et,10,,
1395,148,4,mains,mains,148,QIs,QIs,maint,C/V\,DET,maint,10,,
1396,148,5,castels,castels,148,N,N,,C/V\.'C/V\,NOUN,château,9,,
1397,148,6,",",",",148,Pnc,Pnc,,,PUNCT,",",9,,
1398,148,7,mainte,mainte,148,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10,,
1399,148,8,cité,cité,148,N,N,,C/V\.'C/V\,NOUN,cité,8,,
1400,148,9,quasee,quasee,148,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,caser,-10,chaser,DMF
1401,148,10,",",",",148,Pnc,Pnc,,,PUNCT,",",9,,
1402,149,1,dont,dont,149,Adv,Adv,donc,C/V\,ADV,donc,10,,
1403,149,2,li,li,149,Det,Det,le,C/V\,DET,le,10,,
1404,149,3,crestientés,crestientés,149,N,N,,C/V\.C/{V}\./V\.'C/V\,NOUN,chrétienté,8,,
1405,149,4,iert,iert,149,Vfin,Vfin,être,/V\,VERB,être,10,,
1406,149,5,maint,maint,149,QIs,QIs,maint,C/V\,DET,maint,10,,
1407,149,6,jor,jor,149,N,N,,C/V\,NOUN,jour,8,,
1408,149,7,apelee,apelee,149,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\,VERB,appeler,10,,
1409,150,1,et,et,150,Crd,Crd,et,/V\,CCONJ,et,10,,
1410,150,2,li,li,150,Det,Det,le,C/V\,DET,le,10,,
1411,150,3,lois,lois,150,Adj,Adj,,C/V\,ADJ,lais|loi|loir|Louis|loi,-1,louche2,DMF
1412,150,4,damedeu,damedeu,150,N,N,,C/V\.C/e\.'C/V\,PROPN,damedieu,2,,
