wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR
44,8,2,ans,ans,58,N,N,,/V\,NOUN,an,8,
45,8,3,d,d,58,Pre,Pre,de,C/\,ADP,de,10,
46,8,4,aage,aage,58,N,N,,/(V)\.'/V\,NOUN,âge,3,
47,8,5,avoie,avoie,58,Vfin,Vfin,avoir,/V\.'C/V\./(e)\,VERB,avoir,10,
48,8,6,avec,avec,58,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,
49,8,7,.XX.,.xx.,58,QIs,QIs,vingt,C/V\,NUM,vingt,10,
50,9,1,Ou,ou,59,Crd,Crd,ou,/V\,CCONJ,ou,10,
51,9,2,environ,environ,59,PrA,PrA,environ,/V\.C/V\.'C/V\,ADV,environ,10,
52,9,3,;,;,59,Pnc,Pnc,,,PUNCT,;,9,
53,9,4,ne,ne,59,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,
54,9,5,fu,fu,59,Vfin,Vfin,être,C/V\,VERB,être,10,
55,9,6,pas,pas,59,Neg,Neg,pas,C/V\,ADV,pas,10,
56,9,7,songe,songe,59,N,N,,'C/V\.C/(e)\,NOUN,songe,8,
57,10,1,Quant,quant,60,Sub,Sub,quand,C/V\,SCONJ,quand,10,
58,10,2,ce,ce,60,Prn,Prn,ce,C/(e)\,PRON,ce,10,
59,10,3,m,m,60,Prn,Prn$$,me,C/\,PRON,me,10,
60,10,4,avint,avint,60,Vfin,Vfin,avenir,/V\.'C/V\,VERB,avenir,10,
61,10,5,",",",",60,Pnc,Pnc,,,PUNCT,",",9,
62,10,6,et,et,60,Crd,Crd,et,/V\,CCONJ,et,10,
63,10,7,",",",",60,Pnc,Pnc,,,PUNCT,",",9,
64,10,8,sanz,sanz,60,Pre,Pre,sans,C/V\,ADP,sans,10,
65,10,9,mençonge,mençonge,60,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mensonge,8,
66,10,10,",",",",60,Pnc,Pnc,,,PUNCT,",",9,
67,11,1,Je,je,61,Prn,Prn$,je,C/(e)\,PRON,je,10,
68,11,2,raconteray,raconteray,61,Vfin,Vfin,raconter,C/V\.C/V\.C/e\.'C/V\,VERB,raconter,10,
69,11,3,grant,grant,61,Adj,Adj,grand,C/V\,ADJ,grand,10,
70,11,4,merveille,merveille,61,N,N,,C/V\.'C/V\.C/(e)\,NOUN,merveille,8,
71,11,5,",",",",61,Pnc,Pnc,,,PUNCT,",",9,
72,12,1,Mais,mais,62,Crd,Crd,mais,C/V\,CCONJ,mais,10,
73,12,2,pourtant,pourtant,62,Adv,Adv,pourtant,C/V\.'C/V\,ADV,pourtant,10,
74,12,3,nul,nul,62,QIs,QIs,nul,C/V\,PRON,nul,10,
75,12,4,ne,ne,62,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,
76,12,5,s,s,62,Prn,Prn$$,se,C/\,PRON,se,10,
77,12,6,en,en,62,Prn,Prn$$,en2,/V\,PRON,en,10,
78,12,7,merveille,merveille,62,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,merveiller,8,
79,12,8,",",",",62,Pnc,Pnc,,,PUNCT,",",9,
80,13,1,Car,car,63,Crd,Crd,car,C/V\,CCONJ,car,10,
81,13,2,Fortune,fortune,63,N,N,,C/V\.'C/V\.C/(e)\,NOUN,fortune,8,
82,13,3,",",",",63,Pnc,Pnc,,,PUNCT,",",9,
83,13,4,qui,qui,63,Qux,Qux,qui,C/V\,PRON,qui,10,
84,13,5,tout,tout,63,QIs,QIs,tout,C/V\,PRON,tout,10,
85,13,6,desguise,desguise,63,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,déguiser,9,
86,14,1,Et,et,64,Crd,Crd,et,/V\,CCONJ,et,10,
87,14,2,fait,fait,64,Vfin,Vfin,faire,C/V\,VERB,faire,10,
88,14,3,et,et,64,Crd,Crd,et,/V\,CCONJ,et,10,
89,14,4,deffait,deffait,64,Vfin,Vfin,défaire,C/V\.'C/V\,VERB,défaire,10,
90,14,5,a,a,64,Pre,Pre,à,/V\,ADP,à,10,
91,14,6,sa,sa,64,Det,Det,son4,C/V\,DET,son,10,
92,14,7,guise,guise,64,N,N,,'C/V\.C/(e)\,NOUN,guise,8,
93,14,8,",",",",64,Pnc,Pnc,,,PUNCT,",",9,
94,15,1,Fist,fist,65,Vfin,Vfin,faire,C/V\,VERB,faire,10,
95,15,2,toute,toute,65,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,
96,15,3,la,la,65,Det,Det,le,C/V\,DET,le,10,
97,15,4,mutacion,mutacion,65,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,mutation,9,
98,15,5,",",",",65,Pnc,Pnc,,,PUNCT,",",9,
99,16,1,Dont,dont,66,Qux,Qux,dont,C/V\,PRON,dont,10,
100,16,2,je,je,66,Prn,Prn$,je,C/(e)\,PRON,je,10,
101,16,3,feray,feray,66,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10,
102,16,4,ci,ci,66,Adv,Adv,ci,C/V\,ADV,ci,10,
103,16,5,mencion,mencion,66,N,N,,C/V\.C/{V}\.'/V\,NOUN,mention,3,
104,16,6,;,;,66,Pnc,Pnc,,,PUNCT,;,9,
105,17,1,Et,et,67,Crd,Crd,et,/V\,CCONJ,et,10,
106,17,2,",",",",67,Pnc,Pnc,,,PUNCT,",",9,
107,17,3,puisque,puisque,67,Sub,Sub,puisque,'C/V\.C/(e)\,SCONJ,puisque,10,
108,17,4,par,par,67,Pre,Pre,par,C/V\,ADP,par,10,
109,17,5,elle,elle,67,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10,
110,17,6,fu,fu,67,Vfin,Vfin,être,C/V\,VERB,être,10,
111,17,7,fait,fait,67,Vpp,Vpp,faire,C/V\,VERB,faire,10,
112,17,8,",",",",67,Pnc,Pnc,,,PUNCT,",",9,
113,18,1,Nul,nul,68,QIs,QIs,nul,C/V\,PRON,nul,10,
114,18,2,ne,ne,68,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,
115,18,3,doit,doit,68,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,
116,18,4,merveiller,merveiller,68,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,merveiller,9,
117,18,5,du,du,68,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
118,18,6,fait,fait,68,N,N,,C/V\,NOUN,fait,8,
119,18,7,",",",",68,Pnc,Pnc,,,PUNCT,",",9,
120,19,1,Car,car,69,Crd,Crd,car,C/V\,CCONJ,car,10,
121,19,2,",",",",69,Pnc,Pnc,,,PUNCT,",",9,
122,19,3,quoyqu,quoyqu,69,Qux,Qux,quoique,C/V\,PRON,quoique,10,
123,19,4,el,el,69,Prn,Prn$,elle,/V\,PRON,elle,10,
124,19,5,sache,sache,69,Vfin,Vfin,savoir,'C/V\.C/(e)\,VERB,savoir,10,
125,19,6,decevoir,decevoir,69,Vinf,Vinf,décevoir,C/V\.C/e\.'C/V\,VERB,décevoir,10,
126,19,7,",",",",69,Pnc,Pnc,,,PUNCT,",",9,
127,20,1,Chacun,chacun,70,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10,
128,20,2,peut,peut,70,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,
129,20,3,bien,bien,70,Adv,Adv,bien,C/V\,ADV,bien,10,
130,20,4,appercevoir,appercevoir,70,Vinf,Vinf,apercevoir,/V\.C/V\.C/e\.'C/V\,VERB,apercevoir,10,
131,21,1,Qu,qu,71,Sub,Sub,que,C/\,SCONJ,que,10,
132,21,2,elle,elle,71,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10,
133,21,3,a,a,71,Vfin,Vfin,avoir,/V\,VERB,avoir,10,
134,21,4,pouoir,pouoir,71,N,N,pouvoir,C/V\.'C/V\,PROPN|NOUN,pouvoir,10,
135,21,5,de,de,71,Pre,Pre,de,C/(e)\,ADP,de,10,
136,21,6,gouverner,gouverner,71,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,gouverner,9,
137,22,1,Quan,quan,72,Qux,Qux,quant,C/V\,PRON,quant,10,
138,22,2,que,que,72,Sub,Sub,que,C/(e)\,SCONJ,que,10,
139,22,3,on,on,72,Prn,Prn$,on,/V\,PRON,on,10,
140,22,4,voit,voit,72,Vfin,Vfin,voir,C/V\,VERB,voir,10,
141,22,5,ou,ou,72,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,
142,22,6,monde,monde,72,N,N,,'C/V\.C/(e)\,NOUN,monde,8,
143,22,7,regner,regner,72,Vinf,Vinf,,C/V\.'C/V\,VERB,régner,9,
144,22,8,.,.,72,Pnc,Pnc,,,PUNCT,.,9,
145,23,1,Tout,tout,73,QIs,QIs,tout,C/V\,ADV,tout,10,
146,23,2,soit,soit,73,Vfin,Vfin,être,C/V\,VERB,être,10,
147,23,3,elle,elle,73,Prn,Prn%,elle,'/V\.C/(e)\,PRON,elle,10,
148,23,4,vaine,vaine,73,Adj,Adj,,'C/V\.C/(e)\,ADJ,vain,8,
149,23,5,et,et,73,Crd,Crd,et,/V\,CCONJ,et,10,
150,23,6,inmonde,inmonde,73,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,immonde,9,
151,23,7,",",",",73,Pnc,Pnc,,,PUNCT,",",9,
152,24,1,Soubz,soubz,74,PrA,PrA,sous,C/V\,ADP,sous,10,
153,24,2,sa,sa,74,Det,Det,son4,C/V\,DET,son,10,
154,24,3,main,main,74,N,N,,C/V\,NOUN,main,8,
155,24,4,gist,gist,74,Vfin,Vfin,gésir,C/V\,VERB,gésir,10,
156,24,5,l,l,74,Det,Det,le,C/\,DET,le,10,
157,24,6,univers,univers,74,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,univers,8,
158,24,7,monde,monde,74,Adj,Adj,,'C/V\.C/(e)\,ADJ,monde,8,
159,24,8,",",",",74,Pnc,Pnc,,,PUNCT,",",9,
160,25,1,Quant,quant,75,Sub,Sub,quand,C/V\,SCONJ,quand,10,
161,25,2,est,est,75,Vfin,Vfin,être,/V\,VERB,être,10,
162,25,3,des,des,75,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
163,25,4,choses,choses,75,N,N,,'C/V\.C/e\,NOUN,chose,8,
164,25,5,transitoires,transitoires,75,Adj,Adj,,C/V\.C/V\.'C/V\.C/e\,ADJ,transitoire,9,
165,25,6,.,.,75,Pnc,Pnc,,,PUNCT,.,9,
166,26,1,Pertes,pertes,76,N,N,,'C/V\.C/e\,NOUN,perte,9,
167,26,2,peut,peut,76,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,
168,26,3,donner,donner,76,Vinf,Vinf,donner,C/V\.'C/V\,VERB,donner,10,
169,26,4,et,et,76,Crd,Crd,et,/V\,CCONJ,et,10,
170,26,5,victoires,victoires,76,N,N,,C/V\.'C/V\.C/e\,NOUN,victoire,3,
171,26,6,",",",",76,Pnc,Pnc,,,PUNCT,",",9,
172,27,1,Honneur,honneur,77,N,N,,/V\.'C/V\,NOUN,honneur,8,
173,27,2,",",",",77,Pnc,Pnc,,,PUNCT,",",9,
174,27,3,chevance,chevance,77,N,N,,C/V\.'C/V\.C/(e)\,NOUN,chevance,9,
175,27,4,et,et,77,Crd,Crd,et,/V\,CCONJ,et,10,
176,27,5,le,le,77,Det,Det,le,C/(e)\,DET,le,10,
177,27,6,contraire,contraire,77,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,contraire,8,
178,27,7,",",",",77,Pnc,Pnc,,,PUNCT,",",9,
179,28,1,Et,et,78,Crd,Crd,et,/V\,CCONJ,et,10,
180,28,2,estrangement,estrangement,78,Adv,Adv,,/V\.C/V\.C/e\.'C/V\,ADV,étrangement,9,
181,28,3,a,a,78,Pre,Pre,à,/V\,ADP,à,10,
182,28,4,chief,chief,78,N,N,,C/V\,NOUN,chef,8,
183,28,5,traire,traire,78,Vinf,Vinf,traire,'C/V\.C/(e)\,VERB,traire,10,
184,29,1,Choses,choses,79,N,N,,'C/V\.C/e\,NOUN,chose,8,
185,29,2,qui,qui,79,Qux,Qux,qui,C/V\,PRON,qui,10,
186,29,3,semblent,semblent,79,Vfin,Vfin,sembler,'C/V\.C/e\,VERB,sembler,10,
187,29,4,impossibles,impossibles,79,Adj,Adj,,/V\.C/V\.'C/V\.C/e\,ADJ,impossible,9,
188,29,5,",",",",79,Pnc,Pnc,,,PUNCT,",",9,
189,30,1,Et,et,80,Crd,Crd,et,/V\,CCONJ,et,10,
190,30,2,anientir,anientir,80,Vinf,Vinf,,/V\.C/V\.C/V\.'C/V\,VERB,anéantir,8,
191,30,3,les,les,80,Det,Det,le,C/V\,DET,le,10,
192,30,4,possibles,possibles,80,Adj,Adj,,C/V\.'C/V\.C/e\,ADJ,possible,9,
193,30,5,.,.,80,Pnc,Pnc,,,PUNCT,.,9,
194,31,1,Souvent,souvent,81,Adv,Adv,souvent,C/V\.'C/V\,ADV,souvent,10,
195,31,2,voit,voit,81,Vfin,Vfin,voir,C/V\,VERB,voir,10,
196,31,3,on,on,81,Prn,Prn%,on,/V\,PRON,on,10,
197,31,4,qu,qu,81,Sub,Sub,que,C/\,SCONJ,que,10,
198,31,5,elle,elle,81,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10,
199,31,6,fait,fait,81,Vfin,Vfin,faire,C/V\,VERB,faire,10,
200,31,7,traire,traire,81,Vinf,Vinf,traire,'C/V\.C/(e)\,VERB,traire,10,
201,32,1,Maintes,maintes,82,QIs,QIs,maint,'C/V\.C/e\,DET,maint,10,
202,32,2,choses,choses,82,N,N,,'C/V\.C/e\,NOUN,chose,8,
203,32,3,a,a,82,Pre,Pre,à,/V\,ADP,à,10,
204,32,4,leur,leur,82,Det,Det,leur2,C/V\,DET,leur,10,
205,32,5,contraire,contraire,82,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,contraire,8,
206,32,6,",",",",82,Pnc,Pnc,,,PUNCT,",",9,
207,33,1,Et,et,83,Crd,Crd,et,/V\,CCONJ,et,10,
208,33,2,meismes,meismes,83,Adj,Adj,même,C/(V)\.'/V\.C/e\,ADJ,même,10,
209,33,3,les,les,83,Prn,Prn,le,C/V\,PRON,le,10,
210,33,4,façons,façons,83,N,N,,C/V\.'C/V\,NOUN,façon,8,
211,33,5,des,des,83,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
212,33,6,corps,corps,83,N,N,,C/V\,NOUN,corps,3,
213,33,7,",",",",83,Pnc,Pnc,,,PUNCT,",",9,
214,34,1,Qui,qui,84,Qux,Qux,qui,C/V\,PRON,qui,10,
215,34,2,plus,plus,84,Adv,Adv,plus,C/V\,ADV,plus,10,
216,34,3,est,est,84,Vfin,Vfin,être,/V\,VERB,être,10,
217,34,4,grant,grant,84,Adj,Adj,grand,C/V\,ADJ,grand,10,
218,34,5,merveille,merveille,84,N,N,,C/V\.'C/V\.C/(e)\,NOUN,merveille,8,
219,34,6,encors,encors,84,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10,
220,34,7,",",",",84,Pnc,Pnc,,,PUNCT,",",9,
221,35,1,A,a,85,Pre,Pre,à,/V\,ADP,à,10,
222,35,2,la,la,85,Det,Det,le,C/V\,DET,le,10,
223,35,3,foix,foix,85,N,N,,C/V\,NOUN,fois,8,
224,35,4,mue,mue,85,Vfin,Vfin,muer,'C/V\./(e)\,VERB,muer,10,
225,35,5,estrangement,estrangement,85,Adv,Adv,,/V\.C/V\.C/e\.'C/V\,ADV,étrangement,9,
226,35,6,.,.,85,Pnc,Pnc,,,PUNCT,.,9,
227,36,1,Trop,trop,86,Adv,Adv,trop,C/V\,ADV,trop,10,
228,36,2,est,est,86,Vfin,Vfin,être,/V\,VERB,être,10,
229,36,3,commun,commun,86,Adj,Adj,,C/V\.'C/V\,ADJ,commun,8,
230,36,4,son,son,86,Det,Det,son4,C/V\,DET,son,10,
231,36,5,changement,changement,86,N,N,,C/V\.C/e\.'C/V\,NOUN,changement,9,
232,36,6,.,.,86,Pnc,Pnc,,,PUNCT,.,9,
233,37,1,En,en,87,Pre,Pre,en,/V\,ADP,en,10,
234,37,2,toute,toute,87,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,
235,37,3,chose,chose,87,N,N,,'C/V\.C/(e)\,NOUN,chose,8,
236,37,4,a,a,87,Pre,Pre,à,/V\,ADP,à,10,
237,37,5,temps,temps,87,N,N,,C/V\,NOUN,temps,8,
238,37,6,finie,finie,87,Vpp,Vpp,finir,C/V\.'C/V\./(e)\,VERB,finir,10,
239,38,1,Est,est,88,Vfin,Vfin,être,/V\,VERB,être,10,
240,38,2,sa,sa,88,Det,Det,son4,C/V\,DET,son,10,
241,38,3,grant,grant,88,Adj,Adj,grand,C/V\,ADJ,grand,10,
242,38,4,poissance,poissance,88,N,N,,C/V\.'C/V\.C/(e)\,NOUN,puissance,8,
243,38,5,infinie,infinie,88,Adj,Adj,,/V\.C/V\.'C/V\./(e)\,ADJ,infini,9,
244,38,6,.,.,88,Pnc,Pnc,,,PUNCT,.,9,
245,39,1,Si,si,89,Adv,Adv,si4,C/V\,ADV,si,10,
246,39,2,compteray,compteray,89,Vfin,Vfin,conter,C/V\.C/e\.'C/V\,VERB,conter,10,
247,39,3,comment,comment,89,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10,
248,39,4,Fortune,fortune,89,N,N,,C/V\.'C/V\.C/(e)\,NOUN,fortune,8,
249,39,5,",",",",89,Pnc,Pnc,,,PUNCT,",",9,
250,40,1,Qui,qui,90,Qux,Qux,qui,C/V\,PRON,qui,10,
251,40,2,n,n,90,Neg,Neg$$,ne,C/\,ADV,ne,10,
252,40,3,est,est,90,Vfin,Vfin,être,/V\,VERB,être,10,
253,40,4,pas,pas,90,Neg,Neg,pas,C/V\,ADV,pas,10,
254,40,5,a,a,90,Pre,Pre,à,/V\,ADP,à,10,
255,40,6,toute,toute,90,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,
256,40,7,gent,gent,90,N,N,,C/V\,NOUN,gent,8,
257,40,8,une,une,90,QIs,QIs,un,'/V\.C/(e)\,PRON,un,10,
258,40,9,",",",",90,Pnc,Pnc,,,PUNCT,",",9,
259,41,1,Je,je,91,Prn,Prn$,je,C/(e)\,PRON,je,10,
260,41,2,vy,vy,91,Vfin,Vfin,voir,C/V\,VERB,voir,10,
261,41,3,",",",",91,Pnc,Pnc,,,PUNCT,",",9,
262,41,4,tout,tout,91,QIs,QIs,tout,C/V\,ADV,tout,10,
263,41,5,soit,soit,91,Vfin,Vfin,être,C/V\,VERB,être,10,
264,41,6,elle,elle,91,Prn,Prn%,elle,'/V\.C/(e)\,PRON,elle,10,
265,41,7,invisible,invisible,91,Adj,Adj,,/V\.C/V\.'C/V\.C/(e)\,ADJ,invisible,9,
266,41,8,",",",",91,Pnc,Pnc,,,PUNCT,",",9,
267,42,1,Plainement,plainement,92,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,pleinement,3,
268,42,2,de,de,92,Pre,Pre,de,C/(e)\,ADP,de,10,
269,42,3,droit,droit,92,Adj,Adj,droit2,C/V\,ADJ,droit,10,
270,42,4,œil,œil,92,N,N,,/V\,NOUN,cil,0,
271,42,5,visible,visible,92,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,visible,9,
272,42,6,",",",",92,Pnc,Pnc,,,PUNCT,",",9,
273,43,1,Et,et,93,Crd,Crd,et,/V\,CCONJ,et,10,
274,43,2,avec,avec,93,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,
275,43,3,elle,elle,93,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10,
276,43,4,demouré,demouré,93,Vfin,Vfin,demeurer,C/V\.C/V\.'C/V\,VERB,demeurer,10,
277,43,5,",",",",93,Pnc,Pnc,,,PUNCT,",",9,
278,44,1,Ou,ou,94,Qux,Qux,où,/V\,ADJ|ADV|DET|PRON,où,10,
279,44,2,maint,maint,94,QIs,QIs,maint,C/V\,DET,maint,10,
280,44,3,meschief,meschief,94,N,N,,C/V\.'C/V\,NOUN,méchef,9,
281,44,4,assavouré,assavouré,94,Vfin,Vfin,,/V\.C/V\.C/V\.'C/V\,VERB,assavourer,9,
282,44,5,",",",",94,Pnc,Pnc,,,PUNCT,",",9,
283,45,1,Car,car,95,Crd,Crd,car,C/V\,CCONJ,car,10,
284,45,2,grant,grant,95,Adj,Adj,grand,C/V\,ADJ,grand,10,
285,45,3,royne,royne,95,N,N,,C/(V)\.'/V\.C/(e)\,NOUN,reine,8,
286,45,4,est,est,95,Vfin,Vfin,être,/V\,VERB,être,10,
287,45,5,couronnee,couronnee,95,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\,VERB,couronner,9,
288,46,1,Et,et,96,Crd,Crd,et,/V\,CCONJ,et,10,
289,46,2,plus,plus,96,Adv,Adv,plus,C/V\,ADV,plus,10,
290,46,3,crainte,crainte,96,Vpp,Vpp,craindre,'C/V\.C/(e)\,VERB,craindre,10,
291,46,4,qu,qu,96,Sub,Sub,que,C/\,SCONJ,que,10,
292,46,5,aultre,aultre,96,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10,
293,46,6,riens,riens,96,N,N,rien,C/V\,NOUN,rien,10,
294,46,7,nee,nee,96,Vpp,Vpp,naître,'C/V\./(e)\,VERB,naître,10,
295,46,8,;,;,96,Pnc,Pnc,,,PUNCT,;,9,
296,47,1,Si,si,97,Adv,Adv,si4,C/V\,ADV,si,10,
297,47,2,tient,tient,97,Vfin,Vfin,tenir,C/V\,VERB,tenir,10,
298,47,3,grant,grant,97,Adj,Adj,grand,C/V\,ADJ,grand,10,
299,47,4,court,court,97,N,N,,C/V\,NOUN,cour,3,
300,47,5,et,et,97,Crd,Crd,et,/V\,CCONJ,et,10,
301,47,6,moult,moult,97,QIs,QIs,moult,C/V\,ADV,moult,10,
302,47,7,plainiere,plainiere,97,N,N,,C/V\.'C/V\.C/(e)\,PROPN|NOUN,plénier,-1,plénier
303,47,8,",",",",97,Pnc,Pnc,,,PUNCT,",",9,
304,48,1,Ou,ou,98,Qux,Qux,où,/V\,PRON,où,10,
305,48,2,gent,gent,98,N,N,,C/V\,NOUN,gent,8,
306,48,3,a,a,98,Vfin,Vfin,avoir,/V\,VERB,avoir,10,
307,48,4,de,de,98,Pre,Pre,de,C/(e)\,ADP,de,10,
308,48,5,mainte,mainte,98,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10,
309,48,6,maniere,maniere,98,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8,
310,48,7,;,;,98,Pnc,Pnc,,,PUNCT,;,9,
311,49,1,Si,si,99,Adv,Adv,si4,C/V\,ADV,si,10,
312,49,2,peut,peut,99,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,
313,49,3,qui,qui,99,Qux,Qux,qui,C/V\,PRON,qui,10,
314,49,4,veult,veult,99,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,
315,49,5,la,la,99,Adv,Adv,là,C/V\,ADV,là,10,
316,49,6,moult,moult,99,QIs,QIs,moult,C/V\,ADV,moult,10,
317,49,7,apprendre,apprendre,99,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,VERB,apprendre,10,
318,50,1,Et,et,100,Crd,Crd,et,/V\,CCONJ,et,10,
319,50,2,du,du,100,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
320,50,3,bien,bien,100,N,N,bien,C/V\,NOUN,bien,10,
321,50,4,et,et,100,Crd,Crd,et,/V\,CCONJ,et,10,
322,50,5,du,du,100,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,
323,50,6,mal,mal,100,N,N,mal,C/V\,NOUN,mal,10,
