wd_id,word,lex_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
154,treze,treze,1,1,2,QIs,QIs,treize,'C/V\.C/(e)\,NUM,treize,10,,
155,lignees,lignees,1,1,2,N,N,,C/V\.'C/V\./e\,NOUN,lignée,8,,
156,ki,ki,1,1,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
157,vindrent,vindrent,1,1,2,Vfin,Vfin,venir,'C/V\.C/e\,VERB,venir,10,,
158,del,del,1,1,2,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
159,patriarche,patriarche,1,1,2,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,patriarche,9,,
160,Jacob,jacob,1,1,2,N,N,,C/V\.'C/V\,PROPN,Jacob,9,,
161,",",",",1,1,2,Pnc,Pnc,,,PUNCT,",",9,,
162,Deu,deu,1,1,2,N,N,,C/V\,PROPN,Dieu,3,,
163,en,en,1,1,2,Prn,Prn$$,en2,/V\,PRON,en,10,,
164,severad,severad,1,1,2,Vfin,Vfin,,C/V\.C/e\.'C/V\,VERB,suver,-10,sauver,DMF
165,le,le,1,1,2,Det,Det,le,C/(e)\,DET,le,10,,
166,lignáge,lignage,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignée,0,,
167,Leví,levi,1,1,2,N,N,,C/V\.'C/V\,PROPN,Levis,-10,Levi,Levi - Wikipedia 
168,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
169,eslist,eslist,1,1,2,Vfin,Vfin,élire,/V\.'C/V\,VERB,élire,10,,
170,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
171,retint,retint,1,1,2,Vfin,Vfin,retenir,C/V\.'C/V\,VERB,retenir,10,,
172,éspecialment,especialment,1,1,2,Adv,Adv,,/V\.C/V\.C/V\.C/V\.'C/V\,ADV,épécialement,-10,spécialement,DMF
173,a,a,1,1,2,Pre,Pre,à,/V\,ADP,à,10,,
174,sun,sun,1,1,2,Det,Det,son4,C/V\,DET,son,10,,
175,servise,servise,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,service,8,,
176,del,del,1,1,2,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
177,tabernacle,tabernacle,1,1,2,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,tabernacle,9,,
178,ki,ki,1,1,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
179,primes,primes,1,1,2,Adv,Adv,primes,'C/V\.C/e\,ADV,primes,10,,
180,fud,fud,1,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
181,levez,levez,1,1,2,Vpp,Vpp,lever,C/V\.'C/V\,VERB,lever,10,,
182,al,al,1,1,2,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
183,desert,desert,1,1,2,N,N,,C/V\.'C/V\,NOUN,désert,3,,
184,de,de,1,1,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
185,Synaï,synai,1,1,2,N,N,,C/V\.C/V\.'C/V\,PROPN,Sinaïs,-10,Sinaï,Sinai-Halbinsel - Google Maps 
186,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
187,del,del,1,1,2,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
188,temple,temple,1,1,2,N,N,,'C/V\.C/(e)\,NOUN,temple,3,,
189,que,que,1,1,2,Qux,Qux,que,C/(e)\,PRON,que,10,,
190,li,li,1,1,2,Det,Det,le,C/V\,DET,le,10,,
191,reis,reis,1,1,2,N,N,,C/V\,NOUN,roi,3,,
192,Salemun,salemun,1,1,2,N,N,,C/V\.C/e\.'C/V\,PROPN,Salomon,0,,
193,funda,funda,1,1,2,Vfin,Vfin,fonder,C/V\.'C/V\,VERB,fonder,10,,
194,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
195,furni,furni,1,1,2,Vfin,Vfin,,C/V\.'C/V\,VERB,fournir,8,,
196,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
197,E,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
198,pur,pur,1,1,2,Pre,Pre,pour,C/V\,ADP,pour,10,,
199,çó,ço,1,1,2,Prn,Prn,ce,C/V\,PRON,ce,10,,
200,que,que,1,1,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
201,cist,cist,1,1,2,Dem,Dem,cist,C/V\,DET,cist,10,,
202,lignages,lignages,1,1,2,N,N,,C/V\.'C/V\.C/e\,NOUN,lignage,9,,
203,numéément,numeement,1,1,2,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,nommément,0,,
204,dout,dout,1,1,2,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
205,si,si,1,1,2,Adv,Adv,si4,C/V\,ADV,si,10,,
206,le,le,1,1,2,Det,Det,le,C/(e)\,DET,le,10,,
207,servise,servise,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,service,8,,
208,Deu,deu,1,1,2,N,N,,C/V\,PROPN,Dieu,3,,
209,celebrer,celebrer,1,1,2,Vinf,Vinf,,C/V\.C/e\.'C/V\,VERB,célébrer,9,,
210,",",",",1,1,2,Pnc,Pnc,,,PUNCT,",",9,,
211,besuinz,besuinz,1,1,2,N,N,,C/V\.'C/V\,NOUN,besoin,0,,
212,fud,fud,1,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
213,ke,ke,1,1,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
214,feïst,feist,1,1,2,Vfin,Vfin,faire,C/(V)\.'/V\,VERB,faire,10,,
215,sainte,sainte,1,1,2,Adj,Adj,saint,'C/V\.C/(e)\,ADJ,saint,10,,
216,engendrure,engendrure,1,1,2,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,engendrure,8,,
217,en,en,1,1,2,Pre,Pre,en,/V\,ADP,en,10,,
218,atemprance,atemprance,1,1,2,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,attemprance,9,,
219,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
220,en,en,1,1,2,Pre,Pre,en,/V\,ADP,en,10,,
221,nettéé,nettee,1,1,2,N,N,,C/V\.'C/V\./(e)\,NOUN,netté,-10,nettée,DMF
222,que,que,1,1,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
223,li,li,1,1,2,Det,Det,le,C/V\,DET,le,10,,
224,servises,servises,1,1,2,N,N,,C/V\.'C/V\.C/e\,NOUN,service,9,,
225,Deu,deu,1,1,2,N,N,,C/V\,PROPN,Dieu,3,,
226,que,que,1,1,2,Crd,Crd,que,C/(e)\,CCONJ,que,10,,
227,par,par,1,1,2,Pre,Pre,par,C/V\,ADP,par,10,,
228,peres,peres,1,1,2,N,N,,'C/V\.C/e\,NOUN,père,8,,
229,que,que,1,1,2,Crd,Crd,que,C/(e)\,CCONJ,que,10,,
230,par,par,1,1,2,Pre,Pre,par,C/V\,ADP,par,10,,
231,fiz,fiz,1,1,2,N,N,,C/V\,NOUN,fils,8,,
232,fust,fust,1,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
233,á,a,1,1,2,Pre,Pre,à,/V\,ADP,à,10,,
234,sun,sun,1,1,2,Det,Det,son4,C/V\,DET,son,10,,
235,plaisir,plaisir,1,1,2,N,N,,C/V\.'C/V\,NOUN,plaisir,8,,
236,furniz,furniz,1,1,2,Vpp,Vpp,,C/V\.'C/V\,VERB,fournir,9,,
237,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
238,É,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
239,ourent,ourent,1,1,2,Vfin,Vfin,avoir,'/V\.C/e\,VERB,avoir,10,,
240,li,li,1,1,2,Det,Det,le,C/V\,DET,le,10,,
241,plusur,plusur,1,1,2,QIs,QIs,plusieurs,C/V\.'C/V\,PRON,plusieurs,10,,
242,muillers,muillers,1,1,2,N,N,,C/V\.'C/V\,NOUN,moillier,0,,
243,plusurs,plusurs,1,1,2,QIs,QIs,plusieurs,C/V\.'C/V\,ADJ,plusieurs,10,,
244,pur,pur,1,1,2,Pre,Pre,pour,C/V\,ADP,pour,10,,
245,le,le,1,1,2,Det,Det,le,C/(e)\,DET,le,10,,
246,multepliement,multepliement,1,1,2,N,N,,C/V\.C/e\.C/V\.C/e\.'C/V\,NOUN,multipliement,6,,
247,del,del,1,1,2,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
248,pople,pople,1,1,2,N,N,,'C/V\.C/(e)\,NOUN,peuple,8,,
249,Deu,deu,1,1,2,N,N,,C/V\,PROPN,Dieu,3,,
250,",",",",1,1,2,Pnc,Pnc,,,PUNCT,",",9,,
251,ki,ki,1,1,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
252,de,de,1,1,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
253,tutes,tutes,1,1,2,QIs,QIs,tout,'C/V\.C/e\,DET,tout,10,,
254,parz,parz,1,1,2,N,N,,C/V\,NOUN,part,8,,
255,de,de,1,1,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
256,mescreantes,mescreantes,1,1,2,Vprs,Vprs,mécroire,C/V\.C/(V)\.'/V\.C/e\,VERB,mécroire,10,,
257,genz,genz,1,1,2,N,N,,C/V\,NOUN,gent,3,,
258,esteit,esteit,1,1,2,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,,
259,pursis,pursis,1,1,2,Vpp,Vpp,poursuivre,C/V\.'C/V\,VERB,poursuivre,10,,
260,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
261,En,en,2,1,2,Pre,Pre,en,/V\,ADP,en,10,,
262,cel,cel,2,1,2,Dem,Dem,cil,C/V\,DET,cil,10,,
263,cuntemple,cuntemple,2,1,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,contemple,0,,
264,fud,fud,2,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
265,une,une,2,1,2,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
266,cite,cité,2,1,2,N,N,,C/V\.'C/V\,NOUN,cité,8,,
267,Sylo,sylo,2,1,2,N,N,,C/V\.'C/V\,PROPN,Sylo,9,,
268,",",",",2,1,2,Pnc,Pnc,,,PUNCT,",",9,,
269,de,de,2,1,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
270,part,part,2,1,2,N,N,,C/V\,NOUN,part,3,,
271,Effraïm,effraim,2,1,2,N,N,,/V\.C/V\.'C/V\,PROPN,Effraïm,-10,Ephraïm,DMF
272,",",",",2,1,2,Pnc,Pnc,,,PUNCT,",",9,,
273,que,que,2,1,2,Qux,Qux,que,C/(e)\,PRON,que,10,,
274,Deu,deu,2,1,2,N,N,,C/V\,PROPN,Dieu,3,,
275,out,out,2,1,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
276,á,a,2,1,2,Pre,Pre,à,/V\,ADP,à,10,,
277,sun,sun,2,1,2,Det,Det,son4,C/V\,DET,son,10,,
278,oes,oes,2,1,2,N,N,,/V\,NOUN,ues,3,,
279,saisie,saisie,2,1,2,Vpp,Vpp,saisir,C/V\.'C/V\./(e)\,VERB,saisir,10,,
280,é,e,2,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
281,sacréé,sacree,2,1,2,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,sacrer,0,,
282,.,.,2,1,2,Pnc,Pnc,,,PUNCT,.,9,,
283,La,la,2,1,2,Adv,Adv,là,C/V\,ADV,là,10,,
284,fud,fud,2,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
285,é,e,2,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
286,out,out,2,1,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
287,ested,estéd,2,1,2,Vpp,Vpp,être,/V\.'C/V\,VERB,être,10,,
288,li,li,2,1,2,Det,Det,le,C/V\,DET,le,10,,
289,tabernacles,tabernacles,2,1,2,N,N,,C/V\.C/V\.'C/V\.C/e\,NOUN,tabernacle,9,,
290,é,e,2,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
291,li,li,2,1,2,Det,Det,le,C/V\,DET,le,10,,
292,sanctuaries,sanctuaries,2,1,2,N,N,,C/V\.C/V\.'C/V\./e\,NOUN,sanctuaire,0,,
293,Deu,deu,2,1,2,N,N,,C/V\,PROPN,Dieu,3,,
294,des,dés,2,1,2,Pre,Pre,dès,C/V\,ADP,dès,10,,
295,le,le,2,1,2,Det,Det,le,C/(e)\,DET,le,10,,
296,tens,tens,2,1,2,N,N,,C/V\,NOUN,temps,8,,
297,Josue,josue,2,1,2,N,N,,C/V\.'C/V\./(e)\,PROPN,Josué,6,,
298,",",",",2,1,2,Pnc,Pnc,,,PUNCT,",",9,,
299,ki,ki,2,1,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
300,le,le,2,1,2,Det,Det,le,C/(e)\,DET,le,10,,
301,pople,pople,2,1,2,N,N,,'C/V\.C/(e)\,NOUN,peuple,8,,
302,Deu,deu,2,1,2,N,N,,C/V\,PROPN,Dieu,3,,
303,en,en,2,1,2,Pre,Pre,en,/V\,ADP,en,10,,
304,terre,terre,2,1,2,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
305,de,de,2,1,2,Pre,Pre,de,C/(e)\,ADP,de,10,,
306,promissiun,promissiun,2,1,2,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,promission,0,,
307,cunduist,cunduist,2,1,2,Vfin,Vfin,conduire,C/V\.'C/V\,VERB,conduire,10,,
308,é,e,2,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
309,guiad,guiad,2,1,2,Vfin,Vfin,,C/V\.'C/V\,VERB,guyer,0,,
310,.,.,2,1,2,Pnc,Pnc,,,PUNCT,.,9,,
311,La,la,2,1,2,Adv,Adv,là,C/V\,ADV,là,10,,
312,fud,fud,2,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
313,l',l',2,1,2,Det,Det,le,C/\,DET,le,10,,
314,arche,arche,2,1,2,N,N,,'/V\.C/(e)\,NOUN,arche,3,,
315,",",",",2,1,2,Pnc,Pnc,,,PUNCT,",",9,,
316,la,la,2,1,2,Adv,Adv,là,C/V\,ADV,là,10,,
