wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2127,312,8,;,;,312,Pnc,Pnc,,,PUNCT,;,9,,
2128,313,1,sur,sur,313,PrA,PrA,sur,C/V\,ADP,sur,10,,
2129,313,2,tote,tote,313,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,,
2130,313,3,rien,rien,313,N,N,rien,C/V\,NOUN,rien,10,,
2131,313,4,amé,amé,313,Vpp,Vpp,aimer,/V\.'C/V\,VERB,aimer,10,,
2132,313,5,vus,vus,313,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
2133,313,6,ai,ai,313,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2134,313,7,",",",",313,Pnc,Pnc,,,PUNCT,",",9,,
2135,314,1,pur,pur,314,Pre,Pre,pour,C/V\,ADP,pour,10,,
2136,314,2,la,la,314,Det,Det,le,C/V\,DET,le,10,,
2137,314,3,mort,mort,314,N,N,,C/V\,NOUN,mort,3,,
2138,314,4,pas,pas,314,Neg,Neg,pas,C/V\,ADV,pas,10,,
2139,314,5,ne,ne,314,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2140,314,6,larrai,larrai,314,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10,,
2141,315,1,que,que,315,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
2142,315,2,ne,ne,315,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2143,315,3,vus,vus,315,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
2144,315,4,aim,aim,315,Vfin,Vfin,aimer,/V\,VERB,aimer,10,,
2145,315,5,a,a,315,Pre,Pre,à,/V\,ADP,à,10,,
2146,315,6,tut,tut,315,QIs,QIs,tout,C/V\,DET,tout,10,,
2147,315,7,dis,dis,315,N,N,,C/V\,NOUN,di,3,,
2148,315,8,",",",",315,Pnc,Pnc,,,PUNCT,",",9,,
2149,316,1,tant,tant,316,QIs,QIs,tant,C/V\,ADV,tant,10,,
2150,316,2,cum,cum,316,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
2151,316,3,serrai,serrai,316,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
2152,316,4,home,home,316,N,N,,'/V\.C/(e)\,NOUN,homme,8,,
2153,316,5,vifs,vifs,316,Adj,Adj,vif,C/V\,ADJ,vif,10,,
