wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
65,11,3,fiert,fiert,VER:pres:3:sg,19,Vfin,Vfin,férir,C/V\,VERB,férir,10,,
66,11,4,sur,sur,PRE,19,PrA,PrA,sur,C/V\,ADP,sur,10,,
67,11,5,sun,sun,DET:poss:obj:masc:sg,19,Det,Det,son4,C/V\,DET,son,10,,
68,11,6,escu,escu,NOM:obj:masc:sg,19,N,N,,/V\.'C/V\,NOUN,écu,8,,
69,11,7,devant,devant,PRE,19,PrA,PrA,devant,C/V\.'C/V\,ADV,devant,10,,
70,12,1,qu,qu,PROCON,20,Sub,Sub,que,C/\,SCONJ,que,10,,
71,12,2,il,il,PRO:pers:suj:3:masc:sg:unb,20,Prn,Prn$,il,/V\,PRON,il,10,,
72,12,3,li,li,PRO:pers:suj:3:masc:sg:bet,20,Prn,Prn$$,li,C/V\,PRON,li,10,,
73,12,4,peceie,peceie,VER:pres:3:sg,20,Vfin,Vfin,,C/V\.'C/V\./(e)\,VERB,peçoyer,0,,
74,12,5,maintenant,maintenant,ADV,20,Adv,Adv,maintenant,C/V\.C/e\.'C/V\,ADV,maintenant,10,,
75,13,1,le,le,DET:def:obj:masc:sg,21,Det,Det,le,C/(e)\,DET,le,10,,
76,13,2,hauberc,hauberc,NOM:obj:masc:sg,21,N,N,,C/V\.'C/V\,NOUN,haubert,8,,
77,13,3,desmaele,desmaele,VER:pres:3:sg,21,Vfin,Vfin,démailler,C/V\.'C/V\.C/(e)\,VERB,démailler,10,,
78,13,4,e,e,CON:coord,21,Crd,Crd,et,/V\,CCONJ,et,10,,
79,13,5,dement,dement,VER:pres:3:sg,21,Vfin,Vfin,,C/V\.'C/V\,VERB,démenter,3,,
80,14,1,passé,passé,VER:pper:masc:sg,22,Vpp,Vpp,passer,C/V\.'C/V\,VERB,passer,10,,
81,14,2,li,li,PRO:pers:suj:3:masc:sg:bet,22,Prn,Prn$$,li,C/V\,PRON,li,10,,
82,14,3,ad,ad,VER:pres:3:sg,22,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
83,14,4,joste,joste,PRE,22,PrA,PrA,jouxte,'C/V\.C/(e)\,ADP,jouxte,10,,
84,14,5,le,le,DET:def:obj:masc:sg,22,Det,Det,le,C/(e)\,DET,le,10,,
85,14,6,flanc,flanc,NOM:obj:masc:sg,22,N,N,,C/V\,NOUN,flanc,9,,
86,15,1,men,men,PROCON,23,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
87,15,2,nen,nen,ADV,23,Neg,Neg$$,ne,C/V\,ADV,ne,10,,
88,15,3,abat,abat,VER:pres:3:sg,23,Vfin,Vfin,abbattre,/V\.'C/V\,VERB,abbattre,10,,
89,15,4,nient,nient,ADV,23,Prn,Prn,nïent,C/{V}\.'/V\,PRON,nïent,10,,
90,15,5,de,de,PRE,23,Pre,Pre,de,C/(e)\,ADP,de,10,,
91,15,6,sanc,sanc,NOM:obj:masc:sg,23,N,N,,C/V\,NOUN,sang,8,,
92,16,1,ne,ne,PROCON,24,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,
93,16,2,de,de,PRE,24,Pre,Pre,de,C/(e)\,ADP,de,10,,
94,16,3,sun,sun,DET:poss:obj:masc:sg,24,Det,Det,son4,C/V\,DET,son,10,,
95,16,4,cors,cors,NOM:obj:masc:sg,24,N,N,,C/V\,NOUN,corps,3,,
96,16,5,ne,ne,PRO:clit,24,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
97,16,6,li,li,PRO:pers:suj:3:masc:sg:bet,24,Prn,Prn$$,li,C/V\,PRON,li,10,,
98,16,7,fist,fist,VER:simp:3:sg,24,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
99,16,8,dam,dam,NOM:obj:masc:sg,24,N,N,,C/V\,NOUN,dan,3,,
100,17,1,gormund,gormund,NPR:suj:masc:sg,25,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,Gormond,Gormond et Isembart - Wikipedia 
101,17,2,li,li,PRO:pers:suj:3:masc:sg:bet,25,Prn,Prn$$,li,C/V\,PRON,li,10,,
102,17,3,lance,lance,VER:pres:3:sg,25,Vfin,Vfin,,'C/V\.C/(e)\,VERB,lancer,8,,
103,17,4,un,un,DET:ndf:obj:masc:sg,25,QIs,QIs,un,/V\,DET,un,10,,
104,17,5,dart,dart,NOM:obj:masc:sg,25,N,N,,C/V\,NOUN,dard,9,,
105,17,6,trenchant,trenchant,VER:ppre,25,Vprs,Vprs,,C/V\.'C/V\,VERB,trancher,8,,
106,18,1,parmi,parmi,PRE,26,PrA,PrA,parmi,C/V\.'C/V\,ADP,parmi,10,,
107,18,2,le,le,DET:def:obj:masc:sg,26,Det,Det,le,C/(e)\,DET,le,10,,
108,18,3,cors,cors,NOM:obj:masc:sg,26,N,N,,C/V\,NOUN,corps,3,,
109,18,4,li,li,PRO:pers:suj:3:masc:sg:bet,26,Prn,Prn$$,li,C/V\,PRON,li,10,,
110,18,5,vait,vait,VER:pres:3:sg,26,Vfin,Vfin,aller,C/V\,VERB,aller,10,,
111,18,6,bruiant,bruiant,VER:ppre,26,Vprs,Vprs,,C/V\.'C/V\,VERB,bruire,3,,
112,19,1,tries,tries,PRE,27,PrA,PrA,très2,C/V\,ADV,très,10,,
113,19,2,li,li,PRO:pers:suj:3:masc:sg:bet,27,Prn,Prn$$,li,C/V\,PRON,li,10,,
114,19,3,cunsent,cunsent,VER:pres:3:sg,27,Vfin,Vfin,consentir,C/V\.'C/V\,VERB,consentir,10,,
115,19,4,un,un,DET:ndf:obj:masc:sg,27,QIs,QIs,un,/V\,DET,un,10,,
116,19,5,aleman,aleman,NOM:obj:masc:sg,27,Adj,Adj,,/V\.C/e\.'C/V\,ADJ,allemand,8,,
117,20,1,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
118,20,2,ambesdous,ambesdous,ADJ:card,28,QIs,QIs,ambedeux,/V\.C/e\.'C/V\,NUM,ambedeux,10,,
119,20,3,les,les,PRO:pers:acc:3:masc:pl,28,Prn,Prn$$,le,C/V\,PRON,le,10,,
120,20,4,abat,abat,VER:pres:3:sg,28,Vfin,Vfin,abbattre,/V\.'C/V\,VERB,abbattre,10,,
121,20,5,mort,mort,VER:pper:masc:sg,28,Vpp,Vpp,mourir,C/V\,VERB,mourir,10,,
122,20,6,el,el,PREDET:en:obj:masc:sg,28,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
123,20,7,camp,camp,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,champ,3,,
124,21,1,li,li,DET:def:suj:masc:sg,29,Det,Det,le,C/V\,DET,le,10,,
125,21,2,meudre,meudre,ADJ:suj:masc:sg,29,Adj,Adj,meilleur,'C/V\.C/(e)\,ADJ,meilleur,10,,
126,21,3,rei,rei,NOM:suj:masc:sg,29,N,N,,C/V\,NOUN,roi,8,,
127,21,4,e,e,CON:coord,29,Crd,Crd,et,/V\,CCONJ,et,10,,
128,21,5,le,le,DET:def:suj:masc:sg,29,Det,Det,le,C/(e)\,DET,le,10,,
129,21,6,plus,plus,ADV,29,Adv,Adv,plus,C/V\,ADV,plus,10,,
130,21,7,franc,franc,ADJ:suj:masc:sg,29,Adj,Adj,franc2,C/V\,ADJ,franc,10,,
131,22,1,qui,qui,PROCON,30,Qux,Qux,qui,C/V\,PRON,qui,10,,
132,22,2,unques,unques,ADV,30,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10,,
133,22,3,fust,fust,VER:subi:3:sg,30,Vfin,Vfin,être,C/V\,VERB,être,10,,
134,22,4,el,el,PREDET:en:obj:masc:sg,30,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
135,22,5,munde,munde,NOM:obj:masc:sg,30,N,N,,'C/V\.C/(e)\,NOUN,monde,8,,
136,22,6,vivant,vivant,VER:ppre,30,Vprs,Vprs,vivre,C/V\.'C/V\,VERB,vivre,10,,
137,23,1,se,se,PROCON,31,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
138,23,2,il,il,PRO:pers:suj:3:masc:sg:unb,31,Prn,Prn$,il,/V\,PRON,il,10,,
139,23,3,creust,creust,VER:subi:3:sg,31,Vfin,Vfin,croire,C/(V)\.'/V\,VERB,croire,10,,
140,23,4,deu,deu,NOM:obj:masc:sg,31,N,N,,C/V\,PROPN,Dieu,3,,
141,23,5,le,le,DET:def:obj:masc:sg,31,Det,Det,le,C/(e)\,DET,le,10,,
