wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,textlineid,synfunc
165,43,2,une,une,DET:ndf,551,un_S,Det,102003,
166,43,3,tres,tres,ADV,552,tres|très_I|IIdTd,Adv,102003,
167,43,4,poissant,poissant,ADJ,553,poissant_+IT,Adj,102003,
168,43,5,royne,royne,NOM,554,röine1|röine2_+IdTTd|+Td,N,102004,
169,44,1,naturelment,naturelment,ADV,555,naturelment_Z,Adv,102004,
170,44,2,fourmee,fourmee,VER,556,former_*+I,Vpp,102004,
171,45,1,molles,molles,ADJ,613,mol_*I,N,102009,
172,45,2,a,a,PRE,614,a_S,Pre,102009,
173,45,3,faire,faire,VER,615,faire_+MIT,Vinf,102009,
174,45,4,gauffres,gauffres,NIL,616,gauffre_G,N,102009,c
175,46,1,Et,et,CON:coord,622,et_S,Crd,102009,
176,46,2,comme,comme,VER,623,commer_M,Sub,102009,
177,46,3,ceste,ceste,DET:demo,624,cest_S,Det,102010,
178,46,4,dame,dame,NOM,625,dam|dame|dan2_+T|+CIT|+T,N,102010,
179,47,1,car,car,CON:coord,644,car_S,Crd,102011,
180,47,2,sanz,sanz,PRE,645,sans_+S,Pre,102011,
181,47,3,prendre,prendre,VER,646,prendre_+MIT,Vinf,102011,
182,47,4,repos,repos,NOM,647,repos_+IT,N,102011,
183,48,1,de,de,PRE,674,de_+S,Pre,102014,
184,48,2,diverses,diverses,ADJ,675,divers_+I,Adj,102014,
185,48,3,façons,façons,VER,676,faire_+M,N,102014,
186,49,1,ce,ce,PRO:invar,694,ce1_S,Prn,102015,
187,49,2,fait,fait,VER,695,faire|farre_+CMI|M,Vfin,102015,
188,49,3,non,non,ADV,696,ne1_+Z,Adv,102015,
189,49,4,d',d',PRE,697,de_+S,Pre,102015,
190,49,5,une,une,DET:ndf,698,un_S,Det,102015,
191,49,6,guise,guise,NOM,699,guiche|guise_+T|+IT,N,102016,
192,50,1,et,et,CON:coord,708,et_S,Crd,102016,
193,50,2,confire,confire,VER,709,confire2_+T,Vinf,102016,
194,50,3,en,en,PRE,710,en1_+S,Pre,102016,
195,50,4,la,la,DET:def,711,le_S,Det,102016,
196,50,5,gueule,gueule,NOM,712,gole_+IT,N,102017,
197,51,1,d',d',PRE,730,de_+S,Pre,102018,
198,51,2,atrempees,atrempees,VER,731,<unknown>,Vpp,102018,
199,51,3,estuves,estuves,NOM,732,estuve_+I,N,102018,
200,52,1,selon,selon,PRE,749,selonc_S,Pre,102019,
201,52,2,la,la,DET:def,750,le_S,Det,102019,
202,52,3,difference,difference,NOM,751,diference_*+T,N,102019,
203,53,1,Aprés,aprés,ADV,758,après_I,Adv,102020,
204,53,2,le,le,DET:def,759,le_S,Det,102020,
205,53,3,temps,temps,NOM,760,tens_+CT,N,102020,
206,53,4,venu,venu,VER,761,venir_+I,Vpp,102020,
207,54,1,de,de,PRE,769,de_+S,Pre,102021,
208,54,2,la,la,DET:def,770,le_S,Det,102021,
209,54,3,perfection,perfection,NOM,771,perfeccïon_*+Td,N,102021,
210,55,1,de,de,PRE,818,de_+S,Pre,102025,
211,55,2,diverses,diverses,ADJ,819,divers_+I,Adj,102025,
212,55,3,façons,façons,VER,820,faire_+M,N,102025,
213,56,1,adont,adont,ADV,845,adonc_+GT,Adv,102027,
214,56,2,le,le,DET:def,846,le_S,Det,102027,
215,56,3,grant,grant,ADJ,847,grant_+CIT,Adj,102027,
216,56,4,ymage,ymage,NOM,848,image_+IT,N,102027,
217,57,1,avoient,avoient,VER,852,avoiier|avoir_+M|+MI,Vfin,102028,
218,57,2,esté,esté,VER,853,ester|estre1_+MI|+I,Vpp,102028,
219,57,3,cuis,cuis,VER,854,cuire_+M,Vpp,102028,
220,58,1,en,en,PRE,859,en1_+S,Pre,102028,
221,58,2,sa,sa,DET:poss,860,son4_S,Det,102028,
222,58,3,pance,pance,NOM,861,pance_+T,N,102028,
223,58,4,",",",",PON,862,",",Pnc,102028,
224,58,5,sans,sans,PRE,863,sans_+S,Pre,102028,
225,58,6,nombre,nombre,NOM,864,nombre_+IT,N,102029,
226,59,1,Et,et,CON:coord,870,et_S,Crd,102029,
227,59,2,ainsi,ainsi,ADV,871,ainsi_+CIT,Adv,102029,
228,59,3,nuit,nuit,NOM,872,nuit_+CIT,N,102029,
229,59,4,et,et,CON:coord,873,et_S,Crd,102029,
230,59,5,jour,jour,NOM,874,jor_+C,N,102029,
231,60,1,ne,ne,PRO:clit,875,en2_S,Neg,102029,
232,60,2,cessoit,cessoit,VER,876,cesser_*+MIT,Vfin,102029,
233,60,3,cel,cel,DET:demo,877,cel_S,Det,102029,
234,60,4,ouvrage,ouvrage,NOM,878,ovrage_*+T,N,102029,
235,61,1,FUT,fut,VER,896,estre|futre_CMMdI|M,Vfin,103001,
236,61,2,TRANSGLOUTIE,transgloutie,VER,897,<unknown>,Vpp,103001,
237,61,3,OU,ou,PREDET:en,898,en1+le_S,Pre+Det,103001,
238,61,4,CORPS,corps,NOM,899,cors_C,N,103001,
239,62,1,OU,ou,PREDET:en,898,en1+le_S,Pre+Det,103001,
240,62,2,CORPS,corps,NOM,899,cors_C,N,103001,
241,62,3,DUDIT,dudit,VER,900,<unknown>,Pre+Det+Vpp,103001,
242,62,4,YMAGE,ymage,NOM,901,image_+IT,N,103001,
243,63,1,d',d',PRE,919,de_+S,Pre,103003,
244,63,2,icellui,icellui,VER,920,<unknown>,Det,103003,
245,63,3,grant,grant,ADJ,921,grant_+CIT,Adj,103003,
246,63,4,ymage,ymage,NOM,922,image_+IT,N,103003,
247,64,1,prent,prent,VER,956,prendre_+MI,Vfin,103005,
248,64,2,",",",",PON,957,",",Pnc,103005,
249,64,3,si,si,ADV,958,si_+IT,Adv,103006,
250,64,4,le,le,PRO:pers,959,il_S,Prn,103006,c
251,64,5,fiche,fiche,VER,960,fichier_+IMT,Vfin,103006,
252,64,6,ens,ens,ADV,961,enz_T,Adv,103006,
253,65,1,et,et,CON:coord,963,et_S,Crd,103006,
254,65,2,tout,tout,PRO:ind,964,tot_S,Adv,103006,
255,65,3,en,en,PRE,965,en1_+S,Pre,103006,
256,65,4,la,la,DET:def,966,le_S,Det,103006,
257,65,5,maniere,maniere,NOM,967,maniere_+CIT,N,103006,
258,66,1,acoustumé,acoustumé,VER,974,acostumer_*+I,Vpp,103007,
259,66,2,avoit,avoit,VER,975,avoiier|avoir_+MI|+MI,Vfin,103007,
260,67,1,se,se,PRO:pers,1014,soi1_S,Prn,103010,
261,67,2,tient,tient,VER,1015,tenir_CMI,Vfin,103010,
262,67,3,et,et,CON:coord,1016,et_S,Crd,103010,
263,67,4,non,non,ADV,1017,ne1_+Z,Adv,103010,
264,67,5,au,au,PREDET:a,1018,a+le_S,Pre+Det,103010,
265,67,6,mole,mole,NOM,1019,meule|mole1|mole2|molle1|muele|muscle|mëole_+T|+T|+T|+T|+T|+T|+T,N,103010,
266,68,1,tant,tant,ADV,1106,tant_CI,Adv,103017,
267,68,2,qu',qu',PROCON,1107,que1|que2|que3|que4_S|S|S|S,Sub,103017,
268,68,3,a,a,VER,1108,avoir_+CMI,Pre,103017,
269,68,4,par,par,PRE,1109,par_S,Adv,103017,
270,68,5,moy,moy,PRO:pers,1110,je_S,Prn,103017,
271,68,6,porter,porter,VER,1111,porter_+MIT,Vinf,103017,
272,69,1,de,de,PRE,1128,de_+S,Pre,103019,
273,69,2,la,la,DET:def,1129,le_S,Det,103019,
274,69,3,diversité,diversité,NOM,1130,diverseté_+T,N,103019,
275,70,1,des,des,PREDET:de,1131,de+le_S,Pre+Det,103019,
276,70,2,entrailles,entrailles,NOM,1132,entraille1|entraille2_*+T|+T,N,103019,
277,70,3,du,du,PREDET:de,1133,de+le_S,Pre+Det,103019,
278,70,4,ventre,ventre,NOM,1134,ventre1|ventre_+IT|I,N,103019,
279,71,1,du,du,PREDET:de,1133,de+le_S,Pre+Det,103019,
280,71,2,ventre,ventre,NOM,1134,ventre1|ventre_+IT|I,N,103019,
281,71,3,de,de,PRE,1135,de_+S,Pre,103019,
282,71,4,l',l',DET:def,1136,le_S,Det,103020,
283,71,5,ymage,ymage,NOM,1137,image_+IT,N,103020,
284,72,1,et,et,CON:coord,1163,et_S,Crd,103022,
285,72,2,diversitez,diversitez,NOM,1164,<nolem>,N,103022,
286,72,3,maintes,maintes,DET:ind,1165,maint_S,Adj,103022,
287,73,1,Mais,mais,CON:coord,1167,mais_S,Crd,103022,
288,73,2,tant,tant,ADV,1168,tant_CI,Adv,103022,
289,73,3,me,me,PRO:pers,1169,je_S,Prn,103022,
290,73,4,sembloit,sembloit,VER,1170,sembler_*+IMT,Vfin,103022,
291,73,5,longue,longue,ADJ,1171,lonc_+IT,Adj,103022,
292,74,1,de,de,PRE,1185,de_+S,Pre,103023,
293,74,2,la,la,DET:def,1186,le_S,Det,103023,
294,74,3,vie,vie,NOM,1187,vie1|voie_+T|+T,N,103023,
295,74,4,d',d',PRE,1188,de_+S,Pre,103023,
296,74,5,un,un,DET:ndf,1189,un_S,Det,103023,
297,74,6,homme,homme,NOM,1190,ome_+C,N,103024,
298,75,1,les,les,DET:def,1197,le_S,Det,103024,
299,75,2,diverses,diverses,ADJ,1198,divers_+I,Adj,103024,
300,75,3,contrees,contrees,NOM,1199,contree_+I,N,103024,
301,76,1,qui,qui,PROCON,1200,qui_S,Sub,103025,s
302,76,2,en,en,PRO:clit,1201,en2_S,Pre,103025,
303,76,3,lui,lui,PRO:pers,1202,il|loi1_S|S,Prn,103025,
304,76,4,sont,sont,VER,1203,estre1|estre_+I|CMI,Vfin,103025,
305,76,5,comprises,comprises,VER,1204,<unknown>,Vpp,103025,
306,77,1,et,et,CON:coord,1227,et_S,Crd,104003,
307,77,2,encore,encore,ADV,1228,encore_+IT,Adv,104003,
308,77,3,cornast,cornast,VER,1229,corner_+M,Vfin,104003,
309,78,1,ne,ne,PRO:clit,1257,en2_S,Neg,104005,
310,78,2,cessast,cessast,VER,1258,cesser_+M,Vfin,104005,
311,78,3,de,de,PRE,1259,de_+S,Pre,104005,
312,78,4,crier,crier,VER,1260,crïer1|crïer2_+Td|+IIdTd,Vinf,104005,
313,79,1,et,et,CON:coord,1276,et_S,Crd,104006,
314,79,2,poissant,poissant,ADJ,1277,poissant_+IT,Adj,104006,
315,79,3,digneté,digneté,NOM,1278,dignité_+T,N,104006,
316,80,1,de,de,PRE,1282,de_+S,Pre,104007,
317,80,2,grant,grant,ADJ,1283,grant_+CIT,Adj,104007,
318,80,3,auctorité,auctorité,VER,1284,<unknown>,N,104007,
319,81,1,vaillance,vaillance,NOM,1317,vailance_*+T,N,104010,&
320,81,2,et,et,CON:coord,1318,et_S,Crd,104010,
321,81,3,hault,hault,ADJ,1319,haut_+Z,Adj,104010,
322,81,4,renom,renom,NOM,1320,renom_+IT,N,104010,
