wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified
666,155,2,celui,celui,2826,9,3,11,Dem,Dem,cil,C/V\.'C/V\
667,155,3,qui,qui,2827,9,3,11,Qux,Qux,qui,C/V\
668,155,4,l',l',2828,9,3,11,Prn,Prn$$,le,C/\
669,155,5,orrad,orrad,2829,9,3,11,Vfin,Vfin,ouïr,/V\.'C/V\
670,156,1,é,e,2852,9,3,12,Crd,Crd,et,/V\
671,156,2,si,si,2853,9,3,12,Adv,Adv,si4,C/V\
672,156,3,l',l',2854,9,3,12,Prn,Prn$$,le,C/\
673,156,4,assummerai,assummerai,2855,9,3,12,Vfin,Vfin,,/V\.C/V\.C/e\.'C/V\
674,157,1,É,e,2886,9,3,14,Crd,Crd,et,/V\
675,157,2,pur,pur,2887,9,3,14,Pre,Pre,pour,C/V\
676,157,3,çó,ço,2888,9,3,14,Prn,Prn,ce,C/V\
677,157,4,ai,ai,2889,9,3,14,Vfin,Vfin,avoir,/V\
678,157,5,juré,juré,2890,9,3,14,Vpp,Vpp,jurer,C/V\.'C/V\
679,158,1,que,que,2896,9,3,14,Sub,Sub,que,C/(e)\
680,158,2,la,la,2897,9,3,14,Det,Det,le,C/V\
681,158,3,iniquite,iniquité,2898,9,3,14,N,N,,/V\.C/V\.C/V\.'C/V\
682,159,1,é,e,2918,9,3,15,Crd,Crd,et,/V\
683,159,2,cremeit,cremeit,2919,9,3,15,Vfin,Vfin,craindre,C/V\.'C/V\
684,159,3,á,a,2920,9,3,15,Pre,Pre,à,/V\
685,159,4,mustrer,mustrer,2921,9,3,15,Vinf,Vinf,montrer,C/V\.'C/V\
686,160,1,Mais,mais,2927,9,3,16,Crd,Crd,mais,C/V\
687,160,2,Hely,hely,2928,9,3,16,N,N,,/V\.'C/V\
688,160,3,l',l',2929,9,3,16,Prn,Prn$$,le,C/\
689,160,4,apela,apela,2930,9,3,16,Vfin,Vfin,appeler,/V\.C/e\.'C/V\
690,161,1,bel,bel,2939,9,3,16,Adj,Adj,beau,C/V\
691,161,2,fiz,fiz,2940,9,3,16,N,N,,C/V\
692,161,3,",",",",2941,9,3,16,Pnc,Pnc,,
693,161,4,quele,quele,2942,9,3,16,Qux,Qux,quel,'C/V\.C/(e)\
694,161,5,parole,parole,2943,9,3,16,N,N,,C/V\.'C/V\.C/(e)\
695,162,1,É,e,2961,9,3,16,Crd,Crd,et,/V\
696,162,2,si,si,2962,9,3,16,Sub,Sub,si3,C/V\
697,162,3,tu,tu,2963,9,3,16,Prn,Prn$,tu,C/V\
698,162,4,le,le,2964,9,3,16,Prn,Prn$$,le,C/(e)\
699,162,5,me,me,2965,9,3,16,Prn,Prn$$,me,C/(e)\
700,162,6,céiles,ceiles,2966,9,3,16,Vfin,Vfin,,'C/V\.C/e\
701,163,1,vienge,vienge,2970,9,3,16,Vfin,Vfin,venir,'C/V\.C/(e)\
702,163,2,sur,sur,2971,9,3,16,PrA,PrA,sur,C/V\
703,163,3,tei,tei,2972,9,3,16,Prn,Prn,toi,C/V\
704,163,4,que,que,2973,9,3,16,Sub,Sub,que,C/(e)\
705,163,5,Deu,deu,2974,9,3,16,N,N,,C/V\
706,164,1,respundi,respundi,2994,9,3,18,Vfin,Vfin,répondre,C/V\.C/V\.'C/V\
707,164,2,:,:,2995,9,3,18,Pnc,Pnc,,
708,164,3,‘,‘,2996,9,3,18,Pnc,Pnc,,
709,164,4,Sires,sires,2997,9,3,18,N,N,,'C/V\.C/e\
710,164,5,est,est,2998,9,3,18,Vfin,Vfin,être,/V\
711,165,1,Il,il,3000,9,3,18,Prn,Prn$,il,/V\
712,165,2,frad,frad,3001,9,3,18,Vfin,Vfin,faire,C/V\
713,165,3,que,que,3002,9,3,18,Qux,Qux,que,C/(e)\
714,165,4,bon,bon,3003,9,3,18,Adj,Adj,bon,C/V\
715,165,5,li,li,3004,9,3,18,Prn,Prn$$,li,C/V\
716,165,6,iert,iert,3005,9,3,18,Vfin,Vfin,être,/V\
717,166,1,É,e,3014,9,3,19,Crd,Crd,et,/V\
718,166,2,Deus,deus,3015,9,3,19,N,N,,C/V\
719,166,3,fud,fud,3016,9,3,19,Vfin,Vfin,être,C/V\
720,166,4,ovec,ovec,3017,9,3,19,PrA,PrA,avec,/V\.'C/V\
721,166,5,li,li,3018,9,3,19,Prn,Prn,li,C/V\
722,167,1,de,de,3034,9,3,20,Pre,Pre,de,C/(e)\
723,167,2,Israel,israel,3035,9,3,20,N,N,,/V\.C/V\.'C/V\
724,167,3,",",",",3036,9,3,20,Pnc,Pnc,,
725,167,4,des,dés,3037,9,3,20,Pre,Pre,dès,C/V\
726,167,5,Dan,dan,3038,9,3,20,N,N,,C/V\
727,168,1,cunut,cunut,3043,9,3,20,Vfin,Vfin,connaître,C/V\.'C/V\
728,168,2,que,que,3044,9,3,20,Sub,Sub,que,C/(e)\
729,168,3,Samuel,samuel,3045,9,3,20,N,N,,C/V\.C/V\.'C/V\
730,169,1,se,se,3061,9,3,21,Prn,Prn$$,se,C/(e)\
