wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
433,77,2,a,a,VER,1447,avoir_+CMI,7,Pre,Pre,à,,/V\
434,77,3,franchise,franchise,NOM,1448,franchise_+CIT,7,N,N,,,C/V\.'C/V\.C/(e)\
435,77,4,se,se,DET:poss,1449,son4_S,7,Det,Det,son4,,C/(e)\
436,77,5,petit,petit,ADJ,1450,petit_+CIT,7,Adj,Adj,petit,,C/V\.'C/V\
437,77,6,non,non,NOM,1451,nom_+CIT,7,Neg,Neg,non,,C/V\
438,78,1,que,que,PROCON,1482,que3_S,8,Sub,Sub,que,,C/(e)\
439,78,2,onques,onques,ADV,1483,onque_+CIT,8,Adv,Adv,onques,,'/V\.C/e\
440,78,3,n',n',PRO:clit,1484,en2_S,8,Neg,Neg$$,ne1,,C/\
441,78,4,en,en,PRO:clit,1485,en2_S,8,Prn,Prn$$,en2,,/V\
442,78,5,pot,pot,VER,1486,paistre|pöoir_+M|+I,8,Vfin,Vfin,pouvoir2,,C/V\
443,78,6,enfant,enfant,NOM,1487,enfant_+CIT,8,N,N,,c,/V\.'C/V\
444,78,7,avoir,avoir,VER,1488,avoir_+MIT,8,Vinf,Vinf,avoir1,,/V\.'C/V\
445,79,1,car,car,CON:coord,1500,car_S,8,Crd,Crd,car,,C/V\
446,79,2,moult,moult,ADV,1501,mout_I,8,QIs,QIs,moult,,C/V\
447,79,3,desiroit,desiroit,VER,1502,desirer_*M,8,Vfin,Vfin,désirer,,C/V\.C/V\.'C/V\
448,79,4,a,a,PRE,1503,a_S,8,Pre,Pre,à,,/V\
449,79,5,avoir,avoir,VER,1504,avoir_+MIT,8,Vinf,Vinf,avoir1,,/V\.'C/V\
450,80,1,ne,ne,PRO:clit,1550,en2_S,8,Crd,Crd,ne2,,C/(e)\
451,80,2,repos,repos,VER,1551,pondre|poser_+M|+M,8,N,N,,,C/V\.'C/V\
452,80,3,par,par,PRE,1552,par_S,8,Pre,Pre,par1,,C/V\
453,80,4,nuit,nuit,NOM,1553,nuit_+CIT,8,N,N,,,C/V\
454,80,5,ne,ne,PRO:clit,1554,en2_S,8,Crd,Crd,ne2,,C/(e)\
455,80,6,par,par,PRE,1555,par_S,8,Pre,Pre,par1,,C/V\
456,80,7,jour,jour,NOM,1556,jor_+C,8,N,N,,,C/V\
457,81,1,Dieu,dieu,NOM,1566,dieu_+CIT,8,N,N,,,C/V\
458,81,2,que,que,PROCON,1567,que3_S,8,Sub,Sub,que,,C/(e)\
459,81,3,elle,elle,PRO:pers,1568,il_S,8,Prn,Prn$,3p,s,'/V\.C/(e)\
460,81,4,en,en,PRO:clit,1569,en2_S,8,Prn,Prn$$,en2,,/V\
461,81,5,peüst,peust,VER,1570,pöoir_+I,8,Vfin,Vfin,pouvoir2,,C/(V)\.'/V\
462,81,6,un,un,DET:ndf,1571,un_S,8,QIs,QIs,un,c,/V\
463,81,7,avoir,avoir,VER,1572,avoir_+MIT,8,Vinf,Vinf,avoir1,,/V\.'C/V\
464,82,1,fu,fu,VER,1641,estre1|estre_+I|CMI,9,Vfin,Vfin,être1|ester,,C/V\
465,82,2,retournee,retournee,VER,1642,retorner_*+I,9,Vpp,Vpp,retourner,,C/V\.C/V\.'C/V\./(e)\
466,82,3,du,du,PREDET:de,1643,de+le_S,9,Pre+Det,Pre+Det,de+le,,C/V\
467,82,4,moustier,moustier,NOM,1644,mostier_*+IT,9,N,N,,,C/V\.'C/V\
468,83,1,ne,ne,PRO:clit,1789,en2_S,10,Crd,Crd,ne2,,C/(e)\
469,83,2,l',l',DET:def,1790,le_S,10,Det,Det,le,,C/\
470,83,3,esbatement,esbatement,NOM,1791,esbatement_+T,10,N,N,,,/V\.C/V\.C/e\.'C/V\
471,83,4,qui,qui,PROCON,1792,qui_S,10,Qux,Qux,qui,s,C/V\
472,83,5,fu,fu,VER,1793,estre1|estre_+I|CMI,10,Vfin,Vfin,être1|ester,,C/V\
473,83,6,fait,fait,VER,1794,faire|farre_+CMI|M,10,Vpp,Vpp,faire,,C/V\
474,84,1,pour,pour,PRE,1795,por2_+S,10,Pre,Pre,pour,,C/V\
475,84,2,la,la,DET:def,1796,le_S,10,Det,Det,le,,C/V\
476,84,3,nouvelle,nouvelle,NOM,1797,novele_*+IT,10,N,N,,,C/V\.'C/V\.C/(e)\
477,84,4,de,de,PRE,1798,de_+S,10,Pre,Pre,de,,C/(e)\
478,84,5,l',l',DET:def,1799,le_S,10,Det,Det,le,,C/\
479,84,6,enfant,enfant,NOM,1800,enfant_+CIT,10,N,N,,,/V\.'C/V\
480,85,1,Et,et,CON:coord,1824,et_S,10,Crd,Crd,et,,/V\
