wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
339,66,1,de,de,PRE,1578,de_+S,Pre,Pre,de,104031,,C/(e)\
340,66,2,fruis,fruis,NOM,1579,fruit_+Z,N,N,,104031,,C/V\
341,66,3,",",",",PON,1580,",",Pnc,Pnc,,104031,,
342,66,4,abondant,abondant,VER,1581,abonder_+M,Vprs,Vprs,,104031,,/V\.C/V\.'C/V\
343,66,5,en,en,PRE,1582,en1_+S,Pre,Pre,en1,104031,,/V\
344,66,6,richesces,richesces,NOM,1583,richece_*+I,N,N,,104031,,C/V\.'C/V\.C/e\
345,67,1,abondant,abondant,VER,1581,abonder_+M,Vprs,Vprs,,104031,,/V\.C/V\.'C/V\
346,67,2,en,en,PRE,1582,en1_+S,Pre,Pre,en1,104031,,/V\
347,67,3,richesces,richesces,NOM,1583,richece_*+I,N,N,,104031,,C/V\.'C/V\.C/e\
348,67,4,",",",",PON,1584,",",Pnc,Pnc,,104031,,
349,67,5,grande,grande,ADJ,1585,grant_+IT,Adj,Adj,grand,104031,,'C/V\.C/(e)\
350,68,1,notablement,notablement,NOM,1592,<unknown>,Adv,Adv,,104032,,C/V\.C/V\.C/e\.'C/V\
351,68,2,d',d',PRE,1593,de_+S,Pre,Pre,de,104032,,C/\
352,68,3,espesses,espesses,ADJ,1594,espès_*+I,Adj,Adj,,104032,,/V\.'C/V\.C/e\
353,68,4,villes,villes,NOM,1595,vile_+C,N,N,,104032,,'C/V\.C/e\
354,69,1,princes,princes,NOM,1616,prince_+C,N,N,,104034,,'C/V\.C/e\
355,69,2,naturelz,naturelz,ADJ,1617,<unknown>,Adj,Adj,,104034,,C/V\.C/V\.'C/V\
356,69,3,non,non,NOM,1618,nom_+CIT,Neg,Neg,non,104034,,C/V\
357,69,4,crueulx,crueulx,ADJ,1619,<nolem>,Adj,Adj,,104034,,C/V\.'C/V\
358,70,1,catholiques,catholiques,NPR,1625,<unknown>,Adj,Adj,,104035,,C/V\.C/V\.'C/V\.C/e\
359,70,2,en,en,PRE,1626,en1_+S,Pre,Pre,en1,104035,,/V\
360,70,3,foy,foy,NOM,1627,foi_+CIT,N,N,,104035,,C/V\
361,70,4,",",",",PON,1628,",",Pnc,Pnc,,104035,,
362,70,5,prudens,prudens,NOM,1629,<unknown>,Adj,Adj,,104035,,C/V\.'C/V\
363,71,1,en,en,PRE,1634,en1_+S,Pre,Pre,en1,104036,,/V\
364,71,2,façon,façon,NOM,1635,façon_+IT,N,N,,104036,,C/V\.'C/V\
365,71,3,de,de,PRE,1636,de_+S,Pre,Pre,de,104036,,C/(e)\
366,71,4,fort,fort,ADJ,1637,fort_+IT,Adj,Adj,fort,104036,,C/V\
367,71,5,et,et,CON:coord,1638,et_S,Crd,Crd,et,104036,,/V\
