wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
315,63,1,habitacions,habitacions,NOM,1035,<nolem>,N,N,,817,,/V\.C/V\.C/V\.C/{V}\.'/V\
316,63,2,par,par,PRE,1036,par_S,Pre,Pre,par1,817,,C/V\
317,63,3,engins,engins,NOM,1037,engin_+I,N,N,,817,,/V\.'C/V\
318,64,1,mais,mais,CON:coord,1057,mais_S,Crd,Crd,mais1,819,,C/V\
319,64,2,",",",",PON,1058,",",Pnc,Pnc,,819,,
320,64,3,par,par,PRE,1059,par_S,Pre,Pre,par1,819,,C/V\
321,64,4,negligence,negligence,NOM,1060,negligence_+T,N,N,,819,,C/V\.C/V\.'C/V\.C/(e)\
322,64,5,des,des,PREDET:de,1061,de+le_S,Pre+Det,Pre+Det,de+le,819,,C/V\
323,64,6,maistres,maistres,NOM,1062,maistre_CI,N,N,,819,,'C/V\.C/e\
324,65,1,de,de,PRE,1068,de_+S,Pre,Pre,de,820,,C/(e)\
325,65,2,bonne,bonne,ADJ,1069,bon_+C,Adj,Adj,bon,820,,'C/V\.C/(e)\
326,65,3,reparacion,reparacion,NOM,1070,reparacïon_+Td,N,N,,820,,C/V\.C/V\.C/V\.C/{V}\.'/V\
327,66,1,que,que,PROCON,1082,que3_S,Sub,Sub,que,821,,C/(e)\
328,66,2,de,de,PRE,1083,de_+S,Pre,Pre,de,821,,C/(e)\
329,66,3,pluseurs,pluseurs,DET:ind,1084,plusor_S,QIs,QIs,plusieurs,821,,C/V\.'C/V\
330,66,4,lez,lez,NOM,1085,lez|lé_+IT|I,N,N,,821,,C/V\
331,66,5,estoit,estoit,VER,1086,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,821,,/V\.'C/V\
332,66,6,prest,prest,ADJ,1087,prest1|prest_+IT|I,Adj,Adj,,821,,C/V\
333,67,1,estoit,estoit,VER,1086,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,821,,/V\.'C/V\
334,67,2,prest,prest,ADJ,1087,prest1|prest_+IT|I,Adj,Adj,,821,,C/V\
335,67,3,de,de,PRE,1088,de_+S,Pre,Pre,de,822,,C/(e)\
336,67,4,fondre,fondre,VER,1089,fondre_+MIT,Vinf,Vinf,fondre,822,,'C/V\.C/(e)\
