wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
199,32,3,sceit,sceit,VER:pres:3:sg,1112,28,Vfin,Vfin,savoir,savoir,+Z,"[('VfinGrp', ''), ('Vfin', ''), ('Adv', '')]",,VER,75,C/V\
200,32,4,pas,pas,NOM:obj:masc:pl,1113,28,Neg,Neg,pas1,pas|past2,+IT|+T,"[('VfinGrp', ''), ('Adv', ''), ('VfinGrp', '&')]",,NOM,75,C/V\
201,32,5,ne,ne,PRO:clit,1114,28,Crd,Crd,ne2,en2|ne,S|C,"[('VfinGrp', '&'), ('Crd', ''), ('Adv', '')]",,PRO:clit,75,C/(e)\
202,32,6,n,n,PRO:clit,1115,28,Neg,Neg$$,ne1,en2|ne,S|C,"[('VfinGrp', '&'), ('Adv', ''), ('Vfin', '')]",,PRO:clit,75,C/\
203,32,7,est,est,VER:pres:3:sg,1116,28,Vfin,Vfin,être1|ester,ester|estre1,+M|+I,"[('VfinGrp', '&'), ('Vfin', ''), ('Adj', 'a')]",,VER,75,/V\
204,32,8,certeins,certeins,ADJ:suj:masc:sg,1117,28,Adj,Adj,certain,certain,+I,"[('VfinGrp', ''), ('VfinGrp', '&'), ('SubVfin', 'c')]",a,ADJ,75,C/V\.'C/V\
205,33,1,par,par,PRE,1129,28,Pre,Pre,par1,par,CIS,"[('PreSub+Sub', ''), ('Pre', ''), ('Sub', '')]",,PRE,75,C/V\
206,33,2,quoy,quoy,PRO:invar,1130,28,Qux,Qux,que,coi2,S,"[('SubVfin', '+'), ('PreSub+Sub', ''), ('VinfGrp', 'c')]",,PRO:invar,75,C/V\
207,33,3,grant,grant,ADJ:obj:femi:sg,1131,28,Adj,Adj,grand,grant,+CIT,"[('NGrp', 'c'), ('Adj', ''), ('N', '')]",,ADJ,75,C/V\
208,33,4,poour,poour,NOM:obj:femi:sg,1132,28,N,N,,pëor,*+Td,"[('SubVfin', '+'), ('VinfGrp', 'c'), ('Vfin', '')]",,NOM,75,C/V\.'C/V\
209,33,5,doit,doit,VER:pres:3:sg,1133,28,Vfin,Vfin,devoir2,devoir|dire,+CMI|+M,"[('SubVfin', '+'), ('Vfin', ''), ('VinfGrp', 'c')]",,VER,75,C/V\
210,33,6,avoir,avoir,VER:infi,1134,28,Vinf,Vinf,avoir1,avoir,+MIT,"[('VinfGrp', 'c'), ('Vinf', ''), ('SubVfin', '')]",,VER,75,/V\.'C/V\
211,34,1,yert,yert,VER:futu:3:sg,1143,28,Vfin,Vfin,être1|ester,estre,M,"[('SubVfin', ''), ('Vfin', ''), ('PreN', 'a')]",,VER,75,/V\
212,34,2,en,en,PRO:clit,1144,28,Pre,Pre,en1,en1|en,+IST|CI,"[('PreN', 'a'), ('Pre', ''), ('N', '')]",,PRE,75,/V\
213,34,3,paradis,paradis,NOM:obj:masc:sg,1145,28,N,N,,paradis,+IT,#,,NOM,75,C/V\.C/V\.'C/V\
214,34,4,.,.,PON,1146,28,Pnc,Pnc,,.,,,,PON,75,
215,34,5,si,si,PROCON,1147,28,Adv,Adv,si4,si,C,"[('VfinGrp', ''), ('Adv', ''), ('Prn', '')]",,PROCON,76,C/V\
216,34,6,vous,vous,PRO:pers:2:pl,1148,28,Prn,Prn$$,2pp,ous2|vos1,T|S,"[('VfinGrp', ''), ('Prn', ''), ('Vfin', '')]",,PRO:pers,76,C/V\
217,34,7,pri,pri,VER:pres:1:sg,1149,28,Vfin,Vfin,?,prendre|priier|prisier,+M|+I|+M,"[('VfinGrp', ''), ('Vfin', ''), ('VfinGrp', 'inc')]",,VER,76,C/V\
218,35,1,que,que,PROCON,1161,28,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubVfin', 'c'), ('Sub', ''), ('Prn', 's')]",,PROCON,76,C/(e)\
219,35,2,vous,vous,PRO:pers:2:pl,1162,28,Prn,Prn$,2pp,ous2|vos1,T|S,"[('SubVfin', 'c'), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,76,C/V\
220,35,3,metés,metés,VER:subp:2:pl,1163,28,Vfin,Vfin,mettre,metre,M,"[('SubVfin', 'c'), ('Vfin', ''), ('NGrp', 'c')]",,VER,76,C/V\.'C/V\
221,35,4,votre,votre,DET:poss:obj:masc:sg,1164,28,Det,Det,votre,vostre,S,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:poss,76,'C/V\.C/(e)\
222,35,5,cuer,cuer,NOM:obj:masc:sg,1165,28,N,N,,cuer1|cuer2,+T|+IT,"[('SubVfin', 'c'), ('NGrp', 'c'), ('PrePrnSubVfin', '')]",,NOM,76,C/V\
223,35,6,a,a,PRE,1166,28,Pre,Pre,à,a3|a,+T|CGIS,"[('PrePrnSubVfin', ''), ('Pre', ''), ('Prn', '')]",,PRE,76,/V\
224,35,7,ce,ce,PRO:invar,1167,28,Prn,Prn,ce1,ce1|ce,S|C,"[('SubVfin', 'c'), ('PrePrnSubVfin', ''), ('PreN', '')]",,PRO:invar,76,C/(e)\
225,36,1,pour,pour,PRE,1169,28,Pre,Pre,pour,por2|por,+ST|C,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,76,C/V\
226,36,2,l,l',DET:def:obj:femi:sg,1170,28,Det,Det,le,le,CS,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:def,76,C/\
227,36,3,amour,amour,NOM:obj:femi:sg,1171,28,N,N,,amor,+G,"[('PreN', ''), ('N', ''), ('PreN', '')]",,NOM,76,/V\.'C/V\
