wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
560,131,3,le,le,2610,7,Det,Det,le,C/(e)\
561,131,4,dit,dit,2611,7,Vpp,Vpp,dire,C/V\
562,131,5,guillot,guillot,2612,7,N,N,,C/V\.'C/V\
563,132,1,du,du,2622,7,Pre+Det,Pre+Det,de.le,C/V\
564,132,2,benoiet,benoiet,2623,7,Adj,Adj,,C/V\.C/V\.'C/V\
565,132,3,saint,saint,2624,7,Adj,Adj,saint,C/V\
566,132,4,loys,loys,2625,7,N,N,,C/V\
567,133,1,pour,pour,2673,7,Pre,Pre,pour,C/V\
568,133,2,autres,autres,2674,7,Adj,Adj,autre,'/V\.C/e\
569,133,3,et,et,2675,7,Crd,Crd,et,/V\
570,133,4,vertuz,vertuz,2676,7,N,N,,C/V\.'C/V\
571,134,1,mes,mes,2710,7,Crd,Crd,mais,C/V\
572,134,2,il,il,2711,7,Prn,Prn$,il,/V\
573,134,3,n,n,2712,7,Neg,Neg$$,ne,C/\
574,134,4,i,i,2713,7,Prn,Prn$$,y2,/V\
575,134,5,pot,pot,2714,7,Vfin,Vfin,pouvoir2,C/V\
576,134,6,entrer,entrer,2715,7,Vinf,Vinf,entrer,/V\.'C/V\
577,135,1,du,du,2754,7,Pre+Det,Pre+Det,de.le,C/V\
578,135,2,benoiet,benoiet,2755,7,Adj,Adj,,C/V\.C/V\.'C/V\
579,135,3,saint,saint,2756,7,Adj,Adj,saint,C/V\
580,135,4,loys,loys,2757,7,N,N,,C/V\
581,136,1,dist,dist,2804,7,Vfin,Vfin,dire,C/V\
582,136,2,au,au,2805,7,Pre+Det,Pre+Det,à.le,/V\
583,136,3,dit,dit,2806,7,Vpp,Vpp,dire,C/V\
584,136,4,guillot,guillot,2807,7,N,N,,C/V\.'C/V\
585,136,5,:,:,2808,7,Pnc,Pnc,,
586,136,6,"""","""",2809,7,Pnc,Pnc,,
587,136,7,va,va,2810,7,Vfin,Vfin,aller,C/V\
588,137,1,a,a,2826,7,Pre,Pre,à,/V\
589,137,2,grant,grant,2827,7,Adj,Adj,grand,C/V\
590,137,3,devocion,devocion,2828,7,N,N,,C/V\.C/V\.C/{V}\.'/V\
591,138,1,te,te,2833,7,Prn,Prn$$,te,C/(e)\
592,138,2,voille,voille,2834,7,Vfin,Vfin,vouloir,'C/V\.C/(e)\
593,138,3,delivrer,delivrer,2835,7,Vinf,Vinf,,C/V\.C/V\.'C/V\
594,139,1,du,du,2839,7,Pre+Det,Pre+Det,de.le,C/V\
595,139,2,benoiet,benoiet,2840,7,Adj,Adj,,C/V\.C/V\.'C/V\
596,139,3,saint,saint,2841,7,Adj,Adj,saint,C/V\
597,139,4,loys,loys,2842,7,N,N,,C/V\
598,140,1,delez,delez,2866,7,PrA,PrA,delez,C/V\.'C/V\
599,140,2,le,le,2867,7,Det,Det,le,C/(e)\
600,140,3,dit,dit,2868,7,Vpp,Vpp,dire,C/V\
601,140,4,tombel,tombel,2869,7,N,N,,C/V\.'C/V\
602,141,1,qui,qui,2900,7,Qux,Qux,qui,C/V\
603,141,2,estoit,estoit,2901,7,Vfin,Vfin,être,/V\.'C/V\
604,141,3,sus,sus,2902,7,PrA,PrA,sus,C/V\
605,141,4,la,la,2903,7,Det,Det,le,C/V\
606,141,5,pierre,pierre,2904,7,N,N,,'C/V\.C/(e)\
607,142,1,du,du,2911,7,Pre+Det,Pre+Det,de.le,C/V\
608,142,2,benoiet,benoiet,2912,7,Adj,Adj,,C/V\.C/V\.'C/V\
609,142,3,saint,saint,2913,7,Adj,Adj,saint,C/V\
610,142,4,loys,loys,2914,7,N,N,,C/V\
611,143,1,en,en,2923,7,Pre,Pre,en,/V\
612,143,2,son,son,2924,7,Det,Det,son4,C/V\
613,143,3,pie,pié,2925,7,N,N,,C/V\
614,143,4,a,a,2926,7,Pre,Pre,à,/V\
615,143,5,maniere,maniere,2927,7,N,N,,C/V\.'C/V\.C/(e)\
616,144,1,a,a,2926,7,Pre,Pre,à,/V\
617,144,2,maniere,maniere,2927,7,N,N,,C/V\.'C/V\.C/(e)\
618,144,3,de,de,2928,7,Pre,Pre,de,C/(e)\
619,144,4,flestres,flestres,2929,7,N,N,,'C/V\.C/e\
620,145,1,et,et,2953,7,Crd,Crd,et,/V\
621,145,2,furent,furent,2954,7,Vfin,Vfin,être,'C/V\.C/e\
622,145,3,reempliz,reempliz,2955,7,Vpp,Vpp,remplir,C/(V)\./V\.'C/V\
623,146,1,et,et,2980,7,Crd,Crd,et,/V\
624,146,2,revint,revint,2981,7,Vfin,Vfin,revenir,C/V\.'C/V\
625,146,3,a,a,2982,7,Pre,Pre,à,/V\
626,146,4,paris,paris,2983,7,N,N,,C/V\.'C/V\
627,147,1,et,et,3044,7,Crd,Crd,et,/V\
628,147,2,de,de,3045,7,Pre,Pre,de,C/(e)\
629,147,3,char,char,3046,7,N,N,,C/V\
630,147,4,reemplis,reemplis,3047,7,Vpp,Vpp,remplir,C/(V)\./V\.'C/V\
631,148,1,et,et,3048,7,Crd,Crd,et,/V\
632,148,2,ne,ne,3049,7,Neg,Neg$$,ne,C/(e)\
633,148,3,metoient,metoient,3050,7,Vfin,Vfin,mettre,C/V\.'C/V\./e\
634,148,4,riens,riens,3051,7,N,N,rien,C/V\
635,149,1,se,se,3070,7,Sub,Sub,si3,C/(e)\
636,149,2,il,il,3071,7,Prn,Prn$,il,/V\
637,149,3,eust,eust,3072,7,Vfin,Vfin,avoir,/(V)\.'/V\
638,149,4,voulu,voulu,3073,7,Vpp,Vpp,vouloir,C/V\.'C/V\
639,150,1,sain,sain,3092,7,Adj,Adj,,C/V\
640,150,2,de,de,3093,7,Pre,Pre,de,C/(e)\
641,150,3,la,la,3094,7,Det,Det,le,C/V\
642,150,4,maladie,maladie,3095,7,N,N,,C/V\.C/V\.'C/V\./(e)\
643,151,1,du,du,3118,7,Pre+Det,Pre+Det,de.le,C/V\
644,151,2,benoiet,benoiet,3119,7,Adj,Adj,,C/V\.C/V\.'C/V\
645,151,3,saint,saint,3120,7,Adj,Adj,saint,C/V\
646,151,4,loys,loys,3121,7,N,N,,C/V\
