wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
840,207,5,mise,mise,3259,1422,Vpp,Vpp,mettre,'C/V\.C/(e)\
841,208,1,mise,mise,3259,1422,Vpp,Vpp,mettre,'C/V\.C/(e)\
842,208,2,en,en,3260,1422,Pre,Pre,en,/V\
843,208,3,subjection,subjection,3261,1422,N,N,,C/V\.C/V\.C/{V}\.'/V\
844,209,1,changerent,changerent,3275,1424,Vfin,Vfin,,C/V\.'C/V\.C/e\
845,209,2,la,la,3276,1424,Det,Det,le,C/V\
846,209,3,richesse,richesse,3277,1424,N,N,,C/V\.'C/V\.C/(e)\
847,210,1,se,se,3300,1426,Prn,Prn$$,se,C/(e)\
848,210,2,mua,mua,3301,1426,Vfin,Vfin,muer,C/V\.'C/V\
849,210,3,en,en,3302,1426,Pre,Pre,en,/V\
850,210,4,vesteures,vesteures,3303,1426,N,N,,C/V\.C/(V)\.'/V\.C/e\
851,211,1,de,de,3306,1426,Pre,Pre,de,C/(e)\
852,211,2,hommes,hommes,3307,1426,N,N,,'/V\.C/e\
853,211,3,et,et,3308,1426,Crd,Crd,et,/V\
854,211,4,de,de,3309,1427,Pre,Pre,de,C/(e)\
855,211,5,femmes,femmes,3310,1427,N,N,,'C/V\.C/e\
856,212,1,toute,toute,3313,1427,QIs,QIs,tout,'C/V\.C/(e)\
857,212,2,remonstrance,remonstrance,3314,1427,N,N,,C/V\.C/V\.C/V\.'C/V\
858,213,1,Quelles,quelles,3320,1428,Qux,Qux,quel,'C/V\.C/e\
859,213,2,gens,gens,3321,1428,N,N,,C/V\
860,213,3,estes,estes,3322,1428,Vfin,Vfin,être,'/V\.C/e\
861,213,4,vous,vous,3323,1428,Prn,Prn%,vous,C/V\
862,214,1,sans,sans,3343,1430,Pre,Pre,sans,C/V\
863,214,2,vouloir,vouloir,3344,1430,Vinf,Vinf,vouloir,C/V\.'C/V\
864,214,3,delaisser,delaisser,3345,1430,Vinf,Vinf,délaisser,C/V\.C/V\.'C/V\
865,215,1,Apprenez,apprenez,3362,1432,Vfin,Vfin,,/V\.C/e\.'C/V\
866,215,2,a,a,3363,1432,Pre,Pre,à,/V\
867,215,3,cognoistre,cognoistre,3364,1432,Vinf,Vinf,connaître,C/V\.'C/V\.C/(e)\
868,216,1,vostre,vostre,3365,1432,Det,Det,votre,'C/V\.C/(e)\
869,216,2,infelicité,infelicité,3366,1432,N,N,,/V\.C/e\.C/V\.C/V\.'C/V\
870,217,1,vestir,vestir,3401,1502,Vinf,Vinf,vêtir,C/V\.'C/V\
871,217,2,et,et,3402,1502,Crd,Crd,et,/V\
872,217,3,porter,porter,3403,1502,Vinf,Vinf,porter,C/V\.'C/V\
873,217,4,nuit,nuit,3404,1503,N,N,,C/V\
874,218,1,et,et,3402,1502,Crd,Crd,et,/V\
875,218,2,porter,porter,3403,1502,Vinf,Vinf,porter,C/V\.'C/V\
876,218,3,nuit,nuit,3404,1503,N,N,,C/V\
877,218,4,et,et,3405,1503,Crd,Crd,et,/V\
878,218,5,jour,jour,3406,1503,N,N,,C/V\
879,219,1,ne,ne,3415,1503,Crd,Crd,ne2,C/(e)\
880,219,2,ilz,ilz,3416,1503,Prn,Prn$,il,/V\
881,219,3,n',n',3417,1504,Neg,Neg$$,ne,C/\
882,219,4,en,en,3418,1504,Prn,Prn$$,en2,/V\
883,219,5,laissent,laissent,3419,1504,Vfin,Vfin,laisser,'C/V\.C/e\
884,219,6,sieges,sieges,3420,1504,N,N,,'C/V\.C/e\
885,220,1,Toutes,toutes,3443,1506,QIs,QIs,tout,'C/V\.C/e\
886,220,2,bonnes,bonnes,3444,1506,Adj,Adj,bon,'C/V\.C/e\
887,220,3,nouvelles,nouvelles,3445,1506,N,N,,C/V\.'C/V\.C/e\
888,221,1,ne,ne,3464,1508,Neg,Neg$$,ne,C/(e)\
889,221,2,sont,sont,3465,1508,Vfin,Vfin,être,C/V\
890,221,3,a,a,3466,1508,Pre,Pre,à,/V\
891,221,4,nulle,nulle,3467,1509,QIs,QIs,nul,'C/V\.C/(e)\
892,221,5,chose,chose,3468,1509,N,N,,'C/V\.C/(e)\
893,222,1,travaillent,travaillent,3473,1509,Vpp,Vpp,,C/V\.'C/V\.C/e\
894,222,2,a,a,3474,1509,Pre,Pre,à,/V\
895,222,3,acquerre,acquerre,3475,1509,Vinf,Vinf,acquérir,/V\.'C/V\.C/(e)\
896,223,1,a,a,3474,1509,Pre,Pre,à,/V\
897,223,2,acquerre,acquerre,3475,1509,Vinf,Vinf,acquérir,/V\.'C/V\.C/(e)\
898,223,3,finances,finances,3476,1510,N,N,,C/V\.'C/V\.C/e\
899,224,1,quant,quant,3499,1512,Qux,Qux,quant,C/V\
900,224,2,a,a,3500,1512,Pre,Pre,à,/V\
901,224,3,les,les,3501,1512,Prn,Prn$,le,C/V\
902,224,4,emploier,emploier,3502,1512,Vinf,Vinf,,/V\.C/V\.'C/V\
