wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,syntag,syntag2,lemma,syllabified
730,170,2,bone,bone,2991,48,Adj,Adj,bon,'C/V\.C/(e)\
731,170,3,gent,gent,2992,48,N,N,,C/V\
732,170,4,armee,armee,2993,48,Vpp,Vpp,armer,/V\.'C/V\./(e)\
733,171,1,de,de,3014,48,Pre,Pre,de,C/(e)\
734,171,2,flandres,flandres,3015,48,N,N,,'C/V\.C/e\
735,171,3,et,et,3016,48,Crd,Crd,et,/V\
736,171,4,nicholes,nicholes,3017,48,N,N,,C/V\.'C/V\.C/e\
737,172,1,et,et,3026,48,Crd,Crd,et,/V\
738,172,2,jurerent,jurerent,3027,48,Vfin,Vfin,jurer,C/V\.'C/V\.C/e\
739,172,3,sor,sor,3028,48,PrA,PrA,sur,C/V\
740,172,4,sains,sains,3029,48,Adj,Adj,saint,C/V\
741,173,1,de,de,3043,48,Pre,Pre,de,C/(e)\
742,173,2,venise,venise,3044,48,N,N,,C/V\.'C/V\.C/(e)\
743,173,3,et,et,3045,48,Crd,Crd,et,/V\
744,173,4,a,a,3046,48,Pre,Pre,à,/V\
745,173,5,lui,lui,3047,48,Prn,Prn,lui,C/V\
746,174,1,que,que,3051,48,Sub,Sub,que,C/(e)\
747,174,2,il,il,3052,48,Prn,Prn$,il,/V\
748,174,3,oroient,oroient,3053,48,Vfin,Vfin,ouïr,/V\.'C/V\./e\
749,174,4,dire,dire,3054,48,Vinf,Vinf,dire,'C/V\.C/(e)\
750,175,1,de,de,3074,48,Pre,Pre,de,C/(e)\
751,175,2,dras,dras,3075,48,N,N,,C/V\
752,175,3,et,et,3076,48,Crd,Crd,et,/V\
753,175,4,de,de,3077,48,Pre,Pre,de,C/(e)\
754,175,5,viandes,viandes,3078,48,N,N,,C/V\.'C/V\.C/e\
