wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
197,45,2,avoec,avoec,1266,415,PrA,PrA,avec,/V\.'C/V\
198,45,3,nous,nous,1267,415,Prn,Prn,nous,C/V\
199,45,4,cevauche,cevauche,1268,416,Vfin,Vfin,chevaucher,C/V\.'C/V\.C/(e)\
200,46,1,Que,que,1279,416,Qux,Qux,que,C/(e)\
201,46,2,avés,avés,1280,416,Vfin,Vfin,avoir,/V\.'C/V\
202,46,3,vous,vous,1281,416,Prn,Prn%,vous,C/V\
203,46,4,veü,veü,1282,417,Vpp,Vpp,voir,C/(V)\.'/V\
204,47,1,en,en,1283,417,Pre,Pre,en,/V\
205,47,2,lui,lui,1284,417,Prn,Prn,lui,C/V\
206,47,3,?,?,1285,417,Pnc,Pnc,,
207,47,4,—,—,1286,417,Pnc,Pnc,,
208,47,5,Je,je,1287,417,Prn,Prn$,je,C/(e)\
209,47,6,ai,ai,1288,417,Vfin,Vfin,avoir,/V\
210,47,7,veü,veü,1289,417,Vpp,Vpp,voir,C/(V)\.'/V\
211,48,1,Je,je,1287,417,Prn,Prn$,je,C/(e)\
212,48,2,ai,ai,1288,417,Vfin,Vfin,avoir,/V\
213,48,3,veü,veü,1289,417,Vpp,Vpp,voir,C/(V)\.'/V\
214,48,4,",",",",1290,417,Pnc,Pnc,,
215,48,5,fait,fait,1291,417,Vfin,Vfin,faire,C/V\
216,48,6,Kex,kex,1292,417,N,N,,C/V\
217,49,1,k',k',1294,417,Sub,Sub,que,C/\
218,49,2,il,il,1295,417,Prn,Prn$,il,/V\
219,49,3,a,a,1296,417,Vfin,Vfin,avoir,/V\
220,49,4,hui,hui,1297,417,Adv,Adv,hui2,/V\
221,49,5,toute,toute,1298,417,QIs,QIs,tout,'C/V\.C/(e)\
222,49,6,jour,jour,1299,417,N,N,,C/V\
223,50,1,cevauchié,cevauchié,1300,418,Vpp,Vpp,chevaucher,C/V\.C/V\.'C/V\
224,50,2,devant,devant,1301,418,PrA,PrA,devant,C/V\.'C/V\
225,50,3,nous,nous,1302,418,Prn,Prn,nous,C/V\
226,51,1,de,de,1334,421,Pre,Pre,de,C/(e)\
227,51,2,cest,cest,1335,421,Dem,Dem,cist,C/V\
228,51,3,pont,pont,1336,421,N,N,,C/V\
229,51,4,.,.,1337,421,Pnc,Pnc,,
230,51,5,—,—,1338,421,Pnc,Pnc,,
231,51,6,En,en,1339,421,Pre,Pre,en,/V\
232,51,7,non,non,1340,421,N,N,,C/V\
233,51,8,Dieu,dieu,1341,421,N,N,,C/V\
234,52,1,Quant,quant,1380,501,Sub,Sub,quand,C/V\
235,52,2,il,il,1381,501,Prn,Prn$,il,/V\
236,52,3,sont,sont,1382,501,Vfin,Vfin,être,C/V\
237,52,4,trusc',trusc',1383,501,PrA,PrA,trosque,C/V\
238,52,5,au,au,1384,501,Pre+Det,Pre+Det,à.le,/V\
239,52,6,pont,pont,1385,501,N,N,,C/V\
240,53,1,demandés,demandés,1473,508,Vfin,Vfin,demander,C/V\.C/V\.'C/V\
241,53,2,",",",",1474,508,Pnc,Pnc,,
242,53,3,vous,vous,1475,509,Prn,Prn$,vous,C/V\
243,53,4,l',l',1476,509,Prn,Prn$$,le,C/\
244,53,5,arés,arés,1477,509,Vfin,Vfin,avoir,/V\.'C/V\
245,54,1,ne,ne,1481,509,Neg,Neg$$,ne,C/(e)\
246,54,2,poés,poés,1482,509,Vfin,Vfin,pouvoir2,C/V\.'C/V\
247,54,3,vous,vous,1483,509,Prn,Prn%,vous,C/V\
248,54,4,faillir,faillir,1484,509,Vinf,Vinf,faillir,C/V\.'C/V\
249,55,1,autre,autre,1503,511,Adj,Adj,autre,'/V\.C/(e)\
250,55,2,delaiement,delaiement,1504,511,N,N,,C/V\.C/V\.C/e\.'C/V\
251,56,1,Et,et,1518,512,Crd,Crd,et,/V\
252,56,2,saciés,saciés,1519,512,Vfin,Vfin,savoir,C/V\.'C/V\
253,56,3,que,que,1520,512,Sub,Sub,que,C/(e)\
254,56,4,li,li,1521,513,Det,Det,le,C/V\
255,56,5,pons,pons,1522,513,N,N,,C/V\
256,57,1,Li,li,1538,515,Det,Det,le,C/V\
257,57,2,cevaliers,cevaliers,1539,515,N,N,,C/V\.C/V\.'C/V\
258,57,3,du,du,1540,515,Pre+Det,Pre+Det,de.le,C/V\
259,57,4,pont,pont,1541,515,N,N,,C/V\
260,58,1,laisse,laisse,1551,516,Vfin,Vfin,laisser,'C/V\.C/(e)\
261,58,2,courre,courre,1552,516,Vinf,Vinf,courir,'C/V\.C/(e)\
262,58,3,vers,vers,1553,516,Pre,Pre,vers2,C/V\
263,58,4,Keu,keu,1554,516,N,N,,C/V\
264,59,1,l',l',1591,519,Det,Det,le,C/\
265,59,2,un,un,1592,519,QIs,QIs,un,/V\
266,59,3,d',d',1593,519,Pre,Pre,de,C/\
267,59,4,une,une,1594,519,QIs,QIs,un,'/V\.C/(e)\
268,59,5,part,part,1595,519,N,N,,C/V\
269,59,6,et,et,1596,519,Crd,Crd,et,/V\
270,59,7,l',l',1597,519,Det,Det,le,C/\
