wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,synfunc
299,71,4,puissans,puissans,ADJ,1287,poissant_*+IT,7,Adj,
300,72,1,et,et,CON:coord,1300,et_S,7,Crd,
301,72,2,grans,grans,ADJ,1301,grant_+I,7,Adj,
302,72,3,possessions,possessions,NOM,1302,possession_C,7,N,
303,73,1,et,et,CON:coord,1310,et_S,7,Crd,
304,73,2,a,a,PRE,1311,a_S,7,Pre,
305,73,3,cestui,cestui,DET:demo,1312,cest_S,7,Det,
306,73,4,riche,riche,ADJ,1313,riche_+IT,7,Adj,
307,73,5,homme,homme,NOM,1314,ome_+C,7,N,
308,74,1,commence,commence,VER,1315,comencier|commencer_+M|M,7,Vfin,
309,74,2,l',l',DET:def,1316,le_S,7,Det,
310,74,3,aventure,aventure,NOM,1317,aventure_+IT,7,N,
311,75,1,pourquoy,pourquoy,VER,1318,<unknown>,7,PreSub+Sub,
312,75,2,j',j',PRO:pers,1319,je_S,7,Prn,s
313,75,3,ay,ay,VER,1320,aidier|avoir_+Md|+CMI,7,Vfin,
314,75,4,commencié,commencié,VER,1321,commencer_M,7,Vpp,
315,76,1,et,et,CON:coord,1356,et_S,7,Crd,
316,76,2,cremuz,cremuz,VER,1357,criembre_+IM,7,Vpp,
317,76,3,et,et,CON:coord,1358,et_S,7,Crd,
318,76,4,amez,amez,VER,1359,amer1|amer_+I|MI,7,Vpp,
319,77,1,si,si,ADV,1365,si_+IT,7,Adv,
320,77,2,que,que,PROCON,1366,que3_S,7,Sub,
321,77,3,",",",",PON,1367,",",7,Pnc,
322,77,4,pour,pour,PRE,1368,por2_+S,7,Pre,
323,77,5,la,la,DET:def,1369,le_S,7,Det,
324,77,6,haultece,haultece,NOM,1370,<unknown>,7,N,
325,78,1,de,de,PRE,1371,de_+S,7,Pre,
326,78,2,lui,lui,PRO:pers,1372,il|loi1_S|S,7,Prn,
327,78,3,",",",",PON,1373,",",7,Pnc,
328,78,4,il,il,PRO:pers,1374,il_S,7,Prn,s
329,78,5,print,print,VER,1375,prendre_+M,7,Vfin,
330,78,6,a,a,PRE,1376,a_S,7,Pre,
331,78,7,femme,femme,NOM,1377,feme_+CI,7,N,
332,79,1,d',d',PRE,1432,de_+S,7,Pre,
333,79,2,ore,ore,ADV,1433,or4|or_+IT|I,7,Adv,
334,79,3,il,il,PRO:pers,1434,il_S,7,Prn,s
335,79,4,n',n',PRO:clit,1435,en2_S,7,Neg,
336,79,5,est,est,VER,1436,ester|estre1_+M|+I,7,Vfin,
337,79,6,pas,pas,NOM,1437,pas|past2_+IT|+T,7,Adv,
338,79,7,ainsi,ainsi,ADV,1438,ainsi_+CIT,7,Adv,a
339,80,1,et,et,CON:coord,1458,et_S,7,Crd,
340,80,2,a,a,PRE,1459,a_S,7,Pre,
341,80,3,fere,fere,ADJ,1460,fier_+Z,7,Vinf,
342,80,4,tresor,tresor,NOM,1461,tresor_+IT,7,N,c
343,81,1,Agea,agea,VER,1473,<unknown>,8,N,a
344,81,2,",",",",PON,1474,",",8,Pnc,
345,81,3,par,par,PRE,1475,par_S,8,Pre,
346,81,4,l',l',DET:def,1476,le_S,8,Det,
347,81,5,espace,espace,NOM,1477,espace_+IT,8,N,
348,82,1,et,et,CON:coord,1496,et_S,8,Crd,
349,82,2,moult,moult,ADV,1497,mout_I,8,Adv,
350,82,3,courouciez,courouciez,VER,1498,couroucier_*M,8,Vpp,
351,83,1,de,de,PRE,1508,de_+S,8,Pre,
352,83,2,qui,qui,PROCON,1509,qui_S,8,Sub,
353,83,3,il,il,PRO:pers,1510,il_S,8,Prn,s
354,83,4,peüst,peust,VER,1511,pöoir_+I,8,Vfin,
355,83,5,faire,faire,VER,1512,faire_+MIT,8,Vinf,
356,84,1,en,en,PRO:clit,1529,en2_S,8,Prn,
357,84,2,avoit,avoit,VER,1530,avoiier|avoir_+MI|+MI,8,Vfin,
358,84,3,grant,grant,ADJ,1531,grant_+CIT,8,Adj,
359,84,4,angoisse,angoisse,NOM,1532,angoisse_+GIT,8,N,
360,85,1,ne,ne,PRO:clit,1545,en2_S,8,Crd,
361,85,2,elle,elle,PRO:pers,1546,il_S,8,Prn,s
362,85,3,n',n',PRO:clit,1547,en2_S,8,Neg,
363,85,4,avoit,avoit,VER,1548,avoiier|avoir_+MI|+MI,8,Vfin,
364,85,5,joye,joye,NOM,1549,joie|joïe1|joïe2_+IT|+Td|+Td,8,N,
365,86,1,ne,ne,PRO:clit,1574,en2_S,8,Crd,
366,86,2,nulle,nulle,DET:ind,1575,nul_S,8,Det,
