wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,ch_id,syntag,syntag2,lemma,verse_id,synfunc,syllabified
900,159,1,E,e,CON:coord,3030,et_S,9,3,Crd,Crd,et,20,,/V\
901,159,2,tuit,tuit,DET:ind,3031,tot_S,9,3,QIs,QIs,tout,20,,C/V\
902,159,3,li,li,DET:def,3032,le_S,9,3,Det,Det,le,20,,C/V\
903,159,4,poples,poples,NOM,3033,pueple_*+T,9,3,N,N,,20,,'C/V\.C/e\
904,159,5,de,de,PRE,3034,de_+S,9,3,Pre,Pre,de,20,,C/(e)\
905,159,6,Israel,israel,NPR,3035,israel_Z,9,3,N,N,,20,,/V\.C/V\.'C/V\
906,160,1,en,en,PRE,3065,en1_+S,9,3,Pre,Pre,en1,21,,/V\
907,160,2,Sylo,sylo,NPR,3066,sylo_Z,9,3,N,N,,21,,C/V\.'C/V\
908,160,3,",",",",PON,3067,",",9,3,Pnc,Pnc,,21,,
909,160,4,sulunc,sulunc,PRE,3068,selonc_S,9,3,PrA,PrA,selon,21,,C/V\.'C/V\
910,160,5,sa,sa,DET:poss,3069,son4_S,9,3,Det,Det,son4,21,,C/V\
911,160,6,parole,parole,NOM,3070,parole_+IT,9,3,N,N,,21,,C/V\.'C/V\.C/(e)\
912,161,1,pur,pur,PRE,3101,por2_+S,9,3,Pre,Pre,pour,21,,C/V\
913,161,2,le,le,DET:def,3102,le_S,9,3,Det,Det,le,21,,C/(e)\
914,161,3,peche,peché,NOM,3103,pesche1|pesche2_+T|+T,9,3,N,N,,21,,C/V\.'C/V\
915,161,4,as,as,PREDET:a,3104,a+le_S,9,3,Pre+Det,Pre+Det,à+le,21,,/V\
916,161,5,fiz,fiz,NOM,3105,fil2|fius_+T|C,9,3,N,N,,21,,C/V\
917,161,6,Hely,hely,NPR,3106,hely_Z,9,3,N,N,,21,o,/V\.'C/V\
