wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,NCA_line,synfunc,NCA_taggerpos,syllabified
570,98,6,dut,dut,VER:simp:3:sg,2026,37,Vfin,Vfin,devoir2,devoir,+MI,364,,VER,C/V\
571,98,7,bien,bien,ADV,2027,37,Adv,Adv,bien,bien1|bien2|bien,+IT|C|I,364,,ADV,C/V\
572,98,8,estre,estre,VER:infi,2028,37,Vinf,Vinf,être1|ester,entr'estre|estre1,+M|+IT,365,c,VER,'/V\.C/(e)\
573,99,1,car,car,CON:coord,2029,37,Crd,Crd,car,car,ST,365,,CON:coord,C/V\
574,99,2,onques,onques,ADV,2030,37,Adv,Adv,onques,onque,+CIT,365,,ADV,'/V\.C/e\
575,99,3,hom,hom,NOM:suj:masc:sg,2031,37,N,N,,ome,+CI,365,,NOM,/V\
576,99,4,de,de,PRE,2032,37,Pre,Pre,de,de,+CIST,365,,PRE,C/(e)\
577,99,5,son,son,DET:poss:obj:masc:sg,2033,37,Det,Det,son4,son4|son,S|C,365,,DET:poss,C/V\
578,99,6,aage,aage,NOM:obj:masc:sg,2034,37,N,N,,ëage,+ITd,366,,NOM,/(V)\.'/V\
579,100,1,ne,ne,PRO:clit,2035,37,Neg,Neg$$,ne1,en2|ne,S|C,366,,PRO:clit,C/(e)\
580,100,2,fu,fu,VER:simp:3:sg,2036,37,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,366,,VER,C/V\
581,100,3,plus,plus,ADV,2037,37,Adv,Adv,plus,plus,CI,366,,ADV,C/V\
582,100,4,amés,amés,VER:pper:masc:pl,2038,37,Vpp,Vpp,aimer,amer,M,366,,VER,/V\.'C/V\
583,100,5,de,de,PRE,2039,37,Pre,Pre,de,de,+CIST,366,,PRE,C/(e)\
584,100,6,ses,ses,DET:poss:obj:masc:pl,2040,37,Det,Det,son4,son4|son,S|C,367,,DET:poss,C/V\
