wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
628,142,2,de,de,2205,710,Pre,Pre,de,C/(e)\
629,142,3,Sully,sully,2206,710,N,N,,C/V\.'C/V\
630,143,1,et,et,2207,710,Crd,Crd,et,/V\
631,143,2,le,le,2208,710,Det,Det,le,C/(e)\
632,143,3,seigneur,seigneur,2209,710,N,N,,C/V\.'C/V\
633,143,4,de,de,2210,710,Pre,Pre,de,C/(e)\
634,143,5,Roye,roye,2211,710,N,N,,'C/V\./(e)\
635,144,1,de,de,2210,710,Pre,Pre,de,C/(e)\
636,144,2,Roye,roye,2211,710,N,N,,'C/V\./(e)\
637,144,3,et,et,2212,710,Crd,Crd,et,/V\
638,144,4,pluiseurs,pluiseurs,2213,710,QIs,QIs,plusieurs,C/V\.'C/V\
639,144,5,autres,autres,2214,710,Adj,Adj,autre,'/V\.C/e\
640,145,1,et,et,2244,801,Crd,Crd,et,/V\
641,145,2,elle,elle,2245,801,Prn,Prn$,elle,'/V\.C/(e)\
642,145,3,dubt,dubt,2246,802,Vfin,Vfin,,C/V\
643,145,4,entrer,entrer,2247,802,Vinf,Vinf,entrer,/V\.'C/V\
644,146,1,et,et,2263,803,Crd,Crd,et,/V\
645,146,2,le,le,2264,803,Prn,Prn$$,le,C/(e)\
646,146,3,baisa,baisa,2265,803,Vfin,Vfin,,C/V\.'C/V\
647,146,4,et,et,2266,803,Crd,Crd,et,/V\
648,146,5,dist,dist,2267,803,Vfin,Vfin,dire,C/V\
649,147,1,et,et,2286,805,Crd,Crd,et,/V\
650,147,2,les,les,2287,805,Prn,Prn$$,le,C/V\
651,147,3,mena,mena,2288,805,Vfin,Vfin,mener,C/V\.'C/V\
652,147,4,avant,avant,2289,805,PrA,PrA,avant,/V\.'C/V\
653,148,1,engeniller,engeniller,2317,807,Vinf,Vinf,,/V\.C/e\.C/V\.'C/V\
654,148,2,par,par,2318,807,Pre,Pre,par,C/V\
655,148,3,trois,trois,2319,807,QIs,QIs,trois,C/V\
656,149,1,à,à,2324,807,Pre,Pre,à,/V\
657,149,2,piés,piés,2325,807,N,N,,C/V\
658,149,3,le,le,2326,807,Det,Det,le,C/(e)\
659,149,4,roy,roy,2327,807,N,N,,C/V\
660,149,5,son,son,2328,808,Det,Det,son4,C/V\
661,149,6,frere,frere,2329,808,N,N,,'C/V\.C/(e)\
662,150,1,assés,assés,2385,812,Adv,Adv,assez,/V\.'C/V\
663,150,2,petitement,petitement,2386,812,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
664,151,1,car,car,2387,813,Crd,Crd,car,C/V\
665,151,2,li,li,2388,813,Det,Det,le,C/V\
666,151,3,roys,roys,2389,813,N,N,,C/V\
