wd_id,line_id,linewd,word,lex_id,old_wd_id,page_id,syntag,syntag2,lemma,syllabified
415,93,4,Table,table,2289,1031,N,N,,'C/V\.C/(e)\
416,93,5,Ronde,ronde,2290,1031,Adj,Adj,,'C/V\.C/(e)\
417,94,1,de,de,2306,1031,Pre,Pre,de,C/(e)\
418,94,2,ce,ce,2307,1031,Dem,Dem,cist,C/(e)\
419,94,3,royaume,royaume,2308,1031,N,N,,C/V\.'C/V\.C/(e)\
420,94,4,",",",",2309,1031,Pnc,Pnc,,
421,94,5,et,et,2310,1031,Crd,Crd,et,/V\
422,94,6,aultres,aultres,2311,1031,Adj,Adj,autre,'/V\.C/e\
423,95,1,sy,sy,2324,1031,Sub,Sub,si3,C/V\
424,95,2,non,non,2325,1031,NVP,NVP,non,C/V\
425,95,3,pour,pour,2326,1031,Pre,Pre,pour,C/V\
426,95,4,le,le,2327,1031,Det,Det,le,C/(e)\
427,95,5,service,service,2328,1031,N,N,,C/V\.'C/V\.C/(e)\
428,96,1,et,et,2332,1031,Crd,Crd,et,/V\
429,96,2,eulz,eulz,2333,1031,Prn,Prn$$,eux,/V\
430,96,3,entretenir,entretenir,2334,1031,Vinf,Vinf,entretenir,/V\.C/e\.C/e\.'C/V\
431,97,1,ne,ne,2387,1031,Neg,Neg$$,ne,C/(e)\
432,97,2,seroit,seroit,2388,1031,Vfin,Vfin,être,C/V\.'C/V\
433,97,3,plus,plus,2389,1031,Adv,Adv,plus,C/V\
434,97,4,de,de,2390,1031,Pre,Pre,de,C/(e)\
435,97,5,compte,compte,2391,1031,N,N,,'C/V\.C/(e)\
436,98,1,Et,et,2419,1032,Crd,Crd,et,/V\
437,98,2,puis,puis,2420,1032,PrA,PrA,puis,C/V\
438,98,3,que,que,2421,1032,Sub,Sub,que,C/(e)\
439,98,4,ainnssy,ainnssy,2422,1032,Adv,Adv,ainsi,/V\.'C/V\
440,98,5,est,est,2423,1032,Vfin,Vfin,être,/V\
441,99,1,comme,comme,2425,1032,Sub,Sub,comme,'C/V\.C/(e)\
442,99,2,le,le,2426,1032,Det,Det,le,C/(e)\
443,99,3,plus,plus,2427,1032,Adv,Adv,plus,C/V\
444,99,4,failli,failli,2428,1032,Vpp,Vpp,faillir,C/V\.'C/V\
445,100,1,dittes,dittes,2441,1032,Vpp,Vpp,dire,'C/V\.C/e\
446,100,2,en,en,2442,1032,Pre,Pre,en,/V\
447,100,3,sousriant,sousriant,2443,1032,Vprs,Vprs,sourire,C/V\.C/V\.'C/V\
448,101,1,en,en,2442,1032,Pre,Pre,en,/V\
449,101,2,sousriant,sousriant,2443,1032,Vprs,Vprs,sourire,C/V\.C/V\.'C/V\
450,101,3,",",",",2444,1032,Pnc,Pnc,,
451,101,4,les,les,2445,1032,Det,Det,le,C/V\
452,101,5,dames,dames,2446,1032,N,N,,'C/V\.C/e\
453,102,1,en,en,2502,1032,Prn,Prn$$,en2,/V\
454,102,2,eurent,eurent,2503,1032,Vfin,Vfin,avoir,'/V\.C/e\
455,102,3,grant,grant,2504,1032,Adj,Adj,grand,C/V\
