wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
454,81,3,qui,qui,PROCON,1572,qui_S,Qux,Qux,qui,523,s,C/V\
455,81,4,estoit,estoit,VER,1573,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,523,,/V\.'C/V\
456,81,5,onclez,onclëz,VER,1574,<unknown>,N,N,,523,,'/V\.C/e\
457,82,1,Si,si,ADV,1608,si_+IT,Adv,Adv,si4,526,,C/V\
458,82,2,se,se,PRO:pers,1609,soi1_S,Prn,Prn$$,soi,526,,C/(e)\
459,82,3,doubta,doubta,VER,1610,<nolem>,Vfin,Vfin,,526,,C/V\.'C/V\
460,82,4,trop,trop,ADV,1611,trop_+IT,Adv,Adv,trop,526,,C/V\
461,82,5,fort,fort,ADJ,1612,fort_+IT,Adj,Adj,fort,526,,C/V\
462,82,6,que,que,PROCON,1613,que3_S,Sub,Sub,que,526,,C/(e)\
463,82,7,maux,maux,NOM,1614,mal1_Z,N,N,,526,s,C/V\
464,83,1,Il,il,PRO:pers,1629,il_S,Prn,Prn,3p,601,,/V\
465,83,2,qui,qui,PROCON,1630,qui_S,Qux,Qux,qui,601,s,C/V\
466,83,3,estoit,estoit,VER,1631,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,601,,/V\.'C/V\
467,83,4,si,si,DET:poss,1632,son4_S,Adv,Adv,si4,601,,C/V\
468,83,5,bien,bien,NOM,1633,bien2|bien_+IT|CI,N,N,bien,601,,C/V\
469,83,6,dou,dou,PREDET:de,1634,de+le_S,Pre+Det,Pre+Det,de+le,601,,C/V\
470,83,7,roy,roy,NOM,1635,roi_C,N,N,,601,,C/V\
471,84,1,comme,comme,VER,1639,commer_M,Sub,Sub,comme,601,,'C/V\.C/(e)\
472,84,2,il,il,PRO:pers,1640,il_S,Prn,Prn$,3p,601,s,/V\
473,84,3,volloit,volloit,VER,1641,voler|voloir_*+I|+CI,Vfin,Vfin,vouloir,601,,C/V\.'C/V\
474,84,4,et,et,CON:coord,1642,et_S,Crd,Crd,et,601,,/V\
475,84,5,plus,plus,ADV,1643,plus_CI,Adv,Adv,plus,602,,C/V\
476,84,6,creus,creüs,VER,1644,croire|croistre_+M|+MMd,Vpp,Vpp,,602,,C/(V)\.'/V\
477,85,1,creus,creüs,VER,1644,croire|croistre_+M|+MMd,Vpp,Vpp,,602,,C/(V)\.'/V\
478,85,2,tous,tous,PRO:ind,1645,tot_S,QIs,QIs,tout,602,,C/V\
479,85,3,seuls,seuls,ADJ,1646,sol1|sol_*+IT|I,Adj,Adj,seul,602,,C/V\
480,85,4,que,que,PROCON,1647,que3_S,Sub,Sub,que,602,,C/(e)\
481,85,5,tous,tous,DET:ind,1648,tot_S,QIs,QIs,tout,602,,C/V\
482,85,6,li,li,DET:def,1649,le_S,Det,Det,le,602,,C/V\
483,85,7,mondes,mondes,NOM,1650,monde1|monde_+I|I,N,N,,602,,'C/V\.C/e\
484,86,1,et,et,CON:coord,1690,et_S,Crd,Crd,et,605,,/V\
485,86,2,par,par,PRE,1691,par_S,Pre,Pre,par1,605,,C/V\
486,86,3,son,son,DET:poss,1692,son4_S,Det,Det,son4,605,,C/V\
487,86,4,soutil,soutil,ADJ,1693,sotil_+I,Adj,Adj,,605,,C/V\.'C/V\
488,86,5,malisté,malisté,VER,1694,<unknown>,N,N,,605,,C/V\.C/V\.'C/V\
489,87,1,que,que,PROCON,1697,que3_S,Qux,Qux,que,605,,C/(e)\
490,87,2,li,li,DET:def,1698,le_S,Det,Det,le,605,,C/V\
491,87,3,roys,roys,NOM,1699,roi_C,N,N,,605,,C/V\
492,87,4,fist,fist,VER,1700,faire|feire|fere_+CMI|M|M,Vfin,Vfin,faire,605,,C/V\
493,87,5,à,à,PRE,1701,a_S,Pre,Pre,à,605,,/V\
494,87,6,ung,ung,DET:ndf,1702,un_S,QIs,QIs,un,605,,/V\
495,87,7,jour,jour,NOM,1703,jor_+C,N,N,,605,,C/V\
496,87,8,prendre,prendre,VER,1704,prendre_+MIT,Vinf,Vinf,prendre,605,,'C/V\.C/(e)\
497,88,1,sans,sans,PRE,1720,sans_+S,Pre,Pre,sans,607,,C/V\
498,88,2,delay,delay,NOM,1721,delai_*+IT,N,N,,607,,C/V\.'C/V\
499,88,3,et,et,CON:coord,1722,et_S,Crd,Crd,et,607,,/V\
500,88,4,sans,sans,PRE,1723,sans_+S,Pre,Pre,sans,607,,C/V\
501,88,5,congnissance,congnissance,NOM,1724,<unknown>,N,N,,607,,C/V\.C/V\.'C/V\.C/(e)\
502,89,1,et,et,CON:coord,1722,et_S,Crd,Crd,et,607,,/V\
503,89,2,sans,sans,PRE,1723,sans_+S,Pre,Pre,sans,607,,C/V\
504,89,3,congnissance,congnissance,NOM,1724,<unknown>,N,N,,607,,C/V\.C/V\.'C/V\.C/(e)\
505,89,4,de,de,PRE,1725,de_+S,Pre,Pre,de,607,,C/(e)\
506,89,5,cause,cause,NOM,1726,cause_+CIT,N,N,,607,,'C/V\.C/(e)\
507,90,1,de,de,PRE,1725,de_+S,Pre,Pre,de,607,,C/(e)\
508,90,2,cause,cause,NOM,1726,cause_+CIT,N,N,,607,,'C/V\.C/(e)\
509,90,3,jusques,jusques,ADV,1727,jusque_Z,PrA,PrA,jusque,607,,'C/V\.C/e\
510,90,4,à,à,PRE,1728,a_S,Pre,Pre,à,607,,/V\
511,90,5,.XXII.,.xxii.,NPR,1729,<unknown>,QIs,QIs,22,607,,C/V\.'C/V\
512,91,1,le,le,DET:def,1737,le_S,Det,Det,le,608,,C/(e)\
513,91,2,comte,comte,NOM,1738,<nolem>,N,N,,608,,'C/V\.C/(e)\
514,91,3,Thummas,thummas,NPR,1739,<unknown>,N,N,,608,,C/V\.'C/V\
515,91,4,de,de,PRE,1740,de_+S,Pre,Pre,de,608,,C/(e)\
516,91,5,Lancastre,lancastre,NPR,1741,<unknown>,N,N,,609,,C/V\.'C/V\.C/(e)\
517,92,1,qui,qui,PROCON,1742,qui_S,Qux,Qux,qui,609,s,C/V\
518,92,2,estoit,estoit,VER,1743,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,609,,/V\.'C/V\
519,92,3,ses,ses,DET:poss,1744,son4_S,Det,Det,son4,609,,C/V\
520,92,4,oncles,oncles,NOM,1745,oncle_+I,N,N,,609,,'/V\.C/e\
521,92,5,",",",",PON,1746,",",Pnc,Pnc,,609,,
522,92,6,preudoms,preudoms,NOM,1747,pro_*I,N,N,,609,&,C/V\.'C/V\
523,93,1,qui,qui,PROCON,1785,qui_S,Qux,Qux,qui,612,s,C/V\
524,93,2,estoit,estoit,VER,1786,ester|estre1_+IM|+I,Vfin,Vfin,être1|ester,612,,/V\.'C/V\
525,93,3,freres,freres,NOM,1787,frere_+CI,N,N,,612,,'C/V\.C/e\
526,93,4,au,au,PREDET:a,1788,a+le_S,Pre+Det,Pre+Det,à+le,612,,/V\
527,93,5,dit,dit,VER,1789,dire_+CMI,Vpp,Vpp,dire,612,,C/V\
528,93,6,roy,roy,NOM,1790,roi_C,N,N,,612,,C/V\
529,94,1,par,par,PRE,1841,par_S,Pre,Pre,par1,616,,C/V\
530,94,2,son,son,DET:poss,1842,son4_S,Det,Det,son4,616,,C/V\
531,94,3,malisté,malisté,VER,1843,<unknown>,N,N,,616,,C/V\.C/V\.'C/V\
532,94,4,que,que,PROCON,1844,que3_S,Sub,Sub,que,616,,C/(e)\
533,94,5,ly,ly,DET:def,1845,le_S,Det,Det,le,616,,C/V\
534,94,6,roys,roys,NOM,1846,roi_C,N,N,,616,,C/V\
535,95,1,ne,ne,PRO:clit,1847,en2_S,Neg,Neg$$,ne1,616,,C/(e)\
536,95,2,volloit,volloit,VER,1848,voler|voloir_*+I|+CI,Vfin,Vfin,vouloir,616,,C/V\.'C/V\
537,95,3,point,point,NOM,1849,point_+CIT,Neg,Neg,point2,616,,C/V\
538,95,4,veoir,veoir,VER,1850,vëoir_+IIdTd,Vinf,Vinf,voir1,616,,C/(V)\.'/V\
539,95,5,la,la,DET:def,1851,le_S,Det,Det,le,616,,C/V\
540,95,6,roynne,roynne,NOM,1852,<unknown>,N,N,,616,,'C/V\.C/(e)\
541,96,1,la,la,DET:def,1851,le_S,Det,Det,le,616,,C/V\
542,96,2,roynne,roynne,NOM,1852,<unknown>,N,N,,616,,'C/V\.C/(e)\
543,96,3,ne,ne,PRO:clit,1853,en2_S,Neg,Neg$$,ne1,616,,C/(e)\
544,96,4,venir,venir,VER,1854,venir_+IT,Vinf,Vinf,venir,617,,C/V\.'C/V\
545,96,5,où,où,PREDET:en,1855,en1+le_S,Pre+Det,Pre+Det,en1+le,617,,/V\
546,96,6,lieu,lieu,NOM,1856,lieu_+CIT,N,N,,617,,C/V\
547,97,1,leur,leur,PRO:pers,1901,lor2_S,Prn,Prn$$,3p,620,,C/V\
548,97,2,pourcachoit,pourcachoit,VER,1902,<unknown>,Vfin,Vfin,,620,,C/V\.C/V\.'C/V\
549,97,3,grant,grant,ADJ,1903,grant_+CIT,Adj,Adj,grand,620,,C/V\
550,97,4,destourbier,destourbier,VER,1904,destorber_+Z,N,N,,621,,C/V\.C/V\.'C/V\
551,98,1,de,de,PRE,1913,de_+S,Pre,Pre,de,621,,C/(e)\
552,98,2,Cam,cam,NPR,1914,<nolem>,N,N,,621,,C/V\
553,98,3,oyrent,oyrent,VER,1915,devoir|oir_*+M|M,Vfin,Vfin,ouïr,621,,/V\.'C/V\.C/e\
554,98,4,ces,ces,DET:demo,1916,cel|cest_S|S,Dem,Dem,cist,621,,C/V\
555,98,5,nouvellez,nouvellëz,NOM,1917,<unknown>,N,N,,622,,C/V\.'C/V\.C/e\
556,99,1,si,si,DET:poss,1935,son4_S,Adv,Adv,si4,623,,C/V\
557,99,2,bien,bien,NOM,1936,bien2|bien_+IT|CI,Adv,Adv,bien,623,,C/V\
558,99,3,de,de,PRE,1937,de_+S,Pre,Pre,de,623,,C/(e)\
559,99,4,li,li,PRO:pers,1938,il_S,Prn,Prn,3p,623,,C/V\
560,99,5,comme,comme,VER,1939,commer_M,Sub,Sub,comme,623,,'C/V\.C/(e)\
561,99,6,il,il,PRO:pers,1940,il_S,Prn,Prn$,3p,623,s,/V\
562,99,7,volloit,volloit,VER,1941,voler|voloir_*+I|+CI,Vfin,Vfin,vouloir,623,,C/V\.'C/V\
563,100,1,veoir,veoir,VER,1966,vëoir_+IIdTd,Vinf,Vinf,voir1,625,,C/(V)\.'/V\
564,100,2,le,le,DET:def,1967,le_S,Det,Det,le,625,,C/(e)\
565,100,3,roy,roy,NOM,1968,roi_C,N,N,,625,,C/V\
566,100,4,Charlon,charlon,NPR,1969,charle_Z,N,N,,625,,C/V\.'C/V\
567,100,5,sen,sen,DET:poss,1970,son4_S,Det,Det,son4,625,,C/V\
568,100,6,frere,frere,NOM,1971,frere_+CIT,N,N,,625,,'C/V\.C/(e)\
569,101,1,de,de,PRE,2007,de_+S,Pre,Pre,de,628,,C/(e)\
570,101,2,venir,venir,VER,2008,venir_+IT,Vinf,Vinf,venir,628,,C/V\.'C/V\
571,101,3,en,en,PRE,2009,en1_+S,Pre,Pre,en1,628,,/V\
572,101,4,pellerinaige,pellerinaige,NOM,2010,pelerinage_*+T,N,N,,628,,C/V\.C/e\.C/V\.'C/V\.C/(e)\
573,102,1,à,à,PRE,2011,a_S,Pre,Pre,à,629,,/V\
574,102,2,Saint,saint,ADJ,2012,saint1|saint_T|CI,Adj,Adj,saint,629,,C/V\
575,102,3,Thummas,thummas,NPR,2013,<unknown>,N,N,,629,,C/V\.'C/V\
576,102,4,en,en,PRE,2014,en1_+S,Pre,Pre,en1,629,,/V\
577,102,5,Cantorbie,cantorbie,NPR,2015,<nolem>,N,N,,629,,C/V\.C/V\.'C/V\./(e)\
578,103,1,et,et,CON:coord,2041,et_S,Crd,Crd,et,630,,/V\
579,103,2,li,li,DET:def,2042,le_S,Det,Det,le,630,,C/V\
580,103,3,comtes,comtes,NOM,2043,<nolem>,N,N,,630,,'C/V\.C/e\
581,103,4,Aynmon,aynmon,NPR,2044,<unknown>,N,N,,631,,/V\.'C/V\
582,103,5,de,de,PRE,2045,de_+S,Pre,Pre,de,631,,C/(e)\
583,103,6,Cam,cam,NPR,2046,<nolem>,N,N,,631,,C/V\
584,104,1,de,de,PRE,2045,de_+S,Pre,Pre,de,631,,C/(e)\
585,104,2,Cam,cam,NPR,2046,<nolem>,N,N,,631,,C/V\
586,104,3,et,et,CON:coord,2047,et_S,Crd,Crd,et,631,,/V\
587,104,4,messire,messire,NOM,2048,seignor_+I,N,N,,631,,C/V\.'C/V\.C/(e)\
588,104,5,Rogier,rogier,NPR,2049,<nolem>_C,N,N,,631,,C/V\.'C/V\
589,105,1,li,li,DET:def,2099,le_S,Det,Det,le,702,,C/V\
590,105,2,cappitainne,cappitainne,NOM,2100,<unknown>,N,N,,702,,C/V\.C/V\.'C/V\.C/(e)\
591,105,3,de,de,PRE,2101,de_+S,Pre,Pre,de,702,,C/(e)\
592,105,4,la,la,DET:def,2102,le_S,Det,Det,le,702,,C/V\
593,105,5,ville,ville,NOM,2103,vile|vëille_+C|+T,N,N,,703,,'C/V\.C/(e)\
594,106,1,et,et,CON:coord,2119,et_S,Crd,Crd,et,704,,/V\
595,106,2,l',l',PRO:pers,2120,il_S,Prn,Prn$$,3p,704,c,C/\
596,106,3,en,en,PRO:clit,2121,en2_S,Prn,Prn$$,en2,704,,/V\
597,106,4,menerent,menerent,VER,2122,mener_+IM,Vfin,Vfin,mener,704,,C/V\.'C/V\.C/e\
598,106,5,en,en,PRE,2123,en1_+S,Pre,Pre,en1,704,,/V\
599,106,6,le,le,DET:def,2124,le_S,Det,Det,le,704,,C/(e)\
600,106,7,ville,ville,NOM,2125,vile|vëille_+C|+T,N,N,,704,,'C/V\.C/(e)\
601,107,1,Au,au,PREDET:a,2143,a+le_S,Pre+Det,Pre+Det,à+le,705,,/V\
602,107,2,tiers,tiers,ADJ:ord,2144,tierz_C,Adj,Adj,,705,,C/V\
603,107,3,jours,jours,NOM,2145,jor_+C,N,N,,705,,C/V\
604,107,4,elle,elle,PRO:pers,2146,il_S,Prn,Prn$,3p,705,s,'/V\.C/(e)\
605,107,5,s',s',PRO:pers,2147,soi1_S,Prn,Prn$$,soi,705,,C/\
606,107,6,en,en,PRO:clit,2148,en2_S,Prn,Prn$$,en2,705,,/V\
607,107,7,parti,parti,VER,2149,partir_+IM,Vfin,Vfin,partir,705,,C/V\.'C/V\
608,108,1,d',d',PRE,2197,de_+S,Pre,Pre,de,709,,C/\
609,108,2,Artois,artois,NPR,2198,artois_Z,N,N,,709,,/V\.'C/V\
610,108,3,",",",",PON,2199,",",Pnc,Pnc,,709,,
611,108,4,monseigneur,monseigneur,NOM,2200,<unknown>,N,N,,709,,C/V\.C/V\.'C/V\
612,108,5,de,de,PRE,2201,de_+S,Pre,Pre,de,709,,C/(e)\
613,108,6,Couchy,couchy,VER,2202,<unknown>,N,N,,709,,C/V\.'C/V\
614,109,1,de,de,PRE,2222,de_+S,Pre,Pre,de,711,,C/(e)\
615,109,2,Paris,paris,NPR,2223,paris_CI|Z,N,N,,711,,C/V\.'C/V\
616,109,3,et,et,CON:coord,2224,et_S,Crd,Crd,et,711,,/V\
617,109,4,deviers,deviers,PRE,2225,devers_S,PrA,PrA,devers,711,,C/V\.'C/V\
618,109,5,le,le,DET:def,2226,le_S,Det,Det,le,711,,C/(e)\
619,109,6,roy,roy,NOM,2227,roi_C,N,N,,711,,C/V\
620,110,1,vit,vit,VER,2234,vivre1|vëoir_+I|+I,Vfin,Vfin,voir1,801,,C/V\
621,110,2,sa,sa,DET:poss,2235,son4_S,Det,Det,son4,801,,C/V\
622,110,3,serour,serour,NOM,2236,seror_*+IT,N,N,,801,,C/V\.'C/V\
623,110,4,que,que,PROCON,2237,que3_S,Sub,Sub,que,801,c,C/(e)\
624,110,5,grant,grant,ADJ,2238,grant_+CIT,Adj,Adj,grand,801,,C/V\
625,110,6,tampz,tampz,NOM,2239,<nolem>,N,N,,801,,C/V\
626,110,7,a,a,VER,2240,avoir_+CMI,Vfin,Vfin,avoir1,801,,/V\
627,111,1,que,que,PROCON,2237,que3_S,Sub,Sub,que,801,c,C/(e)\
628,111,2,grant,grant,ADJ,2238,grant_+CIT,Adj,Adj,grand,801,,C/V\
629,111,3,tampz,tampz,NOM,2239,<nolem>,N,N,,801,,C/V\
630,111,4,a,a,VER,2240,avoir_+CMI,Vfin,Vfin,avoir1,801,,/V\
631,111,5,n',n',PRO:clit,2241,en2_S,Neg,Neg$$,ne1,801,,C/\
632,111,6,avoit,avoit,VER,2242,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,801,,/V\.'C/V\
633,111,7,veu,veü,VER,2243,vëoir|vöer1_+IdMMd|+I,Vpp,Vpp,voir1,801,,C/(V)\.'/V\
634,112,1,en,en,PRE,2248,en1_+S,Pre,Pre,en1,802,,/V\
635,112,2,sa,sa,DET:poss,2249,son4_S,Det,Det,son4,802,,C/V\
636,112,3,cambre,cambre,NOM,2250,chambre_I,N,N,,802,,'C/V\.C/(e)\
637,112,4,",",",",PON,2251,",",Pnc,Pnc,,802,,
638,112,5,il,il,PRO:pers,2252,il_S,Prn,Prn$,3p,802,s,/V\
639,112,6,vint,vint,VER,2253,venir|voir_+CI|M,Vfin,Vfin,venir,802,,C/V\
640,112,7,contre,contre,PRE,2254,contre_S,PrA,PrA,contre3,802,,'C/V\.C/(e)\
641,112,8,li,li,PRO:pers,2255,il_S,Prn,Prn,3p,802,,C/V\
642,113,1,À,à,PRE,2270,a_S,Pre,Pre,à,804,,/V\
643,113,2,bien,bien,ADV,2271,bien1|bien2|bien_+IT|C|I,Adv,Adv,bien,804,,C/V\
644,113,3,viengne,viengne,VER,2272,venir_+Z,Vfin,Vfin,venir,804,,'C/V\.C/(e)\
645,113,4,ma,ma,DET:poss,2273,mon1_S,Det,Det,mon1,804,,C/V\
646,113,5,belle,belle,ADJ,2274,bel|belet_*I|T,Adj,Adj,beau,804,,'C/V\.C/(e)\
647,113,6,soer,soer,NOM,2275,seror_+I,N,N,,804,,C/V\
648,114,1,l',l',PRO:pers,2359,il_S,Prn,Prn$$,3p,810,c,C/\
649,114,2,en,en,PRO:clit,2360,en2_S,Prn,Prn$$,en2,810,,/V\
