lex_id,syll_str,in_el,fin_el,ms,backwards dd
acouroient,vvvs,y,n,,
acourra,vvv,y,n,,
acourt,vv,y,n,,
acouru,vvv,y,n,,
acoustrement,vvsv,y,n,,
acoustuma,vvvv,y,n,,
acoustumance,vvvvs,y,y,,
acoustumances,vvvvs,y,n,,
acoustumé,vvvv,y,n,,
acoutee,vvvs,y,y,,
acoutés,vvv,y,n,,
acoutré,vvv,y,n,,
acoutree,vvvs,y,y,,
acouvetez,vvsv,y,n,,
acquerant,vsv,y,n,,
acquere,vvs,y,n,,
acquerir,vsv,y,n,,
acquerre,vvs,y,y,,
acquerroie,vsvs,y,n,,
acquert,vv,y,n,,
acquest,vv,y,n,,
acqueult,vv,y,n,,
acquier,vv,y,n,,
acquiere,vvs,y,y,,
acquierent,vvs,y,n,,
acquiers,vv,y,n,,
acquiert,vv,y,n,,
acquieueir,vvv,y,n,,
acquis,vv,y,n,,
acquise,vvs,y,y,,
acquist,vv,y,n,,
acquite,vvs,y,y,,
acquiter,vvv,y,n,,
acraventee,vvvvs,y,y,,
acraventer,vvvv,y,n,,
acreante,vhvs,y,y,,
acreanté,vvvv,y,n,,
acreanter,vvvv,y,n,,
acrest,vv,y,n,,
acreu,vhv,y,n,,
acroie,vvs,y,y,,
acroient,vvs,y,n,,
acroire,vvs,y,y,,
acroistre,vvs,y,y,,
acroit,vv,y,n,,
acrut,vv,y,n,,
actaindre,vvs,y,y,,
actaine,vvs,y,y,,
acteindre,vvs,y,y,,
actendant,vvv,y,n,,
actendez,vvv,y,n,,
actendoye,vvvs,y,y,,
actendre,vvs,y,y,,
actens,vv,y,n,,
actent,vv,y,n,,
actente,vvs,y,y,,
acteur,vv,y,n,,
actions,vdd,y,n,,
actraire,vvs,y,y,,
actrait,vv,y,n,,
actraitte,vvs,y,y,,
acueil,vv,y,n,,
acueill,vv,y,n,,
acueille,vvs,y,y,,
acueillent,vvs,y,n,,
acueillie,vvvs,y,y,,
acueilly,vvv,y,n,,
acuillie,vvvs,y,y,,
acuilliez,vvv,y,n,,
acuintez,vvv,y,n,,
acuite,vvs,y,y,,
acuitier,vvv,y,n,,
aculché,vvv,y,n,,
aculé,vvv,y,n,,
acumeniiés,vvvvv,y,n,*,
acumpaigna,vvvv,y,n,,
acumpli,vvv,y,n,,
acumplir,vvv,y,n,,
acundustid,vvvv,y,n,,
acunter,vvv,y,n,,
acuntét,vvv,y,n,,
acuragee,vvvvs,y,y,,
acurede,vvvs,y,y,,
acusand,vvv,y,n,,
acusent,vvs,y,n,,
acusez,vvv,y,n,,
acustumeement,vvvvsv,y,n,,
acustumees,vvvvs,y,n,,
acustumiers,vvvv,y,n,,
ad,v,y,n,,
adagnié,vvv,y,n,,
adagnierent,vvvs,y,n,,
adaigne,vvs,y,y,,
adaisement,vvsv,y,n,,
adam,vv,y,n,,
adamante,vvvs,y,y,,
adan,vv,y,n,,
adans,vv,y,n,,
adducere,vvs,y,y,,
ade,vs,y,y,,
ademplirai,vvvv,y,n,,
adés,vv,y,n,,
adese,vvs,y,y,,
adesee,vsvs,y,y,,
adeseir,vsv,y,n,,
adeser,vsv,y,n,,
adesten,vvv,y,n,,
adestrent,vvs,y,n,,
adestrerent,vvvs,y,n,,
adetid,vsv,y,n,,
adeuant,vsv,y,n,,
adevaloient,vsvvs,y,n,,
adevin,vsv,y,n,,
adevine,vsvs,y,y,,
adez,vv,y,n,,
adezer,vsv,y,n,,
adherens,vvv,y,n,,
adhoraz,vvv,y,n,,
adiés,vv,y,n,,
adieu,vv,y,n,,
adiez,vv,y,n,,
adjoincts,vv,y,n,,
adjourné,vvv,y,n,,
adjoustee,vvvs,y,y,,
adjoustement,vvsv,y,n,,
adjouster,vvv,y,n,,
adjutoire,vvvs,y,y,,
admenistraresse,vsvvvs,y,y,,
admenuisant,vvvvv,y,n,,
admirable,vvvs,y,y,,
admiration,vvvdd,y,n,,
admortir,vvv,y,n,,
adobai,vvv,y,n,,
adobés,vvv,y,n,,
adobez,vvv,y,n,,
adoise,vvs,y,y,,
adolé,vvv,y,n,,
adolés,vvv,y,n,,
adollé,vvv,y,n,,
adonc,vv,y,n,,
adoncques,vvs,y,n,,
adoncquëz,vvs,y,n,,
adonques,vvs,y,n,,
adonquëz,vvs,y,n,,
adons,vv,y,n,,
adont,vv,y,n,,
ador,vv,y,n,,
adore,vvs,y,y,,
adoré,vvv,y,n,,
adoreir,vvv,y,n,,
adoreis,vvv,y,n,,
adoreit,vvv,y,n,,
adorent,vvs,y,n,,
adorer,vvv,y,n,,
ados,vv,y,n,,
adosse,vvs,y,y,,
adouba,vvv,y,n,,
adoubé,vvv,y,n,,
adouber,vvv,y,n,,
adoubés,vvv,y,n,,
adoubez,vvv,y,n,,
adoucist,vvv,y,n,,
adoulcissoit,vvvv,y,n,,
adoulee,vvvs,y,y,,
adounk,vv,y,n,,
adquerir,vvv,y,n,,
adreca,vvv,y,n,,
adrece,vvs,y,y,,
adreceement,vvsv,y,n,,
adrecera,vvsv,y,n,,
adrechant,vsv,y,n,,
adrechier,vvv,y,n,,
adrechiez,vvv,y,n,,
adrecier,vvv,y,n,,
adreçoyent,vsvs,y,n,,
adresca,vsv,y,n,,
adresce,vvs,y,y,,
adressai,vsv,y,n,,
adresse,vvs,y,y,,
adroitz,vv,y,n,,
aduis,vv,y,n,,
aduise,vvs,y,n,,
adulé,vvv,y,n,,
adun,vv,y,n,,
adunad,vvv,y,n,,
adunat,vvv,y,n,,
adunc,vv,y,n,,
adunent,vvs,y,n,,
adunet,vvs,y,y,,
adunouent,vvvs,y,n,,
adure,vvs,y,y,,
aduré,vvv,y,n,,
aduree,vvvs,y,y,,
adurez,vvv,y,n,,
advenant,vsv,y,n,,
advencent,vvs,y,n,,
advenir,vsv,y,n,,
advenist,vsv,y,n,,
adventure,vvvs,y,y,,
adventures,vvvs,y,n,,
advenu,vsv,y,n,,
advenuz,vsv,y,n,,
adversaire,vvvs,y,y,,
adversaires,vvvs,y,n,,
adversarie,vvvs,y,y,,
adversaries,vvvs,y,n,,
adversité,vvvv,y,n,,
adversitez,vvvv,y,n,,
advertie,vvvs,y,y,,
advertissemens,vvvsv,y,n,,
adverty,vvv,y,n,,
adviendra,vvv,y,n,,
adviennent,vvs,y,n,,
advient,vv,y,n,,
advindrent,vvs,y,n,,
advinrent,vvs,y,n,,
advint,vv,y,n,,
advis,vv,y,n,,
advise,vvs,y,y,,
advisé,vvv,y,n,,
advisee,vvvs,y,y,,
adviser,vvv,y,n,,
adviseray,vvsv,y,n,,
advisez,vvv,y,n,,
advision,vvdd,y,n,,
advisions,vvdd,y,n,,
advocacion,vvvdd,y,n,,
advocas,vvv,y,n,,
advocassaige,vvvvs,y,y,,
advocasserie,vvvsvs,y,y,,
advocat,vvv,y,n,,
advouer,vvv,y,n,,
aé,av,y,n,,
aedmund,vv,y,n,variant spelling of 'edmund',
aei,av,y,n,,
aelipz,vv,y,n,,
aelis,avv,y,n,,
aelroth,avv,y,n,,
aemplir,avv,y,n,,
aemplirai,avvv,y,n,,
aer,vv,y,n,,
aerdre,avs,y,y,,
aers,av,y,n,,
aesier,avv,y,n,,
aesiez,avv,y,n,,
aeswardevët,evvvs,y,n,,
aeure,avs,y,y,,
aeures,avs,y,n,,
aez,vv,y,n,= ayez,
afaire,vvs,y,y,,
afaires,vvs,y,n,,
afaité,vvv,y,n,,
afaities,vvvs,y,n,,
afaitiét,vvv,y,n,,
afaitiez,vvv,y,n,,
afaitirent,vvvs,y,n,,
afance,vvs,y,y,,
afanz,vv,y,n,,
afebliad,vvvv,y,n,,
afeccion,vvdd,y,n,,
afections,vvdd,y,n,,
afeire,vvs,y,n,,
afeitiee,vvvs,y,y,,
afeitiez,vvv,y,n,,
afere,vvs,y,y,,
aferment,vvs,y,n,,
afermét,vvv,y,n,,
afeutrent,vvs,y,n,,
afeutreure,vvhvs,y,y,,
afevlie,vvvs,y,y,,
affaictier,vvv,y,n,,
affaire,vvs,y,y,,
affaires,vvs,y,n,,
affait,vv,y,n,,
affaitte,vvs,y,y,,
affaittier,vvv,y,n,,
affamer,vvv,y,n,,
affanz,vv,y,n,,
affebloie,vvvs,y,y,,
affeccion,vvdd,y,n,,
affection,vvdd,y,n,,
affections,vvdd,y,n,,
affectueux,vvvv,y,n,,
afferant,vsv,y,n,,
affere,vvs,y,y,,
affermé,vvv,y,n,,
affermee,vvvs,y,y,,
affermez,vvv,y,n,,
affermoit,vvv,y,n,,
afferoit,vsv,y,n,,
affie,vvs,y,y,,
affiere,vvs,y,y,,
affiert,vv,y,n,,
affilé,vvv,y,n,,
affin,vv,y,n,,
affine,vvs,y,y,,
affiné,vvv,y,n,,
affinera,vvsv,y,n,,
affint,vv,y,n,,
affiques,vvs,y,n,,
affliction,vvdd,y,n,,
afflictions,vvdd,y,n,,
afflictiun,vvdd,y,n,,
afflictiuns,vvvv,y,n,,
afflicz,vv,y,n,,
afflit,vv,y,n,,
affluance,vvvs,y,y,,
affolant,vvv,y,n,,
affoler,vvv,y,n,,
affolez,vvv,y,n,,
affollez,vvv,y,n,,
affolloit,vvv,y,n,,
affremer,vsv,y,n,,
affrequain,vsv,y,n,,
affrican,vvv,y,n,,
affuté,vvv,y,n,,
afi,vv,y,n,,
aficha,vvv,y,n,,
afiche,vvs,y,y,,
afichié,vvv,y,n,,
afichiét,vvv,y,n,,
afie,vvs,y,y,,
afient,vv,y,n,,
afiere,vvs,y,y,,
afierés,vvvv,y,n,,
afierons,vvsv,y,n,,
afiert,vv,y,n,,
afin,vv,y,n,,
afine,vvs,y,y,,
afinee,vvvs,y,y,,
afineir,vvv,y,n,,
aflee,vvs,y,y,,
afol,vv,y,n,,
afolast,vvv,y,n,,
afole,vvs,y,y,,
afolé,vvv,y,n,,
afolee,vvvs,y,y,,
afoleir,vvv,y,n,,
afoler,vvv,y,n,,
afolera,vvsv,y,n,,
afolez,vvv,y,n,,
aforés,vvv,y,n,,
afruite,vvs,y,y,,
afuble,vvs,y,y,,
afubler,vvv,y,n,,
afublez,vvv,y,n,,
afublieit,vvvv,y,n,,
afuie,vvs,y,y,,
ag,v,y,n,,
agache,vvs,y,y,,
agacher,vvv,y,n,,
agait,vv,y,n,,
agaite,vvs,y,y,,
agardés,vvv,y,n,,
agasent,vvs,y,n,,
age,vs,y,y,,
agea,vvv,y,n,,
agenoilla,vsvv,y,n,,
agenoille,vsvs,y,y,,
agenoillent,vsvs,y,n,,
agenoillier,vsvv,y,n,,
agenoilliez,vsvv,y,n,,
agenouilla,vsvv,y,n,,
agenouillay,vsvv,y,n,,
agenouillerent,vsvvs,y,n,,
agensi,vvv,y,n,,
aggreable,vvvs,y,y,,
agilité,vvvv,y,n,,
aglael,vvv,y,n,,
agniez,vv,y,n,,
agoulant,vvv,y,n,,
agrappart,vvv,y,n,,
agravét,vvv,y,n,,
agre,vs,y,y,,
agreable,vvvs,y,y,,
agree,vvs,y,y,,
agreer,vvv,y,n,,
agu,vv,y,n,,
aguaiter,vvv,y,n,,
